dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
flickr,0,22,2817753005,3785226772,9458420981,7213345466,9825011633,1.200528731715167e-05,1.7419619325664826e-05,1.6440442777820863e-05,1.6903213690966368e-05,1.783695370249916e-05,1.6440442777820863e-05,1.7150057374237804e-05,1.783695370249916e-05,5.265393838202092e-07,7.096145964169409e-07,4.435155460669193e-06,5.144770057086134e-06
flickr,0,22,9302649374,12404392344,2691638655,3618016980,3043931659,1.4596505934605375e-05,3.5495508200256154e-05,2.7803907869383693e-05,7.201670814538375e-05,4.0810060454532504e-05,2.7803907869383693e-05,4.4031546167389024e-05,7.201670814538375e-05,1.680585798196542e-05,1.622763829800533e-05,1.3207401934778318e-05,2.943504023278365e-05
flickr,0,22,16306777831,3273177050,3855021684,16061916664,5712342547,8.261939365183935e-05,4.7533299948554486e-05,9.284708357881755e-05,7.451957208104432e-05,8.24162270873785e-05,4.7533299948554486e-05,7.432904567394871e-05,9.284708357881755e-05,1.6780707079498073e-05,2.6795745725394227e-05,-3.508609370328486e-05,-8.290347977890633e-06
flickr,0,22,12404392344,8160650630,3273177050,3171418221,3956642916,2.7220125048188493e-05,2.8500022381194867e-05,1.554927985125687e-05,5.443245390779339e-05,5.625039921142161e-05,1.554927985125687e-05,3.8683038837916683e-05,5.625039921142161e-05,1.7288152406681443e-05,2.3133758986659814e-05,-1.1670845196931623e-05,1.146291378972819e-05
flickr,0,22,11240624283,4498355123,7169375649,5827939783,19203141988,3.556075171218254e-05,4.458119292394258e-05,2.380768273724243e-05,5.2620489441324025e-05,2.031946314673405e-05,2.031946314673405e-05,3.533220706231077e-05,5.2620489441324025e-05,1.3625578775587324e-05,1.501274391557672e-05,-1.5241288565448485e-05,-2.285446498717647e-07
flickr,0,22,8485534447,10387059465,4372139731,2421206372,7518616268,1.155278914666269e-05,5.306104139890522e-05,8.553845873393584e-06,1.2772386980941519e-05,1.2631226127268746e-05,8.553845873393584e-06,2.1754625095127267e-05,5.306104139890522e-05,1.8153989121630146e-05,1.3200779221733683e-05,-2.9989432732691057e-06,1.0201835948464577e-05
flickr,0,22,7781704682,2421206372,24042252744,6292577415,17962817298,5.6966644478961825e-05,6.0202975873835385e-05,6.982492777751759e-05,6.872852827655151e-05,0.00012728227011393756,6.0202975873835385e-05,8.150967551046051e-05,0.00012728227011393756,2.6687997865786932e-05,2.1306699636625126e-05,3.2363313948735595e-06,2.4543031031498685e-05
flickr,0,22,6400165863,4372139731,3776779354,7393755854,2411858936,3.1120267522055656e-05,5.142650843481533e-05,5.92329706705641e-05,4.067615736857988e-05,5.014442285755649e-05,4.067615736857988e-05,5.037001483287895e-05,5.92329706705641e-05,6.589573756874691e-06,9.693857464299072e-06,9.555889846524224e-06,1.9249747310823295e-05
flickr,0,22,11592634734,3807078485,9213152817,6837360244,3785226772,1.4598295820178464e-05,9.377853530168068e-06,1.527439962956123e-05,2.0791927454411052e-05,3.211918010492809e-05,9.377853530168068e-06,1.939084017976711e-05,3.211918010492809e-05,8.384191482338118e-06,1.0012986649599043e-05,-5.220442290010396e-06,4.792544359588646e-06
flickr,0,22,4839125742,8485534447,7568473960,9302649374,2817753005,4.61506970168557e-05,2.5070545234484598e-05,4.585039641824551e-05,4.5348191633820534e-05,2.658965422597248e-05,2.5070545234484598e-05,3.571469687813078e-05,4.585039641824551e-05,9.900770096210039e-06,1.0644151643646182e-05,-2.1080151782371104e-05,-1.0436000138724921e-05
