dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
flickr,16804898716,random4,0.62703514,0.5916362,4,0,False,,
flickr,16950760048,random4,0.7129523,0.547653,4,0,False,,
flickr,17140316339,random4,0.6362165,0.62817234,4,0,False,,
flickr,17537079145,random4,0.6155478,0.5746732,4,0,False,,
flickr,19306860381,random4,0.58913994,0.5536963,4,0,False,,
flickr,20854461578,random4,0.6755297,0.6404936,4,0,False,,
flickr,2401957951,random4,0.65212095,0.6623845,4,0,False,,
flickr,2404965389,random4,0.55935395,0.60272187,4,0,False,,
flickr,2432219254,random4,0.52875173,0.68884635,4,0,False,,
flickr,2462141223,random4,0.38214085,0.7040384,4,0,False,,
flickr,2465634368,random4,0.57033294,0.5667188,4,0,False,,
flickr,2499673064,random4,0.6370391,0.52182984,4,0,False,,
flickr,2509250774,random4,0.7234799,0.6076308,4,0,False,,
flickr,2542659118,random4,0.60325396,0.6182963,4,0,False,,
flickr,2630218696,random4,0.66878605,0.596301,4,0,False,,
flickr,2695985181,random4,0.60064095,0.63492733,4,0,False,,
flickr,2698329253,random4,0.6037086,0.53412604,4,0,False,,
flickr,2766580444,random4,0.627517,0.6314627,4,0,False,,
flickr,2778088729,random4,0.72413415,0.68209606,4,0,False,,
flickr,2808068937,random4,0.57775533,0.67470884,4,0,False,,
flickr,2811549163,random4,0.5723361,0.6761202,4,0,False,,
flickr,2819123278,random4,0.6087551,0.55438274,4,0,False,,
flickr,2858344348,random4,0.54880476,0.55650014,4,0,False,,
flickr,2895192729,random4,0.50695014,0.67332745,4,0,False,,
flickr,2897081671,random4,0.5621488,0.5130553,4,0,False,,
flickr,2897653916,random4,0.54270893,0.6242103,4,0,False,,
flickr,2907554899,random4,0.65286106,0.70155716,4,0,False,,
flickr,2935372113,random4,0.6942649,0.61720496,4,0,False,,
flickr,2961466546,random4,0.57920104,0.64515924,4,0,False,,
flickr,3012435981,random4,0.555572,0.57574874,4,0,False,,
flickr,3052033339,random4,0.59109974,0.59526014,4,0,False,,
flickr,3102685146,random4,0.59439445,0.5543609,4,0,False,,
flickr,3109408703,random4,0.68711996,0.60063475,4,0,False,,
flickr,3202731977,random4,0.6744623,0.6111134,4,0,False,,
flickr,3207674548,random4,0.6082009,0.5975554,4,0,False,,
flickr,3230152596,random4,0.5989744,0.5287772,4,0,False,,
flickr,3403348616,random4,0.613111,0.55984074,4,0,False,,
flickr,3413119417,random4,0.5498349,0.58659476,4,0,False,,
flickr,3416359816,random4,0.5414156,0.65850574,4,0,False,,
flickr,3484198977,random4,0.68737066,0.587055,4,0,False,,
flickr,3535748358,random4,0.6084949,0.6830728,4,0,False,,
flickr,3568893693,random4,0.601854,0.6427686,4,0,False,,
flickr,3668283413,random4,0.60147464,0.646033,4,0,False,,
flickr,3709678770,random4,0.6859659,0.6485499,4,0,False,,
flickr,3719297546,random4,0.69055825,0.6254212,4,0,False,,
flickr,3727937033,random4,0.662019,0.5790201,4,0,False,,
flickr,3749326537,random4,0.62113345,0.64500535,4,0,False,,
flickr,3790233127,random4,0.5846774,0.6188963,4,0,False,,
flickr,3801318146,random4,0.6069306,0.7706237,4,0,False,,
flickr,3828103578,random4,0.5762536,0.59800434,4,0,False,,
flickr,3896768873,random4,0.55174047,0.57968146,4,0,False,,
flickr,3908875350,random4,0.455132,0.68751115,4,0,False,,
flickr,3956341886,random4,0.54689664,0.602431,4,0,False,,
flickr,4007045926,random4,0.46640652,0.6039529,4,0,False,,
flickr,4041216001,random4,0.5881893,0.6234881,4,0,False,,
flickr,4180455681,random4,0.66573447,0.6053758,4,0,False,,
flickr,4303617148,random4,0.6285553,0.6484714,4,0,False,,
flickr,4351373013,random4,0.5374671,0.5335923,4,0,False,,
flickr,4407899725,random4,0.7608808,0.82698727,4,0,False,,
flickr,4479260803,random4,0.60462123,0.5445544,4,0,False,,
flickr,4543136011,random4,0.6290419,0.6861117,4,0,False,,
flickr,4576746825,random4,0.6562328,0.6711321,4,0,False,,
flickr,4646464908,random4,0.54478616,0.6260214,4,0,False,,
flickr,4657718822,random4,0.5609115,0.63410455,4,0,False,,
flickr,4717096777,random4,0.60364884,0.54910153,4,0,False,,
flickr,4755507106,random4,0.7161432,0.61012405,4,0,False,,
flickr,4758950312,random4,0.68133414,0.7121491,4,0,False,,
flickr,4767923306,random4,0.61147416,0.5183308,4,0,False,,
flickr,4876943924,random4,0.6512992,0.5571793,4,0,False,,
flickr,4938432980,random4,0.61187637,0.6219073,4,0,False,,
flickr,4957886467,random4,0.5935806,0.48363706,4,0,False,,
flickr,4965189170,random4,0.6876286,0.6760185,4,0,False,,
flickr,5006362787,random4,0.53685427,0.5522551,4,0,False,,
flickr,5130986168,random4,0.73237276,0.66296566,4,0,False,,
flickr,5179649119,random4,0.5396562,0.6533975,4,0,False,,
flickr,5194793239,random4,0.5493623,0.5923832,4,0,False,,
flickr,5220919991,random4,0.5438173,0.6260949,4,0,False,,
flickr,5237296528,random4,0.72630024,0.6087901,4,0,False,,
flickr,5303633386,random4,0.61782604,0.69957757,4,0,False,,
flickr,5344317532,random4,0.5627734,0.6555886,4,0,False,,
flickr,5480070309,random4,0.6534816,0.6053146,4,0,False,,
flickr,5490101320,random4,0.6253091,0.6116095,4,0,False,,
flickr,5601291878,random4,0.63525224,0.6267422,4,0,False,,
flickr,5607310495,random4,0.63915753,0.5593664,4,0,False,,
flickr,5697766486,random4,0.48418826,0.6871033,4,0,False,,
flickr,5801923729,random4,0.6875757,0.6613699,4,0,False,,
flickr,5873098388,random4,0.63442796,0.55627054,4,0,False,,
flickr,5906878321,random4,0.6103604,0.6931124,4,0,False,,
flickr,5991393107,random4,0.66,0.58493763,4,0,False,,
flickr,6067281197,random4,0.5263939,0.632219,4,0,False,,
flickr,6098668510,random4,0.6598457,0.6192825,4,0,False,,
flickr,6158154336,random4,0.60313165,0.5866463,4,0,False,,
flickr,6185482260,random4,0.577991,0.536223,4,0,False,,
flickr,6289328021,random4,0.6194609,0.52176875,4,0,False,,
flickr,6458319057,random4,0.6033604,0.5607349,4,0,False,,
flickr,6669466181,random4,0.66268164,0.536654,4,0,False,,
flickr,6755812421,random4,0.617419,0.5231301,4,0,False,,
flickr,6897499873,random4,0.6680629,0.5579724,4,0,False,,
flickr,7178293884,random4,0.6663352,0.6029131,4,0,False,,
flickr,7387939334,random4,0.59606636,0.54393125,4,0,False,,
flickr,7560517176,random4,0.66147053,0.72253555,4,0,False,,
flickr,7623513024,random4,0.66219985,0.5426834,4,0,False,,
flickr,7733838448,random4,0.5603446,0.5255161,4,0,False,,
flickr,7740990330,random4,0.6643247,0.68823045,4,0,False,,
flickr,7897462346,random4,0.62182623,0.5396984,4,0,False,,
flickr,8250285374,random4,0.59055924,0.60056645,4,0,False,,
flickr,8294094053,random4,0.6217853,0.46388423,4,0,False,,
flickr,8311669586,random4,0.5523924,0.61555845,4,0,False,,
flickr,8396975855,random4,0.5287947,0.60258025,4,0,False,,
flickr,9060997789,random4,0.7017821,0.6076261,4,0,False,,
flickr,9309351423,random4,0.6033256,0.5938687,4,0,False,,
flickr,9456627660,random4,0.7173779,0.66453487,4,0,False,,
flickr,9636000842,random4,0.60476524,0.58176845,4,0,False,,
flickr,9761803312,random4,0.57389724,0.6078789,4,0,False,,
flickr,10000130166,top4_confusing,0.5986312,0.6238251,4,0,False,,
flickr,10007936344,top4_confusing,0.6538092,0.6772118,4,0,False,,
flickr,10008553263,top4_confusing,0.6691097,0.7010319,4,0,False,,
flickr,10009662863,top4_confusing,0.65003085,0.54055756,4,0,False,,
flickr,10013411946,top4_confusing,0.69160914,0.61005,4,0,False,,
flickr,10016382545,top4_confusing,0.76675344,0.6415671,4,0,False,,
flickr,10031203703,top4_confusing,0.47297648,0.5714635,4,0,False,,
flickr,10035917404,top4_confusing,0.6197937,0.6946216,4,0,False,,
flickr,10045181004,top4_confusing,0.56946707,0.6664931,4,0,False,,
flickr,10060697266,top4_confusing,0.72592115,0.5947483,4,0,False,,
flickr,10061269855,top4_confusing,0.52334064,0.69347024,4,0,False,,
