dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
vggss,09NfjFeq2cs_000078,random4,0.6416131,0.5694476,4,0,True,0.0,4
vggss,09pZj6CEvRw_000250,random4,0.5549331,0.63814145,4,0,True,0.0,4
vggss,0CEsVHHkwww_000030,random4,0.66388464,0.59897995,4,0,True,0.0,4
vggss,0CzC0-cXe8M_000030,random4,0.5149982,0.5582566,4,0,True,0.0,4
vggss,0Dt2-TtqvJU_000030,random4,0.51431376,0.5935182,4,0,True,0.0,4
vggss,0E6KS8B6DMc_000540,random4,0.63450843,0.5624791,4,0,True,0.0,4
vggss,0EOQco76eXQ_000030,random4,0.702806,0.64701074,4,0,True,0.0,4
vggss,0F04c_rY4aw_000000,random4,0.5545106,0.61802083,4,0,True,0.0,4
vggss,0FEd3Pd-ksw_000397,random4,0.59102416,0.51740694,4,0,True,0.0,4
vggss,0FHSJnza9P8_000046,random4,0.54501843,0.6064443,4,0,True,0.0,4
vggss,0G50t4FlbIA_000060,random4,0.69333416,0.5939309,4,0,True,0.0,4
vggss,0H814XXq-WQ_000030,random4,0.61523473,0.53351474,4,0,True,0.0,4
vggss,0HBJuYt2Eys_000032,random4,0.5770847,0.62475204,4,0,True,0.0,4
vggss,0HXYdGGKV2k_000030,random4,0.6216071,0.57822484,4,0,True,0.0,4
vggss,0IqPUUWnnd8_000085,random4,0.58227277,0.7040387,4,0,True,0.0,4
vggss,0Iy18mslB4A_000170,random4,0.5312381,0.6894576,4,0,True,0.0,4
vggss,0IzhjqyDzt8_000000,random4,0.56943667,0.52725893,4,0,True,0.0,4
vggss,0JkiTl-4B5E_000017,random4,0.6032132,0.5553649,4,0,True,0.0,4
vggss,0K92tp-4GEk_000108,random4,0.6067211,0.54537135,4,0,True,0.0,4
vggss,0LwSy-xZSPw_000112,random4,0.5502763,0.5640991,4,0,True,0.0,4
vggss,0MU2SG5ME1E_000016,random4,0.60553175,0.6348483,4,0,True,0.0,4
vggss,0N0C0Wbe6AI_000030,random4,0.6590723,0.66688937,4,0,True,0.0,4
vggss,0NIE-eDk92M_000029,random4,0.5165814,0.61559415,4,0,True,0.0,4
vggss,0NLXz4JgvcQ_000096,random4,0.65557396,0.6266462,4,0,True,0.0,4
vggss,0NQXsEwBqAk_000136,random4,0.6001663,0.5778206,4,0,True,0.0,4
vggss,0O-gZoirpRA_000030,random4,0.6437344,0.6128487,4,0,True,0.0,4
vggss,0OH28bnOdEE_000058,random4,0.6773685,0.6217986,4,0,True,0.0,4
vggss,0OLYyjqNdn4_000352,random4,0.592048,0.623983,4,0,True,0.0,4
vggss,0Olm321vgk8_000030,random4,0.6656535,0.57759315,4,0,True,0.0,4
vggss,0PHUQku2P5I_000050,random4,0.5937006,0.5609533,4,0,True,0.0,4
vggss,0QSPtpp1HN8_000030,random4,0.5300756,0.7123552,4,0,True,0.0,4
vggss,0QabiRBcEKc_000050,random4,0.5554552,0.57264644,4,0,True,0.0,4
vggss,0RZRFj7zDnQ_000030,random4,0.65578,0.6163044,4,0,True,0.0,4
vggss,0Rqa18lmDtw_000153,random4,0.53266525,0.5944195,4,0,True,0.0,4
vggss,0T966F09Q_8_000000,random4,0.5124835,0.57827514,4,0,True,0.0,4
vggss,0TSOlaZXXM8_000080,random4,0.64314425,0.61843026,4,0,True,0.0,4
vggss,0U9_6RyH3_M_000030,random4,0.6166944,0.59030056,4,0,True,0.0,4
