dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
vggss,C0,12345,best,113,02UvvE1oA1I_000030,0.1559438775510204
vggss,C0,12345,best,114,030h_KwNm-g_000003,0.12436224489795922
vggss,C0,12345,best,115,04QV0Xi5YTk_000030,-0.014693877551020404
vggss,C0,12345,best,116,052VMqTM4Xs_000000,-0.13153061224489798
vggss,C0,12345,best,117,064Ilsz8Fzg_000051,0.04452806122448981
vggss,C0,12345,best,118,06si40RVDco_000030,-0.11223214285714286
vggss,C0,12345,best,119,076qdKSC8nU_000030,0.20852040816326534
vggss,C0,12345,best,120,077aWlQn6XI_000030,-0.0009056122448979631
vggss,C0,12345,best,121,09NfjFeq2cs_000078,0.3108673469387755
vggss,C0,12345,best,122,09pZj6CEvRw_000250,-0.03589285714285714
vggss,C0,12345,best,123,0CEsVHHkwww_000030,-0.26950255102040815
vggss,C0,12345,best,124,0CzC0-cXe8M_000030,0.04761479591836737
vggss,C0,12345,best,125,0Dt2-TtqvJU_000030,-0.10952806122448983
vggss,C0,12345,best,126,0E6KS8B6DMc_000540,0.1544642857142857
vggss,C0,12345,best,127,0EOQco76eXQ_000030,0.41854591836734695
vggss,C0,12345,best,128,0F04c_rY4aw_000000,-0.1810969387755102
vggss,C0,12345,best,129,0FEd3Pd-ksw_000397,-0.06881377551020407
vggss,C0,12345,best,130,0FHSJnza9P8_000046,0.06795918367346937
vggss,C0,12345,best,131,0G50t4FlbIA_000060,0.00022959183673468275
vggss,C0,12345,best,132,0H814XXq-WQ_000030,-0.10040816326530612
vggss,C0,12345,best,133,0HBJuYt2Eys_000032,-0.1241326530612245
vggss,C0,12345,best,134,0HXYdGGKV2k_000030,-0.20786989795918367
vggss,C0,12345,best,135,0IqPUUWnnd8_000085,-0.17280612244897958
vggss,C0,12345,best,136,0Iy18mslB4A_000170,-0.3681760204081632
vggss,C0,12345,best,137,0IzhjqyDzt8_000000,-0.07024234693877551
vggss,C0,12345,best,138,0JkiTl-4B5E_000017,0.4169387755102041
vggss,C0,12345,best,139,0K92tp-4GEk_000108,-0.14858418367346937
vggss,C0,12345,best,140,0LwSy-xZSPw_000112,-0.10020408163265308
vggss,C0,12345,best,141,0MU2SG5ME1E_000016,-0.04434948979591837
vggss,C0,12345,best,142,0N0C0Wbe6AI_000030,-0.23817602040816324
vggss,C0,12345,best,143,0NIE-eDk92M_000029,0.15492346938775511
vggss,C0,12345,best,144,0NLXz4JgvcQ_000096,0.29026785714285713
vggss,C0,12345,best,145,0NQXsEwBqAk_000136,-0.3665688775510204
vggss,C0,12345,best,146,0O-gZoirpRA_000030,-0.1104719387755102
vggss,C0,12345,best,147,0OH28bnOdEE_000058,-0.02965561224489796
vggss,C0,12345,best,148,0OLYyjqNdn4_000352,-0.4281632653061225
vggss,C0,12345,best,149,0Olm321vgk8_000030,0.06198979591836734
vggss,C0,12345,best,150,0PHUQku2P5I_000050,-0.18352040816326531
vggss,C0,12345,best,151,0QSPtpp1HN8_000030,-0.020714285714285685
vggss,C0,12345,best,152,0QabiRBcEKc_000050,-0.29488520408163266
vggss,C0,12345,best,153,0RZRFj7zDnQ_000030,-0.07469387755102042
vggss,C0,12345,best,154,0Rqa18lmDtw_000153,-0.2192474489795918
vggss,C0,12345,best,155,0T966F09Q_8_000000,-0.2679464285714286
vggss,C0,12345,best,156,0TSOlaZXXM8_000080,0.40645408163265306
vggss,C0,12345,best,157,0U9_6RyH3_M_000030,0.4028188775510204
vggss,C0,12345,best,158,0UF1FHDPM1A_000030,0.099375
vggss,C0,12345,best,159,0UeEkqkZmvo_000160,-0.015956632653061215
vggss,C0,12345,best,160,0W1En_XsDnM_000000,-0.043329081632653046
vggss,C0,12345,best,161,0W_wPc-zV3I_000101,-0.26108418367346936
vggss,C0,12345,best,162,0Wkk9iNzA9c_000030,-0.22599489795918365
vggss,C0,12345,best,163,0Wxl_LzqguI_000288,0.015267857142857149
vggss,C0,12345,best,164,0XDEooC1h7s_000000,-0.26029336734693875
vggss,C0,12345,best,165,0YTieIiZNN4_000010,0.38637755102040816
vggss,C0,12345,best,166,0ZxpQ87jdgQ_000037,-0.12799744897959187
vggss,C0,12345,best,167,0_9-dbUW0hU_000030,-0.5771811224489796
vggss,C0,12345,best,168,0_B2YnBAz3A_000220,-0.03377551020408163
vggss,C0,12345,best,169,0apGJGFHQO4_000067,-0.2495535714285714
vggss,C0,12345,best,170,0bBJkY4_zs8_000033,-0.20825255102040816
vggss,C0,12345,best,171,0bobzCB2ObQ_000076,-0.1738392857142857
vggss,C0,12345,best,172,0eA2QcSRgh0_000063,0.19785714285714284
vggss,C0,12345,best,173,0eDN0YmnJRY_000002,0.14030612244897958
vggss,C0,12345,best,174,0g_-KI5NZ-E_000030,0.026122448979591845
vggss,C0,12345,best,175,0glBUluF4Yk_000175,0.10233418367346939
vggss,C0,12345,best,176,0hfU27A6tus_000070,-0.07456632653061224
vggss,C0,12345,best,177,0hjqlmdPT6g_000050,-0.13713010204081633
vggss,C0,12345,best,178,0iX0QmnbrK4_000085,-0.04700255102040818
vggss,C0,12345,best,179,0jy-sVREk4o_000030,-0.017079081632653065
vggss,C0,12345,best,180,0kQkVbOikzQ_000004,-0.21512755102040815
vggss,C0,12345,best,181,0m9-5BkL4Mc_000030,-0.16686224489795914
vggss,C0,12345,best,182,0mNvPaqfwUI_000220,-0.09234693877551023
vggss,C0,12345,best,183,0n-Z2AQCRnU_000385,0.23008928571428572
vggss,C0,12345,best,184,0n56ajMNoMA_000118,-0.1738137755102041
vggss,C0,12345,best,185,0nYltlo90Zc_000147,0.0857142857142857
vggss,C0,12345,best,186,0nYltlo90Zc_000161,-0.12118622448979588
vggss,C0,12345,best,187,0nvBTp-q7tU_000112,-0.10591836734693877
vggss,C0,12345,best,188,0oTdsarJHA4_000220,-0.17860969387755105
vggss,C0,12345,best,189,0olhNr566Z0_000018,-0.27918367346938777
vggss,C0,12345,best,190,0q5kQGcOn2I_000083,0.15974489795918367
vggss,C0,12345,best,191,0q6GOUn_dhU_000066,0.11404336734693878
vggss,C0,12345,best,192,0q9FUj_2qMc_000539,0.11839285714285712
vggss,C0,12345,best,193,0sT6vnChbrc_000000,0.05198979591836734
vggss,C0,12345,best,194,0slFEpnTKkY_000115,0.35860969387755104
vggss,C0,12345,best,195,0teMcpgy9Jo_000058,-0.1564413265306122
vggss,C0,12345,best,196,0ti14lvd2Aw_000000,-0.2145408163265306
vggss,C0,12345,best,197,0w9PLY1owzk_000108,-0.2973341836734694
vggss,C0,12345,best,198,0wdNFZhpdQw_000368,-0.15168367346938777
vggss,C0,12345,best,199,0welW-8hB1c_000071,0.0003188775510204189
vggss,C0,12345,best,200,0wzsE67O5tE_000230,0.025471938775510183
vggss,C0,12345,best,201,0x9TnOQ5Nhw_000020,-0.024897959183673463
vggss,C0,12345,best,202,0xPWkrfjMu0_000178,0.06811224489795917
vggss,C0,12345,best,203,0yxJzCQW5zI_000030,0.09816326530612245
vggss,C0,12345,best,204,10YXuv9Go0E_000140,-0.3549107142857143
vggss,C0,12345,best,205,10aBef0Ghkc_000040,-0.14679846938775518
vggss,C0,12345,best,206,10aF24rMeu0_000030,-0.13145408163265304
vggss,C0,12345,best,207,10hGfv89L3g_000030,0.1899107142857143
vggss,C0,12345,best,208,115l3adqQ1M_000417,-0.0016198979591836582
vggss,C0,12345,best,209,126AbihZt28_000009,-0.03934948979591836
vggss,C0,12345,best,210,12T-9dLEbY8_000020,0.4420918367346939
vggss,C0,12345,best,211,130v5XJl8G0_000070,0.14994897959183673
vggss,C0,12345,best,212,13W_9xdaOZE_000068,0.018673469387755104
vggss,C0,12345,best,213,14jcqHjMXcI_000000,-0.10871173469387753
vggss,C0,12345,best,214,14lBeX_dOHU_000234,-0.2009183673469388
vggss,C0,12345,best,215,14tRPoQA4q0_000004,0.07150510204081634
vggss,C0,12345,best,216,15Mw2jyyHk0_000030,-0.11690051020408165
vggss,C0,12345,best,217,15pi8h_bHQE_000173,0.18552295918367348
vggss,C0,12345,best,218,169a2JSphHA_000269,0.47170918367346937
vggss,C0,12345,best,219,16CvcIXIjzQ_000332,0.012678571428571456
vggss,C0,12345,best,220,17K-oEuH1p0_000020,-0.06909438775510204
vggss,C0,12345,best,221,17WW_p1N7BQ_000030,0.08711734693877551
vggss,C0,12345,best,222,17yDXvJTdeo_000603,0.2607780612244898
vggss,C0,12345,best,223,18212B4yfLg_000080,0.017436224489795926
vggss,C0,12345,best,224,18r-Vtspi8g_000030,0.34235969387755105
vggss,C0,12345,best,225,190Zx0wVrhQ_000003,0.09196428571428572
vggss,C0,12345,best,226,19r6_MQei4M_000119,-0.18852040816326532
vggss,C0,12345,best,227,1ACn3u5UnBw_000030,-0.13191326530612243
vggss,C0,12345,best,228,1CZ-bybGzu4_000030,0.04295918367346939
vggss,C0,12345,best,229,1D6UsaTflJ8_000060,-0.34581632653061223
vggss,C0,12345,best,230,1ETrMAVZdY8_000030,-0.04809948979591837
vggss,C0,12345,best,231,1ErGsKIlhAI_000051,0.02802295918367348
vggss,C0,12345,best,232,1F3_bvIT0ig_000000,0.1911734693877551
vggss,C0,12345,best,233,1F9zCsJyw6k_000230,-0.14707908163265304
vggss,C0,12345,best,234,1FWUnWVX5Xk_000159,0.02594387755102042
vggss,C0,12345,best,235,1FnA3w94zXI_000030,0.04419642857142856
vggss,C0,12345,best,236,1GDAnA4hAqQ_000105,0.08246173469387758
vggss,C0,12345,best,237,1HUCwslugK8_000283,-0.14632653061224488
vggss,C0,12345,best,238,1Isq_KJHriU_000016,0.38783163265306125
vggss,C0,12345,best,239,1JY4rwQZn3s_000011,0.03266581632653061
