sample_id,sample_index,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou,group,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes
_bAVmK7n0fs_000130,3312,0.06403459821428571,1,0,443,832,2673,0.17257984170033763,0.8251741528511047,0.7266306281089783,0.09854352474212646,0.6448974609375,0.9704326391220093,0.17349209882038727,0.35817920918367346,0.9880730626409122,0.14434551998484563,0.6977856159210205,0.635462760925293,0.06232285499572754,0.5751953125,0.7114846110343933,0.1533199195171026,0.29715401785714285,0.9851364277138837,-0.028234321715492006,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
_bBUW5C5yW4_000053,3313,0.17633928571428573,1,0,0,388,2538,0.37504313319530713,0.8559212684631348,0.7131943702697754,0.14272689819335938,0.833984375,0.9827079772949219,0.377534627241544,0.45900430484693877,0.9908362027836357,0.4023539668700959,0.7889959812164307,0.6662182807922363,0.12277770042419434,0.7939300537109375,0.9388562440872192,0.4131808007958219,0.4006895727040816,0.986792690517633,0.02731083367478876,B_close,OVER,,,PERSISTENT_OVER,large,Q2,,
_bIE0Cnyaf4_000056,3314,0.23580994897959184,1,0,335,883,264,0.583516139141335,0.7330389618873596,0.6165534257888794,0.11648553609848022,0.7143096923828125,0.7868492007255554,0.693069306930693,0.26771763392857145,0.9891468094370227,0.525833021340322,0.7099258303642273,0.5767123699188232,0.13321346044540405,0.714447021484375,0.712221086025238,0.6676966959828856,0.2515345982142857,0.982285174425246,-0.057683117801013095,transition,GOOD,,,,large,Q2,,
_bkX5VkZg8U_000189,3315,0.5014150191326531,1,1065,0,528,40,0.632352360260715,0.65473872423172,0.46946942806243896,0.185269296169281,0.8312149047851562,0.6362733244895935,0.9903489235337788,0.3221460459183674,0.9882416230890461,0.6545994065281899,0.6671212315559387,0.45223259925842285,0.21488863229751587,0.8566741943359375,0.6576175689697266,0.9930376327951503,0.33205117984693877,0.9852839291201441,0.02224704626747498,B_close,GOOD,,,,very_large,Q4,,
_cES7Twcq18_000006,3316,0.5395408163265306,1,188,0,1412,1048,0.7026956036379157,0.7678530216217041,0.6483546495437622,0.1194983720779419,0.7187652587890625,0.7905585169792175,0.8634364787993707,0.49400111607142855,0.9878321612999827,0.6861164949505254,0.7296192049980164,0.565331757068634,0.16428744792938232,0.773406982421875,0.7453457713127136,0.8962025316455696,0.4487205038265306,0.9856310068019001,-0.01657910868739032,B_close,GOOD,,,,very_large,Q4,,
_cb_U_z_Ct0_000030,3317,0.641242825255102,1,183,0,991,495,0.5542717509351998,0.6271705627441406,0.4820480942726135,0.1451224684715271,0.7056427001953125,0.5710334181785583,0.9497053654502222,0.385562818877551,0.9894721231717379,0.5379291336171256,0.6005517244338989,0.44976699352264404,0.15078473091125488,0.7047119140625,0.545920729637146,0.9735077315302333,0.35959422831632654,0.9857668772728998,-0.016342617318074182,B_close,GOOD,,,,very_large,Q4,,
_dlpgziE7CU_000010,3318,0.8173828125,1,872,0,5763,658,0.556059993819971,0.6139056086540222,0.4047546982765198,0.20915091037750244,0.7759246826171875,0.5704045295715332,0.9567315557009651,0.48732461734693877,0.9899559524559528,0.4467920701229083,0.5506254434585571,0.4151015877723694,0.13552385568618774,0.7123260498046875,0.4511496424674988,0.9788393376712691,0.37673389668367346,0.9909937490885303,-0.10926792369706267,C_aud_better,GOOD,,,,very_large,Q4,,
_eBYRnly4m8_000097,3319,0.15784438775510204,1,0,194,274,999,0.5810456508328192,0.8244279623031616,0.6699830889701843,0.1544448733329773,0.8267364501953125,0.9513888955116272,0.598823809902249,0.25077726403061223,0.986194930935751,0.596974430650333,0.8176853060722351,0.6497988104820251,0.16788649559020996,0.8472137451171875,0.9167929291725159,0.6311717663421419,0.22927295918367346,0.9841343169054014,0.015928779817513727,B_close,GOOD,,,,large,Q2,,
_eLVrgvrVBQ_000020,3320,0.3794642857142857,1,459,731,258,2186,0.4960297478405702,0.6639282703399658,0.6759912371635437,-0.01206296682357788,0.4931488037109375,0.672584056854248,0.6539345350559158,0.39028619260204084,0.9940211405558506,0.5339052622937361,0.675722599029541,0.6548659801483154,0.020856618881225586,0.5667266845703125,0.683140754699707,0.7096404604724753,0.3652941645408163,0.9912999422705822,0.03787551445316595,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,very_large,Q3,,
_fTONy_pqik_000030,3321,0.06295838647959184,1,0,2330,0,1744,0.11419585728229042,0.8994947671890259,0.8261306881904602,0.07336407899856567,0.7382659912109375,1.0,0.11419585728229042,0.5513193558673469,0.9919878416007344,0.11182696732627703,0.9175547957420349,0.8393622636795044,0.07819253206253052,0.7268524169921875,1.0,0.11182696732627703,0.5629982461734694,0.9894105320827439,-0.0023688899560133925,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
