dataset,state,batch,term,loss,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
flickr,epoch1,0,base_view_b,0.0011038804659619927,0.0008523505606126371,0.0009841574157779414,3.9366296631117656e-08,0.0005583829132559698,1.1546392543821014,-0.8245100794236288,2.2524677780216326e-08
flickr,epoch1,1,base,0.00101463811006397,0.0005168860014049102,0.0009864838730676779,3.945935492270711e-08,0.0005523274346912212,1.9085134253711415,-0.9170979770222878,1.775066222309122e-08
flickr,epoch1,1,coarse,0.0004507640842348337,0.0007241514773216524,0.0009864838730676779,3.945935492270711e-08,0.001271857845957422,1.3622617697560853,0.08404442788265398,2.7520019154106852e-08
flickr,epoch1,1,equiv,0.0005638740258291364,0.0008255584006027317,0.0009864838730676779,3.945935492270711e-08,0.0007741872575156881,1.1949292410415255,-0.6479194082290048,2.529162043752662e-08
flickr,epoch1,1,positive_half,0.00020440360822249204,0.0005737446453074064,0.0009864838730676779,3.945935492270711e-08,0.0006409598199155002,1.7193779168764705,-0.7875617160505309,2.2886411486718898e-08
flickr,epoch1,1,negative_half,-0.0008817222551442683,0.001481159510663301,0.0009864838730676779,3.945935492270711e-08,0.0024504665267765617,0.666021360944376,0.9710918624616975,2.845248667492356e-08
flickr,epoch1,1,base_view_a,0.00101463811006397,0.0005248594818105517,0.0009864838730676779,3.945935492270711e-08,0.001195585305244347,1.8795199615422968,0.17459288437018625,2.646403990319891e-08
flickr,epoch1,1,base_view_b,0.00101463811006397,0.0007053345071620778,0.0009864838730676779,3.945935492270711e-08,0.0005954787228677886,1.3986042977491744,-0.8019908728748429,2.3733003290685825e-08
flickr,epoch1,2,base,0.0011009150184690952,0.0008250985770053516,0.0010011600384108208,4.004640153643283e-08,0.00033423531959720704,1.2133823355319242,-0.9511439673887413,1.4511833891328154e-08
flickr,epoch1,2,coarse,0.0004774110857397318,0.0006616812633630988,0.0010011600384108208,4.004640153643283e-08,0.0010122421103068088,1.5130548405168192,-0.31361623920205417,2.6812317237996086e-08
flickr,epoch1,2,equiv,0.0006235039327293634,0.0009517163664337602,0.0010011600384108208,4.004640153643283e-08,0.0008672922298441593,1.0519521085492458,-0.6065621916027994,2.5770840562940338e-08
flickr,epoch1,2,positive_half,0.0002857512445189059,0.0007855596358986712,0.0010011600384108208,4.004640153643283e-08,0.0005917422634722038,1.2744545323608758,-0.8069379509805306,2.177775986955083e-08
flickr,epoch1,2,negative_half,-0.0009081411408260465,0.001699615959390038,0.0010011600384108208,4.004640153643283e-08,0.002676737839700906,0.589050739891922,0.9620161991389511,2.8267981222176043e-08
flickr,epoch1,2,base_view_a,0.0011009150184690952,0.0003661870377464213,0.0010011600384108208,4.004640153643283e-08,0.0009374463001682023,2.734012772740766,-0.3513372774442476,2.4517311327983148e-08
flickr,epoch1,2,base_view_b,0.0011009150184690952,0.0008012231921405256,0.0010011600384108208,4.004640153643283e-08,0.0005748852009820871,1.249539514371956,-0.818913361010073,2.348707423399975e-08
flickr,epoch1,3,base,0.0011377950431779027,0.0010105878362654714,0.0007824008971982511,3.129603588793004e-08,0.00032879889257268324,0.7742037546083447,-0.9645627243056615,1.3017294467731686e-08
flickr,epoch1,3,coarse,0.0005116001702845097,0.0007234084934452083,0.0007824008971982511,3.129603588793004e-08,0.0007271087156774912,1.081547845080023,-0.5360325098907976,2.64767121881562e-08
flickr,epoch1,3,equiv,0.000626194872893393,0.0009035434817967079,0.0007824008971982511,3.129603588793004e-08,0.000714138268550661,0.8659250085479414,-0.6496713416283609,2.516064961548083e-08
flickr,epoch1,3,positive_half,0.00033082408481277525,0.0008035789484283767,0.0007824008971982511,3.129603588793004e-08,0.00044585952136850273,0.9736453384305982,-0.8422652992248862,2.2205705508748233e-08
flickr,epoch1,3,negative_half,-0.0009000329300761223,0.0015221659492265678,0.0007824008971982511,3.129603588793004e-08,0.002283099175540127,0.5140049924226718,0.9586519161367089,2.7975414047993327e-08
flickr,epoch1,3,base_view_a,0.0011377950431779027,0.00043545752399986177,0.0007824008971982511,3.129603588793004e-08,0.000650102320932461,1.7967329855999903,-0.5564114586833193,2.4147614967598365e-08
flickr,epoch1,3,base_view_b,0.0011377950431779027,0.0008736030796792385,0.0007824008971982511,3.129603588793004e-08,0.0004786905778603805,0.8956022653737963,-0.838460643407383,2.066897610126912e-08
flickr,late,0,base,0.0033738105557858944,0.008392895478880842,0.008631640852455056,3.452656340982022e-07,0.0013430341113036843,1.028446127343653,-0.9879442728750848,1.0955782352542862e-08
flickr,late,0,coarse,0.002211177721619606,0.0064104293277812445,0.008631640852455056,3.452656340982022e-07,0.002929721420608181,1.346499650974642,-0.9670222255909613,1.1547256591451029e-08
flickr,late,0,equiv,0.0011626328341662884,0.0024750385091715527,0.008631640852455056,3.452656340982022e-07,0.00667118337252998,3.487477394985764,-0.8455100791465104,2.4975989511543553e-08
flickr,late,0,positive_half,0.0013573885662481189,0.004859597961906509,0.008631640852455056,3.452656340982022e-07,0.004756476595656847,1.7762047231307805,-0.8999225059157608,1.9496493719774767e-08
flickr,late,0,negative_half,-0.0059710158966481686,0.01317638091989726,0.008631640852455056,3.452656340982022e-07,0.021740033548229478,0.6550843440948699,0.9869838370752497,2.856661515977601e-08
flickr,late,0,base_view_a,0.0033738105557858944,0.0058196191924838065,0.008631640852455056,3.452656340982022e-07,0.0032343827656822416,1.4831968496500683,-0.9745807234457282,1.3300873049273553e-08
flickr,late,0,base_view_b,0.0033738105557858944,0.002816436514738194,0.008631640852455056,3.452656340982022e-07,0.006099780342718022,3.0647382986573093,-0.9302621680033416,1.7886575685881842e-08
flickr,late,1,base,0.002844768576323986,0.006449462900197814,0.009177294675991262,3.6709178703965047e-07,0.0031705548631675074,1.42295487515864,-0.9779404227057104,9.294022276958399e-09
flickr,late,1,coarse,0.0017328883986920118,0.004747640480746324,0.009177294675991262,3.6709178703965047e-07,0.005034229813389913,1.9330222482534316,-0.9343405045444496,1.7434311024153895e-08
flickr,late,1,equiv,0.0011118800612166524,0.002294212022662772,0.009177294675991262,3.6709178703965047e-07,0.0074256172056342724,4.000194657396858,-0.8156473635425929,2.4698093232824453e-08
flickr,late,1,positive_half,0.0008846914279274642,0.0030272890936722946,0.009177294675991262,3.6709178703965047e-07,0.007195986250142716,3.0315223924843657,-0.7487674282583517,2.266138019057294e-08
flickr,late,1,negative_half,-0.005553865805268288,0.011618603196823106,0.009177294675991262,3.6709178703965047e-07,0.020718708992038412,0.7898793444035187,0.9849735258537091,2.8958629867795927e-08
flickr,late,1,base_view_a,0.002844768576323986,0.004854935015419787,0.009177294675991262,3.6709178703965047e-07,0.004694290059750705,1.8903022691020999,-0.9623661386494715,1.7311511181265715e-08
flickr,late,1,base_view_b,0.002844768576323986,0.0018858761479784215,0.009177294675991262,3.6709178703965047e-07,0.007600667584646243,4.866329470166389,-0.8669526959094809,3.149180693317612e-08
flickr,late,2,base,0.003322407603263855,0.008216462480773156,0.008148978076808587,3.259591230723435e-07,0.002216307736670673,0.9917866838529981,-0.9633529294953936,1.4446572531856163e-08
flickr,late,2,coarse,0.002024355810135603,0.006039745166645694,0.008148978076808587,3.259591230723435e-07,0.003304342278849014,1.3492254808714557,-0.9342735669384116,1.682544449509454e-08
flickr,late,2,equiv,0.001298051793128252,0.002759402152550823,0.008148978076808587,3.259591230723435e-07,0.00608128537475322,2.9531679785331684,-0.823570341394788,2.5419993127547362e-08
flickr,late,2,positive_half,0.0012966359499841928,0.0045250723224289835,0.008148978076808587,3.259591230723435e-07,0.005243682039047881,1.8008503502623248,-0.805239059398874,2.2558704949194007e-08
flickr,late,2,negative_half,-0.005590544547885656,0.012094121806719347,0.008148978076808587,3.259591230723435e-07,0.020121408058271218,0.6737965936709116,0.9750796826004595,2.86700550043763e-08
flickr,late,2,base_view_a,0.003322407603263855,0.005976363195138462,0.008148978076808587,3.259591230723435e-07,0.0033262193495367178,1.3635346130632526,-0.9348735464576974,2.0569591515052843e-08
flickr,late,2,base_view_b,0.003322407603263855,0.00260006041937768,0.008148978076808587,3.259591230723435e-07,0.0059347370661820475,3.1341495051715107,-0.895444324471966,1.9337849294967785e-08
flickr,late,3,base,0.0034965367522090673,0.008588118859142775,0.008348621521454899,3.33944860858196e-07,0.0016937604105540618,0.9721129456152192,-0.9803939583577188,1.2725083873052467e-08
flickr,late,3,coarse,0.002215183340013027,0.006413591017610641,0.008348621521454899,3.33944860858196e-07,0.0030092290208257482,1.3017078105746047,-0.9504047851307941,1.4553473374796154e-08
flickr,late,3,equiv,0.0012813534121960402,0.0027189397025091907,0.008348621521454899,3.33944860858196e-07,0.00618740251764232,3.070543092129009,-0.8548280359121233,2.6097244682935336e-08
flickr,late,3,positive_half,0.0012393462238833308,0.004035703242977546,0.008348621521454899,3.33944860858196e-07,0.0050061800412158205,2.0686906392292803,-0.9041246089893904,2.116304119906083e-08
flickr,late,3,negative_half,-0.005620468873530626,0.012120661658071559,0.008348621521454899,3.33944860858196e-07,0.02041893939324956,0.6887925558003898,0.9898287820940678,2.8487415400131282e-08
flickr,late,3,base_view_a,0.0034965367522090673,0.006108574409663067,0.008348621521454899,3.33944860858196e-07,0.002769376896433671,1.3667053819052009,-0.9740026256838911,1.1813650252379254e-08
flickr,late,3,base_view_b,0.0034965367522090673,0.0027228818919781744,0.008348621521454899,3.33944860858196e-07,0.005989310380037343,3.066097558638367,-0.9071169543921339,1.6380187658391548e-08
