dataset,batch,weighted_loss,parameter_group,gradient_l2
flickr,2,div_aud,audio_backbone,0.07063390095197196
flickr,2,div_aud,audio_slot_branch,0.01041436499303596
flickr,2,div_aud,shared_slots,8.874188101706874e-05
flickr,2,div_aud,image_decoder,0.0
flickr,2,div_aud,audio_decoder,0.0
flickr,2,att_space,visual_backbone,0.11411346100323692
flickr,2,att_space,visual_l3_slot_branch,0.0
flickr,2,att_space,visual_l4_slot_branch,0.00787062291027965
flickr,2,att_space,visual_fusion,0.0
flickr,2,att_space,audio_backbone,0.11163002576574027
flickr,2,att_space,audio_slot_branch,0.01471636423905024
flickr,2,att_space,shared_slots,0.00010677816978359651
flickr,2,att_space,image_decoder,0.0
flickr,2,att_space,audio_decoder,0.0
flickr,2,att_time,visual_backbone,0.0025219573844512803
flickr,2,att_time,visual_l3_slot_branch,0.0
flickr,2,att_time,visual_l4_slot_branch,0.01776488906674611
flickr,2,att_time,visual_fusion,0.0
flickr,2,att_time,audio_backbone,0.5726428428348774
flickr,2,att_time,audio_slot_branch,0.014725665940439059
flickr,2,att_time,shared_slots,0.00011954329310520252
flickr,2,att_time,image_decoder,0.0
flickr,2,att_time,audio_decoder,0.0
flickr,3,info,visual_backbone,8.546499362048047
flickr,3,info,visual_l3_slot_branch,2.249615907676029
flickr,3,info,visual_l4_slot_branch,3.996289170980139
flickr,3,info,visual_fusion,2.2072759382941114
flickr,3,info,audio_backbone,74.81113402652214
flickr,3,info,audio_slot_branch,14.503464932002618
flickr,3,info,shared_slots,0.1099711822669737
flickr,3,info,image_decoder,0.0
flickr,3,info,audio_decoder,0.0
flickr,3,rec_img,visual_backbone,0.0076982269145501455
flickr,3,rec_img,visual_l3_slot_branch,0.014325612877317132
flickr,3,rec_img,visual_l4_slot_branch,0.01895551191643836
flickr,3,rec_img,visual_fusion,0.015094095570011954
flickr,3,rec_img,audio_backbone,0.0
flickr,3,rec_img,audio_slot_branch,0.0
flickr,3,rec_img,shared_slots,0.00015977624569473903
flickr,3,rec_img,image_decoder,0.044583154899682786
flickr,3,rec_img,audio_decoder,0.0
flickr,3,rec_aud,visual_backbone,0.0
flickr,3,rec_aud,visual_l3_slot_branch,0.0
flickr,3,rec_aud,visual_l4_slot_branch,0.0
flickr,3,rec_aud,visual_fusion,0.0
flickr,3,rec_aud,audio_backbone,0.046064673296549806
flickr,3,rec_aud,audio_slot_branch,0.024654464307907714
flickr,3,rec_aud,shared_slots,0.00015904350314467706
flickr,3,rec_aud,image_decoder,0.0
flickr,3,rec_aud,audio_decoder,0.020015770768521016
flickr,3,div_img,visual_backbone,0.0008892715399215803
flickr,3,div_img,visual_l3_slot_branch,0.0024586841602277456
flickr,3,div_img,visual_l4_slot_branch,0.002009888506702463
flickr,3,div_img,visual_fusion,0.0025430474549921244
flickr,3,div_img,audio_backbone,0.0
flickr,3,div_img,audio_slot_branch,0.0
flickr,3,div_img,shared_slots,2.5345243544289647e-05
flickr,3,div_img,image_decoder,0.0
flickr,3,div_img,audio_decoder,0.0
flickr,3,div_aud,visual_backbone,0.0
flickr,3,div_aud,visual_l3_slot_branch,0.0
flickr,3,div_aud,visual_l4_slot_branch,0.0
flickr,3,div_aud,visual_fusion,0.0
flickr,3,div_aud,audio_backbone,0.07267067672229528
flickr,3,div_aud,audio_slot_branch,0.016715599663824385
flickr,3,div_aud,shared_slots,0.0001347035411725855
flickr,3,div_aud,image_decoder,0.0
flickr,3,div_aud,audio_decoder,0.0
flickr,3,att_space,visual_backbone,0.11235895771172094
flickr,3,att_space,visual_l3_slot_branch,0.0
flickr,3,att_space,visual_l4_slot_branch,0.005592308638841989
flickr,3,att_space,visual_fusion,0.0
flickr,3,att_space,audio_backbone,0.09503523106817811
flickr,3,att_space,audio_slot_branch,0.010849192250274827
flickr,3,att_space,shared_slots,8.648903486071218e-05
flickr,3,att_space,image_decoder,0.0
flickr,3,att_space,audio_decoder,0.0
flickr,3,att_time,visual_backbone,0.007203709810952802
flickr,3,att_time,visual_l3_slot_branch,0.0
flickr,3,att_time,visual_l4_slot_branch,0.02417243065821369
flickr,3,att_time,visual_fusion,0.0
flickr,3,att_time,audio_backbone,0.6457558682076752
flickr,3,att_time,audio_slot_branch,0.019108575781098293
flickr,3,att_time,shared_slots,0.0001683933774916184
flickr,3,att_time,image_decoder,0.0
flickr,3,att_time,audio_decoder,0.0
flickr,4,info,visual_backbone,7.043433282546032
flickr,4,info,visual_l3_slot_branch,2.0015167812343218
flickr,4,info,visual_l4_slot_branch,3.6682733092007465
flickr,4,info,visual_fusion,2.1135414971611164
flickr,4,info,audio_backbone,57.7721440564275
flickr,4,info,audio_slot_branch,10.178673004355266
flickr,4,info,shared_slots,0.08076943637409155
flickr,4,info,image_decoder,0.0
