dataset,group,seed,kind,map,sample_index,sample_id,iou,precision,coverage,pred_area_ratio,tp,fp,fn,taxonomy,GT_mean,FP_mean,GT_vs_FP_auroc,NearFP_mean,GT_vs_NearFP_auroc,FarFP_mean,GT_vs_FarFP_auroc,HighAUDFP_mean,GT_vs_HighAUDFP_auroc
flickr,C1,12345,best,AUD,145,2462141223,0.6198427526078156,0.831115286258546,0.6774289603539221,0.38187579719387754,15925.0,2184.0,7583.0,GOOD,0.6833109855651855,0.5957620739936829,0.6424560546875,0.6041593551635742,0.6344451904296875,,,,
flickr,C1,12345,best,IQR,145,2462141223,0.6101106447920641,0.8095069353042422,0.6802365152288583,0.39369419642857145,15991.0,2702.0,7517.0,GOOD,0.6862565875053406,0.6156396269798279,0.6269378662109375,0.6217899322509766,0.6205596923828125,,,,
flickr,C1,12345,best,AUD,146,2465634368,0.6912261519267702,0.7675902864259029,0.7780670611439843,0.6401466836734694,24655.0,3981.0,7032.5,GOOD,0.6801894307136536,0.7611961364746094,0.368133544921875,0.7557039260864258,0.379058837890625,,,,
flickr,C1,12345,best,IQR,146,2465634368,0.691712615102568,0.7608542882458982,0.785861932938856,0.6522839604591837,24902.0,4313.0,6785.5,GOOD,0.6841503977775574,0.7727805972099304,0.3590545654296875,0.7668442726135254,0.3708038330078125,,,,
flickr,C1,12345,best,AUD,147,2499673064,0.5444209730880862,0.5213644288016842,0.9154177134771434,0.6058872767857143,15850.0,11799.0,1464.5,GOOD,0.7715976238250732,0.6084825992584229,0.876068115234375,0.6749386787414551,0.767974853515625,0.5849420428276062,0.9192047119140625,0.6131207346916199,0.8663972182080926
flickr,C1,12345,best,IQR,147,2499673064,0.5355878277826243,0.5165467863270423,0.9041843541540328,0.6040338010204082,15655.5,11916.0,1659.0,GOOD,0.762681782245636,0.6092792749404907,0.8726806640625,0.6747304201126099,0.7527313232421875,0.5856800675392151,0.920013427734375,0.6153762936592102,0.8626038656069364
flickr,C1,12345,best,AUD,148,2509250774,0.656246479666554,0.637991457671668,0.9339229412707744,0.5459382971938775,17476.5,7918.0,1236.5,GOOD,0.8097597360610962,0.6277707815170288,0.7908477783203125,0.6643138527870178,0.754974365234375,0.4980982840061188,0.912200927734375,0.6922663450241089,0.7350618131868132
flickr,C1,12345,best,IQR,148,2509250774,0.6366220735785953,0.6299040335331103,0.9154865601453535,0.5420320471938775,17131.5,8197.0,1581.5,GOOD,0.8052749633789062,0.6149659156799316,0.79266357421875,0.6645052433013916,0.74365234375,0.47905224561691284,0.9155654907226562,0.6723251938819885,0.7423162774725275
flickr,C1,12345,best,AUD,149,2542659118,0.26867598700800904,0.32131827832464777,0.574522238039774,0.4130261479591837,6659.0,13194.0,4931.5,OVER,0.6111828684806824,0.7344323396682739,0.342254638671875,0.8245015144348145,0.2380218505859375,0.6558555364608765,0.4319610595703125,0.8298439383506775,0.23615997516556292
flickr,C1,12345,best,IQR,149,2542659118,0.2583092850079713,0.31271376917814914,0.5521763513222036,0.4078842474489796,6400.0,13186.0,5190.5,OVER,0.5915002226829529,0.7294718623161316,0.333251953125,0.81856769323349,0.2338409423828125,0.6523154973983765,0.4210662841796875,0.8231887221336365,0.2314000413907285
flickr,C1,12345,best,AUD,150,2630218696,0.636992037244688,0.9581945511999317,0.6522870307117629,0.4667171556122449,22439.0,826.0,11961.5,GOOD,0.6613082885742188,0.5246527194976807,0.75177001953125,0.5293196439743042,0.74456787109375,,,0.5560027956962585,0.7210286458333334
flickr,C1,12345,best,IQR,150,2630218696,0.5983710795170394,0.9660207612456747,0.6086684786558335,0.43197943239795916,20938.5,592.0,13462.0,GOOD,0.6478008031845093,0.5235589742660522,0.735870361328125,0.5275286436080933,0.7305908203125,,,0.5541019439697266,0.7035006009615384
flickr,C1,12345,best,AUD,151,2695985181,0.613923078236228,0.7279370091490568,0.7506209429984764,0.4923070790816326,17981.5,5334.0,5974.0,GOOD,0.7240328788757324,0.6516192555427551,0.6678466796875,0.6553714275360107,0.658843994140625,0.6027061939239502,0.7427520751953125,0.7493063807487488,0.5371093749999999
flickr,C1,12345,best,IQR,151,2695985181,0.6010873492421245,0.7294955316127955,0.7292062365636284,0.4772401147959184,17468.5,5106.0,6487.0,GOOD,0.7196891903877258,0.6464293003082275,0.6600189208984375,0.6501408815383911,0.6520843505859375,0.5987038612365723,0.72491455078125,0.7501749396324158,0.5243389423076923
