dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C2,12345,best,29,-IKnJa9U66I_000150,FP,0.87335205078125,0.8411850412821759,4118
vggss,C2,12345,best,29,-IKnJa9U66I_000150,NearFP,0.6614532470703125,0.6319327731092437,6545
vggss,C2,12345,best,29,-IKnJa9U66I_000150,FarFP,0.9818115234375,1.0,2332
vggss,C2,12345,best,29,-IKnJa9U66I_000150,HighAUDFP,0.876453488372093,0.8590225563909775,1596
vggss,C2,12345,best,30,-Igq1W20Gi8_000000,FP,0.5431671142578125,0.31544678940278403,4454
vggss,C2,12345,best,30,-Igq1W20Gi8_000000,NearFP,0.4233551025390625,0.28003068829460764,9124
vggss,C2,12345,best,30,-Igq1W20Gi8_000000,FarFP,0.839508056640625,,0
vggss,C2,12345,best,30,-Igq1W20Gi8_000000,HighAUDFP,0.35932221283783783,0.3107699464991859,4299
vggss,C2,12345,best,31,-JGpAlLrSD0_000458,FP,0.219024658203125,0.17952172448635903,5938
vggss,C2,12345,best,31,-JGpAlLrSD0_000458,NearFP,0.2221832275390625,0.1954558695018934,6866
vggss,C2,12345,best,31,-JGpAlLrSD0_000458,FarFP,,,0
vggss,C2,12345,best,31,-JGpAlLrSD0_000458,HighAUDFP,0.12767427884615384,0.1924812030075188,3990
vggss,C2,12345,best,32,-JUBdOr8Hes_000030,FP,0.8036651611328125,0.5990110666352719,4247
vggss,C2,12345,best,32,-JUBdOr8Hes_000030,NearFP,0.7999420166015625,0.6011275546159267,4257
vggss,C2,12345,best,32,-JUBdOr8Hes_000030,FarFP,,,0
vggss,C2,12345,best,32,-JUBdOr8Hes_000030,HighAUDFP,0.42578125,0.5416666666666666,288
vggss,C2,12345,best,33,-JUhUI_KvUI_000026,FP,0.2838134765625,0.4250871080139373,4592
vggss,C2,12345,best,33,-JUhUI_KvUI_000026,NearFP,0.4526519775390625,0.6359851988899168,4324
vggss,C2,12345,best,33,-JUhUI_KvUI_000026,FarFP,0.1757354736328125,0.28830730265934995,4738
vggss,C2,12345,best,33,-JUhUI_KvUI_000026,HighAUDFP,0.22271412037037036,0.5878815911193339,2162
vggss,C2,12345,best,34,-K-ccLMFE5M_000259,FP,0.953857421875,0.906060606060606,3300
vggss,C2,12345,best,34,-K-ccLMFE5M_000259,NearFP,0.9601593017578125,0.9148418491484185,3288
