sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset
10202025415,0.7751827372218558,0.6889284894630973,0.7203142046928406,0.5963292121887207,0.1239849925041198,0.7537384033203125,0.9557207820227702,0.7906146601315266,0.6004264987244898,-0.08625424775875856,middle
10221582415,0.7036671622917332,0.5568413198264851,0.7780877351760864,0.7011599540710449,0.0769277811050415,0.6945037841796875,0.7920850930705459,0.8444592679062787,0.6370575573979592,-0.1468258424652481,hard_hurt
10234680056,0.6540156458169645,0.6647430936437969,0.6396717429161072,0.6082389950752258,0.0314327478408813,0.5798187255859375,0.8161394833319123,0.6809774489578146,0.4675143494897959,0.010727447826832437,middle
10246013484,0.7235283194057567,0.7557944658393952,0.7138292193412781,0.5528790354728699,0.1609501838684082,0.7998809814453125,0.8465583173996176,0.7499037647239972,0.458625637755102,0.032266146433638565,middle
10268129763,0.794212962962963,0.7327245249043378,0.8149689435958862,0.6548817157745361,0.1600872278213501,0.8402252197265625,0.7666116668385411,0.9685355684877964,0.5797791772959183,-0.06148843805862514,middle
10278084464,0.634641651031895,0.5546358777233765,0.7919060587882996,0.7673243284225464,0.0245817303657531,0.5605010986328125,0.6154372380065207,0.9796121678289276,0.6846301020408163,-0.08000577330851844,middle
10283938426,0.4567533838917155,0.4623203269704716,0.7810415625572205,0.7307900786399841,0.0502514839172363,0.66094970703125,0.4543420729544648,0.8611319388784032,0.7304886798469388,0.005566943078756104,middle
10289643764,0.6633729523963796,0.6851987645268093,0.7482456564903259,0.6304311156272888,0.1178145408630371,0.7259521484375,0.7317193013802653,0.8529327536382807,0.4461694834183674,0.021825812130429667,middle
10304554474,0.6377753701697364,0.5819490279819185,0.74444580078125,0.7669299840927124,-0.0224841833114624,0.5047149658203125,0.7185921128479875,0.7739390840698269,0.5877511160714286,-0.0558263421878179,middle
10308472565,0.6092455458611336,0.6960975609756097,0.8127131462097168,0.7203785181045532,0.0923346281051635,0.696868896484375,0.5889920612418486,0.920771233863372,0.5623405612244898,0.08685201511447616,middle
10369815925,0.8077896758424024,0.6954915003695491,0.7329748868942261,0.6040265560150146,0.1289483308792114,0.781402587890625,0.9436569447277178,0.8269929694947569,0.586296237244898,-0.11229817547285326,hard_hurt
