sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset,gt_area_ratio,size_bin,auto_taxonomy,over_diagnosis,group
kxTwZeZxuvo_000036,0.27960627499231,0.2574487368301801,0.8856558203697205,0.7850621938705444,0.100593626499176,0.769378662109375,0.27960627499231,1.0,0.3239596619897959,-0.022157538162129897,middle,0.0905811543367346,medium,OVER,CALIBRATION_RECOVERABLE,B_close
kxTwZeZxuvo_000099,0.3701391245334238,0.3974639265413205,0.8985093832015991,0.7529105544090271,0.145598828792572,0.8575897216796875,0.3701391245334238,1.0,0.2936662946428571,0.02732480200789672,middle,0.1086973852040816,large,OVER,CALIBRATION_RECOVERABLE,transition
kx_G2a2hL6U_000153,0.0841874084919473,0.0778017153774236,0.7899540662765503,0.7868457436561584,0.0031083226203918,0.4923858642578125,0.0849711836855327,0.9012539184952978,0.4045958227040816,-0.006385693114523694,middle,0.0381457270408163,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
kxkk4w2yzbk_000030,0.3287752911714433,0.3081617953675272,0.8425209522247314,0.8609707355499268,-0.0184497833251953,0.47119140625,0.3331319478008699,0.9617441860465116,0.4948182397959184,-0.020613495803916082,middle,0.1713966836734693,large,OVER,PRECISION_COVERAGE_TRADEOFF,transition
kzxmNNpXkF4_000057,0.5325235735975707,0.4798757237678294,0.8149688243865967,0.6838136315345764,0.1311551928520202,0.78106689453125,0.5387227162489895,0.9788484136310224,0.246532206632653,-0.052647849829741356,middle,0.1356823979591837,large,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
l-iIfi3SNpw_000120,0.2130029051853156,0.2230056684639845,0.8746329545974731,0.8090083003044128,0.0656246542930603,0.663818359375,0.2130029051853156,1.0,0.452766262755102,0.010002763278668919,middle,0.0964405293367346,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
l-qyJLFOVYI_000000,0.472284166932144,0.4796845662786331,0.6659016609191895,0.5482721328735352,0.1176295280456543,0.6733856201171875,0.6655443322109988,0.6192564745196324,0.1775749362244898,0.007400399346489117,middle,0.1908482142857142,large,GOOD,,B_close
l13XyX-sMwk_000406,0.093039524309199,0.1305841924398625,0.8839371204376221,0.8808925151824951,0.0030446052551269,0.4352874755859375,0.093039524309199,1.0,0.5128148915816326,0.0375446681306635,middle,0.0477120535714285,medium,OVER,PRECISION_COVERAGE_TRADEOFF,A_ogl_help
l1coM570kVw_000030,0.122701573880711,0.1219622470894088,0.772793710231781,0.7899304032325745,-0.0171366930007934,0.5120697021484375,0.124676534520236,0.8856617647058823,0.3850845025510204,-0.0007393267913022028,middle,0.0542091836734693,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
l1vEAtUWXHU_000034,0.6306636512516571,0.5208673350431337,0.6797839999198914,0.6082645058631897,0.0715194940567016,0.6312255859375,0.8678901051727839,0.6976363008971704,0.3714126275510204,-0.10979631620852348,hard_hurt,0.4620535714285714,very_large,GOOD,,B_close
l30pHj4I0Ps_000580,0.2046304399713581,0.2298450131761132,0.8810580968856812,0.8340907096862793,0.0469673871994018,0.6465911865234375,0.2046467218332272,0.9996113486202876,0.5009566326530612,0.025214573204755092,middle,0.1025589923469387,large,OVER,PERSISTENT_OVER,B_close
l3abwXzDR1g_000030,0.4138983923775889,0.4315191746311033,0.8019392490386963,0.7956176996231079,0.0063215494155883,0.559051513671875,0.4238622664255576,0.9462573591253154,0.5290178571428571,0.017620782253514378,middle,0.2369658801020408,large,OVER,CALIBRATION_RECOVERABLE,A_ogl_help
l59Gy1sqDSM_000003,0.2090620795694791,0.1857275489534098,0.761600911617279,0.7345149517059326,0.0270859599113464,0.576416015625,0.2228653383189059,0.7714539007092198,0.3890904017857143,-0.0233345306160693,middle,0.1124043367346938,large,OVER,PRECISION_COVERAGE_TRADEOFF,transition
