dataset,model,sample_id,sample_index,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range
flickr,lambda050k_best,5607310495,219,0.4772343039512634,0.3815755844116211,0.09565871953964233,0.7224273681640625,0.24530442221147766,0.989869428185502,0.2584669888019562,0.13279257015306123,0.00011957908163265306,1793,21406,8,3,5.274198538409208,0.9992580455192537,0.24524969322872123,0.002506605815142393
flickr,lambda050k_best,5697766486,220,0.5426830053329468,0.5515878200531006,-0.008904814720153809,0.50738525390625,0.5165541812704574,0.7199434800161486,0.4082782566547394,0.2468311543367347,0.06343670280612244,14886,6339,0,0,5.27265952514512,0.9989664616179081,0.4361319670326983,0.0027621928602457047
flickr,lambda050k_best,5801923729,221,0.4137362241744995,0.27798521518707275,0.13575100898742676,0.786773681640625,0.15555019305019305,1.0,0.19644692540168762,0.06423389668367346,0.0,13544,17807,0,0,5.267015106480496,0.9978970610783133,0.15555019305019305,0.00454707769677043
flickr,lambda050k_best,5873098388,222,0.385762482881546,0.2181546986103058,0.16760778427124023,0.8384552001953125,0.17301260177708708,0.9886100386100386,0.1255529224872589,0.10323660714285714,0.0,2943,26338,0,0,5.250621112975372,0.9947910289885303,0.17301260177708708,0.005930774845182896
flickr,lambda050k_best,5906878321,223,0.4944579303264618,0.4743383526802063,0.020119577646255493,0.568572998046875,0.3020026395822574,0.4522254682935212,0.2784670889377594,0.23194355867346939,0.09060108418367346,14819,13515,38,68,5.2136243046991595,0.9877815548363326,0.23952123060119238,0.006627518218010664
flickr,lambda050k_best,5991393107,224,0.3300919532775879,0.2927609384059906,0.03733101487159729,0.5193023681640625,0.07753157091858398,1.0,0.20629139244556427,0.049127072704081634,0.0,9217,24463,0,0,5.2632528453977185,0.9971842571083962,0.07753157091858398,0.005974777042865753
flickr,lambda050k_best,6067281197,225,0.3222317099571228,0.22715365886688232,0.09507805109024048,0.828826904296875,0.0627513482458904,1.0,0.16877806186676025,0.03374123086734694,0.0,7794,23311,0,0,5.270473624022538,0.9985523173137938,0.0627513482458904,0.0048727067187428474
flickr,lambda050k_best,6098668510,226,0.28305351734161377,0.20733344554901123,0.07572007179260254,0.604705810546875,0.1038850710720733,1.0,0.15373004972934723,0.06823979591836735,0.0,5604,26781,0,0,5.2508092510627105,0.994826673929856,0.1038850710720733,0.007300074212253094
flickr,lambda050k_best,6158154336,227,0.5648146867752075,0.28650781512260437,0.27830687165260315,0.94378662109375,0.41964962044901444,0.9986959189935563,0.208822101354599,0.25980548469387754,0.0,2492,19262,0,0,5.253895034605625,0.9954113113888998,0.41964962044901444,0.004678746685385704
flickr,lambda050k_best,6185482260,228,0.5929741859436035,0.3766527771949768,0.2163214087486267,0.7815704345703125,0.5117794836008374,0.9757583821181479,0.278224378824234,0.37448182397959184,0.0020129145408163264,4844,17270,0,0,5.266829108709268,0.9978618216446828,0.5103407003284529,0.003036556299775839
flickr,lambda050k_best,6289328021,229,0.45699572563171387,0.3124274015426636,0.1445683240890503,0.7794036865234375,0.1919402985074627,0.930804863925883,0.19083769619464874,0.06883769132653061,0.0,14621,15786,0,0,5.264040103251064,0.9973334122336962,0.1919402985074627,0.004568488337099552
flickr,lambda050k_best,6458319057,230,0.4610263705253601,0.37659186124801636,0.08443450927734375,0.772430419921875,0.17474628685918375,1.0,0.2909451425075531,0.07995854591836735,0.0,16874,18958,0,0,5.269929412138033,0.9984492100643989,0.17474628685918375,0.004019746091216803
flickr,lambda050k_best,6669466181,231,0.7359566688537598,0.88332200050354,-0.14736533164978027,0.1751861572265625,0.8366877515813687,0.6380579483163665,0.5421491861343384,0.6362603635204082,0.19880022321428573,1,1125,3135,4391,5.274242067908965,0.9992662926875263,0.5935141749949011,0.002114454982802272
flickr,lambda050k_best,6755812421,232,0.3617306351661682,0.24767890572547913,0.11405172944068909,0.797393798828125,0.10448560111337116,1.0,0.17549140751361847,0.04862882653061224,0.0,4275,21669,0,0,5.265910547488314,0.9976877895744725,0.10448560111337116,0.0053069014102220535
flickr,lambda050k_best,6897499873,233,0.25587576627731323,0.17363928258419037,0.08223648369312286,0.6554412841796875,0.0926858354312972,0.6719500480307397,0.10633545368909836,0.041493941326530615,0.001833545918367347,12192,16539,0,0,5.2509422105180885,0.9948518646397898,0.09212432503621756,0.008329728618264198
flickr,lambda050k_best,7178293884,234,0.395455002784729,0.2505832314491272,0.1448717713356018,0.704833984375,0.23778816280709084,1.0,0.19380520284175873,0.18152104591836735,0.0,1699,23347,1254,0,5.253796667987038,0.9953926746928562,0.23778816280709084,0.004797590896487236
flickr,lambda050k_best,7387939334,235,0.39620986580848694,0.48069602251052856,-0.08448615670204163,0.4816436767578125,0.06764348444199858,0.3025020508613618,0.3123936951160431,0.09717793367346939,0.057916135204081634,8808,21400,0,0,5.266649405840167,0.9978277748532236,0.059688808854177204,0.004613904282450676
flickr,lambda050k_best,7560517176,236,0.32255274057388306,0.24338088929653168,0.07917185127735138,0.6399993896484375,0.14828478608006168,1.0,0.17151407897472382,0.05367107780612245,0.0,10088,21226,0,0,5.258001279731296,0.996189287122809,0.14828478608006168,0.006681292317807674
flickr,lambda050k_best,7623513024,237,0.4575594365596771,0.2850334048271179,0.1725260317325592,0.920623779296875,0.15602351195571534,1.0,0.1583341360092163,0.02724410076530612,0.0,13847,8512,0,0,5.269313611314914,0.998332539460807,0.15602351195571534,0.004485583398491144
flickr,lambda050k_best,7733838448,238,0.5426358580589294,0.45974647998809814,0.0828893780708313,0.68414306640625,0.4286543319451082,0.9964291382320266,0.3169485628604889,0.251155931122449,0.0,11113,16076,0,0,5.2700531993922,0.9984726629944997,0.4286543319451082,0.0033769295550882816
flickr,lambda050k_best,7740990330,239,0.5671612024307251,0.37147486209869385,0.19568634033203125,0.8744659423828125,0.3877113109676456,0.9262280467148079,0.27640843391418457,0.2235530931122449,0.002291932397959184,4816,16426,0,0,5.268198104966645,0.9981211938534663,0.386054548156956,0.003591099288314581
flickr,lambda050k_best,7897462346,240,0.2587619721889496,0.25893115997314453,-0.0001691877841949463,0.673583984375,0.06987026692625412,0.757396449704142,0.0876670777797699,0.05052216198979592,0.004185267857142857,1830,26412,0,0,5.251067367938628,0.9948755771637913,0.06934036367576157,0.00734770018607378
flickr,lambda050k_best,8250285374,241,0.38902437686920166,0.14593377709388733,0.24309059977531433,0.9551239013671875,0.26559854897218865,0.9972003631961259,0.12523414194583893,0.13169642857142858,0.0,4320,18928,0,0,5.248794097324737,0.9944448796968623,0.26559854897218865,0.005543075501918793
flickr,lambda050k_best,8294094053,242,0.5333850383758545,0.27716487646102905,0.25622016191482544,0.76654052734375,0.44086946761943957,0.999575875816439,0.19192549586296082,0.2349529655612245,0.0,3149,16312,0,0,5.257581810521874,0.9961098138190813,0.44086946761943957,0.003902341704815626
flickr,lambda050k_best,8311669586,243,0.6859774589538574,0.7452390193939209,-0.05926156044006348,0.3261871337890625,0.7789852357041145,0.5345241360394953,0.525252103805542,0.5813137755102041,0.2362683354591837,4767,3671,261,575,5.273517035903277,0.9991289269703152,0.4892138251306108,0.002479173941537738
flickr,lambda050k_best,8396975855,244,0.7685450315475464,0.6919277906417847,0.07661724090576172,0.689849853515625,0.9755800158186132,0.5039494739709237,0.5212185978889465,0.5853595344387755,0.24716996173469388,7550,624,0,382,5.273458736623375,0.9991178814959999,0.5367919054181476,0.0023327115923166275
flickr,lambda050k_best,9060997789,245,0.8185571432113647,0.7955500483512878,0.023007094860076904,0.6330718994140625,0.9039779632180183,0.7449061340027239,0.5792453289031982,0.7463129783163265,0.16468032525510204,712,397,1095,1546,5.273046785406631,0.999039832563125,0.7130404774990095,0.0022686461452394724
flickr,lambda050k_best,9309351423,246,0.8327116966247559,0.7938843965530396,0.03882730007171631,0.5805740356445312,0.9817964877929388,0.4744802909779105,0.5967972874641418,0.6739676339285714,0.31044722576530615,3543,113,195,3836,5.275610345213744,0.9995255286824068,0.5026785714285714,0.0017994903028011322
flickr,lambda050k_best,9456627660,247,0.6182324886322021,0.4674738943576813,0.15075859427452087,0.8389892578125,0.6281987480028288,0.9111769622369121,0.3303513824939728,0.26229671556122447,0.018036511479591837,7051,8290,0,0,5.272607078883164,0.998956525065684,0.5997649353572232,0.0027209927793592215
flickr,lambda050k_best,9636000842,248,0.33068758249282837,0.3620285391807556,-0.031340956687927246,0.480682373046875,0.05971535124438694,0.6499337309476475,0.21091055870056152,0.06014827806122449,0.005321269132653061,5921,30688,0,0,5.261385423191238,0.9968304523263772,0.05923387035890622,0.00604660902172327
flickr,lambda050k_best,9761803312,249,0.5146276950836182,0.31608840823173523,0.19853928685188293,0.8626251220703125,0.37568066900038893,1.0,0.21279393136501312,0.15399792729591838,0.0,10839,15591,0,0,5.264653394992395,0.9974496074626609,0.37568066900038893,0.003729035845026374
flickr,lambda050k_latest,10000130166,0,0.5397000312805176,0.36014679074287415,0.17955324053764343,0.840545654296875,0.4072719314700181,0.9676149446631509,0.28132277727127075,0.2683155293367347,0.007274394132653061,3401,16930,0,365,5.261562346220927,0.9968639724450391,0.4026768878860004,0.004516389220952988
flickr,lambda050k_latest,10007936344,1,0.5434138178825378,0.4402543008327484,0.10315951704978943,0.72265625,0.29804792890017456,0.8513145965548504,0.33619678020477295,0.1758609693877551,0.025231186224489797,12074,18079,0,347,5.2659813968236175,0.9977012128022493,0.2837929731771817,0.004362379666417837
flickr,lambda050k_latest,10008553263,2,0.4975537359714508,0.4264673888683319,0.0710863471031189,0.60711669921875,0.3189642754249496,0.8124197394973399,0.3483671247959137,0.10863759566326531,0.01265545280612245,18735,13473,0,51,5.261038545784597,0.9967647323810868,0.3050141194297128,0.0054083457216620445
flickr,lambda050k_latest,10009662863,3,0.5272572040557861,0.3703337609767914,0.15692344307899475,0.8212432861328125,0.2806198415470304,0.8926441351888668,0.32539841532707214,0.17042012117346939,0.017538265306122448,13181,22296,0,110,5.261824729734002,0.9969136840428378,0.27182564413026833,0.005184130277484655
flickr,lambda050k_latest,10013411946,4,0.6735784411430359,0.7224612236022949,-0.04888278245925903,0.4235992431640625,0.7311577522004062,0.5493651310434641,0.40799930691719055,0.48971619897959184,0.15700733418367346,4511,3064,512,2030,5.250046670352065,0.9946821941752694,0.5124807805470663,0.00447665574029088
flickr,lambda050k_latest,10016382545,5,0.3185678720474243,0.18939316272735596,0.12917470932006836,0.6458740234375,0.1446770601336303,0.7393580696562714,0.2007555067539215,0.08755181760204081,0.01805644132653061,7731,18202,53,906,5.229787543408348,0.9908438677553825,0.13906490837472169,0.008681255392730236
flickr,lambda050k_latest,10031203703,6,0.490498423576355,0.1974596232175827,0.2930387854576111,0.8328094482421875,0.40168194273835395,0.9926058530510585,0.179785817861557,0.25605867346938777,0.001136001275510204,4935,19385,0,0,5.242545464656072,0.9932610038108511,0.40096208262591965,0.005344907753169537
