dataset,model,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,original_1.3g_final,entropy,5.275300556392308,5.2756356955187655,5.274416070140956,5.276442362485591,0.002026292344635472,5.275109811727494,5.275489696925012,250
flickr,original_1.3g_final,normalized_entropy,0.9994668355994716,0.9995303315915246,0.9992992594272099,0.9996831639983416,0.00038390457113168797,0.9994326319317923,0.9995015614067178,250
flickr,original_1.3g_final,iou,0.6368762798827685,0.6570743255920111,0.5361422949405792,0.7453950289552775,0.20925273401469835,0.6170112299353053,0.656380552394026,250
flickr,original_1.3g_final,raw_range,0.001627738551236689,0.0016017841408029199,0.0013758600689470768,0.0018754159100353718,0.000499555841088295,0.0015854744368232788,0.001671257451106794,250
flickr,cram_c3_stage1,gt_response,0.7131541931629181,0.713550329208374,0.6611090153455734,0.7606387883424759,0.09952977299690247,0.7047789174318313,0.7218368636488914,250
flickr,cram_c3_stage1,nearfp_response,0.6253758674932395,0.6187291145324707,0.5555984079837799,0.6921636462211609,0.13656523823738098,0.6123078523859804,0.6388809307987391,247
flickr,cram_c3_stage1,gt_nearfp_gap,0.08890445379593112,0.09679025411605835,0.021660268306732178,0.17385417222976685,0.15219390392303467,0.07500575322974548,0.10263505286653997,247
flickr,cram_c3_stage1,gt_vs_nearfp_auroc,0.6731663717996365,0.6945648193359375,0.5748367309570312,0.8060150146484375,0.23117828369140625,0.6520471163606837,0.6942158105130088,247
flickr,cram_c3_stage1,coverage,0.7655397488727091,0.7660003555586742,0.666876932838842,0.8672366931333666,0.20035976029452462,0.7493433102683187,0.7827122146677494,250
flickr,cram_c3_stage1,precision,0.7492012545570964,0.7701610737259306,0.6319013212784518,0.8908465359317315,0.2589452146532797,0.7277183058281873,0.7698937019928767,250
flickr,cram_c3_stage1,background_response,0.37789281100034716,0.36596839129924774,0.3026377633213997,0.4354635328054428,0.13282576948404312,0.3658297865614295,0.3911178445890546,250
flickr,cram_c3_stage1,pred_area_ratio,0.46311256377551024,0.44973692602040816,0.3852638711734694,0.5350914779974489,0.14982760682397955,0.4501259765625,0.47563091119260203,250
flickr,cram_c3_stage1,fp_area_ratio,0.09446412627551021,0.07162786989795919,0.02762775031887755,0.14185566804846939,0.11422791772959184,0.08353629623724489,0.10648234813456632,250
flickr,cram_c3_stage1,RemoveFP,5175.376,4562.0,2515.5,7385.75,4870.25,4767.9304,5589.6084,250
flickr,cram_c3_stage1,RemoveTP,4656.144,4100.5,2263.5,6599.5,4336.0,4255.620800000001,5060.0062,250
flickr,cram_c3_stage1,AddTP,222.364,0.0,0.0,72.0,72.0,142.8245,317.84349999999995,250
flickr,cram_c3_stage1,AddFP,355.06,1.5,0.0,270.25,270.25,255.1123,459.10819999999995,250
flickr,cram_c3_stage1,entropy,3.884994334592483,3.8852840537218833,3.8833137381129603,3.8870568950940525,0.003743156981092177,3.884665068692222,3.8853234380727826,250
flickr,cram_c3_stage1,normalized_entropy,0.9982460743314748,0.9983205174216507,0.9978142464589652,0.9987760475428717,0.0009618010839065327,0.9981585193892767,0.9983283999799425,250
flickr,cram_c3_stage1,iou,0.6183831997752788,0.6160101076035662,0.5429663165026763,0.7048969067413491,0.16193059023867273,0.6033263888497639,0.6344773727320088,250
flickr,cram_c3_stage1,raw_range,0.008876528564840554,0.008875363506376743,0.007996728643774986,0.009772514225915074,0.001775785582140088,0.008696525064297021,0.009050144281145185,250
flickr,cram_c3_stage2,gt_response,0.7562584300041199,0.7511473000049591,0.7118150591850281,0.7958684116601944,0.08405335247516632,0.7486746905565261,0.7637323744654656,250
flickr,cram_c3_stage2,nearfp_response,0.658956853363678,0.6522915959358215,0.6017619073390961,0.7197964191436768,0.11803451180458069,0.6473701885053021,0.6709286765078543,247
