dataset,model,reference,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,lambda025k_latest,cram_c3_stage2,pred_area_ratio,-0.26494132653061225,-0.26305404974489793,-0.3964893574617347,-0.12675880899234693,0.26973054846938777,-0.2878291633450255,-0.24264386360012755,250
flickr,lambda025k_latest,cram_c3_stage2,gt_response,-0.19588280463218688,-0.1868169903755188,-0.2657003700733185,-0.10516674816608429,0.1605336219072342,-0.21074504618942738,-0.1808723135650158,250
flickr,lambda025k_latest,cram_c3_stage2,nearfp_response,-0.2298184321356206,-0.2328152060508728,-0.3166385143995285,-0.12784910202026367,0.18878941237926483,-0.24603382232278465,-0.2137340362360965,247
flickr,lambda025k_latest,short_step000,gt_nearfp_gap,0.03963499953630965,0.02984064817428589,-0.016544312238693237,0.10095164179801941,0.11749595403671265,0.027504196419165686,0.05174834211979074,247
flickr,lambda025k_latest,short_step000,gt_vs_nearfp_auroc,0.03685656650210174,0.0229949951171875,-0.036773681640625,0.10886383056640625,0.14563751220703125,0.020562885901792564,0.05239986229200272,247
flickr,lambda025k_latest,short_step000,coverage,-0.302323701395928,-0.2825198362497576,-0.49789535762896836,-0.10238067160809847,0.3955146860208699,-0.334117991356617,-0.27055318557990976,250
flickr,lambda025k_latest,short_step000,precision,0.09327602147346825,0.07455878664935606,0.006212417971199924,0.1902037209408844,0.18399130296968447,0.07118733116409597,0.11568235081040507,250
flickr,lambda025k_latest,short_step000,pred_area_ratio,-0.20611623086734693,-0.22130102040816324,-0.34706831951530615,-0.08173728475765307,0.2653310347576531,-0.22801443319515305,-0.18344531050701532,250
flickr,lambda025k_latest,short_step000,gt_response,-0.16096798825263978,-0.1513352394104004,-0.2451954036951065,-0.05944244563579559,0.1857529580593109,-0.17651685270965098,-0.14480498931109906,250
flickr,lambda025k_latest,short_step000,nearfp_response,-0.20003963862112176,-0.20063787698745728,-0.2978554740548134,-0.09613654017448425,0.20171893388032913,-0.2182657019932743,-0.18272663796478922,247
flickr,lambda050k_best,cram_c3_stage2,gt_nearfp_gap,0.011149508569404663,0.0005615353584289551,-0.046148449182510376,0.061529308557510376,0.10767775774002075,0.0005662399687265097,0.022012664131850365,247
flickr,lambda050k_best,cram_c3_stage2,gt_vs_nearfp_auroc,-0.0043194722956021135,-0.010040283203125,-0.072998046875,0.0594940185546875,0.1324920654296875,-0.017778525688387607,0.00921724800086895,247
flickr,lambda050k_best,cram_c3_stage2,coverage,-0.4296878147975999,-0.466816190804608,-0.6763011172281781,-0.17329848464760433,0.5030026325805738,-0.4652217179778724,-0.39471173898421935,250
flickr,lambda050k_best,cram_c3_stage2,precision,0.12194290185533345,0.10452680252927338,-0.000958899502653876,0.24499435666152686,0.24595325616418073,0.09708518238991148,0.14742006655816015,250
flickr,lambda050k_best,cram_c3_stage2,pred_area_ratio,-0.2910287786989796,-0.323909837372449,-0.460987324617347,-0.15171595982142858,0.30927136479591844,-0.31911850884885207,-0.2642112404336735,250
flickr,lambda050k_best,cram_c3_stage2,gt_response,-0.22875504231452942,-0.22521370649337769,-0.3552860990166664,-0.11320029199123383,0.2420858070254326,-0.24771965047121047,-0.2095542948335409,250
flickr,lambda050k_best,cram_c3_stage2,nearfp_response,-0.2393028076421394,-0.2720509171485901,-0.37751516699790955,-0.11928802728652954,0.25822713971138,-0.26044416862656833,-0.21857906461953513,247
flickr,lambda050k_best,short_step000,gt_nearfp_gap,0.01595221628785616,0.007686883211135864,-0.0533461719751358,0.07269291579723358,0.12603908777236938,0.003669097561102647,0.02902147062424464,247
flickr,lambda050k_best,short_step000,gt_vs_nearfp_auroc,0.0253361880146899,0.013092041015625,-0.05403900146484375,0.09564208984375,0.14968109130859375,0.008707038745545506,0.040944740563108206,247
flickr,lambda050k_best,short_step000,coverage,-0.3659580576182443,-0.42749724106105735,-0.6117509995037393,-0.13139408606849845,0.4803569134352409,-0.4037685877939975,-0.3262127169131068,250
flickr,lambda050k_best,short_step000,precision,0.09973361946482522,0.07982183934639153,-0.015616837646708376,0.22584249257853167,0.24145933022524005,0.07500117326721764,0.1243672438192211,250
flickr,lambda050k_best,short_step000,pred_area_ratio,-0.23220368303571431,-0.2756397480867347,-0.39608577806122447,-0.11250896843112244,0.283576809630102,-0.26071858657525515,-0.2046106883769133,250
flickr,lambda050k_best,short_step000,gt_response,-0.1938402259349823,-0.20447632670402527,-0.32083915919065475,-0.07494962215423584,0.24588953703641891,-0.2134831128716469,-0.1747274214565754,250
flickr,lambda050k_best,short_step000,nearfp_response,-0.2095240141276406,-0.2422456443309784,-0.34017878770828247,-0.08508506417274475,0.2550937235355377,-0.23214122935420708,-0.18649416562954063,247
flickr,lambda050k_latest,cram_c3_stage2,gt_nearfp_gap,0.019420653762605027,0.015460312366485596,-0.039282023906707764,0.07197991013526917,0.11126193404197693,0.008227791239013555,0.030283215746042213,247
flickr,lambda050k_latest,cram_c3_stage2,gt_vs_nearfp_auroc,-0.02686699205824461,-0.0285186767578125,-0.11751556396484375,0.0521697998046875,0.16968536376953125,-0.0429598267059342,-0.010394040260881227,247
flickr,lambda050k_latest,cram_c3_stage2,coverage,-0.5108181894096013,-0.5319597922497215,-0.6686909363560616,-0.36505748842903013,0.30363344792703145,-0.5384293304649099,-0.4836499987794175,250
flickr,lambda050k_latest,cram_c3_stage2,precision,0.1186370937707384,0.10816955646743137,0.02096496985263996,0.21517279224081612,0.19420782238817616,0.09679825917266018,0.13829300409805087,250
flickr,lambda050k_latest,cram_c3_stage2,pred_area_ratio,-0.3510481505102041,-0.35593710140306123,-0.45223313934948983,-0.2537169164540816,0.1985162228954082,-0.37114978276466837,-0.3315350207270408,250
flickr,lambda050k_latest,cram_c3_stage2,gt_response,-0.27136043429374695,-0.26887795329093933,-0.3355293720960617,-0.17837852239608765,0.15715084969997406,-0.2856797035127878,-0.25735755220055584,250
flickr,lambda050k_latest,cram_c3_stage2,nearfp_response,-0.28942769494375237,-0.30780309438705444,-0.38250046968460083,-0.20415472984313965,0.17834573984146118,-0.3056121176086095,-0.27433960829910475,247
flickr,lambda050k_latest,short_step000,gt_nearfp_gap,0.024223361481056523,0.015609383583068848,-0.046587273478507996,0.09288720786571503,0.13947448134422302,0.01116971839143921,0.03704687803078759,247
flickr,lambda050k_latest,short_step000,gt_vs_nearfp_auroc,0.0027886682520474053,-0.004486083984375,-0.092376708984375,0.0995330810546875,0.1919097900390625,-0.01640214725012449,0.02199032978559597,247
flickr,lambda050k_latest,short_step000,coverage,-0.4470884322302458,-0.45057322772391584,-0.6139631209139326,-0.2974300411190358,0.31653307979489675,-0.4739975492909194,-0.4204095967466909,250
flickr,lambda050k_latest,short_step000,precision,0.09642781138023017,0.07792512977135818,0.01145179161107826,0.18679831864108545,0.1753465270300072,0.07488592963403198,0.11831934639038705,250
flickr,lambda050k_latest,short_step000,pred_area_ratio,-0.2922230548469388,-0.2971440529336735,-0.38920499840561223,-0.2023427535076531,0.18686224489795913,-0.3106620595503826,-0.27291971460459186,250
flickr,lambda050k_latest,short_step000,gt_response,-0.23644561791419982,-0.22947093844413757,-0.3107447475194931,-0.13941968977451324,0.17132505774497986,-0.2511808317512274,-0.22191871425211432,250
flickr,lambda050k_latest,short_step000,nearfp_response,-0.25964890142925356,-0.26584386825561523,-0.35990600287914276,-0.1790873259305954,0.18081867694854736,-0.27689040418156247,-0.24136415090758792,247
