sample_id,AUD_iou,IQR_iou
04QV0Xi5YTk_000030,0.6477691777768773,0.607579912413539
052VMqTM4Xs_000000,0.5872357048684018,0.5701922109288518
064Ilsz8Fzg_000051,0.5725289830640351,0.5556709597008724
06si40RVDco_000030,0.6554515236862805,0.5932781040268457
076qdKSC8nU_000030,0.4126596813549591,0.39807957505490577
077aWlQn6XI_000030,0.5305335097001763,0.48118817542455256
09NfjFeq2cs_000078,0.0,0.0
09pZj6CEvRw_000250,0.22179003165160355,0.21455056898094874
0CEsVHHkwww_000030,0.06115504433261443,0.056877953106891324
0CzC0-cXe8M_000030,0.5811909881275124,0.5460520550346157
0Dt2-TtqvJU_000030,0.2849400126289202,0.2753048780487805
0E6KS8B6DMc_000540,0.3937007874015748,0.40211448967604935
0EOQco76eXQ_000030,0.6032546688284394,0.5849931624947976
0F04c_rY4aw_000000,0.5705502292621926,0.537278935387848
0FEd3Pd-ksw_000397,0.5618962698766533,0.544031774422642
0FHSJnza9P8_000046,0.24059049594339046,0.2373758651820644
0G50t4FlbIA_000060,0.11456166419019316,0.12898569184392647
0H814XXq-WQ_000030,0.7515094455473915,0.6836151168572849
0HBJuYt2Eys_000032,0.5134776987718164,0.42711771177117713
0HXYdGGKV2k_000030,0.671252040102588,0.670129256920262
0IqPUUWnnd8_000085,0.825809029165002,0.8148877113298006
0Iy18mslB4A_000170,0.3933762057877814,0.3958276705626529
0IzhjqyDzt8_000000,0.5852613121620963,0.5685784337291476
0JkiTl-4B5E_000017,0.5895359121165573,0.5783647572334968
0K92tp-4GEk_000108,0.20518003790271636,0.2197276016173654
0LwSy-xZSPw_000112,0.31435732187611887,0.3014843212425047
0MU2SG5ME1E_000016,0.557493868863079,0.5412889327708464
0N0C0Wbe6AI_000030,0.6095500402302407,0.5532818894685869
0NIE-eDk92M_000029,0.3245891400242027,0.3176888413656152
0NLXz4JgvcQ_000096,0.11769457570984289,0.138478600594848
0NQXsEwBqAk_000136,0.6499446017481226,0.6509985387238189
0O-gZoirpRA_000030,0.6754946956587164,0.6560150375939849
0OH28bnOdEE_000058,0.36453654059798096,0.3691744153282615
0OLYyjqNdn4_000352,0.7152309289050337,0.7098855717112621
0Olm321vgk8_000030,0.027635619242579325,0.02278481012658228
0PHUQku2P5I_000050,0.7291617473435655,0.7871299982689978
0QSPtpp1HN8_000030,0.6664002131628031,0.6221780428539871
0QabiRBcEKc_000050,0.3894907595156712,0.4172304636583701
0RZRFj7zDnQ_000030,0.48636300706077806,0.48118978974755644
0Rqa18lmDtw_000153,0.10969853574504737,0.09516363636363637
0T966F09Q_8_000000,0.43513931888544893,0.4281578546396465
0TSOlaZXXM8_000080,0.6079167377580618,0.5430247997601405
0U9_6RyH3_M_000030,0.37534246575342467,0.36036036036036034
0UF1FHDPM1A_000030,0.6106002005443346,0.6186972326454033
0UeEkqkZmvo_000160,0.5471908324049021,0.5550397877984085
0W1En_XsDnM_000000,0.3953262158956109,0.3837849280270957
