dataset,group,seed,sample_index,sample_id,mean_spearman,mean_top10_jaccard,mean_map_mae,matched_minus_wrong_abs_mean
vggss,C2,12345,117,064Ilsz8Fzg_000051,0.9713520408163264,0.8863636363636365,0.00022166351664054673,0.0001509031862951815
vggss,C2,12345,118,06si40RVDco_000030,0.9317857142857142,0.6773643023643023,0.00035935094911110355,0.00028324470622465014
vggss,C2,12345,119,076qdKSC8nU_000030,0.9778061224489795,0.7074592074592074,0.0002463066357449861,0.000177290930878371
vggss,C2,12345,120,077aWlQn6XI_000030,0.9601785714285713,0.7453379953379954,0.00029614810955536086,0.00016065675299614668
vggss,C2,12345,121,09NfjFeq2cs_000078,0.9398852040816326,0.7462121212121212,0.0003535230989655247,0.0003279154479969293
vggss,C2,12345,122,09pZj6CEvRw_000250,0.9891964285714285,0.8674242424242424,0.00043630020081764087,0.0004073723976034671
vggss,C2,12345,123,0CEsVHHkwww_000030,0.9852423469387754,0.7992424242424243,0.0005379659014579374,0.000506173528265208
vggss,C2,12345,124,0CzC0-cXe8M_000030,0.9845408163265306,1.0,0.00030624020837421995,0.0002727988758124411
vggss,C2,12345,125,0Dt2-TtqvJU_000030,0.9879209183673469,0.9772727272727273,0.0002642723447934259,0.00019778120622504503
vggss,C2,12345,126,0E6KS8B6DMc_000540,0.9465561224489796,0.7651515151515151,0.0006389907721313648,0.0006052708486095071
vggss,C2,12345,127,0EOQco76eXQ_000030,0.9904464285714285,1.0,0.0004512179693847429,0.00039126930641941726
vggss,C2,12345,128,0F04c_rY4aw_000000,0.9761096938775509,0.9090909090909092,0.0004546885447780369,0.00042683008359745145
vggss,C2,12345,129,0FEd3Pd-ksw_000397,0.9068239795918367,0.5567765567765568,0.00032491351885255426,0.0002470823237672448
vggss,C2,12345,130,0FHSJnza9P8_000046,0.984515306122449,0.9356060606060606,0.000422094133682549,0.00040192605229094625
vggss,C2,12345,131,0G50t4FlbIA_000060,0.9755739795918367,0.8181818181818182,0.00032289340742863715,0.0002609497169032693
vggss,C2,12345,132,0H814XXq-WQ_000030,0.9598979591836734,0.7651515151515151,0.0002569922198745189,0.00019703819998539984
vggss,C2,12345,133,0HBJuYt2Eys_000032,0.9472321428571427,0.787004662004662,0.000352396433299873,0.00028292019851505756
vggss,C2,12345,134,0HXYdGGKV2k_000030,0.9883801020408162,0.9090909090909092,0.0008679639377078274,0.0009306491119787097
vggss,C2,12345,135,0IqPUUWnnd8_000085,0.9873086734693878,1.0,0.0003213699601474218,0.0002716545423027128
vggss,C2,12345,136,0Iy18mslB4A_000170,0.9139540816326529,0.7424242424242424,0.000495585192766157,0.00047834080760367215
vggss,C2,12345,137,0IzhjqyDzt8_000000,0.9837882653061223,0.9772727272727273,0.0006171742970764171,0.0006402663420885801
vggss,C2,12345,138,0JkiTl-4B5E_000017,0.9895025510204081,0.821969696969697,0.0003253119903092738,0.0001655916275922209
vggss,C2,12345,139,0K92tp-4GEk_000108,0.8896301020408163,0.6468531468531469,0.00023719891942164395,0.0001583037810632959
vggss,C2,12345,140,0LwSy-xZSPw_000112,0.9854719387755101,0.8636363636363638,0.00023196939400804695,0.0002011015167227015
vggss,C2,12345,141,0MU2SG5ME1E_000016,0.9960076530612244,0.9318181818181819,0.00021195402223384008,8.734095172258094e-05
vggss,C2,12345,142,0N0C0Wbe6AI_000030,0.9848086734693877,0.8863636363636365,0.0003813134135270957,0.0003467458882369101
vggss,C2,12345,143,0NIE-eDk92M_000029,0.9642219387755101,0.8863636363636365,0.0005901367676415248,0.0005914042703807354
