sample_id,sample_index,d_pos,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,group,delta_iou,aud_iou,ogl_iou,aud_precision,aud_coverage,aud_area,aud_gap,aud_auroc,aud_nearfp_response,auto_taxonomy
ADtA2TMXVvo_000042,1044,6.627933180425316e-05,0.00048262589371,0.000117446463264,0.0006801014533266,0.0004163465619057468,False,0.6929390289470497,0.7585035481438175,B_close,0.0095949792671048,0.2875769885991351,0.2971719678662399,0.2906430037745844,0.9646154046058656,0.300960618622449,0.174040675163269,0.8418121337890625,0.6508454084396362,OVER
ADtA2TMXVvo_000092,1045,5.943558062426746e-05,0.0004258629414835,0.0003208762500435,0.0004741410375572,0.00036642736085923253,False,0.6929639836631419,0.7550555862249392,B_close,0.0066607402316559,0.4012226689431073,0.4078834091747632,0.4174306669722668,0.911764681339264,0.3478156887755102,0.1155499815940857,0.728363037109375,0.6889875531196594,OVER
AEwl00_Vv9s_000052,1046,1.0307590855518356e-05,2.543283790146233e-05,9.418412446393631e-06,4.747714046970941e-05,1.5125247045943972e-05,False,0.693139617965019,0.42319712294421324,B_close,-0.04435538290085,0.6162797708772988,0.5719243879764487,0.8250726509525347,0.7089055180549622,0.246890943877551,0.1520686149597168,0.767120361328125,0.569489061832428,GOOD
AF0CtMb81t8_000030,1047,1.0072362783830611e-05,3.1114583180169575e-05,1.4272049156716092e-05,4.037783219246194e-05,2.1042220396338962e-05,False,0.6931366595050941,0.5108953672805877,B_close,-0.0358122891850881,0.503696270279311,0.4678839810942228,0.914379402477532,0.5286291241645813,0.3282047193877551,-0.0479132533073425,0.4681243896484375,0.6671834588050842,GOOD
AF7sah5a_DE_000030,1048,9.531968680676071e-05,0.0002048627156909,0.0001003176657832,0.0003406275354791,0.0001095430288841393,False,0.6930924105454627,0.36492155305496765,B_close,-0.0294363062150051,0.541029207232267,0.5115929010172618,0.9468357673584422,0.5579797625541687,0.4667171556122449,-0.0579046010971069,0.479583740234375,0.6574602127075195,GOOD
AFACjpDiMSQ_000062,1049,3.446273694862612e-05,0.0001332540678049,5.676391810993664e-05,0.0002021307154791,9.879133085627389e-05,False,0.693097786114483,0.5890365632258464,transition,0.0781007061504718,0.4122427805637212,0.4903434867141931,0.4178058184367332,0.9687119126319884,0.5685985331632653,0.0936659574508667,0.7617874145507812,0.7349610924720764,OVER
AGA3hiGZJCo_000000,1050,1.8312144675292075e-05,2.952027648461808e-05,1.3181180293031504e-05,4.611578697222285e-05,1.1208131809326005e-05,False,0.6931415765097434,0.2343208080045733,A_ogl_help,0.1399458262717968,0.2461119472514871,0.3860577735232839,0.2461119472514871,1.0,0.5561623086734694,0.0963423252105712,0.7520294189453125,0.7921974658966064,OVER
AGDQXlgdzhA_000285,1051,4.593848279910162e-05,5.524038715520874e-05,1.732679083943367e-05,0.0001247607433469,9.301904356107116e-06,False,0.6931425296185829,0.09193524565329064,B_close,-0.0047319241929604,0.4817057924711765,0.4769738682782161,0.985618462937699,0.4851155579090118,0.3506058673469387,0.0805062055587768,0.6009063720703125,0.5218145847320557,GOOD
AGTyP86x_Sc_000110,1052,2.54085043707164e-05,2.4470742800986045e-05,1.3095744179736355e-05,4.555717168841511e-05,-9.377615697303554e-07,True,0.6931476494408401,-0.01880063561708549,transition,-0.0708403708632802,0.7950929788587994,0.7242526079955192,0.9610700397418914,0.8215525150299072,0.4663783482142857,0.1777705550193786,0.819122314453125,0.5736216902732849,GOOD
AHIV0RMwnN8_000150,1053,1.96330547623802e-05,3.631837807915872e-05,1.5277842976502143e-05,6.057143764337525e-05,1.668532331677852e-05,False,0.693138837933087,0.2982108262682477,B_close,-0.0391704471021642,0.0444964871194379,0.0053260400172736,0.0444964871194379,1.0,0.3318917410714285,-0.0221654772758483,0.4199371337890625,0.6915014386177063,OVER
