sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1187,BT2JPFpMrzM_000018,OGL_RESCUE,SHRINK,0.5627590880102041,0.48965640943877553,9.175753685905727,1,1,13875.0,13774.0
1192,BWVovghBe2c_000030,OGL_RESCUE,SHRINK,0.24748883928571427,0.22042410714285715,6.667121562766167,1,1,12418.0,11060.0
1201,BaZGT-2NhEA_000157,IMG_ONLY,MIXED,0.271484375,0.25217235331632654,2.9709770500143864,1,1,6459.0,6459.0
1201,BaZGT-2NhEA_000157,OGL_RESCUE,MIXED,0.271484375,0.25217235331632654,2.9709770500143864,1,1,6459.0,6459.0
1203,BbVoVbQHoXo_000030,IMG_ONLY,SHRINK,0.5204480229591837,0.2861926020408163,27.77162143149278,1,1,13515.0,10999.0
1209,Bg2XkNb5LZE_000140,OGL_RESCUE,SHRINK,0.4995615433673469,0.3452646683673469,19.493831264149495,1,1,9319.0,8814.0
1212,Bho0lwcxn1g_000020,OGL_RESCUE,SHRINK,0.41244818239795916,0.36780532525510207,17.919664925352304,1,1,18082.0,16066.0
1215,BioGVnRl7OE_000127,OGL_RESCUE,MIXED,0.4557557397959184,0.44790338010204084,3.719496063264346,1,1,8838.0,8833.0
1216,BjHakHE9geo_000011,IMG_ONLY,SHRINK,0.5717673788265306,0.35640545280612246,11.219084215247815,1,1,10416.0,9817.0
1216,BjHakHE9geo_000011,OGL_RESCUE,SHRINK,0.5717673788265306,0.35640545280612246,11.219084215247815,1,1,10416.0,9817.0
1222,Bpw53tN6h8E_000030,IMG_ONLY,SHRINK,0.7689333545918368,0.38681839923469385,45.062410242019524,1,2,15103.0,15058.0
1222,Bpw53tN6h8E_000030,OGL_RESCUE,SHRINK,0.7689333545918368,0.38681839923469385,45.062410242019524,1,2,15103.0,15058.0
1226,BqmRiPZgeVY_000296,OGL_RESCUE,MIXED,0.5862364477040817,0.5935108418367347,5.536706896784303,1,1,11732.0,11589.0
1235,BymkWsAcLR4_000000,OGL_RESCUE,MIXED,0.33352598852040816,0.3223453443877551,5.416510778835447,1,1,9328.0,8404.0
1241,C1tpllWtBVk_000000,IMG_ONLY,SHRINK,0.5065768494897959,0.42418686224489793,5.690106614480453,1,1,11176.0,11115.0
1241,C1tpllWtBVk_000000,OGL_RESCUE,SHRINK,0.5065768494897959,0.42418686224489793,5.690106614480453,1,1,11176.0,11115.0
1246,C5enZKUmB4k_000030,OGL_RESCUE,SHRINK,0.7737763073979592,0.6784119897959183,3.1256319183763184,1,1,16892.0,16892.0
