dataset,model,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage1,AddFP,953.176424970919,252.0,0.0,1175.5,1175.5,909.9952404032571,996.4525155098876,5158
vggss,cram_c3_stage1,entropy,3.8874180545553663,3.8879258288706042,3.8861520716631466,3.8892602202148328,0.003108148551686174,3.887349023233135,3.88748936398403,5158
vggss,cram_c3_stage1,normalized_entropy,0.998868847167122,0.9989993193565714,0.9985435539122318,0.999342190106507,0.0007986361942752263,0.9988505468751963,0.9988863193000893,5158
vggss,cram_c3_stage1,iou,0.41282245599816375,0.4393080252385132,0.2542837037866855,0.5717964977460439,0.3175127939593584,0.4073179231554951,0.4180227677695539,5158
vggss,cram_c3_stage1,raw_range,0.007167431782099074,0.007077531889081001,0.005952370353043079,0.008243727730587125,0.0022913573775440454,0.007118850910933035,0.007215120306449966,5158
vggss,cram_c3_stage2,gt_response,0.7630600732678217,0.7671635448932648,0.6967043280601501,0.8366215527057648,0.13991722464561462,0.7602917386945756,0.7657847635790451,5156
vggss,cram_c3_stage2,nearfp_response,0.7203488923293616,0.7280491590499878,0.657426118850708,0.7902653515338898,0.13283923268318176,0.7176454790509099,0.7230028936444538,5075
vggss,cram_c3_stage2,gt_nearfp_gap,0.045514206909781016,0.05573827028274536,-0.007843852043151855,0.10921585559844971,0.11705970764160156,0.04304520336689033,0.047976200884492524,5075
vggss,cram_c3_stage2,gt_vs_nearfp_auroc,0.6255593936957632,0.6423263549804688,0.5099868774414062,0.766326904296875,0.25634002685546875,0.6205447916343738,0.6307777934815852,5075
vggss,cram_c3_stage2,coverage,0.8109505163965264,0.8436165084615678,0.6972133272905585,0.982732473917842,0.2855191466272835,0.8061624950251349,0.8157092646165156,5158
vggss,cram_c3_stage2,precision,0.5375669992972066,0.540317993324609,0.2687256634456353,0.8208328036779714,0.5521071402323361,0.5291893991660473,0.5461668396751261,5158
vggss,cram_c3_stage2,background_response,0.4559084708169175,0.45623114705085754,0.38395169377326965,0.5271022319793701,0.14315053820610046,0.4531863607085381,0.45865389246648947,5155
vggss,cram_c3_stage2,pred_area_ratio,0.43028378031005926,0.41492944834183676,0.3300731425382653,0.5179717394770409,0.18789859693877559,0.4267548522917825,0.4338626115754591,5158
vggss,cram_c3_stage2,fp_area_ratio,0.2007299254279067,0.1746552136479592,0.07103495695153061,0.30098054846938777,0.22994559151785715,0.19644635151424797,0.20468852846587993,5158
vggss,cram_c3_stage2,RemoveFP,3887.74098487786,3100.0,1334.0,5527.75,4193.75,3798.6991178751455,3979.9346306708026,5158
vggss,cram_c3_stage2,RemoveTP,1497.0044590926716,654.5,26.0,2112.0,2086.0,1439.0132706475379,1552.8438687475766,5158
vggss,cram_c3_stage2,AddTP,441.61147731678943,0.0,0.0,246.75,246.75,407.88403935633966,474.88593447072503,5158
vggss,cram_c3_stage2,AddFP,1053.7047305157037,284.0,0.0,1248.75,1248.75,1001.9968980224893,1106.6154808065141,5158
vggss,cram_c3_stage2,entropy,5.27423893660198,5.274738889129386,5.273085729181997,5.275898377473899,0.00281264829190242,5.274175170391313,5.274298139408076,5158
vggss,cram_c3_stage2,normalized_entropy,0.9992656994251236,0.999360421226313,0.9990472109127592,0.9995800997326305,0.0005328888198713466,0.9992534444666523,0.9992774714311442,5158
vggss,cram_c3_stage2,iou,0.4297730128644223,0.45864651389883015,0.25689310695787726,0.6021841884207982,0.345291081462921,0.42376246320895206,0.4353933344725145,5158
vggss,cram_c3_stage2,raw_range,0.001847050325558985,0.0018177444580942392,0.001528861583210528,0.0021311723394319415,0.0006023107562214136,0.0018349893666112205,0.001859205247671235,5158
vggss,short_step000,gt_response,0.7305637703958503,0.7346741855144501,0.6496629416942596,0.8229573369026184,0.17329439520835876,0.7273237360440501,0.7339216317626004,5156
vggss,short_step000,nearfp_response,0.7022879808612645,0.7145625948905945,0.6330508887767792,0.7819822430610657,0.1489313542842865,0.6992089764581526,0.7052198093540122,5075
vggss,short_step000,gt_nearfp_gap,0.031249542444797572,0.04461401700973511,-0.03240358829498291,0.10546976327896118,0.1378733515739441,0.028149999679896634,0.03439220981806369,5075
vggss,short_step000,gt_vs_nearfp_auroc,0.5936013639656309,0.6062774658203125,0.47228851318359377,0.7336273193359375,0.26133880615234373,0.5884924743848271,0.5986382535821296,5075
vggss,short_step000,coverage,0.7520205079806941,0.7704168291121207,0.6136335232200678,0.9489269658333898,0.33529344261332195,0.7462672574350736,0.7579551084549919,5158
