dataset,model,reference,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage2,cram_c3_stage2,coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,cram_c3_stage2,cram_c3_stage2,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,cram_c3_stage2,cram_c3_stage2,pred_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,cram_c3_stage2,cram_c3_stage2,gt_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156
vggss,cram_c3_stage2,cram_c3_stage2,nearfp_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
vggss,cram_c3_stage2,short_step000,gt_nearfp_gap,0.014264664464983447,0.012498617172241211,-0.004999995231628418,0.031126201152801514,0.03612619638442993,0.013428328362077916,0.015097300879400352,5075
vggss,cram_c3_stage2,short_step000,gt_vs_nearfp_auroc,0.03195802973013229,0.0279388427734375,0.004302978515625,0.05525970458984375,0.05095672607421875,0.030640911293781825,0.03330787710508404,5075
vggss,cram_c3_stage2,short_step000,coverage,0.058930008415832506,0.03387236864224741,0.0,0.089251409135573,0.089251409135573,0.05644768360529642,0.061476274382630224,5158
vggss,cram_c3_stage2,short_step000,precision,-0.008079024507374839,-0.0018690370225942776,-0.024522589284837304,0.012872905197657068,0.03739549448249437,-0.009207421347438344,-0.006908763242518978,5158
vggss,cram_c3_stage2,short_step000,pred_area_ratio,0.04362813118837589,0.03408003826530612,0.002117546237244909,0.0751056281887755,0.07298808195153059,0.04191716387474678,0.04524116337711109,5158
vggss,cram_c3_stage2,short_step000,gt_response,0.032496302871971375,0.02566307783126831,0.002437770366668701,0.05562591552734375,0.05318814516067505,0.03132098104986828,0.03368444168763893,5156
vggss,cram_c3_stage2,short_step000,nearfp_response,0.018060911468097143,0.013086974620819092,-0.012560069561004639,0.04318961501121521,0.05574968457221985,0.016807209563592974,0.01944787922068476,5075
vggss,short_step000,cram_c3_stage2,gt_nearfp_gap,-0.014264664464983447,-0.012498617172241211,-0.031126201152801514,0.004999995231628418,0.03612619638442993,-0.01516726279633092,-0.013345279712248321,5075
vggss,short_step000,cram_c3_stage2,gt_vs_nearfp_auroc,-0.03195802973013229,-0.0279388427734375,-0.05525970458984375,-0.004302978515625,0.05095672607421875,-0.03335181464038343,-0.030660851897741023,5075
vggss,short_step000,cram_c3_stage2,coverage,-0.058930008415832506,-0.03387236864224741,-0.089251409135573,0.0,0.089251409135573,-0.06134947772958589,-0.05633331221786088,5158
vggss,short_step000,cram_c3_stage2,precision,0.008079024507374839,0.0018690370225942776,-0.012872905197657068,0.024522589284837304,0.03739549448249437,0.006944113746718538,0.009224630076473865,5158
vggss,short_step000,cram_c3_stage2,pred_area_ratio,-0.04362813118837589,-0.03408003826530612,-0.0751056281887755,-0.002117546237244909,0.07298808195153059,-0.045264979602161,-0.04196660761100376,5158
vggss,short_step000,cram_c3_stage2,gt_response,-0.032496302871971375,-0.02566307783126831,-0.05562591552734375,-0.002437770366668701,0.05318814516067505,-0.033645149250785746,-0.03134085617394492,5156
vggss,short_step000,cram_c3_stage2,nearfp_response,-0.018060911468097143,-0.013086974620819092,-0.04318961501121521,0.012560069561004639,0.05574968457221985,-0.019361680572549698,-0.016765308728505828,5075
vggss,short_step000,short_step000,gt_nearfp_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
vggss,short_step000,short_step000,gt_vs_nearfp_auroc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
vggss,short_step000,short_step000,coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,short_step000,short_step000,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,short_step000,short_step000,pred_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,short_step000,short_step000,gt_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156
vggss,short_step000,short_step000,nearfp_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
vggss,short_step016,cram_c3_stage2,gt_nearfp_gap,-0.013767028345263064,-0.012729108333587646,-0.02953973412513733,0.0031959712505340576,0.03273570537567139,-0.014518749296591787,-0.012988355414033523,5075
vggss,short_step016,cram_c3_stage2,gt_vs_nearfp_auroc,-0.02940204315391055,-0.0264739990234375,-0.0528106689453125,-0.0016541114220252405,0.05115655752328726,-0.030843850184127136,-0.02808153937781852,5075
vggss,short_step016,cram_c3_stage2,coverage,-0.04679537284421394,-0.022533394901493975,-0.0741234278215506,0.0,0.0741234278215506,-0.049016122103270617,-0.04456763411255711,5158
vggss,short_step016,cram_c3_stage2,precision,0.0014073555991475173,-0.0005617479586611518,-0.017700128416702963,0.017003092779870263,0.03470322119657322,0.0003683636756102227,0.002531320910044066,5158
vggss,short_step016,cram_c3_stage2,pred_area_ratio,-0.030542876820779687,-0.021922831632653073,-0.062076490752551006,0.008764150191326536,0.07084064094387754,-0.0321981239259984,-0.02894190976262973,5158
vggss,short_step016,cram_c3_stage2,gt_response,-0.02540868588364152,-0.019640624523162842,-0.046666219830513,0.0029651522636413574,0.04963137209415436,-0.026519978216352897,-0.024312789774304032,5156
vggss,short_step016,cram_c3_stage2,nearfp_response,-0.011537206451881108,-0.007101833820343018,-0.036077290773391724,0.018332213163375854,0.05440950393676758,-0.012762926222655574,-0.010348622813600628,5075
vggss,short_step016,short_step000,gt_nearfp_gap,0.0004976361197203839,-0.0005983114242553711,-0.005197495222091675,0.004905134439468384,0.010102629661560059,0.00021871577041783356,0.0007593305427305803,5075
vggss,short_step016,short_step000,gt_vs_nearfp_auroc,0.0025559865762217354,0.001434326171875,-0.00586700439453125,0.0102386474609375,0.01610565185546875,0.0021081319951375813,0.0029789888644490164,5075
vggss,short_step016,short_step000,coverage,0.01213463557161857,0.00904198665491629,0.0,0.019231657548498093,0.019231657548498093,0.011472702245421131,0.012925729783799253,5158
