dataset,model,sample_id,AUD,IMG_QUERY,OBJ_PRIOR,IQR,OGL,EXTRA_IQR_OGL
vggss,short_step000,XMVoH1JjXw8_000030,0.020242914979757085,0.019598527140990616,0.07375949932945909,0.020101114698178716,0.03019213174748399,0.023282065754197827
vggss,short_step000,XMWD4ECxcNk_000029,0.49858101565890955,0.6112730184147318,0.5230703442377592,0.557823354283824,0.594190170579294,0.5890894689944226
vggss,short_step000,XOj6xGKEsUw_000035,0.541624566181962,0.5421415319374503,0.4999310820124052,0.5411266860618884,0.5268365410680401,0.5329135405501965
vggss,short_step000,XQXsAZJqDig_000030,0.32272994416691153,0.4088741721854305,0.610665321656197,0.38742536002809974,0.4750654177253593,0.4249903179241629
vggss,short_step000,XR7vOriQ9VY_000194,0.45794773435626945,0.42428357035660685,0.3593382881802925,0.4460502348768095,0.5141777841533974,0.5042365801847387
vggss,short_step000,XS-3djsJWTA_000360,0.5775276718444796,0.5690337078651685,0.6256737982772993,0.5742338043677739,0.6279255319148936,0.6155509731931801
vggss,short_step000,XS_Nwd8dxE0_000030,0.20324479207000698,0.22118590103756977,0.3290575209289765,0.20953179168730238,0.26483174479673216,0.23568386180785614
vggss,short_step000,XTFD-XHCo2Q_000000,0.5379981464318814,0.551380231522707,0.7647167544589225,0.5515439429928741,0.6618488838008014,0.5912650410644935
vggss,short_step000,XUCh79kkapE_000049,0.6522838970800809,0.6433375292213631,0.4994453451659698,0.6488943400310234,0.6158020064800718,0.6357499156133969
vggss,short_step000,XUlxqSC9j9s_000007,0.6045661390066509,0.6184118637801421,0.5640435956404359,0.6076155650065583,0.6731989945895284,0.6456642029161113
vggss,short_step000,XVi3kxnZ9h4_000045,0.2559016393442623,0.2704845326532875,0.09521480964023751,0.2621551676669787,0.26845715614463433,0.2681887699366397
vggss,short_step000,XVqQKMMGoUs_000061,0.5384177575412635,0.5158023031016222,0.5766520838130325,0.5260504896087262,0.5553168635875403,0.5412186379928315
vggss,short_step000,XXkTYV7NqIA_000275,0.5835836247685662,0.6459619759506012,0.5083022077585888,0.608047201507826,0.5767397913072057,0.5966041914448591
vggss,short_step000,XYLDjkXAuec_000380,0.31257637225670853,0.38262849707221863,0.05736599219027334,0.35338818420751916,0.29987632004566644,0.3161850002521814
vggss,short_step000,XZ5oHxjfHKY_000030,0.0883984712119344,0.12897178742150156,0.3191577780856074,0.10256854506865336,0.1521085105298047,0.12116808211090421
vggss,short_step000,XZPPLt35KxU_000000,0.1260543580131209,0.14363706638322543,0.060640920295809364,0.12825711820534944,0.1373312078019505,0.1294559099437148
vggss,short_step000,XZbFXz54Suo_000000,0.3707632881780099,0.3323248841646225,0.31382803943044907,0.3583170041367298,0.343139935473287,0.36087501362100904
vggss,short_step000,XZhLMTOmM9w_000030,0.4762860839691251,0.5210628019323672,0.6259650548557497,0.4950939553827641,0.5969000769484445,0.5481991259356005
vggss,short_step000,X_nfMNpw9SA_000060,0.5517113941323629,0.4900287331797104,0.3614949748743719,0.5239449436924127,0.4765056631765142,0.5042691256830601
vggss,short_step000,XaIep0xC8BA_000117,0.6588582239038504,0.6878385618191559,0.6048147342469726,0.6718525747746713,0.7175607221717106,0.7010816125860374
vggss,short_step000,Xb7lSqbJYog_000490,0.6337652940402578,0.6376630631222686,0.5634138503561673,0.6352325466574503,0.6440060428330223,0.6515794730927706
vggss,short_step000,XcyHfR180hA_000008,0.367353239536012,0.3766789600692073,0.40821917808219177,0.3727293115048217,0.4375,0.41423487544483983
vggss,short_step000,XdNW5tS4u3w_000014,0.019842233009708738,0.03696405111668458,0.5300835982573885,0.026622596153846153,0.2220109103648466,0.16056321705875537
vggss,short_step000,Xecb_5XO81Q_000010,0.5676753691983122,0.5531803450420664,0.4603960396039604,0.5597447032504277,0.5200960608385311,0.5268070688280627
vggss,short_step000,XfLIbeSJSHE_000300,0.4187304890738814,0.4316947500348141,0.41783673181401254,0.4266450155323355,0.4377037562012757,0.43154574132492113
vggss,short_step000,XgDKqGfheRE_000030,0.35420907980456023,0.3718376601870016,0.430861070004264,0.3603472858743253,0.358087487283825,0.3653063301445146
vggss,short_step000,Xh8CKz7QH40_000030,0.5818110686448584,0.6223990937816729,0.6069905137836633,0.5957829699169191,0.5959232613908872,0.6077253742263955
vggss,short_step000,XiQhJPkvn1I_000654,0.2773529533336089,0.3295839677783781,0.3931882305521967,0.29677134011499334,0.3342681155791477,0.3160472893410579
vggss,short_step000,XjkUtn062ho_000000,0.6605193611398369,0.5865029950721473,0.3575649222750826,0.6284806251275622,0.5508629198695899,0.6077243018419489
vggss,short_step000,Xo5rIluWHhI_000007,0.2797555533999418,0.2728864077210579,0.394861078863865,0.2792003485163851,0.37534282356014104,0.3175861689241273
vggss,short_step000,Xp-u8qRkJZA_000014,0.6953305033353547,0.6813515825491874,0.808686592433418,0.6939273725968874,0.7718362362619705,0.7281980397084694
vggss,short_step000,Xq6M-3Kh_PU_000020,0.5386518015357353,0.52720464332522,0.7603564637011074,0.5338071670449894,0.6232195342527697,0.5745932978484144
vggss,short_step000,XrNfbjSoitY_000080,0.4751661333989663,0.46801034009209147,0.21656613776941105,0.4890094979647218,0.3990611937230179,0.46655613070203816
vggss,short_step000,Xr_wJ4xCnUA_000141,0.38551283817922927,0.39717528373266076,0.2946728024335075,0.39251622756777393,0.38241258017794333,0.3971458867190952
vggss,short_step000,XrfEKRcnKxs_000030,0.1513228385395203,0.14305750350631136,0.12290801981523632,0.14621326750019908,0.14449866204942546,0.145333649964379
vggss,short_step000,XrjkzI6TVwc_000030,0.5317070800330433,0.44324721969795317,0.5302470888952002,0.495633288665034,0.6034746436655044,0.5550157492926165
vggss,short_step000,XryEq7dg_fY_000082,0.6412108606442183,0.6915735698647055,0.6433157721435627,0.6583885829868524,0.6489274971184392,0.6532516440897083
vggss,short_step000,XuaJVdMCCoU_000030,0.5127037899640059,0.4918550590907478,0.4719377304383449,0.5024243496726243,0.5139737050075437,0.5090759958632003
vggss,short_step000,XvXsYOMYa0k_000157,0.031231628453850677,0.0317472174497647,0.002777213303529093,0.03240564239420511,0.025228462079200188,0.03286790084719172
vggss,short_step000,XvkNRGfbdw8_000017,0.07893453614531269,0.07739660530719579,0.14584984712943042,0.07765185584937338,0.10105345298478345,0.08991182392557107
vggss,short_step000,Xw_JU2taiVM_000423,0.13028700906344412,0.1128680479825518,0.32065680427542403,0.12211308733740377,0.20904867703494243,0.15640347563279183
vggss,short_step000,XwfxT99WlZE_000015,0.6420095546309138,0.6134528155769443,0.5773885557167291,0.6279623990467363,0.6776547174345195,0.65535334021207
vggss,short_step000,Xx13khTTtJ0_000159,0.655580121118908,0.6853387259858443,0.6254297469424562,0.6697539939233559,0.6685997910135841,0.6702809017096172
vggss,short_step000,Xx2YziXzVkg_000030,0.6083696599825632,0.5629949283744106,0.4110489823305748,0.5916941331575478,0.5369145276528182,0.5691035453505763
vggss,short_step000,Xx8lx5KT2ks_000000,0.673708276177412,0.6789036805011747,0.5919164701919838,0.6778862439565178,0.6606645569620253,0.6715010426068283
vggss,short_step000,XyIAPpcvVro_000000,0.251716621253406,0.25328027532802755,0.0,0.25443948142499184,0.2066859817249833,0.24219115430590926
vggss,short_step000,XySWOKnenIA_000000,0.14790043038269163,0.19396059937628357,0.11903088242185669,0.16932376776936361,0.1059322033898305,0.13045480124827338
vggss,short_step000,XyVZgPZ1clo_000852,0.45071821832181147,0.4352017572404816,0.5561368718619467,0.44231559904613105,0.48001178252819393,0.4665753197143332
vggss,short_step000,XzqUa_35-xs_000002,0.4787695645436231,0.4359235298393545,0.39894469047394704,0.4637560532687651,0.44966264204545453,0.4608103620059781
vggss,short_step000,Y-qOOR0izlE_000102,0.583544921875,0.5823443993790997,0.5608982556652514,0.5810704058457589,0.5963275135460566,0.5950096923306327
vggss,short_step000,Y0zPnwGCSw0_000014,0.39447939472881965,0.3842811786330975,0.42103896103896105,0.39064886026043255,0.40834767641996556,0.398155956597515
vggss,short_step000,Y0zPnwGCSw0_000048,0.6521637042428796,0.6455535731054559,0.523326144036009,0.6386975431997178,0.5925376647834275,0.6172
vggss,short_step000,Y16pPj3zfo4_000007,0.4446445762553958,0.4930315737543167,0.6072192940424852,0.459524768425292,0.52424327792907,0.486592544146501
vggss,short_step000,Y3AK50PotkQ_000030,0.06684001733506684,0.06814112690889942,0.18491484184914841,0.06719852715556919,0.08035678412149946,0.0719798958894274
vggss,short_step000,Y3Iu9Xq-TaU_000453,0.1276383834514461,0.10131769243130323,0.31737626972120164,0.11874769797421732,0.19400086318515322,0.1413447782546495
vggss,short_step000,Y3Iu9Xq-TaU_000505,0.2238702201622248,0.23283053846802057,0.32463739900710603,0.23034829845023166,0.27597216927182616,0.2099467526352012
vggss,short_step000,Y3yXAMiFgyI_000030,0.4145171508733822,0.3374533106960951,0.19287098373214367,0.38444303625582765,0.47979375381623285,0.438298935131576
vggss,short_step000,Y4Rul-qYAGQ_000400,0.6883533106852124,0.6777289836888332,0.5400639056163206,0.6801732925586137,0.6634379520724574,0.6738539361365792
vggss,short_step000,Y5PXkSzapQc_000058,0.06739317464869515,0.07411495702909407,0.05696624447003212,0.06998213222156045,0.06571128975882559,0.06936757434875655
vggss,short_step000,Y5Qrawu3guY_000030,0.06624449339207049,0.048888124713434206,0.014924346629986245,0.0587902450065071,0.036097189621264986,0.04549319727891157
vggss,short_step000,Y5oaCVCDhYI_000033,0.7229813664596273,0.7328579418344519,0.4582757667864051,0.7254821389436774,0.7396220472440945,0.7413376778285282
vggss,short_step000,Y5t8KSDEeOs_000000,0.35048217851225627,0.27225977079047897,0.29668536866817874,0.3160694798108403,0.36567780698460384,0.3509836841878686
vggss,short_step000,Y6-EXl7Njzg_000030,0.21611001964636542,0.27405877833269304,0.13869211404484516,0.2332174268766619,0.22936082086039725,0.23348053984894135
vggss,short_step000,Y612uIsQ9HM_000012,0.7064768029398254,0.7654730668313011,0.5645099739809193,0.7444195595371407,0.6881087445146099,0.7182944606413995
vggss,short_step000,Y6lUctPmnoc_000007,0.7591076545231273,0.7173249159545256,0.4463483439556995,0.7410325947909737,0.680397544877886,0.7159285915529032
vggss,short_step000,Y7aU3aCEf5A_000030,0.6643702066813987,0.692493627494067,0.4890040074284039,0.676672047467388,0.6400200876552228,0.6659101023587005
vggss,short_step000,Y8JivjKVBIg_000134,0.5241407227496871,0.4819338237958903,0.5843094422055667,0.5015019415341784,0.5636871508379888,0.5399173614697853
vggss,short_step000,Y8b7Thr-UyQ_000040,0.5074148296593186,0.49256526049124355,0.37237724421371404,0.49781927980317603,0.4875179645499548,0.49091298986758164
vggss,short_step000,Y8x4eyGCecI_000320,0.5668515793048794,0.5999769611795877,0.5756345177664974,0.5753886837185975,0.6116781609195402,0.602425262774719
vggss,short_step000,Y9pGt8ax3PA_000010,0.411831893395812,0.45179258935641536,0.4188272681471147,0.4248540020611474,0.4732927901524033,0.4547223663725999
vggss,short_step000,YBd5lEnpT_8_000000,0.39635624026311234,0.33322466278169444,0.4129478315524827,0.36661804542613047,0.4398395132489749,0.4109724612736661
vggss,short_step000,YCfGy7J2oFo_000051,0.6003774010026475,0.6864973823455304,0.33549582947173306,0.632251720747296,0.49307988284614945,0.5701483225092879
vggss,short_step000,YD0freJ-4q4_000041,0.09472677796572773,0.09936738157691714,0.15046728971962617,0.09627027431048658,0.11360028223672605,0.10482623911451128
vggss,short_step000,YDhSHz_AO5E_000076,0.5357974466718411,0.5456978347254886,0.3791365126492237,0.5303146584804298,0.6171533507487779,0.5823942430224133
vggss,short_step000,YDpyBLAg2Ps_000280,0.039069964964433594,0.03267765049518507,0.05655858511422255,0.03637994617761387,0.04478609625668449,0.0402663450951607
vggss,short_step000,YFmO4K_mdTo_000181,0.16099754361130772,0.14207020882367669,0.17270872567482737,0.15464575544816267,0.16628890903596252,0.1731506164611796
vggss,short_step000,YGj2ZPZ5cew_000290,0.34345091605140826,0.3680757524518093,0.5185319547735655,0.3542223070075035,0.4228992026170517,0.380587034560428
vggss,short_step000,YGv1xUgz2pY_000045,0.5846215298581985,0.5980184643098402,0.48022033049574364,0.5983071545879479,0.5776549241450244,0.5920074744128764
vggss,short_step000,YIN5D9ffrtE_000031,0.17224302451986956,0.36582863006670086,0.6145129657877533,0.20434190728666618,0.3563663626140197,0.24295084760201038
vggss,short_step000,YIvbFqkLIgA_000070,0.3949552908280663,0.4150673926626796,0.6288054845456658,0.4034261494083711,0.4809060493020036,0.41288118436036947
vggss,short_step000,YJGLI8Eurm4_000006,0.1842906517445688,0.18839149915731493,0.5342382000489118,0.18464915846816815,0.22414137380191693,0.19907468605419695
vggss,short_step000,YLGxmdhFdrY_000025,0.5084995025736407,0.43659892305019976,0.42774686703759557,0.46057981262153086,0.6053158641408662,0.5963969386877633
vggss,short_step000,YN5CTUvVDGw_000200,0.39885684593400883,0.41640447000108494,0.5762260585759684,0.40474558397047194,0.47195571955719556,0.4342365786049669
vggss,short_step000,YNNepx1HYM8_000031,0.44684671742565724,0.4928287606433302,0.2678533209673967,0.4648630935042237,0.36784988385598144,0.41790936730852757
vggss,short_step000,YNwgT_8Vniw_000018,0.3154397195549459,0.29512920617215094,0.45779527559055117,0.2996927803379416,0.5007838195063474,0.4061785603954279
vggss,short_step000,YOA1JOyd7cw_000030,0.28366315789473684,0.3059058848299821,0.32008103317295516,0.2917236878118618,0.26789857823904145,0.2787659108151395
vggss,short_step000,YOEGhE-dE4g_000326,0.49941768131286396,0.478502080443828,0.6317989300044583,0.49107996177126473,0.6164383561643836,0.5503152986063272
vggss,short_step000,YP9bqVB-sVg_000030,0.487776596772635,0.531351461038961,0.569490423267912,0.5049647714238898,0.590893760539629,0.5443925975303939
vggss,short_step000,YPiV6baoR8A_000037,0.4293431763181696,0.4503248180530455,0.40950677229746996,0.4376908606747612,0.4659725749111224,0.4563584243562497
vggss,short_step000,YPuFEZZxSdg_000233,0.5341695258450981,0.5845022130789851,0.5140697960186779,0.5780018331805683,0.5015049902307652,0.5330973252416273
vggss,short_step000,YQwQbYsgMLQ_000018,0.5395695864061759,0.5186302417470365,0.5537960633417197,0.5296337593275581,0.5564310439059938,0.5437098336121138
vggss,short_step000,YSLun3TqE08_000150,0.47522708505367467,0.4227747841329611,0.6374620270643468,0.4549431321084864,0.5394387425536497,0.48563640176137557
vggss,short_step000,YSsLH9_cisM_000236,0.2808981696962073,0.2880546955624355,0.5564979123173278,0.28344757552678346,0.34523809523809523,0.3113062874668897
vggss,short_step000,YTFJUFWcRns_000030,0.46637285956938895,0.48195999617188245,0.7951766873220566,0.47330514381301986,0.5845648604269293,0.5116982254386835
vggss,short_step000,YTV9OVmgbBQ_000084,0.32587293252822264,0.3391368154225869,0.3905588955689156,0.33264613952251115,0.3483764446890479,0.33891354040607774
vggss,short_step000,YUcV-grp898_000009,0.4979327492988695,0.5463501757216109,0.4330888155010667,0.5141710921265297,0.4806637933562025,0.501277213352685
vggss,short_step000,YVJWw5RxUeM_000002,0.004339615060071523,0.06037760587386915,0.0,0.024217887375782114,0.0004757373929590866,0.007068900993804316
vggss,short_step000,YVbJ9g851Vg_000025,0.4517762417617746,0.472400197141449,0.7170055593633387,0.462158203125,0.6679627229525397,0.5143290859745159
vggss,short_step000,YWabd_3AEfo_000049,0.7142670635542326,0.7079458354624425,0.4067056204785754,0.7200863032571682,0.5610103836014418,0.6599615090559173
vggss,short_step000,YXqu1CeA2c4_000044,0.605121484734717,0.5374503430841459,0.29786066922654963,0.5784817351598174,0.532687049465573,0.5846107903643241
vggss,short_step000,YY1Qf9Q_Zx8_000037,0.4901923443153685,0.5602960383108402,0.7058177826564215,0.5281625115420129,0.563855421686747,0.5374256185405575
vggss,short_step000,YY3DY_U9oBk_000049,0.22155784528322034,0.2184640302334998,0.33811906315713147,0.21950178695257908,0.26350758853288364,0.2288291345039161
vggss,short_step000,Y_H9pAXuz6M_000070,0.4582622187742436,0.39408572112698537,0.5649028897970994,0.4371010585576656,0.5113563113790619,0.46505365853658537
vggss,short_step000,Ya5GiXz1gbA_000019,0.5954515765097085,0.6164857729539455,0.5463662899483571,0.6111343909009279,0.6430269682766117,0.6344279117496152
vggss,short_step000,YaZx80MEyKs_000060,0.25120206403189865,0.25705028201128044,0.1954914666423291,0.2533112582781457,0.1991354064983963,0.23896915267473642
vggss,short_step000,YbLR6dgY-K4_000030,0.5165748162992652,0.4696944044696521,0.3996420581655481,0.4916575377096149,0.47940140079175186,0.4862640894869927
vggss,short_step000,YbZXTk6NgTo_000030,0.06888253189846978,0.06676055098358491,0.16898741227581598,0.06733244562805149,0.09077852911256058,0.07691917655410202
vggss,short_step000,Yd10enP9ykM_000030,0.21720926875045116,0.25073007926574886,0.2542029230379319,0.22774750227066304,0.21095064498037017,0.21799608780699847
