sample_index,sample_id,Stage1_IoU_AUD,Stage1_IoU_IMG,Stage1_IoU_IQR,Stage1_IoU_OBJ,Stage1_IoU_OGL,Stage1_AUD_IMG_raw_pearson,Stage1_AUD_IMG_raw_spearman,Stage1_AUD_IMG_raw_js,Stage1_AUD_IMG_norm_pearson,Stage1_AUD_IMG_norm_spearman,Stage1_AUD_IMG_norm_js,Stage1_AUD_IMG_mask_iou,Stage1_AUD_IMG_top10_overlap,Stage1_AUD_IMG_top20_overlap,Stage1_AUD_IMG_top30_overlap,Stage2_IoU_AUD,Stage2_IoU_IMG,Stage2_IoU_IQR,Stage2_IoU_OBJ,Stage2_IoU_OGL,Stage2_AUD_IMG_raw_pearson,Stage2_AUD_IMG_raw_spearman,Stage2_AUD_IMG_raw_js,Stage2_AUD_IMG_norm_pearson,Stage2_AUD_IMG_norm_spearman,Stage2_AUD_IMG_norm_js,Stage2_AUD_IMG_mask_iou,Stage2_AUD_IMG_top10_overlap,Stage2_AUD_IMG_top20_overlap,Stage2_AUD_IMG_top30_overlap,Stage2_categories
162,2907554899,0.6669869611754403,0.682832830473317,0.6738367512593406,0.15789223454833598,0.6560208632549701,0.9635671509958664,0.8336783087882955,3.625191046759238e-05,0.9635671509958664,0.8336783087882955,0.000758325734435641,0.9252525252525252,0.1405841572906012,0.24169502010516547,0.36621891450353966,0.689358446144791,0.682832830473317,0.6867407598862755,0.15789223454833598,0.6500380060319251,0.9499288519063233,0.8179172182078085,5.0781598030080576e-05,0.9499288519063233,0.8179172182078085,0.0015353889828798961,0.9592692490763617,0.11325568496949528,0.2253968253968254,0.40151762022252224,
163,2935372113,0.5225448119161827,0.5121902972157658,0.5173005480866943,0.11456637215385847,0.5630883550063662,0.9912571001622472,0.9858758990425673,2.3288226341432614e-05,0.9912571001622472,0.9858758990425673,0.0006731769844335855,0.9458363688194862,0.5723014256619144,0.8141720896601591,0.862188408486423,0.5157406640722033,0.5121902972157658,0.5172230438178163,0.11456637215385847,0.570452145531343,0.9850826398886087,0.9827994526227358,2.3180411513180457e-05,0.9850826398886087,0.9827994526227358,0.0017542707529374485,0.9302926525529265,0.41891700834158063,0.7579260816255036,0.8608072192348105,
164,2961466546,0.3996069612005549,0.39819402100271,0.39305488305509356,0.11767498643516007,0.27352356099334774,0.9016107265205687,0.8862384284592209,4.9688386521372766e-05,0.9016107265205687,0.8862384284592209,0.00513724509251731,0.8335241834342112,0.2276452599388379,0.4358680878460548,0.5044725401029434,0.46666526545882553,0.39819402100271,0.44892597418975155,0.11767498643516007,0.29847604613959755,0.8428981891465527,0.8038348507959586,7.171696344493957e-05,0.8428981891465527,0.8038348507959586,0.0073369295348685035,0.8107080464494913,0.07417317778015627,0.2896427653559496,0.4517311216124988,BOTH_FAIL
165,3012435981,0.37027530531980957,0.4710807815066572,0.4111100249961598,0.4165214898449732,0.5006007073117079,0.908108980713646,0.9198047960715006,0.00010636163769603059,0.908108980713646,0.9198047960715006,0.00689355839567202,0.7671561542464012,0.5444752231455833,0.6954134639749979,0.6604710164910926,0.4311650259457535,0.4710807815066572,0.4559867584093676,0.4165214898449732,0.5115939470770415,0.9014739560699541,0.9163225370291719,0.00011385450903304106,0.9014739560699541,0.9163225370291719,0.007439327090409512,0.8222888984140592,0.45512541684790486,0.5926366738078236,0.628760008656135,OGL_RESCUE_NOT_CAPTURED_BY_IMG;BOTH_FAIL
166,3052033339,0.41579996178309175,0.4113310469606546,0.4117981021384736,0.04099033213228211,0.27803274973086295,0.9592364798047641,0.8209261310523513,2.6434794019219052e-05,0.9592364798047641,0.8209261310523513,0.0009899622454404779,0.9870694953169941,0.24701789264413518,0.3558497703323426,0.46622510105683534,0.3944070429829104,0.4113310469606546,0.40035746201966044,0.04099033213228211,0.262557141655215,0.9249488026259536,0.7148342855263741,4.364277814032546e-05,0.9249488026259536,0.7148342855263741,0.002289461353260209,0.962349540327931,0.20494657221755314,0.29113598353274156,0.36140001808808897,BOTH_FAIL
167,3102685146,0.505886950169048,0.6425317458570832,0.5754452458762787,0.6617797160619838,0.7012172898899337,0.9396076142647165,0.9558316317670273,8.90038025004265e-05,0.9396076142647165,0.9558316317670273,0.003045316995027716,0.7574344720404077,0.4261759272417223,0.6383968655619949,0.7864941846665084,0.5048729407496578,0.6425317458570832,0.5741601380958704,0.6617797160619838,0.7164832447137381,0.9481772179378954,0.9630137583765517,7.494969130320271e-05,0.9481772179378954,0.9630137583765517,0.003398830349630605,0.7382155125133505,0.6799464345497155,0.7041942604856513,0.7799456071893106,
168,3109408703,0.6120900555408622,0.5360426564582835,0.5971803996715028,0.43696961401587736,0.5595572132493841,0.9685411339625223,0.9663358970002235,2.2844893686136663e-05,0.9685411339625223,0.9663358970002235,0.0025184944526744123,0.7405917839701235,0.8287172011661808,0.861103384330088,0.8211844413526103,0.7721466642161368,0.5360426564582835,0.7506483446162137,0.43696961401587736,0.7196272867156779,0.9438196749138436,0.9588827884193989,4.213691330066867e-05,0.9438196749138436,0.9588827884193989,0.003984129151112715,0.5296127188516243,0.7155555555555555,0.7908636688079943,0.7905316997739978,
169,3202731977,0.79367415323311,0.829671407552722,0.8023540272328641,0.5476116944616019,0.801235390608981,0.9850882501305183,0.9879557346764882,4.732449374069881e-05,0.9850882501305183,0.9879557346764882,0.0014592827124757241,0.8748696558915537,0.5807213734446369,0.8177866328563665,0.877517929529155,0.7466113181972213,0.829671407552722,0.7874528858816584,0.5476116944616019,0.8036198863345451,0.969398412081285,0.9723008778247284,9.527065653830205e-05,0.969398412081285,0.9723008778247284,0.004888296778820565,0.8153238347413104,0.6218487394957983,0.8349026419233934,0.8679655022646895,
170,3207674548,0.6151591600504563,0.6385886722376973,0.6232257828504536,0.5695262348135179,0.6580768728507378,0.9819719958931827,0.9672695547911179,2.1393354492589705e-05,0.9819719958931827,0.9672695547911179,0.0011549272982859181,0.9272727272727272,0.2403905574094673,0.6067883445405059,0.7933047414820109,0.6159336279979711,0.6385886722376973,0.6239161194354751,0.5695262348135179,0.671950069597234,0.9788999118840666,0.9790474713131264,2.3964206282953626e-05,0.9788999118840666,0.9790474713131264,0.0027590192988731855,0.9319827346143136,0.5769956002514142,0.7455430907035394,0.8102339005471709,
171,3230152596,0.6547451387344649,0.5610606690976726,0.6370868430126595,0.0900830245828488,0.46100997506234415,0.967886489988215,0.9717761011056717,2.6802921771189412e-05,0.967886489988215,0.9717761011056717,0.0009673335731105342,0.8758150113722517,0.7548522468963106,0.7121897125309221,0.7771087893276666,0.7048133132189327,0.5610606690976726,0.6712212499402286,0.0900830245828488,0.5148176291793313,0.9524461741601918,0.952613195481028,2.467000450287292e-05,0.9524461741601918,0.952613195481028,0.0019165312804503639,0.7726494375510419,0.5277820063936672,0.6044764188649081,0.7212280601452176,
