dataset,sample_id,comparison,pearson,spearman,js_divergence,top10_overlap,threshold_mask_iou,left_entropy,right_entropy,left_effective_active_area,right_effective_active_area,left_effective_active_ratio,right_effective_active_ratio
vggss,nB7FX1TBv34_000030,DECODER_TARGET_vs_AUD,0.4667231319669147,0.5906122448979592,0.0011056174214774798,0.2,0.5,3.890834739271905,3.8861837217513577,48.95173140657912,48.72458468730054,0.99901492666488,0.9943792793326641
vggss,nB7FX1TBv34_000030,IMG_vs_AUD,0.9807058089923018,0.9803061224489796,0.0002013985329335801,0.8,0.8571428571428571,3.8822013682543597,3.8861837217513577,48.53093201970062,48.72458468730054,0.9904271840755229,0.9943792793326641
vggss,nC1p4WWdMgY_000267,DECODER_TARGET_vs_IMG,0.22591192737474614,0.30551020408163265,0.0012678181620222552,0.0,0.4418604651162791,3.889952772323029,3.887363884490418,48.90857663072865,48.78212157139,0.998134216953646,0.9955535014569388
vggss,nC1p4WWdMgY_000267,DECODER_TARGET_vs_AUD,0.24627020023439875,0.32173469387755105,0.001472542522748453,0.0,0.38636363636363635,3.889952772323029,3.8862564974664875,48.90857663072865,48.72813078282881,0.998134216953646,0.9944516486291595
vggss,nC1p4WWdMgY_000267,IMG_vs_AUD,0.9941008818568933,0.9928571428571429,3.0079032702712616e-05,1.0,0.8571428571428571,3.887363884490418,3.8862564974664875,48.78212157139,48.72813078282881,0.9955535014569388,0.9944516486291595
vggss,nCqe6N5e__0_000000,DECODER_TARGET_vs_IMG,0.6778511184945167,0.5709183673469388,0.0008967266953725468,0.4,0.5714285714285714,3.8902357672246226,3.8854556384687484,48.92241946719303,48.68912204318338,0.9984167238202659,0.9936555519017016
vggss,nCqe6N5e__0_000000,DECODER_TARGET_vs_AUD,0.6508170348054151,0.5376530612244897,0.0008568229977998274,0.4,0.5238095238095238,3.8902357672246226,3.885950455958906,48.92241946719303,48.71322023396221,0.9984167238202659,0.9941473517135145
vggss,nCqe6N5e__0_000000,IMG_vs_AUD,0.9927454647436109,0.990204081632653,2.4913509835873162e-05,0.8,0.9166666666666666,3.8854556384687484,3.885950455958906,48.68912204318338,48.71322023396221,0.9936555519017016,0.9941473517135145
vggss,nEX4I5j6H-Y_000151,DECODER_TARGET_vs_IMG,0.7234142285223496,0.8725510204081632,0.000675767826548839,0.6,0.6904761904761905,3.8902022222355046,3.8865082399461146,48.92077839268944,48.740399267484264,0.9983832325038662,0.9947020258670258
vggss,nEX4I5j6H-Y_000151,DECODER_TARGET_vs_AUD,0.7612838323193896,0.8722448979591837,0.0005022888155454134,0.4,0.7619047619047619,3.8902022222355046,3.8873253107327135,48.92077839268944,48.780239897944035,0.9983832325038662,0.9955150999580415
vggss,nEX4I5j6H-Y_000151,IMG_vs_AUD,0.9937948064532897,0.9873469387755102,2.427012853612411e-05,0.8,0.90625,3.8865082399461146,3.8873253107327135,48.740399267484264,48.780239897944035,0.9947020258670258,0.9955150999580415
vggss,nEmU3E8rras_000012,DECODER_TARGET_vs_IMG,0.6269976684486503,0.6208163265306123,0.00040148678140762215,0.2,0.6428571428571429,3.889990976785114,3.8894738587963675,48.91044519228364,48.88515925970588,0.9981723508629314,0.9976563114225689
vggss,nEmU3E8rras_000012,DECODER_TARGET_vs_AUD,0.596388773781922,0.6643877551020408,0.00045309270526965056,0.0,0.40476190476190477,3.889990976785114,3.8893009539704226,48.91044519228364,48.876707510447964,0.9981723508629314,0.997483826743836
vggss,nEmU3E8rras_000012,IMG_vs_AUD,0.9485654286033114,0.9401020408163265,6.295027176974653e-05,0.8,0.6296296296296297,3.8894738587963675,3.8893009539704226,48.88515925970588,48.876707510447964,0.9976563114225689,0.997483826743836
vggss,nFa1PNr2dLA_000030,DECODER_TARGET_vs_IMG,0.5545633231425081,0.768673469387755,0.0005294537199416351,0.4,0.5238095238095238,3.8902764596230845,3.8888964960440418,48.924410278284874,48.856942935918816,0.9984573526180587,0.9970804680799759
vggss,nFa1PNr2dLA_000030,DECODER_TARGET_vs_AUD,0.628856953682644,0.8790816326530613,0.000521216857395422,0.4,0.6904761904761905,3.8902764596230845,3.888401866040483,48.924410278284874,48.83278280171676,0.9984573526180587,0.9965874041166686
vggss,nFa1PNr2dLA_000030,IMG_vs_AUD,0.9778284098006065,0.9609183673469388,3.955625594718352e-05,0.8,0.7586206896551724,3.8888964960440418,3.888401866040483,48.856942935918816,48.83278280171676,0.9970804680799759,0.9965874041166686
vggss,nG8nq9UVWX8_000351,DECODER_TARGET_vs_IMG,0.5065529076506081,0.696734693877551,0.0005139163749008494,0.4,0.5238095238095238,3.8905022637258013,3.889212864981331,48.9354588582091,48.87240220032124,0.9986828338410021,0.9973959632718621
vggss,nG8nq9UVWX8_000351,DECODER_TARGET_vs_AUD,0.5304437056817893,0.7413265306122448,0.0004942773985765516,0.4,0.5238095238095238,3.8905022637258013,3.889192401515971,48.9354588582091,48.87140211184443,0.9986828338410021,0.9973755533029476
vggss,nG8nq9UVWX8_000351,IMG_vs_AUD,0.9642737833256585,0.9580612244897959,4.8191401601639015e-05,0.8,0.9130434782608695,3.889212864981331,3.889192401515971,48.87240220032124,48.87140211184443,0.9973959632718621,0.9973755533029476
vggss,nKe3zn_yk94_000031,DECODER_TARGET_vs_IMG,0.7603738058882605,0.8060204081632653,0.00016881588271283967,0.2,0.7142857142857143,3.890272475779897,3.89068043381717,48.92421537149453,48.94417847014899,0.9984533749284599,0.9988607851050815
vggss,nKe3zn_yk94_000031,DECODER_TARGET_vs_AUD,0.6671782085975693,0.6930612244897959,0.0002791159627548938,0.2,0.7380952380952381,3.890272475779897,3.8900665342083327,48.92421537149453,48.91414087910737,0.9984533749284599,0.9982477730430076
vggss,nKe3zn_yk94_000031,IMG_vs_AUD,0.9626018114389878,0.9338775510204081,4.2955092660823145e-05,0.4,0.967741935483871,3.89068043381717,3.8900665342083327,48.94417847014899,48.91414087910737,0.9988607851050815,0.9982477730430076
vggss,nLKEdmVu3FY_000040,DECODER_TARGET_vs_IMG,0.696185304696581,0.8934693877551021,0.0005014393481858301,0.6,0.6190476190476191,3.8898608608521057,3.8879459911740253,48.90408157808636,48.81052623686799,0.9980424811854359,0.9961331885075101
vggss,nLKEdmVu3FY_000040,DECODER_TARGET_vs_AUD,0.6520285322159016,0.8916326530612245,0.0006030349931768719,0.4,0.6428571428571429,3.8898608608521057,3.8876825003095536,48.90408157808636,48.79766680336055,0.9980424811854359,0.9958707510889908
vggss,nLKEdmVu3FY_000040,IMG_vs_AUD,0.9871292564250854,0.9768367346938776,2.757105793975244e-05,0.8,0.9629629629629629,3.8879459911740253,3.8876825003095536,48.81052623686799,48.79766680336055,0.9961331885075101,0.9958707510889908
vggss,nMOlAg-Kjf8_000017,DECODER_TARGET_vs_IMG,0.3419432378070034,0.5201020408163265,0.0009748913972779819,0.2,0.4883720930232558,3.890899899132245,3.8875139855438627,48.954921198483056,48.78944436879319,0.9990800244588379,0.9957029463019018
vggss,nMOlAg-Kjf8_000017,DECODER_TARGET_vs_AUD,0.36910188902233293,0.5,0.0007465514680307065,0.2,0.4418604651162791,3.890899899132245,3.8884731244035207,48.954921198483056,48.83626266986517,0.9990800244588379,0.9966584218339831
