dataset,model,sample_id,sample_index,readout,iou
flickr,mean_cram,15135657108,125,AUD,0.81618437589909
flickr,mean_cram,15210828119,126,AUD,0.6475696321118438
flickr,mean_cram,15679023977,127,AUD,0.4989596245794227
flickr,mean_cram,15799251138,128,AUD,0.653259747478758
flickr,mean_cram,15994498891,129,AUD,0.7488468191428023
flickr,mean_cram,16012165838,130,AUD,0.8561629095604455
flickr,mean_cram,16101081359,131,AUD,0.7884133130896126
flickr,mean_cram,16369370669,132,AUD,0.677497266511089
flickr,mean_cram,16419739420,133,AUD,0.5692048371237757
flickr,mean_cram,16563757295,134,AUD,0.582791870642338
flickr,mean_cram,16659090834,135,AUD,0.6830835437741882
flickr,mean_cram,16804898716,136,AUD,0.6037956523095156
flickr,mean_cram,16950760048,137,AUD,0.6010164972504582
flickr,mean_cram,17140316339,138,AUD,0.8250879614330424
flickr,mean_cram,17537079145,139,AUD,0.8309147012098252
flickr,mean_cram,19306860381,140,AUD,0.657221396731055
flickr,mean_cram,20854461578,141,AUD,0.8592353338841734
flickr,mean_cram,2401957951,142,AUD,0.23604709418837674
flickr,mean_cram,2404965389,143,AUD,0.6499527482912464
flickr,mean_cram,2432219254,144,AUD,0.5902132435465769
flickr,mean_cram,2462141223,145,AUD,0.6487226981554373
flickr,mean_cram,2465634368,146,AUD,0.7451087841940787
flickr,mean_cram,2499673064,147,AUD,0.5350979458465378
flickr,mean_cram,2509250774,148,AUD,0.6705573796748618
flickr,mean_cram,2542659118,149,AUD,0.31834807571805374
flickr,mean_cram,2630218696,150,AUD,0.7720483197647809
flickr,mean_cram,2695985181,151,AUD,0.6780650222928108
flickr,mean_cram,2698329253,152,AUD,0.7871455083222177
flickr,mean_cram,2766580444,153,AUD,0.25816806648784135
flickr,mean_cram,2778088729,154,AUD,0.6420195439739413
flickr,mean_cram,2808068937,155,AUD,0.565976207392833
flickr,mean_cram,2811549163,156,AUD,0.5531767775603392
flickr,mean_cram,2819123278,157,AUD,0.8772096768290452
flickr,mean_cram,2858344348,158,AUD,0.6936274509803921
flickr,mean_cram,2895192729,159,AUD,0.8264311242084144
flickr,mean_cram,2897081671,160,AUD,0.7828883721719649
flickr,mean_cram,2897653916,161,AUD,0.5131425574076233
flickr,mean_cram,2907554899,162,AUD,0.6324702551117646
flickr,mean_cram,2935372113,163,AUD,0.6063615569588082
flickr,mean_cram,2961466546,164,AUD,0.5172902434381675
flickr,mean_cram,3012435981,165,AUD,0.47848856290757574
flickr,mean_cram,3052033339,166,AUD,0.43310870368790694
flickr,mean_cram,3102685146,167,AUD,0.700202308699274
flickr,mean_cram,3109408703,168,AUD,0.8080773606370876
flickr,mean_cram,3202731977,169,AUD,0.76410998552822
flickr,mean_cram,3207674548,170,AUD,0.6414244341950016
flickr,mean_cram,3230152596,171,AUD,0.8503312391522233
flickr,mean_cram,3403348616,172,AUD,0.6920821114369502
flickr,mean_cram,3413119417,173,AUD,0.822438788059479
flickr,mean_cram,3416359816,174,AUD,0.5284571809396867
flickr,mean_cram,3484198977,175,AUD,0.6820730892074575
flickr,mean_cram,3535748358,176,AUD,0.8103083853083853
flickr,mean_cram,3568893693,177,AUD,0.7526238261830234
flickr,mean_cram,3668283413,178,AUD,0.6969779892920881
flickr,mean_cram,3709678770,179,AUD,0.7449512576724034
flickr,mean_cram,3719297546,180,AUD,0.673432728579127
flickr,mean_cram,3727937033,181,AUD,0.7138807936444569
flickr,mean_cram,3749326537,182,AUD,0.6116325968053158
flickr,mean_cram,3790233127,183,AUD,0.788852881383225
flickr,mean_cram,3801318146,184,AUD,0.6387789148676577
flickr,mean_cram,3828103578,185,AUD,0.5536015957338544
flickr,mean_cram,3896768873,186,AUD,0.8302219158672717
flickr,mean_cram,3908875350,187,AUD,0.5894067411647134
flickr,mean_cram,3956341886,188,AUD,0.6203859118589521
flickr,mean_cram,4007045926,189,AUD,0.5913594470046083
flickr,mean_cram,4041216001,190,AUD,0.5909085326160384
flickr,mean_cram,4180455681,191,AUD,0.4454731402734417
flickr,mean_cram,4303617148,192,AUD,0.8352846118329925
flickr,mean_cram,4351373013,193,AUD,0.602567892891836
flickr,mean_cram,4407899725,194,AUD,0.6670438380964697
flickr,mean_cram,4479260803,195,AUD,0.5713881602633338
flickr,mean_cram,4543136011,196,AUD,0.580324679836039
flickr,mean_cram,4576746825,197,AUD,0.4690100233420294
flickr,mean_cram,4646464908,198,AUD,0.5467732335685741
flickr,mean_cram,4657718822,199,AUD,0.8410742979569975
flickr,mean_cram,4717096777,200,AUD,0.4390761171889486
flickr,mean_cram,4755507106,201,AUD,0.6219849406559748
flickr,mean_cram,4758950312,202,AUD,0.7558704328187359
flickr,mean_cram,4767923306,203,AUD,0.7260405851816895
flickr,mean_cram,4876943924,204,AUD,0.2078626761765007
flickr,mean_cram,4938432980,205,AUD,0.7223118481278608
flickr,mean_cram,4957886467,206,AUD,0.6720321529263562
flickr,mean_cram,4965189170,207,AUD,0.5812022069499564
flickr,mean_cram,5006362787,208,AUD,0.6546833684997729
flickr,mean_cram,5130986168,209,AUD,0.6693057467932458
flickr,mean_cram,5179649119,210,AUD,0.504086873578399
flickr,mean_cram,5194793239,211,AUD,0.5035327624924689
flickr,mean_cram,5220919991,212,AUD,0.6903093247769427
flickr,mean_cram,5237296528,213,AUD,0.6415569730712978
flickr,mean_cram,5303633386,214,AUD,0.669944367669466
flickr,mean_cram,5344317532,215,AUD,0.6974420629327143
flickr,mean_cram,5480070309,216,AUD,0.5095050185843172
flickr,mean_cram,5490101320,217,AUD,0.735702005730659
flickr,mean_cram,5601291878,218,AUD,0.6500679532481652
flickr,mean_cram,5607310495,219,AUD,0.7139755011135858
flickr,mean_cram,5697766486,220,AUD,0.5009127026736819
flickr,mean_cram,5801923729,221,AUD,0.663384703196347
flickr,mean_cram,5873098388,222,AUD,0.8744165888785171
flickr,mean_cram,5906878321,223,AUD,0.5104077384596547
flickr,mean_cram,5991393107,224,AUD,0.6026055745114548
flickr,mean_cram,6067281197,225,AUD,0.7775012772128743
flickr,mean_cram,6098668510,226,AUD,0.727776774175618
flickr,mean_cram,6158154336,227,AUD,0.8342063274614405
flickr,mean_cram,6185482260,228,AUD,0.7597993531056412
flickr,mean_cram,6289328021,229,AUD,0.636793086463977
flickr,mean_cram,6458319057,230,AUD,0.6942117679236897
flickr,mean_cram,6669466181,231,AUD,0.5850052462560809
flickr,mean_cram,6755812421,232,AUD,0.8343111076461301
flickr,mean_cram,6897499873,233,AUD,0.68671785411577
flickr,mean_cram,7178293884,234,AUD,0.617312178110349
flickr,mean_cram,7387939334,235,AUD,0.5660830005412443
flickr,mean_cram,7560517176,236,AUD,0.6076699783310847
flickr,mean_cram,7623513024,237,AUD,0.5782341290524341
flickr,mean_cram,7733838448,238,AUD,0.6950571039396479
flickr,mean_cram,7740990330,239,AUD,0.7360475417097299
flickr,mean_cram,7897462346,240,AUD,0.8424979178111321
flickr,mean_cram,8250285374,241,AUD,0.7561879267535692
flickr,mean_cram,8294094053,242,AUD,0.6829473605447267
flickr,mean_cram,8311669586,243,AUD,0.547901983984087
flickr,mean_cram,8396975855,244,AUD,0.6874386653581943
flickr,mean_cram,9060997789,245,AUD,0.7355631399317406
flickr,mean_cram,9309351423,246,AUD,0.635012192834365
flickr,mean_cram,9456627660,247,AUD,0.6766215585627625
flickr,mean_cram,9636000842,248,AUD,0.7005440933822427
flickr,mean_cram,9761803312,249,AUD,0.7595285657211346
flickr,mean_cram,10000130166,0,IMG_QUERY,0.6321203026324017
flickr,mean_cram,10007936344,1,IMG_QUERY,0.739725589279432
flickr,mean_cram,10008553263,2,IMG_QUERY,0.4008589835361489
flickr,mean_cram,10009662863,3,IMG_QUERY,0.516001141329649
flickr,mean_cram,10013411946,4,IMG_QUERY,0.5798639576363194
flickr,mean_cram,10016382545,5,IMG_QUERY,0.46357059811393875
flickr,mean_cram,10031203703,6,IMG_QUERY,0.832530257078881
flickr,mean_cram,10035917404,7,IMG_QUERY,0.49972550849551206
flickr,mean_cram,10045181004,8,IMG_QUERY,0.5576486815121323
flickr,mean_cram,10060697266,9,IMG_QUERY,0.6712141882673943
flickr,mean_cram,10061269855,10,IMG_QUERY,0.5752191030727226
flickr,mean_cram,10067897816,11,IMG_QUERY,0.2727884108548267
flickr,mean_cram,10069511285,12,IMG_QUERY,0.7645874960183013
flickr,mean_cram,10079676496,13,IMG_QUERY,0.878032032685012
flickr,mean_cram,10080652613,14,IMG_QUERY,0.7995450113747157
flickr,mean_cram,10106776154,15,IMG_QUERY,0.5920532966029037
flickr,mean_cram,10109936483,16,IMG_QUERY,0.7050762131170466
flickr,mean_cram,10110769444,17,IMG_QUERY,0.5510314015019487
flickr,mean_cram,10111706074,18,IMG_QUERY,0.6189870735325281
flickr,mean_cram,10119607346,19,IMG_QUERY,0.3433485595554163
flickr,mean_cram,10119736773,20,IMG_QUERY,0.7163107915248655
flickr,mean_cram,10129791115,21,IMG_QUERY,0.6328278353918043
flickr,mean_cram,10129813456,22,IMG_QUERY,0.7207035607035607
flickr,mean_cram,10163352444,23,IMG_QUERY,0.7237392008193336
flickr,mean_cram,10165890496,24,IMG_QUERY,0.5221845806385381
