sample_id,IoU_FULL_AUD,IoU_CHUNK_1,IoU_CHUNK_2,IoU_CHUNK_3,IoU_CHUNK_4,IoU_TEMP_MEAN_4,IoU_TEMP_GEO_4,IoU_FULL_TEMP_MEAN_4,IoU_FULL_TEMP_GEO_4,IoU_TEMP_MEAN_2,IoU_TEMP_GEO_2,IoU_OGL,IoU_FULL_TEMP_MEAN_4_A0.5,IoU_FULL_TEMP_MEAN_4_A0.6,IoU_FULL_TEMP_MEAN_4_A0.7,IoU_FULL_TEMP_MEAN_4_A0.8,IoU_FULL_TEMP_MEAN_4_A0.9,IoU_FULL_TEMP_GEO_4_A0.5,IoU_FULL_TEMP_GEO_4_A0.6,IoU_FULL_TEMP_GEO_4_A0.7,IoU_FULL_TEMP_GEO_4_A0.8,IoU_FULL_TEMP_GEO_4_A0.9,temporal_agreement_pearson,temporal_agreement_spearman,temporal_agreement_js_divergence
-CZ1LIc8aos_000020,0.3108935921952484,0.30697346945306747,0.3147704525317494,0.31721674713936104,0.30595515294567954,0.3103704902119398,0.3103002070393375,0.31048099954683755,0.31047094999190805,0.30795903297267796,0.3079293739967897,0.4609447511113282,0.3105111521155029,0.31048099954683755,0.31058153088978113,0.31066200285011014,0.31079285876292,0.3104910497523711,0.31047094999190805,0.3105714748259673,0.3106519415746348,0.3107827890098497,0.9980989320997727,0.9982054203954132,3.5944788821542747e-06
-Cr0WQoFQQs_000045,0.2986236618935076,0.30314719856988287,0.3121034532861917,0.3052581714827096,0.28523371104815864,0.30172777075431945,0.3016995177676858,0.29977670264235207,0.2997627575940829,0.30270574971815106,0.3026346686704551,0.3849232423391673,0.300069848661234,0.29977670264235207,0.2994145525508782,0.2991226848628325,0.2989284223222155,0.3000279355619704,0.2997627575940829,0.29940064117455745,0.2991226848628325,0.2989284223222155,0.9989103412499233,0.9985990803974851,4.556817199123657e-06
-Cv3gOXEoxA_000040,0.3475189426308893,0.32495698868672124,0.3205174088654839,0.36412779397473277,0.3489863108646682,0.3380551301684533,0.33807206517578875,0.3451631046119235,0.3450854700854701,0.34151736341517364,0.34129089301503096,0.40861166408611665,0.3443734588657252,0.3451631046119235,0.34591727329157496,0.3467595739859506,0.34717645722077034,0.34419802867383514,0.3450854700854701,0.34587823731873835,0.3467399308899337,0.34715673464750324,0.9980425082515443,0.9981323728241785,1.2022310936308915e-05
-D64b_8YJK4_000046,0.26690251572327045,0.26519293860334325,0.2683582325507865,0.26470702896573234,0.26606583072100315,0.2659511965845443,0.2659511965845443,0.26654628248410145,0.2665358194308145,0.2671230182147213,0.2671230182147213,0.3144100759399889,0.26642078003609826,0.26654628248410145,0.26663001649257834,0.26670332691778936,0.26680812605603366,0.26642078003609826,0.2665358194308145,0.26661954686456985,0.26670332691778936,0.26680812605603366,0.9996550634388987,0.9981812482900229,2.7527024903509277e-06
-E5o64ACjm0_000017,0.1834825738157851,0.18064786958651088,0.18755586112066003,0.1879043227283283,0.1845786090383435,0.18483998129217613,0.18483998129217613,0.18428861991930912,0.1842824753267538,0.18407645433052514,0.18407032498668088,0.22059157617338362,0.18431058635181108,0.18428861991930912,0.1839570766821075,0.1837686567164179,0.18368026644462948,0.18431058635181108,0.1842824753267538,0.1839570766821075,0.1837686567164179,0.18368026644462948,0.9955969010329472,0.9951945323228862,1.202131673054081e-06
-FoTxwPOz3U_000000,0.1798328902392708,0.16904917254878699,0.15458832457043742,0.19047942876572593,0.1796116504854369,0.17281553398058253,0.1727107337780473,0.17699390319771058,0.17691685840432808,0.17475132015227804,0.17464408443789886,0.17927792648690996,0.17631383242439266,0.17699390319771058,0.1777347410507903,0.17833835341365462,0.17901234567901234,0.17627013630731103,0.17691685840432808,0.17769033789269878,0.17830478700043917,0.17901234567901234,0.9947510242481118,0.9923268174899792,1.0736953865429187e-05
-GOaBCyC5Js_000087,0.356557116521518,0.3548427911684697,0.3475432182910961,0.35354554049795145,0.3526342260782095,0.3521692723048911,0.35214716223003517,0.35475302004933273,0.35475302004933273,0.3535009768702338,0.3535009768702338,0.41767815920768486,0.3543719989891332,0.35475302004933273,0.3553148359305714,0.3558332804669162,0.3561495967997968,0.3543719989891332,0.35475302004933273,0.3553148359305714,0.3558332804669162,0.3561495967997968,0.9996906520199415,0.9993460912774833,3.3372399440615264e-06
-GW1J75oAKU_000304,0.5647323822803818,0.5714208198811688,0.5431317711585979,0.5674928912495305,0.5607986938251117,0.5635203805816845,0.5636014704292356,0.563986013986014,0.5640398063474986,0.5601674318120443,0.5603024574669188,0.42691156462585034,0.5640383476059676,0.563986013986014,0.5639441160666309,0.564169328644673,0.5642669384689663,0.5640383476059676,0.5640398063474986,0.5639709833422891,0.5642230155960594,0.5642669384689663,0.9954315013768138,0.9939391766077771,6.038882847735522e-06
-HMEhGV38GM_000216,0.16210564596781527,0.15192135835567472,0.16805057558029818,0.1620170208892732,0.17239376633433356,0.1634421419402164,0.16343464906248567,0.16263686131386862,0.16263686131386862,0.1612480217047253,0.1612480217047253,0.14829370211919213,0.16275566106647188,0.16263686131386862,0.16243677951428442,0.16233322708437686,0.16219290263876252,0.16275566106647188,0.16263686131386862,0.16243677951428442,0.16233322708437686,0.16219290263876252,0.998473875388251,0.9985765020572853,1.8412587866670239e-06
-IKnJa9U66I_000150,0.2078518991382062,0.20251904835950862,0.20837733192537838,0.21532255397943326,0.2189864478595689,0.20965872504829364,0.20965872504829364,0.20861096873398258,0.20861765176998237,0.20815752461322082,0.20815752461322082,0.3128513091520538,0.20875140246834428,0.20861096873398258,0.208517451168748,0.2083040112596763,0.2080045996103108,0.20875140246834428,0.20861765176998237,0.20853080568720378,0.2083040112596763,0.2080045996103108,0.9836800853376033,0.9834981552167918,6.548750420669121e-06
-Igq1W20Gi8_000000,0.2834331337325349,0.288349965189139,0.28545172592039514,0.29499050332383664,0.2756975647639652,0.2858950759318914,0.28584574682233854,0.28448769318832284,0.2844388485091284,0.2847321684331137,0.2847321684331137,0.3967747086060993,0.2846832397754611,0.28448769318832284,0.28419487648673375,0.28378918517672586,0.2836110477060032,0.2846832397754611,0.2844388485091284,0.28419487648673375,0.28378918517672586,0.2836110477060032,0.9984001008347496,0.9975530391774048,3.7718783248802006e-06
-JGpAlLrSD0_000458,0.7372793965999823,0.73371030118364,0.7393073567727393,0.7370264621905631,0.7349056603773585,0.7361355892374574,0.736164962989073,0.7368467514124294,0.7368467514124294,0.7360608999794257,0.736068657418293,0.7654660763431853,0.7364644296091521,0.7368467514124294,0.7368219678017482,0.736956777764692,0.7371490853389107,0.7364427714386543,0.7368467514124294,0.7368219678017482,0.736956777764692,0.7371490853389107,0.9990735161963155,0.9987172846491195,1.0409822142818923e-06
-JUBdOr8Hes_000030,0.7381001336486069,0.7355536288060387,0.737843117096741,0.7392575120500462,0.7414596273291926,0.7389473684210527,0.738833555806551,0.7386836561681138,0.7386836561681138,0.7383705988177847,0.7383705988177847,0.6984924623115578,0.738685981404428,0.7386836561681138,0.738618846983866,0.7383215992599825,0.7383191981495759,0.738685981404428,0.7386836561681138,0.7385808970867801,0.7382836587872559,0.7383191981495759,0.9996623751946401,0.999144679347725,2.811207861056598e-06
-JUhUI_KvUI_000026,0.5153880834302257,0.5195414278269932,0.4707343876917196,0.5230736412979071,0.5352788279773157,0.5117932914543084,0.5118407016712101,0.5138173968735916,0.5138173968735916,0.5121789246495743,0.5122263596043924,0.5111441307578009,0.5132942767012167,0.5138173968735916,0.5143297746144722,0.5146748285761739,0.5150911161731208,0.5133058204070016,0.5138173968735916,0.5143297746144722,0.5146748285761739,0.5150911161731208,0.997182630644566,0.9966225459336409,1.0945849538946047e-06
-K-ccLMFE5M_000259,0.7591518448097427,0.7572030328559394,0.7575684651297108,0.759089160334712,0.760548116751758,0.7598662046395226,0.7598662046395226,0.759379136084707,0.759379136084707,0.7602752911733565,0.7602752911733565,0.6678568808236934,0.7595475875345927,0.759379136084707,0.7592712920848074,0.7593078385598421,0.7592356381314529,0.7595475875345927,0.759379136084707,0.7592953577359035,0.7593078385598421,0.7592356381314529,0.9981374892415045,0.9979370697533527,9.743698915035385e-07
