sample_index,sample_id,dataset,fold,IoU_AUD,intrinsic_IoU_AUD_binary,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,TP,FP,FN,IoU_expand_star,IoU_shrink_star,intrinsic_expand_gain,intrinsic_shrink_gain,intrinsic_error_type,candidate_5_2_error_type,candidate_5_2_expand_gain,candidate_5_2_shrink_gain,AUD_ONLY_pixels,TRUE_EXTENT_pixels,CONTEXT_LEAKAGE_pixels,AUD_ONLY_true_extent_ratio,AUD_ONLY_leakage_ratio,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,group_PROP_ONLY,group_PROP_HURT,probe_sampled_pixels,routing_sampled_pixels,OOF_predicted_leakage_ratio_PREDICTION,OOF_mean_leakage_probability_PREDICTION,transfer_from_vggss_144k_predicted_leakage_ratio_PREDICTION,transfer_from_vggss_144k_mean_leakage_probability_PREDICTION,OOF_predicted_leakage_ratio_WITHOUT_PROTOTYPE,OOF_mean_leakage_probability_WITHOUT_PROTOTYPE,transfer_from_vggss_144k_predicted_leakage_ratio_WITHOUT_PROTOTYPE,transfer_from_vggss_144k_mean_leakage_probability_WITHOUT_PROTOTYPE,OOF_predicted_leakage_ratio_WITH_PROTOTYPE,OOF_mean_leakage_probability_WITH_PROTOTYPE,transfer_from_vggss_144k_predicted_leakage_ratio_WITH_PROTOTYPE,transfer_from_vggss_144k_mean_leakage_probability_WITH_PROTOTYPE,OOF_predicted_leakage_ratio_PROTOTYPE_ONLY,OOF_mean_leakage_probability_PROTOTYPE_ONLY,transfer_from_vggss_144k_predicted_leakage_ratio_PROTOTYPE_ONLY,transfer_from_vggss_144k_mean_leakage_probability_PROTOTYPE_ONLY
123,14778198185,flickr_144k,4,0.6141931600934646,0.6147977404064671,0.5963650057478099,0.5861128236744759,0.5875113503696977,18937,7990,3875,0.7406012596584637,0.8301332631948097,0.12580351925199662,0.21533552278834267,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,5492,2473,3019,0.4502913328477786,0.5497086671522214,False,False,True,False,False,False,True,False,False,12,12,0.8333333333333334,0.5836145291565012,0.8333333333333334,0.5635810564948859,0.5833333333333334,0.5479342401561754,0.5833333333333334,0.5920895274105233,0.5833333333333334,0.5220006798092168,0.75,0.6125170412845643,0.3333333333333333,0.5127061779245792,1.0,0.7590464933756754
124,14899015793,flickr_144k,3,0.794980224372528,0.7964636736306613,0.7429776035232827,0.8085626668781558,0.8022126010018376,32252,8242,0,0.7964636736306613,1.0,0.0,0.20353632636933872,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,7334,4371,2963,0.595991273520589,0.40400872647941094,False,False,True,False,False,False,True,False,False,12,12,0.0,0.29212308893219785,0.16666666666666666,0.32643069234595407,0.25,0.34761869451248245,0.25,0.3486856696603587,0.4166666666666667,0.39283228978067136,0.4166666666666667,0.5127303313931234,0.4166666666666667,0.4859224241339411,1.0,0.7720281530486054
125,15135657108,flickr_144k,2,0.9304722327162825,0.9154534139917219,0.87559538824507,0.8807258752046768,0.8481303881399527,31628,278,2643,0.9919534574083186,0.922879402410201,0.07650004341659677,0.00742598841847919,INTRINSIC_EXPAND,KEEP_AMBIGUOUS,0.0,0.0,1678,1678,0,1.0,0.0,False,False,True,False,False,False,False,False,False,0,12,0.5833333333333334,0.5015512305490131,0.5,0.49734339829644497,0.4166666666666667,0.4719937436947153,0.5833333333333334,0.5433819818278409,0.25,0.4024905667489594,0.75,0.5870051802772139,0.08333333333333333,0.3560978607958088,1.0,0.6152803754839412
126,15210828119,flickr_144k,2,0.589407626032257,0.6002979430470406,0.4794721881258479,0.48029424278388605,0.47743099446117077,20954,11550,2402,0.6691113275654615,0.8971570474396301,0.0688133845184209,0.29685910439258945,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,9086,5278,3808,0.5808936825885979,0.41910631741140214,False,True,False,False,False,False,True,False,True,12,12,0.25,0.4035361120944809,0.4166666666666667,0.46196440149257073,0.3333333333333333,0.40268365738848416,0.4166666666666667,0.4554843377388167,0.25,0.38239279957351996,0.3333333333333333,0.4595686864876449,0.08333333333333333,0.40250080445132475,0.75,0.6085246232925022
127,15679023977,flickr_144k,3,0.43820879291595466,0.4594746085721759,0.48759546196971704,0.3261925411968777,0.3421683093252464,12296,14465,0,0.4594746085721759,1.0,0.0,0.5405253914278241,INTRINSIC_SHRINK,SHRINK,0.0,0.04938666905376238,3417,322,3095,0.09423470880889669,0.9057652911911033,False,False,False,True,True,False,True,False,False,12,12,0.75,0.5234286986334449,0.5,0.5105669955567745,1.0,0.6376834702635235,1.0,0.6408946601607185,1.0,0.6567684042147793,1.0,0.6664770434055207,0.5833333333333334,0.5111504050698049,1.0,0.6647372208641397
128,15799251138,flickr_144k,3,0.7095176944163188,0.7042037575230554,0.612949710573236,0.7450752085165031,0.7293112340585146,30773,8561,4365,0.8040916268106821,0.8757755136888838,0.09988786928762672,0.17157175616582843,INTRINSIC_SHRINK,EXPAND,0.02275069111346928,0.0,3966,3932,34,0.9914271306101866,0.008572869389813415,False,False,True,False,False,False,True,False,False,12,12,0.6666666666666666,0.5156409548965178,0.5,0.5240293576327607,0.16666666666666666,0.3800789378155671,0.5,0.5153635853801481,0.08333333333333333,0.29943066229670573,0.4166666666666667,0.5047759938262902,0.08333333333333333,0.3830982147515407,1.0,0.5846006405990112
129,15994498891,flickr_144k,2,0.6697288487183286,0.6683002956959807,0.48819599739575964,0.7361513299013299,0.711773189818648,24409,4804,7311,0.8684700470923229,0.769514501891551,0.2001697513963422,0.10121420619557031,INTRINSIC_EXPAND,EXPAND,0.06642248118300131,0.0,6845,6185,660,0.9035792549306063,0.09642074506939372,False,True,False,False,False,False,False,False,False,12,12,0.5833333333333334,0.5035218088988324,0.4166666666666667,0.4902332371729094,0.4166666666666667,0.46162037511124837,0.3333333333333333,0.3842163267313428,0.3333333333333333,0.4222186861900524,0.4166666666666667,0.39210676578601894,0.16666666666666666,0.41001257549243403,0.8333333333333334,0.5756903384582436
130,16012165838,flickr_144k,2,0.8240387690339721,0.8274161735700197,0.8457443934071872,0.8262155712439098,0.794254400531385,34399,7114,61,0.8288834367633617,0.9982298316889147,0.0014672631933420055,0.17081365811889493,INTRINSIC_SHRINK,SHRINK,0.0,0.021705624373215104,5991,2350,3641,0.39225504924052745,0.6077449507594725,False,False,True,False,False,False,True,False,False,12,12,0.5833333333333334,0.5085997264481269,0.5,0.5110379667030694,0.8333333333333334,0.6032555839914254,0.9166666666666666,0.7053217613643626,0.9166666666666666,0.7000497170993044,1.0,0.748942378283994,0.9166666666666666,0.6984037893772355,1.0,0.792011917683563
131,16101081359,flickr_144k,2,0.8665425691344197,0.8552407850370327,0.8863372235771693,0.8589495186169813,0.8093785903746046,29676,2997,2026,0.913628634830975,0.9360923601034635,0.05838784979394229,0.08085157506643081,INTRINSIC_SHRINK,SHRINK,0.0,0.03257661842978865,2988,981,2007,0.32831325301204817,0.6716867469879518,False,False,True,False,False,False,True,False,False,12,12,0.4166666666666667,0.48518721314735935,0.5,0.48827664985623825,0.5833333333333334,0.5355811885732441,0.8333333333333334,0.5825826069161376,0.8333333333333334,0.5817593971797427,0.9166666666666666,0.6521264986395818,0.8333333333333334,0.5905484777758185,1.0,0.731124614699061
132,16369370669,flickr_144k,2,0.675248124133756,0.6918308004608548,0.7023630225915347,0.6751427647882772,0.6907788014804316,25220,9151,2083,0.748971306303835,0.9237080174339816,0.05714050584298025,0.2318772169731268,INTRINSIC_SHRINK,SHRINK,0.0,0.02726083643972066,4064,1555,2509,0.3826279527559055,0.6173720472440944,False,False,True,False,False,False,True,False,False,12,12,0.5833333333333334,0.4929235148391151,0.5833333333333334,0.5049238649913768,0.6666666666666666,0.5070209826716672,0.75,0.5606801149890711,0.75,0.5979582547425123,0.9166666666666666,0.6513064497200366,0.6666666666666666,0.6274018767852638,1.0,0.7692235898113594
