dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C0,12345,best,36,10369815925,FP,0.3900299072265625,0.25197114578090923,5961
flickr,C0,12345,best,36,10369815925,NearFP,0.3950653076171875,0.23737791756331733,6041
flickr,C0,12345,best,36,10369815925,FarFP,,,0
flickr,C0,12345,best,36,10369815925,HighAUDFP,0.3157552083333333,0.2642857142857143,280
flickr,C0,12345,best,37,10389014583,FP,0.3424224853515625,0.4239985024335455,5342
flickr,C0,12345,best,37,10389014583,NearFP,0.3746185302734375,0.3928279024070738,6107
flickr,C0,12345,best,37,10389014583,FarFP,0.3229827880859375,0.47735346358792186,4504
flickr,C0,12345,best,37,10389014583,HighAUDFP,0.443359375,0.5294117647058824,34
flickr,C0,12345,best,38,10409146004,FP,0.2373199462890625,0.2309048178613396,5106
flickr,C0,12345,best,38,10409146004,NearFP,0.244659423828125,0.33870515695067266,7136
flickr,C0,12345,best,38,10409146004,FarFP,0.3054656982421875,0.2689672050905531,4086
flickr,C0,12345,best,38,10409146004,HighAUDFP,0.1609246926229508,0.16314199395770393,2317
flickr,C0,12345,best,39,10409351364,FP,0.859710693359375,0.4506008010680908,2996
flickr,C0,12345,best,39,10409351364,NearFP,0.8150177001953125,0.5323984526112185,4136
flickr,C0,12345,best,39,10409351364,FarFP,0.979949951171875,0.28017883755588674,671
flickr,C0,12345,best,39,10409351364,HighAUDFP,0.6075414540816326,0.5244549204478491,1697
flickr,C0,12345,best,40,10413912845,FP,0.4591217041015625,0.48430873621713316,4716
flickr,C0,12345,best,40,10413912845,NearFP,0.41107177734375,0.4337563105471415,7329
flickr,C0,12345,best,40,10413912845,FarFP,0.5480499267578125,0.5478690549722051,3238
flickr,C0,12345,best,40,10413912845,HighAUDFP,0.5628210616438356,0.5061967467079783,2582
flickr,C0,12345,best,41,10437048305,FP,0.5357513427734375,0.4064445258147199,5462
flickr,C0,12345,best,41,10437048305,NearFP,0.5455780029296875,0.40696573916335416,5283
flickr,C0,12345,best,41,10437048305,FarFP,,,0
flickr,C0,12345,best,41,10437048305,HighAUDFP,,,0
flickr,C0,12345,best,42,10440265465,FP,0.5074920654296875,0.41485571784823655,5614
flickr,C0,12345,best,42,10440265465,NearFP,0.543792724609375,0.4512839191404116,5491
flickr,C0,12345,best,42,10440265465,FarFP,,,0
flickr,C0,12345,best,42,10440265465,HighAUDFP,0.30859375,0.3472222222222222,288
flickr,C0,12345,best,43,10441843213,FP,0.805145263671875,0.64603629417383,5235
flickr,C0,12345,best,43,10441843213,NearFP,0.7893829345703125,0.6126490200040412,4949
flickr,C0,12345,best,43,10441843213,FarFP,,,0
flickr,C0,12345,best,43,10441843213,HighAUDFP,0.63720703125,0.6539351851851852,864
flickr,C0,12345,best,44,10446128125,FP,0.2087554931640625,0.3431413178615831,2413
flickr,C0,12345,best,44,10446128125,NearFP,0.2118072509765625,0.29953085528690004,2771
flickr,C0,12345,best,44,10446128125,FarFP,0.1614990234375,0.3828006088280061,1314
flickr,C0,12345,best,44,10446128125,HighAUDFP,,,0
flickr,C0,12345,best,45,10451898725,FP,0.5389556884765625,0.3482229047827995,11395
flickr,C0,12345,best,45,10451898725,NearFP,0.5722503662109375,0.3921209709510545,12565
flickr,C0,12345,best,45,10451898725,FarFP,0.4953155517578125,0.304063568698451,9942
flickr,C0,12345,best,45,10451898725,HighAUDFP,0.45511497641509435,0.3482229047827995,11395
flickr,C0,12345,best,46,10468313544,FP,0.7208404541015625,0.2552143684820394,3452
flickr,C0,12345,best,46,10468313544,NearFP,0.75689697265625,0.4792746113989637,4632
flickr,C0,12345,best,46,10468313544,FarFP,0.6735687255859375,0.029840623940318754,2949
flickr,C0,12345,best,46,10468313544,HighAUDFP,0.4921875,0.86,50
flickr,C0,12345,best,47,10476442285,FP,0.5169830322265625,0.4870967741935484,5890
flickr,C0,12345,best,47,10476442285,NearFP,0.436187744140625,0.3863044287309267,5374
flickr,C0,12345,best,47,10476442285,FarFP,0.722259521484375,0.42512404149751915,4434
flickr,C0,12345,best,47,10476442285,HighAUDFP,0.46926153273809523,0.6341843088418431,3212
flickr,C0,12345,best,48,10476446674,FP,0.8792266845703125,0.7361396303901437,3896
flickr,C0,12345,best,48,10476446674,NearFP,0.81414794921875,0.7219878105954055,6399
flickr,C0,12345,best,48,10476446674,FarFP,0.9876251220703125,0.8055555555555556,108
flickr,C0,12345,best,48,10476446674,HighAUDFP,0.5589554398148148,0.5836144578313253,2075
flickr,C0,12345,best,49,10477544895,FP,0.3832550048828125,0.4976657329598506,5355
flickr,C0,12345,best,49,10477544895,NearFP,0.40728759765625,0.6104290047667197,6923
flickr,C0,12345,best,49,10477544895,FarFP,0.346832275390625,0.24045002616431188,3822
flickr,C0,12345,best,49,10477544895,HighAUDFP,0.49493475274725274,0.7981868348443043,2537
flickr,C0,12345,best,50,10481128583,FP,0.11016845703125,0.16457197059520987,4217
flickr,C0,12345,best,50,10481128583,NearFP,0.149383544921875,0.2076422422842746,4763
flickr,C0,12345,best,50,10481128583,FarFP,0.057647705078125,0.08396764985727878,4204
flickr,C0,12345,best,50,10481128583,HighAUDFP,0.12565104166666666,0.05357142857142857,168
flickr,C0,12345,best,51,10520382525,FP,0.722808837890625,0.5893249607535321,3185
flickr,C0,12345,best,51,10520382525,NearFP,0.697845458984375,0.5993681792073521,3482
flickr,C0,12345,best,51,10520382525,FarFP,,,0
flickr,C0,12345,best,51,10520382525,HighAUDFP,,,0
flickr,C0,12345,best,52,10545790805,FP,0.644775390625,0.5760031626803717,5059
flickr,C0,12345,best,52,10545790805,NearFP,0.648895263671875,0.6242957746478873,5680
flickr,C0,12345,best,52,10545790805,FarFP,,,0
flickr,C0,12345,best,52,10545790805,HighAUDFP,,,0
flickr,C0,12345,best,53,10548273474,FP,0.020233154296875,0.015209125475285171,8679
flickr,C0,12345,best,53,10548273474,NearFP,0.05914306640625,0.04405286343612335,7491
flickr,C0,12345,best,53,10548273474,FarFP,9.1552734375e-05,0.0,8392
flickr,C0,12345,best,53,10548273474,HighAUDFP,0.011618589743589744,0.009581442259203227,5949
flickr,C0,12345,best,54,10549911663,FP,0.2135162353515625,0.23198757763975156,6440
flickr,C0,12345,best,54,10549911663,NearFP,0.3226776123046875,0.2574165225488892,7517
flickr,C0,12345,best,54,10549911663,FarFP,0.1899871826171875,0.23992518279204217,5881
flickr,C0,12345,best,54,10549911663,HighAUDFP,0.4482421875,0.33064516129032256,124
flickr,C0,12345,best,55,10555704135,FP,0.5181121826171875,0.4847678201715469,3381
flickr,C0,12345,best,55,10555704135,NearFP,0.4012603759765625,0.5230872183805487,4483
flickr,C0,12345,best,55,10555704135,FarFP,0.697845458984375,0.48527679623085984,2547
flickr,C0,12345,best,55,10555704135,HighAUDFP,0.47571790540540543,0.616,1000
flickr,C0,12345,best,56,10557361454,FP,0.51727294921875,0.5272890484739677,5570
flickr,C0,12345,best,56,10557361454,NearFP,0.5424041748046875,0.46284364261168387,4656
flickr,C0,12345,best,56,10557361454,FarFP,0.5264434814453125,0.5564295485636115,5848
flickr,C0,12345,best,56,10557361454,HighAUDFP,0.25531005859375,0.15669014084507044,2272
flickr,C0,12345,best,57,10610974774,FP,0.1748809814453125,0.20273023634881826,4908
flickr,C0,12345,best,57,10610974774,NearFP,0.1764373779296875,0.2047921359819783,4883
flickr,C0,12345,best,57,10610974774,FarFP,,,0
flickr,C0,12345,best,57,10610974774,HighAUDFP,,,0
flickr,C0,12345,best,58,10624261424,FP,0.51812744140625,0.3882109141146673,4343
flickr,C0,12345,best,58,10624261424,NearFP,0.507293701171875,0.39648760330578514,4840
flickr,C0,12345,best,58,10624261424,FarFP,,,0
flickr,C0,12345,best,58,10624261424,HighAUDFP,,,0
flickr,C0,12345,best,59,10635080206,FP,0.6327362060546875,0.4016155758077879,4828
flickr,C0,12345,best,59,10635080206,NearFP,0.6252899169921875,0.400210970464135,4740
flickr,C0,12345,best,59,10635080206,FarFP,0.515625,0.1111111111111111,18
flickr,C0,12345,best,59,10635080206,HighAUDFP,0.3586887668918919,0.35714285714285715,3332
flickr,C0,12345,best,60,10654057765,FP,0.8045654296875,0.8852906084881541,5867
flickr,C0,12345,best,60,10654057765,NearFP,0.81243896484375,0.8350974930362117,5385
flickr,C0,12345,best,60,10654057765,FarFP,0.76385498046875,0.8919557195571955,6775
flickr,C0,12345,best,60,10654057765,HighAUDFP,0.8821428571428571,0.7488514548238897,653
flickr,C0,12345,best,61,10659354545,FP,0.643463134765625,0.7857349956509133,3449
flickr,C0,12345,best,61,10659354545,NearFP,0.5667572021484375,0.7683195592286501,3630
