dataset,model,sample_index,sample_id,audio_swap_spearman,audio_swap_spearman_min,audio_swap_pearson,audio_swap_cosine,audio_map_mae,audio_top10_jaccard
vggss,mean_cram,2980,WclYLl_KlwA_000050,0.9514413265306123,0.8925510204081633,0.9541243,0.99969393,0.00039273227,0.7331002331002331
vggss,mean_cram,2981,Wdg90rCeA34_000508,0.9826403061224489,0.9655102040816327,0.9845193,0.999873,0.00025218853,0.8181818181818182
vggss,mean_cram,2982,We4ilLBQBrc_000001,0.9841071428571428,0.9742857142857143,0.9939965,0.9998497,0.0002819294,0.8181818181818182
vggss,mean_cram,2983,WeAejlzuFMQ_000460,0.9147448979591837,0.8223469387755102,0.95616734,0.99974036,0.00037254172,0.8863636363636365
vggss,mean_cram,2984,WeBPE7xdTH4_000012,0.9843494897959184,0.9727551020408163,0.9898986,0.99990326,0.0002350694,0.8863636363636365
vggss,mean_cram,2985,WegRDdpH2ks_000518,0.9791454081632653,0.9521428571428572,0.9799059,0.9999014,0.00022005725,0.803030303030303
vggss,mean_cram,2986,WesKosc-_c0_000047,0.9698214285714286,0.9538775510204082,0.9688643,0.9998857,0.00024615915,0.6564685314685315
vggss,mean_cram,2987,Weu8nsJRMqE_000030,0.9776530612244898,0.9494897959183674,0.98775184,0.9999024,0.0002222087,0.840909090909091
vggss,mean_cram,2988,WftXzNONXZo_000169,0.9739030612244898,0.9330612244897959,0.98255473,0.99996924,0.00012633411,0.7045454545454546
vggss,mean_cram,2989,Wg2l9hxzqH4_000301,0.9840433673469388,0.9720408163265306,0.9848629,0.9998734,0.0002621664,0.9090909090909092
vggss,mean_cram,2990,WgXR9P0vl30_000011,0.9884948979591837,0.9772448979591837,0.9905127,0.99988955,0.00023684083,0.8295454545454546
vggss,mean_cram,2991,WgllfeO855E_000147,0.9773724489795919,0.9524489795918367,0.97880435,0.99966717,0.00042785937,0.7613636363636365
vggss,mean_cram,2992,Wgnr_ftHhUw_000030,0.9571683673469389,0.8963265306122449,0.9718063,0.9999045,0.00022306177,0.8181818181818182
vggss,mean_cram,2993,WhD232bSL3w_000104,0.9815688775510204,0.9663265306122449,0.9884144,0.9999182,0.00019710718,0.9318181818181819
vggss,mean_cram,2994,Wh_g-Eiw9Kc_000010,0.9879591836734694,0.9710204081632653,0.989742,0.9998651,0.0002529529,0.7992424242424243
vggss,mean_cram,2995,Wj5qDj8_nSw_000025,0.9549744897959184,0.93,0.96232593,0.9998893,0.00023542484,0.7234848484848485
vggss,mean_cram,2996,Wjgj2_InitY_000514,0.9866071428571428,0.9779591836734693,0.98792565,0.99990577,0.00022246258,0.9090909090909092
vggss,mean_cram,2997,WlO51U31vYs_000014,0.9829336734693878,0.9628571428571429,0.98952806,0.9998938,0.00023280096,0.9318181818181819
vggss,mean_cram,2998,WmZicfOUkd0_000014,0.9834566326530612,0.9755102040816327,0.9878978,0.9999423,0.00017930867,0.7424242424242424
vggss,mean_cram,2999,WmxNXcXMcdw_000113,0.8999234693877551,0.806734693877551,0.92071027,0.99969274,0.00040030497,0.45009157509157505
vggss,mean_cram,3000,WoXgPQQjcJU_000060,0.9843622448979592,0.9523469387755102,0.98505354,0.999904,0.00021187287,0.8674242424242424
vggss,mean_cram,3001,WohJxQ1ll6w_000052,0.9652551020408163,0.9466326530612245,0.9786812,0.9998519,0.00030161813,0.8446969696969697
vggss,mean_cram,3002,WokAaq70lRM_000378,0.9838137755102041,0.976938775510204,0.98962945,0.9999541,0.00015327618,0.8030303030303031
vggss,mean_cram,3003,Wqux-4IupdU_000112,0.9723469387755102,0.946734693877551,0.97176707,0.9996153,0.00045871965,0.7074592074592074
vggss,mean_cram,3004,Wqv0fvaXGM4_000052,0.9805994897959184,0.9635714285714285,0.9862669,0.99989665,0.00023776857,0.8513986013986015
vggss,mean_cram,3005,Wr44Q8MQHL0_000030,0.9944132653061224,0.9879591836734694,0.9972471,0.99984205,0.00027298415,0.9318181818181819
vggss,mean_cram,3006,WrSpubuVkN0_000330,0.976390306122449,0.9498979591836735,0.98035836,0.9999186,0.00020687185,0.7558275058275058
vggss,mean_cram,3007,WrbQ5NIU0R0_000170,0.9871938775510205,0.9767346938775511,0.99218655,0.9999154,0.00018984954,0.8636363636363638
vggss,mean_cram,3008,WrwRZ0NgEss_000538,0.9589923469387756,0.9187755102040817,0.9690341,0.99991393,0.00019827942,0.7558275058275058
vggss,mean_cram,3009,WsG_Mg0VDn8_000025,0.9897321428571428,0.9815306122448979,0.9886972,0.9999126,0.0002183663,0.9318181818181819
vggss,mean_cram,3010,WsKJwVVs-MY_000000,0.971530612244898,0.9375510204081633,0.97415406,0.99990255,0.00022055504,0.9090909090909092
vggss,mean_cram,3011,WsfNsX9qA20_000079,0.9821428571428572,0.9667346938775511,0.9841871,0.9997821,0.00033880517,0.821969696969697
vggss,mean_cram,3012,Wu--g0m8oWA_000011,0.9840816326530613,0.9740816326530612,0.9895663,0.9999654,0.0001367887,0.7992424242424243
vggss,mean_cram,3013,WvquSD2PcCE_000030,0.987423469387755,0.9761224489795919,0.9893213,0.99990755,0.00021284739,0.7642773892773893
vggss,mean_cram,3014,Wx0Aw9na7Jo_000007,0.9907780612244899,0.9823469387755102,0.9937488,0.9999521,0.00016217708,0.7045454545454546
vggss,mean_cram,3015,Wx0Aw9na7Jo_000034,0.9872959183673469,0.9814285714285714,0.9904454,0.99995625,0.00015378738,0.8106060606060606
vggss,mean_cram,3016,Wx65BBbjCIQ_000120,0.9963137755102041,0.9926530612244898,0.995702,0.99970245,0.00039962103,0.9545454545454546
vggss,mean_cram,3017,WxFEd6umyB0_000001,0.9902806122448979,0.9801020408163266,0.99397576,0.9999001,0.0002316674,0.9318181818181819
vggss,mean_cram,3018,X0LgBnGmy1w_000150,0.9770025510204081,0.9512244897959183,0.98431396,0.9999326,0.00018383896,0.8030303030303031
vggss,mean_cram,3019,X1B6bDrgzXM_000050,0.9918367346938777,0.9843877551020408,0.9937082,0.999763,0.00034096354,1.0
vggss,mean_cram,3020,X1aRTyM821w_000024,0.9501147959183673,0.9053061224489796,0.9577439,0.99992657,0.00018677217,0.6267066267066267
vggss,mean_cram,3021,X3Ukm37HbE0_000030,0.947780612244898,0.8643877551020408,0.9559828,0.99968195,0.0003835828,0.8641774891774892
