dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,0PHUQku2P5I_000050,150,5478,2524,0,0
vggss,0QSPtpp1HN8_000030,151,75,2609,765,28
vggss,0QabiRBcEKc_000050,152,2171,2,0,1753
vggss,0RZRFj7zDnQ_000030,153,1056,1101,40,183
vggss,0Rqa18lmDtw_000153,154,8,0,501,2802
vggss,0T966F09Q_8_000000,155,1030,34,0,17
vggss,0TSOlaZXXM8_000080,156,226,3543,0,0
vggss,0U9_6RyH3_M_000030,157,0,1288,1991,0
vggss,0UF1FHDPM1A_000030,158,2621,455,699,0
vggss,0UeEkqkZmvo_000160,159,821,43,56,244
vggss,0W1En_XsDnM_000000,160,597,0,1117,2071
vggss,0W_wPc-zV3I_000101,161,77,0,0,2365
vggss,0Wkk9iNzA9c_000030,162,509,591,1600,1336
vggss,0Wxl_LzqguI_000288,163,2606,6,230,550
vggss,0XDEooC1h7s_000000,164,662,0,0,1276
vggss,0YTieIiZNN4_000010,165,2729,40,0,119
vggss,0ZxpQ87jdgQ_000037,166,1097,1036,523,119
vggss,0_9-dbUW0hU_000030,167,1375,1071,0,0
vggss,0_B2YnBAz3A_000220,168,17,0,1,5633
vggss,0apGJGFHQO4_000067,169,22,404,112,314
vggss,0bBJkY4_zs8_000033,170,1462,145,693,322
vggss,0bobzCB2ObQ_000076,171,57,1986,0,0
vggss,0eA2QcSRgh0_000063,172,776,874,637,112
vggss,0eDN0YmnJRY_000002,173,1269,0,1,289
vggss,0g_-KI5NZ-E_000030,174,4323,0,0,602
vggss,0glBUluF4Yk_000175,175,973,66,175,69
vggss,0hfU27A6tus_000070,176,480,415,172,2224
vggss,0hjqlmdPT6g_000050,177,214,180,1208,65
vggss,0iX0QmnbrK4_000085,178,559,376,9,10
vggss,0jy-sVREk4o_000030,179,3052,854,31,9
vggss,0kQkVbOikzQ_000004,180,77,61,110,407
vggss,0m9-5BkL4Mc_000030,181,1209,0,289,200
vggss,0mNvPaqfwUI_000220,182,1865,793,22,410
vggss,0n-Z2AQCRnU_000385,183,2777,36,96,197
vggss,0n56ajMNoMA_000118,184,8803,789,0,0
