dataset,model,sample_id,sample_index,readout,iou
vggss,mean_cram,0TSOlaZXXM8_000080,156,AUD,0.6079167377580618
vggss,mean_cram,0U9_6RyH3_M_000030,157,AUD,0.37534246575342467
vggss,mean_cram,0UF1FHDPM1A_000030,158,AUD,0.6106002005443346
vggss,mean_cram,0UeEkqkZmvo_000160,159,AUD,0.5471908324049021
vggss,mean_cram,0W1En_XsDnM_000000,160,AUD,0.3953262158956109
vggss,mean_cram,0W_wPc-zV3I_000101,161,AUD,0.06909691350184173
vggss,mean_cram,0Wkk9iNzA9c_000030,162,AUD,0.6096645663454411
vggss,mean_cram,0Wxl_LzqguI_000288,163,AUD,0.1960595023915047
vggss,mean_cram,0XDEooC1h7s_000000,164,AUD,0.42701664532650446
vggss,mean_cram,0YTieIiZNN4_000010,165,AUD,0.41803624104509063
vggss,mean_cram,0ZxpQ87jdgQ_000037,166,AUD,0.7218541538601644
vggss,mean_cram,0_9-dbUW0hU_000030,167,AUD,0.2039915443919423
vggss,mean_cram,0_B2YnBAz3A_000220,168,AUD,0.12544175673357352
vggss,mean_cram,0apGJGFHQO4_000067,169,AUD,0.5962141378290446
vggss,mean_cram,0bBJkY4_zs8_000033,170,AUD,0.6248239601915313
vggss,mean_cram,0bobzCB2ObQ_000076,171,AUD,0.773424904206537
vggss,mean_cram,0eA2QcSRgh0_000063,172,AUD,0.6392515883736055
vggss,mean_cram,0eDN0YmnJRY_000002,173,AUD,0.2229590522791656
vggss,mean_cram,0g_-KI5NZ-E_000030,174,AUD,0.06424182235739556
vggss,mean_cram,0glBUluF4Yk_000175,175,AUD,0.6481603745273393
vggss,mean_cram,0hfU27A6tus_000070,176,AUD,0.6261783598898807
vggss,mean_cram,0hjqlmdPT6g_000050,177,AUD,0.8118431171494489
vggss,mean_cram,0iX0QmnbrK4_000085,178,AUD,0.5776133088813205
vggss,mean_cram,0jy-sVREk4o_000030,179,AUD,0.493682808795349
vggss,mean_cram,0kQkVbOikzQ_000004,180,AUD,0.7117077813912905
vggss,mean_cram,0m9-5BkL4Mc_000030,181,AUD,0.08902038132807363
vggss,mean_cram,0mNvPaqfwUI_000220,182,AUD,0.713450520325837
vggss,mean_cram,0n-Z2AQCRnU_000385,183,AUD,0.45731066755801736
vggss,mean_cram,0n56ajMNoMA_000118,184,AUD,0.24548356424884543
vggss,mean_cram,0nYltlo90Zc_000147,185,AUD,0.22995191561966807
vggss,mean_cram,0nYltlo90Zc_000161,186,AUD,0.25841757239492286
vggss,mean_cram,0nvBTp-q7tU_000112,187,AUD,0.11961387800783436
vggss,mean_cram,0oTdsarJHA4_000220,188,AUD,0.33936043036461444
vggss,mean_cram,0olhNr566Z0_000018,189,AUD,0.5583594480180328
vggss,mean_cram,0q5kQGcOn2I_000083,190,AUD,0.6297843069817717
vggss,mean_cram,0q6GOUn_dhU_000066,191,AUD,0.1304255769637942
vggss,mean_cram,0q9FUj_2qMc_000539,192,AUD,0.6424488408168469
vggss,mean_cram,0sT6vnChbrc_000000,193,AUD,0.22580645161290322
vggss,mean_cram,0slFEpnTKkY_000115,194,AUD,0.49740154752280863
vggss,mean_cram,0teMcpgy9Jo_000058,195,AUD,0.5499402806808003
vggss,mean_cram,0ti14lvd2Aw_000000,196,AUD,0.2636268343815514
vggss,mean_cram,0w9PLY1owzk_000108,197,AUD,0.8238983050847457
vggss,mean_cram,0wdNFZhpdQw_000368,198,AUD,0.3772224891878904
vggss,mean_cram,0welW-8hB1c_000071,199,AUD,0.44317330072192196
vggss,mean_cram,0wzsE67O5tE_000230,200,AUD,0.4264646735487331
vggss,mean_cram,0x9TnOQ5Nhw_000020,201,AUD,0.49118163162121165
vggss,mean_cram,0xPWkrfjMu0_000178,202,AUD,0.16526520051746443
vggss,mean_cram,0yxJzCQW5zI_000030,203,AUD,0.3689948774747335
vggss,mean_cram,10YXuv9Go0E_000140,204,AUD,0.0810107010619685
vggss,mean_cram,10aBef0Ghkc_000040,205,AUD,0.3586996675286295
vggss,mean_cram,10aF24rMeu0_000030,206,AUD,0.07270226457729528
vggss,mean_cram,10hGfv89L3g_000030,207,AUD,0.0
vggss,mean_cram,115l3adqQ1M_000417,208,AUD,0.24154302670623146
vggss,mean_cram,126AbihZt28_000009,209,AUD,0.3368055555555556
vggss,mean_cram,12T-9dLEbY8_000020,210,AUD,0.30123808675514385
vggss,mean_cram,130v5XJl8G0_000070,211,AUD,0.4972493791455786
vggss,mean_cram,13W_9xdaOZE_000068,212,AUD,0.20800329184240304
vggss,mean_cram,14jcqHjMXcI_000000,213,AUD,0.13188798554652212
vggss,mean_cram,14lBeX_dOHU_000234,214,AUD,0.2369168837319441
vggss,mean_cram,14tRPoQA4q0_000004,215,AUD,0.07055003443865
vggss,mean_cram,15Mw2jyyHk0_000030,216,AUD,0.2401342809185386
vggss,mean_cram,15pi8h_bHQE_000173,217,AUD,0.5588588464245787
vggss,mean_cram,169a2JSphHA_000269,218,AUD,0.4687183526499381
vggss,mean_cram,16CvcIXIjzQ_000332,219,AUD,0.6592282284701523
vggss,mean_cram,17K-oEuH1p0_000020,220,AUD,0.0817382307294361
vggss,mean_cram,17WW_p1N7BQ_000030,221,AUD,0.36009952499434517
vggss,mean_cram,17yDXvJTdeo_000603,222,AUD,0.190140590552604
vggss,mean_cram,18212B4yfLg_000080,223,AUD,0.636516176393477
vggss,mean_cram,18r-Vtspi8g_000030,224,AUD,0.30403196512895025
vggss,mean_cram,190Zx0wVrhQ_000003,225,AUD,0.6041297319845657
vggss,mean_cram,19r6_MQei4M_000119,226,AUD,0.5602728731942215
vggss,mean_cram,1ACn3u5UnBw_000030,227,AUD,0.0
vggss,mean_cram,1CZ-bybGzu4_000030,228,AUD,0.8570554259266343
vggss,mean_cram,1D6UsaTflJ8_000060,229,AUD,0.5909344420220047
vggss,mean_cram,1ETrMAVZdY8_000030,230,AUD,0.46396184031725785
vggss,mean_cram,1ErGsKIlhAI_000051,231,AUD,0.10177022357006842
vggss,mean_cram,1F3_bvIT0ig_000000,232,AUD,0.27427597955706984
vggss,mean_cram,1F9zCsJyw6k_000230,233,AUD,0.14615032604965106
vggss,mean_cram,1FWUnWVX5Xk_000159,234,AUD,0.3666050245816607
vggss,mean_cram,1FnA3w94zXI_000030,235,AUD,0.5994356199453075
vggss,mean_cram,1GDAnA4hAqQ_000105,236,AUD,0.7791141927267582
vggss,mean_cram,1HUCwslugK8_000283,237,AUD,0.5592474957244076
vggss,mean_cram,1Isq_KJHriU_000016,238,AUD,0.3274215552523875
vggss,mean_cram,1JY4rwQZn3s_000011,239,AUD,0.5709197379939026
vggss,mean_cram,1JsIcP2nXMw_000108,240,AUD,0.4536102999734537
vggss,mean_cram,1MTKUN3uFrs_000440,241,AUD,0.1835970024979184
vggss,mean_cram,1MaEJRh2oGY_000034,242,AUD,0.5661258371851712
vggss,mean_cram,1MaEJRh2oGY_000089,243,AUD,0.5086830298231724
vggss,mean_cram,1OFDyTzUj24_000030,244,AUD,0.07957329827287396
vggss,mean_cram,1P9yEzO1Bic_000025,245,AUD,0.14892257121986852
vggss,mean_cram,1PN-bfs2EhY_000030,246,AUD,0.29234937006332007
vggss,mean_cram,1Qvce8w_Vds_000011,247,AUD,0.49055291877021673
vggss,mean_cram,1RhYdQnZ_hw_000030,248,AUD,0.2769562734022974
vggss,mean_cram,1SJFTbu1abo_000042,249,AUD,0.04225352112676056
vggss,mean_cram,1TAOyk0Xgss_000370,250,AUD,0.5904961329325543
vggss,mean_cram,1TJrceFMGrU_000114,251,AUD,0.6606053696631135
vggss,mean_cram,1Tg9VvRZN5k_000030,252,AUD,0.5778234370671346
vggss,mean_cram,1Thl21awe2g_000020,253,AUD,0.6723703005804942
vggss,mean_cram,1U8Y6VifI-M_000050,254,AUD,0.28121096770356274
vggss,mean_cram,1UXkMZNI5o4_000373,255,AUD,0.4987074965201829
vggss,mean_cram,1V-_jMSJR6A_000024,256,AUD,0.082319255547602
vggss,mean_cram,1VHm2PacRWc_000020,257,AUD,0.5282278594746773
vggss,mean_cram,1WLMVX_Y2Pk_000018,258,AUD,0.7892615584174928
vggss,mean_cram,1_0T2ZIjWnw_000031,259,AUD,0.5496547756041427
vggss,mean_cram,1_JeO9Pg1aQ_000020,260,AUD,0.23863247863247863
vggss,mean_cram,1_Q80fDGLRM_000010,261,AUD,0.6148090036811297
vggss,mean_cram,1_v-Kro86Io_000010,262,AUD,0.28408434430964763
vggss,mean_cram,1_xoCNmTn3Y_000012,263,AUD,0.5466263317111666
vggss,mean_cram,1_yyvTRVoZQ_000002,264,AUD,0.6262885206972854
vggss,mean_cram,1_yyvTRVoZQ_000209,265,AUD,0.5096198967620835
