sample_id,sample_index,readout,grid,gt_response,nearfp_response,gt_nearfp_gap,precision,coverage,activated_area
j42ETHcp044_000000,4069,AUD,native_14x14_descriptive,0.86696965,0.748936110176146,0.11803353484719992,0.5330447635135135,0.9698425,0.5663265306122449
jBv48uOrgbs_000320,4077,AUD,native_14x14_descriptive,0.8072801,0.9330189528409392,-0.125738829607144,0.09733606557377049,0.9731114,0.6224489795918368
jEP-WEblweY_000115,4079,AUD,native_14x14_descriptive,0.7971871,0.7057205510791391,0.09146653884090483,0.5405729166666666,0.852975,0.3826530612244898
jJp1gPilmxs_000009,4085,AUD,native_14x14_descriptive,0.92989707,0.7913839577231556,0.13851311220787466,0.2839543269230769,1.0,0.5306122448979592
jU0LDjmqrRw_000030,4093,AUD,native_14x14_descriptive,0.8922361,0.8423886322416365,0.049847481306642294,0.3620211693548387,1.0,0.7908163265306123
jUjEZr4O6fU_000030,4094,AUD,native_14x14_descriptive,0.86521184,0.7376960183028132,0.12751582614146173,0.36907762096774194,1.0,0.3163265306122449
jVbT8XQkJx8_000094,4097,AUD,native_14x14_descriptive,0.8663144,0.7736588870175183,0.0926555241458118,0.4867978639240506,0.9784337,0.4030612244897959
jaI41fTAM54_000030,4104,AUD,native_14x14_descriptive,0.8492379,0.7992155335377902,0.050022385315969586,0.18113182773109243,1.0,0.6071428571428571
jin4FoKXn1o_000180,4113,AUD,native_14x14_descriptive,0.82476294,0.6327547309920192,0.19200820941478014,0.6291454081632653,0.94266605,0.25
jtRq_vXe9uQ_000246,4122,AUD,native_14x14_descriptive,0.7284084,0.5944761103019118,0.13393228594213724,0.796875,0.77954143,0.5306122448979592
jwZHGy2SI88_000215,4125,AUD,native_14x14_descriptive,0.82482445,0.6837048325687647,0.14111961983144283,0.7238915598290598,0.9847398,0.5969387755102041
k0ikzr_6EQg_000887,4132,AUD,native_14x14_descriptive,0.8855514,0.7375623022671789,0.14798909076489508,0.3197337962962963,1.0,0.5510204081632653
k3AYfr6PIgs_000019,4135,AUD,native_14x14_descriptive,0.81875056,0.7406785680213943,0.07807199226226658,0.3519905821917808,0.8390306,0.37244897959183676
kH6fFjIZkB0_000030,4149,AUD,native_14x14_descriptive,0.76974535,0.782934982329607,-0.013189632445573807,0.5231267755681818,0.79226893,0.4489795918367347
kKafEAL6m7A_000236,4153,AUD,native_14x14_descriptive,0.84732795,0.7964027472771704,0.05092520033940673,0.4032495471014493,0.9279573,0.7040816326530612
kNKfoDp0uUw_000030,4157,AUD,native_14x14_descriptive,0.838993,0.7636481628287584,0.07534485007636249,0.60515625,0.98631185,0.5102040816326531
kQQrsmLvoCE_000120,4164,AUD,native_14x14_descriptive,0.82426006,0.7328481693984941,0.09141188662033528,0.34802389705882353,0.9106542,0.4336734693877551
kr8ssbrDDMY_000030,4194,AUD,native_14x14_descriptive,0.80981404,0.7914859273005277,0.01832810859195888,0.55078125,0.8656411,0.44387755102040816
l13XyX-sMwk_000406,4212,AUD,native_14x14_descriptive,0.8959753,0.8872108978684992,0.008764393860474229,0.09446022727272728,1.0,0.5051020408163265
l3abwXzDR1g_000030,4216,AUD,native_14x14_descriptive,0.8060618,0.7938057444989681,0.012256059795618057,0.4335171568627451,0.9520606,0.5204081632653061
l7RTgupQWcc_000030,4222,AUD,native_14x14_descriptive,0.88842416,0.7814575843513012,0.10696657374501228,0.6270785550458715,0.9973212,0.5561224489795918
lF1C6JSDZJU_000209,4234,AUD,native_14x14_descriptive,0.8882217,0.7679060434456915,0.12031563767232001,0.3553025265957447,1.0,0.47959183673469385
lGZKkiZEDBY_000003,4235,AUD,native_14x14_descriptive,0.8257906,0.792860537301749,0.032930046785622835,0.2820216049382716,0.9444444,0.413265306122449
lKkW2wWkSJE_000111,4239,AUD,native_14x14_descriptive,0.8400487,0.7435135126579553,0.0965351581107825,0.5345610119047619,0.97774905,0.5357142857142857
lYOw8di2k4I_000030,4250,AUD,native_14x14_descriptive,0.8261851,0.740564732812345,0.08562037441879511,0.3899661144578313,0.960807,0.42346938775510207
laSDlOFM5vc_000025,4252,AUD,native_14x14_descriptive,0.84109724,0.738475070334971,0.10262216534465551,0.34112639925373134,0.93317384,0.6836734693877551
lbnENIVqZk0_000207,4255,AUD,native_14x14_descriptive,0.7950711,0.7628063657321036,0.03226475929841399,0.4208001258389262,0.9182494,0.7602040816326531
ljjWDXhYU9A_000018,4263,AUD,native_14x14_descriptive,0.7998896,0.7000335978809744,0.09985602623783052,0.4441849226804124,0.87853444,0.49489795918367346
lqeAf-DqE3I_000140,4272,AUD,native_14x14_descriptive,0.87285644,0.6810553791001439,0.19180105905979872,0.4667016006097561,0.9919004,0.41836734693877553
lsAu4_RaXHU_000020,4273,AUD,native_14x14_descriptive,0.90891004,0.7984675045590848,0.11044253152795136,0.3090466485507246,1.0,0.3520408163265306
lsY8RejLczg_000176,4274,AUD,native_14x14_descriptive,0.6399695,0.8846680168062449,-0.24469848908483982,0.6707307449494949,0.48353055,0.5051020408163265
luSAuu-BoPs_000232,4276,AUD,native_14x14_descriptive,0.45457602,0.5294206887483597,-0.07484467327594757,0.1794871794871795,0.15664336,0.1989795918367347
lutN6JqHO_s_000173,4278,AUD,native_14x14_descriptive,0.90385115,0.7612614091485739,0.14258974231779575,0.43060302734375,1.0,0.32653061224489793
m4emitvY_Dg_000178,4290,AUD,native_14x14_descriptive,0.78336686,0.6657203461509198,0.1176465128082782,0.7056919642857142,0.9018685,0.35714285714285715
mC0O0048pPw_000029,4293,AUD,native_14x14_descriptive,0.60249984,0.5429861265001819,0.05951371614355594,0.8086825284090909,0.50179034,0.22448979591836735
mTM0WQRcfNU_000050,4320,AUD,native_14x14_descriptive,0.872176,0.775932711083442,0.0962432804517448,0.357421875,0.9987159,0.5204081632653061
