scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,flickr,10110769444,17,OGL,0.8082975356093149,0.7313435673713684,0.4407485650510204,0.005285739898681641,0.6761537790298462,0.6708680391311646,False,False,False,0.018241968448788448
144k,flickr,10111706074,18,AUD,0.820451045650986,0.6280515789985657,0.4012077487244898,0.07012701034545898,0.6262533068656921,0.5561262965202332,False,False,False,0.06264599939112303
144k,flickr,10111706074,18,IMG_QUERY,0.760248123888431,0.6664385199546814,0.45944276147959184,0.04738032817840576,0.6407952904701233,0.5934149622917175,False,False,False,0.06264599939112303
144k,flickr,10111706074,18,IQR,0.8153876082093181,0.6375389695167542,0.40979751275510207,0.0628165602684021,0.6227390170097351,0.559922456741333,False,False,False,0.06264599939112303
144k,flickr,10111706074,18,OGL,0.8378132945877225,0.7016503214836121,0.43893494897959184,0.08547687530517578,0.6695290207862854,0.5840521454811096,False,False,False,0.06264599939112303
144k,flickr,10119607346,19,AUD,0.6083057602647015,0.6219748854637146,0.5300542091836735,-0.03146672248840332,0.6737357378005981,0.7052024602890015,False,False,False,-0.019325121028572312
144k,flickr,10119607346,19,IMG_QUERY,0.5589830326460481,0.4002268314361572,0.3711734693877551,-0.11575472354888916,0.5479942560195923,0.6637489795684814,False,False,False,-0.019325121028572312
144k,flickr,10119607346,19,IQR,0.5999525063684642,0.5342060327529907,0.4615951849489796,-0.06763964891433716,0.6294111609458923,0.6970508098602295,False,False,False,-0.019325121028572312
144k,flickr,10119607346,19,OGL,0.6550363401257413,0.564769446849823,0.4469666772959184,0.044324517250061035,0.6498143672943115,0.6054898500442505,False,False,False,-0.019325121028572312
144k,flickr,10119736773,20,AUD,0.9406711409395974,0.8655176162719727,0.6681481186224489,0.327456533908844,0.7398436069488525,0.41238707304000854,False,False,False,-0.06100428927470847
144k,flickr,10119736773,20,IMG_QUERY,0.9420841755703148,0.7163107991218567,0.5521364795918368,0.27387210726737976,0.6539403200149536,0.38006821274757385,False,False,False,-0.06100428927470847
144k,flickr,10119736773,20,IQR,0.9414615144904955,0.8291662335395813,0.6395487882653061,0.3105629086494446,0.7151715159416199,0.4046086072921753,False,False,False,-0.06100428927470847
144k,flickr,10119736773,20,OGL,0.9376339957121372,0.8042046427726746,0.6228276466836735,0.39047619700431824,0.7095479965209961,0.31907179951667786,False,False,False,-0.06100428927470847
144k,flickr,10129791115,21,AUD,0.7832650330350422,0.8101818561553955,0.47660235969387754,0.16002678871154785,0.7478331327438354,0.5878063440322876,False,False,False,-0.04363185658752089
144k,flickr,10129791115,21,IMG_QUERY,0.7504841168472662,0.7878630757331848,0.4837173150510204,0.1394851803779602,0.7486366629600525,0.6091514825820923,False,False,False,-0.04363185658752089
144k,flickr,10129791115,21,IQR,0.773097315576337,0.8009688854217529,0.4773796237244898,0.15314388275146484,0.7477109432220459,0.594567060470581,False,False,False,-0.04363185658752089
144k,flickr,10129791115,21,OGL,0.8068258076886204,0.7280434370040894,0.4157764668367347,0.17941367626190186,0.6956778764724731,0.5162642002105713,False,False,False,-0.04363185658752089
144k,flickr,10129813456,22,AUD,0.9407683439018365,0.7964547872543335,0.48401626275510207,0.2141709327697754,0.7250964641571045,0.5109255313873291,False,False,True,-0.1293055765273533
144k,flickr,10129813456,22,IMG_QUERY,0.9668278084714549,0.7320342063903809,0.4328762755102041,0.24813061952590942,0.7032902836799622,0.45515966415405273,False,False,True,-0.1293055765273533
144k,flickr,10129813456,22,IQR,0.9451831409934772,0.788001298904419,0.4766422193877551,0.23122304677963257,0.7264492511749268,0.4952262043952942,False,False,True,-0.1293055765273533
144k,flickr,10129813456,22,OGL,0.9797955725029128,0.6449201107025146,0.37631536989795916,0.23749902844429016,0.6744097471237183,0.4369107186794281,False,False,True,-0.1293055765273533
144k,flickr,10163352444,23,AUD,0.964435396958448,0.8100035190582275,0.49930245535714285,0.2254810631275177,0.7141386270523071,0.48865756392478943,False,False,True,-0.11615334748087391
144k,flickr,10163352444,23,IMG_QUERY,0.973232929050602,0.7343904376029968,0.44860092474489793,0.2587253451347351,0.6860483288764954,0.42732298374176025,False,False,True,-0.11615334748087391
144k,flickr,10163352444,23,IQR,0.9682420916988819,0.7808712720870972,0.47945232780612246,0.23888146877288818,0.7028927803039551,0.4640113115310669,False,False,True,-0.11615334748087391
144k,flickr,10163352444,23,OGL,0.9910359054963407,0.6763941645622253,0.4057517538265306,0.27597540616989136,0.6633579730987549,0.3873825669288635,False,False,True,-0.11615334748087391
