scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,CUt0oGFuxL8_000053,1283,IMG_QUERY,0.6081885856079404,0.6497448682785034,0.32126913265306123,0.004853308200836182,0.6981356739997864,0.6932823657989502,True,True,False,0.10897727977177596
144k,vggss,CUt0oGFuxL8_000053,1283,IQR,0.6422435258964143,0.6837431192398071,0.3201530612244898,0.04052448272705078,0.7144652605056763,0.6739407777786255,True,True,False,0.10897727977177596
144k,vggss,CUt0oGFuxL8_000053,1283,OGL,0.7760948304247612,0.7810325622558594,0.30263472576530615,0.11861974000930786,0.7390743494033813,0.6204546093940735,True,True,False,0.10897727977177596
144k,vggss,CWxZNhucY8o_000573,1288,AUD,0.21970506518486857,0.5617486238479614,0.4662587691326531,-0.2695431113243103,0.6251807808876038,0.8947238922119141,True,True,False,0.18516973931775507
144k,vggss,CWxZNhucY8o_000573,1288,IMG_QUERY,0.18861315309092702,0.4178141951560974,0.40395806760204084,-0.339846670627594,0.5430285930633545,0.8828752636909485,True,True,False,0.18516973931775507
144k,vggss,CWxZNhucY8o_000573,1288,IQR,0.20763669227293266,0.5021858215332031,0.44104751275510207,-0.2981995940208435,0.5926809310913086,0.8908805251121521,True,True,False,0.18516973931775507
144k,vggss,CWxZNhucY8o_000573,1288,OGL,0.4379395806818943,0.7145355343818665,0.2975326849489796,-0.05842173099517822,0.683746874332428,0.7421686053276062,True,True,False,0.18516973931775507
144k,vggss,Ce2fbtvF_TI_000136,1296,AUD,0.9708141321044547,0.6623475551605225,0.4281529017857143,0.033358633518218994,0.6935147643089294,0.6601561307907104,True,True,False,0.13023538130077028
144k,vggss,Ce2fbtvF_TI_000136,1296,IMG_QUERY,0.9665349755984197,0.5283282399177551,0.3430325255102041,-0.013492107391357422,0.6257064342498779,0.6391985416412354,True,True,False,0.13023538130077028
144k,vggss,Ce2fbtvF_TI_000136,1296,IQR,0.969555403915805,0.5866044163703918,0.37968351403061223,0.014974355697631836,0.6590612530708313,0.6440868973731995,True,True,False,0.13023538130077028
144k,vggss,Ce2fbtvF_TI_000136,1296,OGL,0.9724578733294597,0.7972561120986938,0.5144889987244898,0.11557257175445557,0.7503998279571533,0.6348272562026978,True,True,False,0.13023538130077028
144k,vggss,Cmb7oRnRLio_000034,1311,AUD,0.9738020789318009,0.8922183513641357,0.23582987882653061,0.2660589814186096,0.7716190814971924,0.5055601000785828,False,False,True,-0.16796280178358625
144k,vggss,Cmb7oRnRLio_000034,1311,IMG_QUERY,0.6706388786812956,0.989159882068634,0.3796436543367347,0.2354365587234497,0.8430627584457397,0.60762619972229,False,False,True,-0.16796280178358625
144k,vggss,Cmb7oRnRLio_000034,1311,IQR,0.907035175879397,0.95036780834198,0.2696906887755102,0.2563093900680542,0.8058986663818359,0.5495892763137817,False,False,True,-0.16796280178358625
144k,vggss,Cmb7oRnRLio_000034,1311,OGL,0.9920721112076455,0.707317054271698,0.1835140306122449,0.28819572925567627,0.6911512017250061,0.40295547246932983,False,False,True,-0.16796280178358625
144k,vggss,Co7vOJiMeO0_000064,1314,AUD,0.6050736235595391,0.7514410614967346,0.49808673469387754,0.023640155792236328,0.7583690881729126,0.7347289323806763,False,False,True,-0.11531434521719208
144k,vggss,Co7vOJiMeO0_000064,1314,IMG_QUERY,0.640015533310321,0.7370800971984863,0.46189413265306123,0.017348408699035645,0.7360291481018066,0.718680739402771,False,False,True,-0.11531434521719208
144k,vggss,Co7vOJiMeO0_000064,1314,IQR,0.6065560534495983,0.7466209530830383,0.49368223852040816,0.021244168281555176,0.7529287338256836,0.7316845655441284,False,False,True,-0.11531434521719208
144k,vggss,Co7vOJiMeO0_000064,1314,OGL,0.5243051038549933,0.6008248925209045,0.45960220025510207,-0.10018908977508545,0.6425408720970154,0.7427299618721008,False,False,True,-0.11531434521719208
144k,vggss,CqmuLdNiEjE_000077,1319,AUD,0.9567715458276334,0.6971690654754639,0.36421795280612246,0.11901384592056274,0.6890873312950134,0.5700734853744507,False,False,True,-0.10445651141278534
144k,vggss,CqmuLdNiEjE_000077,1319,IMG_QUERY,0.9722149921915669,0.595733642578125,0.30628188775510207,0.0742916464805603,0.6352037191390991,0.5609120726585388,False,False,True,-0.10445651141278534
