sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,IoU_SAMPLE_ORACLE,IoU_PIXEL_ORACLE,IoU_BINARY_PIXEL_ORACLE,IoU_REGION_ORACLE,region_oracle_components,disagreement_mean,disagreement_max,disagreement_std,disagreement_top10_mass,disagreement_top20_mass,disagreement_top30_mass,AUD_IMG_Pearson,mask_IoU,area_AUD,area_IMG,area_ratio_IMG_AUD,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG,energy_GT_INTERIOR,energy_GT_BOUNDARY_1PX,energy_GT_EXTERIOR,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,E_AUD_CTRL_RAW_PEAK,E_IMG_CTRL_RAW_PEAK,DELTA_CTRL_RAW_PEAK,IoU_SAMPLE_CTRL_RAW_PEAK,IoU_D20_CTRL_RAW_PEAK,E_AUD_CTRL_NEG_ENTROPY,E_IMG_CTRL_NEG_ENTROPY,DELTA_CTRL_NEG_ENTROPY,IoU_SAMPLE_CTRL_NEG_ENTROPY,IoU_D20_CTRL_NEG_ENTROPY,E_AUD_CTRL_NEG_AREA,E_IMG_CTRL_NEG_AREA,DELTA_CTRL_NEG_AREA,IoU_SAMPLE_CTRL_NEG_AREA,IoU_D20_CTRL_NEG_AREA,E_AUD_CTRL_TOP20_CONCENTRATION,E_IMG_CTRL_TOP20_CONCENTRATION,DELTA_CTRL_TOP20_CONCENTRATION,IoU_SAMPLE_CTRL_TOP20_CONCENTRATION,IoU_D20_CTRL_TOP20_CONCENTRATION,E_AUD_CTRL_NEG_COMPONENTS,E_IMG_CTRL_NEG_COMPONENTS,DELTA_CTRL_NEG_COMPONENTS,IoU_SAMPLE_CTRL_NEG_COMPONENTS,IoU_D20_CTRL_NEG_COMPONENTS,E_AUD_SEMANTIC_SLOT,E_IMG_SEMANTIC_SLOT,DELTA_SEMANTIC_SLOT,IoU_SAMPLE_SEMANTIC_SLOT,IoU_D20_SEMANTIC_SLOT,IoU_LOCAL20_SEMANTIC_SLOT,E_AUD_RECIPROCAL_L4,E_IMG_RECIPROCAL_L4,DELTA_RECIPROCAL_L4,IoU_SAMPLE_RECIPROCAL_L4,IoU_D20_RECIPROCAL_L4,IoU_LOCAL20_RECIPROCAL_L4
198,0wdNFZhpdQw_000368,0.37610062893081764,0.3580026455026455,0.3701554265892869,0.3695068640233147,0.3777288065560223,0.37610062893081764,0.3879139638101741,0.3879139638101741,0.3878345166575642,21,0.03818719834089279,0.14842811226844788,0.027298858389258385,0.23853364966517795,0.4238300387420831,0.5750623386189939,0.9849976601680349,0.9117905851297844,0.26233657525510207,0.25729432397959184,0.9807794575704626,2.556308558850294,1,1,5681.0,5413.0,0.1309073269367218,0.01480894722044468,0.8542836904525757,False,False,False,True,False,0.005916259717196226,0.023092299699783325,0.0171760399825871,0.3580026455026455,0.3694376689300547,-0.9845143583723074,-0.9814516310429805,0.0030627273293268864,0.3580026455026455,0.3694376689300547,-0.26233657525510207,-0.25729432397959184,0.005042251275510223,0.3580026455026455,0.3694376689300547,0.3807227541016344,0.3922075406148412,0.01148478651320678,0.3580026455026455,0.3694376689300547,-1.0,-1.0,0.0,0.37610062893081764,0.37610062893081764,0.2517401750071135,0.2659393909331127,0.014199215925999209,0.3580026455026455,0.3694376689300547,0.3694376689300547,0.2559569088818872,0.2684898272710908,0.012532918389203562,0.3580026455026455,0.3694376689300547,0.3694376689300547
199,0welW-8hB1c_000071,0.46273769574944074,0.45195989695746014,0.4643092618940209,0.4194831013916501,0.4667794524761612,0.46273769574944074,0.4844267255188125,0.4844267255188125,0.4776634748869825,9,0.06476093083620071,0.21980179846286774,0.04149777814745903,0.21924769285703105,0.38878823579792987,0.5370136182302766,0.9800682109320816,0.8927607239276072,0.37862723214285715,0.3758968431122449,0.9927887146015371,2.558405180555149,1,1,13238.0,12983.0,0.3366951048374176,0.032677918672561646,0.6306269764900208,False,False,False,True,False,0.005777271464467049,0.023925792425870895,0.018148520961403847,0.45195989695746014,0.46273769574944074,-0.990240099166923,-0.9840678734116914,0.006172225755231575,0.45195989695746014,0.46273769574944074,-0.37862723214285715,-0.3758968431122449,0.0027303890306122347,0.45195989695746014,0.46273769574944074,0.33268625883767433,0.36115888930928247,0.02847263047160814,0.45195989695746014,0.46273769574944074,-1.0,-1.0,0.0,0.46273769574944074,0.46273769574944074,0.2623895829134885,0.30463474777784105,0.042245164864352536,0.45195989695746014,0.46273769574944074,0.46273769574944074,0.2595002991123379,0.30001894467940254,0.04051864556706464,0.45195989695746014,0.46273769574944074,0.46273769574944074
200,0wzsE67O5tE_000230,0.4827342962714142,0.4879852125693161,0.4880728396720871,0.4241209753468948,0.4359595144423148,0.4879852125693161,0.5062512603347449,0.5062512603347449,0.5059791736647632,22,0.03380611911416054,0.12042917311191559,0.02377433516085148,0.24440315436791293,0.4208054854325627,0.5620746677102225,0.9877183137782767,0.9177398160315374,0.28952088647959184,0.29219148596938777,1.00922420320782,2.023940699173906,1,1,14371.0,14520.0,0.6227244138717651,0.03140900284051895,0.3458666205406189,False,False,False,True,False,0.006037810351699591,0.024592524394392967,0.018554714042693377,0.4879852125693161,0.4807084761712711,-0.9892089573112589,-0.9873069162659491,0.001902041045309777,0.4879852125693161,0.4807084761712711,-0.28952088647959184,-0.29219148596938777,-0.0026705994897959218,0.4827342962714142,0.4827342962714142,0.360342215533148,0.3703715380283895,0.010029322495241522,0.4879852125693161,0.4807084761712711,-1.0,-1.0,0.0,0.4827342962714142,0.4827342962714142,0.22905459321602095,0.24427335240415238,0.015218759188131425,0.4879852125693161,0.4807084761712711,0.4807084761712711,0.23631531937045247,0.2513106087693199,0.014995289398867406,0.4879852125693161,0.4807084761712711,0.48033877797943136
201,0x9TnOQ5Nhw_000020,0.3964846463804363,0.3939559297370336,0.40365554465161924,0.06249531659797677,0.41877996871714657,0.3964846463804363,0.4500552021449976,0.4500552021449976,0.4331250474335298,3,0.10616568475961685,0.3703851103782654,0.07690536975860596,0.2534217343585782,0.4314775786351367,0.5680646401663452,0.9277647015524846,0.8251049324026621,0.8506257971938775,0.7179328762755102,0.8440055293924696,6.340443554744004,1,1,17121.0,15161.0,0.25225579738616943,0.020661650225520134,0.7270824909210205,False,False,False,True,False,0.0053003104403615,0.0213569737970829,0.0160566633567214,0.3939559297370336,0.4147128305433485,-0.9970183306074868,-0.9931565046977857,0.0038618259097010776,0.3939559297370336,0.4147128305433485,-0.8506257971938775,-0.7179328762755102,0.13269292091836737,0.3939559297370336,0.4147128305433485,0.24505917072857203,0.27195062409427784,0.02689145336570581,0.3939559297370336,0.4147128305433485,-1.0,-1.0,0.0,0.3964846463804363,0.3964846463804363,0.20832480653307328,0.24016577559919094,0.031840969066117664,0.3939559297370336,0.4147128305433485,0.4147128305433485,0.20646652952954503,0.22840722728082585,0.021940697751280824,0.3939559297370336,0.4147128305433485,0.4147128305433485
202,0xPWkrfjMu0_000178,0.15868333203943794,0.15449262150304827,0.1600668250280613,0.004956427015250545,0.19511495169159146,0.15868333203943794,0.17482039001026342,0.17701056520986086,0.17701056520986086,10,0.07905556261539459,0.26342278718948364,0.05547776445746422,0.24518394293714893,0.423123890293828,0.5683264767910405,0.9209767921167734,0.8677850804286116,0.770149075255102,0.6854472257653061,0.8900188908728619,1.2859839846097028,1,1,6132.0,5423.0,0.22550199925899506,0.01446572132408619,0.7600322961807251,False,False,False,True,False,0.005318268667906523,0.021292736753821373,0.01597446808591485,0.15449262150304827,0.14663094440723376,-0.9964217174261073,-0.9960702878760241,0.0003514295500831599,0.15449262150304827,0.14663094440723376,-0.770149075255102,-0.6854472257653061,0.08470184948979587,0.15449262150304827,0.14663094440723376,0.25530546484943517,0.26020001179552815,0.004894546946092981,0.15449262150304827,0.14663094440723376,-1.0,-1.0,0.0,0.15868333203943794,0.15868333203943794,0.152345373834315,0.1396085342624913,-0.0127368395718237,0.15868333203943794,0.15868333203943794,0.14663094440723376,0.16647841435816657,0.14560911841914737,-0.020869295939019206,0.15868333203943794,0.15868333203943794,0.14373558800922367
203,0yxJzCQW5zI_000030,0.37967544375627144,0.33884524744697564,0.3704327451123966,0.13847433830794031,0.25766509433962265,0.37967544375627144,0.43233127142350575,0.43233127142350575,0.3398999251408534,4,0.10442117601633072,0.2616593837738037,0.05425456911325455,0.18601726756603337,0.3380667857903275,0.4763319595305325,0.9705108340888066,0.7690813750242765,0.5115194515306123,0.3961854272959184,0.7745266110808072,12.08946797903046,1,1,10973.0,8627.0,0.263746440410614,0.015396138653159142,0.7208573818206787,False,False,False,True,False,0.005729071795940399,0.023901086300611496,0.018172014504671097,0.33884524744697564,0.38846556642952584,-0.9931046981691484,-0.9868706025659518,0.006234095603196543,0.33884524744697564,0.38846556642952584,-0.5115194515306123,-0.3961854272959184,0.11533402423469391,0.33884524744697564,0.38846556642952584,0.3011286765697874,0.3485872617207954,0.04745858515100798,0.33884524744697564,0.38846556642952584,-1.0,-1.0,0.0,0.37967544375627144,0.37967544375627144,0.256182196514838,0.29316963051130385,0.03698743399646587,0.33884524744697564,0.38846556642952584,0.38846556642952584,0.25487292530826816,0.28627289900053493,0.03139997369226677,0.33884524744697564,0.38846556642952584,0.38846556642952584
204,10YXuv9Go0E_000140,0.06879120128428459,0.06690508719762116,0.07049229165115066,0.0,0.0771647887956188,0.06879120128428459,0.08331954327320867,0.08358580618385557,0.06910147333471675,6,0.07502205669879913,0.26755502820014954,0.05502966046333313,0.2596612663561554,0.4340579945793993,0.5687281789209255,0.944354638145862,0.7896942882804964,0.5833466198979592,0.48887914540816324,0.8380594465322855,9.116064854671581,1,1,2014.0,1665.0,0.038419123739004135,0.009341442957520485,0.9522393941879272,False,False,False,True,False,0.005444643087685108,0.02236090786755085,0.01691626477986574,0.06690508719762116,0.06253856484338137,-0.9945840710156333,-0.9922202349215016,0.0023638360941317105,0.06690508719762116,0.06253856484338137,-0.5833466198979592,-0.48887914540816324,0.09446747448979598,0.06690508719762116,0.06253856484338137,0.28272548450379803,0.29685951378036196,0.01413402927656393,0.06690508719762116,0.06253856484338137,-1.0,-1.0,0.0,0.06879120128428459,0.06879120128428459,0.18047351053046023,0.19588130957516509,0.01540779904470485,0.06690508719762116,0.06253856484338137,0.06253856484338137,0.18613407865217957,0.1985214870981568,0.012387408445977244,0.06690508719762116,0.06253856484338137,0.06253856484338137
205,10aBef0Ghkc_000040,0.40649120587118814,0.40174738957045875,0.4037841055038687,0.5783579924572092,0.46207047175305765,0.40649120587118814,0.4203815610466036,0.4203815610466036,0.41110620585267404,15,0.04960411414504051,0.179845929145813,0.03725422918796539,0.26240969910826845,0.4361880477892355,0.5777855676225843,0.9836664535219279,0.9389559891263205,0.5457190688775511,0.5772879464285714,1.0578482214593528,1.7124684378013386,1,1,12850.0,13197.0,0.3037043511867523,0.022874118760228157,0.6734215021133423,False,False,False,True,False,0.005888777785003185,0.022771382704377174,0.01688260491937399,0.40174738957045875,0.4031438106228363,-0.9912166694665109,-0.9879901590850381,0.0032265103814728135,0.40174738957045875,0.4031438106228363,-0.5457190688775511,-0.5772879464285714,-0.031568877551020336,0.40649120587118814,0.40649120587118814,0.3006634053207783,0.30593416364545944,0.005270758324681157,0.40174738957045875,0.4031438106228363,-1.0,-1.0,0.0,0.40649120587118814,0.40649120587118814,0.28999853997946634,0.34331038442389245,0.053311844444426104,0.40174738957045875,0.4031438106228363,0.4031438106228363,0.2924774329106944,0.34324786349027,0.05077043057957559,0.40174738957045875,0.4031438106228363,0.4088953561938504
206,10aF24rMeu0_000030,0.05419458786480647,0.05653386301997784,0.05519504736331767,0.130041598842467,0.07449164485604994,0.05653386301997784,0.05832282471626734,0.05866730090775756,0.05857674344969524,9,0.051404573023319244,0.17003417015075684,0.03924274444580078,0.25302162495606817,0.44263495003691317,0.5933228412816277,0.9798664063552834,0.8926435724142812,0.5442641900510204,0.5217434630102041,0.9586216998059248,4.608624226784989,1,1,1480.0,1480.0,0.03545854240655899,0.006589881144464016,0.9579516053199768,False,False,False,True,False,0.005608012899756432,0.02281169593334198,0.01720368303358555,0.05653386301997784,0.05534365417695011,-0.9923544081174979,-0.9887039727212604,0.003650435396237439,0.05653386301997784,0.05534365417695011,-0.5442641900510204,-0.5217434630102041,0.022520727040816313,0.05653386301997784,0.05534365417695011,0.2998750972637885,0.31773814277011897,0.017863045506330444,0.05653386301997784,0.05534365417695011,-1.0,-1.0,0.0,0.05419458786480647,0.05419458786480647,0.24495995483128585,0.27887083947233166,0.0339108846410458,0.05653386301997784,0.05534365417695011,0.05534365417695011,0.24534453725545957,0.27684567016124983,0.03150113290579026,0.05653386301997784,0.05534365417695011,0.05534365417695011
207,10hGfv89L3g_000030,0.15509954682010285,0.14573510501500214,0.1461968733565999,0.12615184944841012,0.15205581858958386,0.15509954682010285,0.16304347826086957,0.17397236909432032,0.17317641707885612,14,0.07261890918016434,0.32471030950546265,0.05934324488043785,0.2786473053115114,0.4538293624173507,0.5969214845258842,0.9093634472551652,0.7625721352019785,0.3911232461734694,0.4184669961734694,1.0699108280254777,3.1253774711409856,2,2,3046.0,3060.0,0.06403845548629761,0.012527765706181526,0.9234338402748108,False,False,False,True,False,0.005370226688683033,0.021557491272687912,0.01618726458400488,0.14573510501500214,0.14344801654446324,-0.9929322625164372,-0.9912393016473829,0.0016929608690542386,0.14573510501500214,0.14344801654446324,-0.3911232461734694,-0.4184669961734694,-0.02734375,0.15509954682010285,0.15509954682010285,0.3113448533328149,0.3150247220556146,0.003679868722799684,0.14573510501500214,0.14344801654446324,-2.0,-2.0,0.0,0.15509954682010285,0.15509954682010285,0.1702165828072148,0.2028993481503203,0.03268276534310549,0.14573510501500214,0.14344801654446324,0.14344801654446324,0.17114395304498237,0.18971332350564746,0.01856937046066509,0.14573510501500214,0.14344801654446324,0.1450225706818722
