dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.25,0.004,0.10439999999999999,0.09903002461456775,250,-0.8,-0.5184
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.5,0.0,0.047599999999999996,0.04097766165529788,250,-0.804,-0.5752
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.5,0.004,0.11320000000000001,0.10797316791217497,250,-0.8,-0.5096
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.75,0.0,0.058600000000000006,0.053072829156518696,250,-0.804,-0.5642
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.75,0.012,0.1506,0.1473225827224806,250,-0.792,-0.4722
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.2,,0.0,0.10120000000000001,0.09987617008737129,250,-0.804,-0.5216000000000001
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.25,0.004,0.10800000000000001,0.10555160860794925,250,-0.8,-0.5148
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.25,0.032,0.1898,0.18818134848323437,250,-0.772,-0.43300000000000005
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.5,0.004,0.1234,0.1215999449486651,250,-0.8,-0.4994
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.5,0.048,0.21799999999999997,0.2172653483995122,250,-0.756,-0.40480000000000005
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.04,0.19400000000000003,0.19364472081752665,250,-0.764,-0.42879999999999996
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.224,0.3268,0.3266857395680872,250,-0.5800000000000001,-0.29600000000000004
