dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp,scale
vggss,baseline,15,-86gl1hp1Aw_000105,0.8188567757606506,0.6840174198150635,0.4621252119541168,0.3943593502044678,0.13483935594558716,0.8161773681640625,0.806908130645752,0.676775336265564,9.618531476007774e-05,5.240391692495905e-05,4.3781397835118696e-05,0.8304443359375,0.7163644504141482,4467,0.684312723556464,0.6905940594059405,0.986882829771555,0.3864795918367347,0.11957908163265306,0,0,0,0,0.0,0.0,10k
vggss,baseline,16,-8cgbhIR_pw_000030,0.7700232267379761,0.7163256406784058,0.5951236486434937,0.46028831601142883,0.05369758605957031,0.6085968017578125,0.7695028781890869,0.7307882905006409,5.684032657882199e-05,2.5729930712259375e-05,3.111039404757321e-05,0.6128997802734375,0.6147300015472691,6463,0.3638852517557434,0.3795629500869133,0.8980611045828437,0.3210299744897959,0.19917889030612246,0,0,0,0,0.0,0.0,10k
vggss,baseline,17,-A3zsFeU_OI_000030,0.9066452980041504,0.8373017907142639,0.7465738654136658,0.6311894655227661,0.06934350728988647,0.723358154296875,0.8963363170623779,0.8359402418136597,1.6455960576422513e-05,4.686213287641294e-06,1.1769747288781218e-05,0.6771774291992188,0.8503168172847201,9627,0.11559426101121484,0.11559426101121484,1.0,0.6362005739795918,0.5626594387755102,0,0,0,0,0.0,0.0,10k
vggss,baseline,18,-ANxUxvGASw_000010,0.9245750904083252,0.9028401374816895,0.7767972350120544,0.637252926826477,0.021734952926635742,0.640411376953125,0.8920390605926514,0.8756169676780701,7.52507767174393e-05,6.395538366632536e-05,1.1295393051113933e-05,0.57012939453125,0.43342210386151797,18024,0.05355837597182537,0.05355837597182537,1.0,0.5998485331632653,0.5677216198979592,0,0,0,0,0.0,0.0,10k
vggss,baseline,19,-ByoSbgzr4M_000000,0.7758654356002808,0.6437138915061951,,0.5691249370574951,0.1321515440940857,0.773101806640625,0.7671756744384766,0.6638953685760498,5.63250359846279e-05,-1.7942345948540606e-05,7.42673801141791e-05,0.8760986328125,0.6999313344014648,4369,0.49959823778781415,0.5669947485928115,0.807804309842749,0.6337890625,0.27443399234693877,0,0,0,0,0.0,0.0,10k
vggss,baseline,20,-CZ1LIc8aos_000020,0.9154902100563049,0.8182915449142456,0.5762370824813843,0.5236815214157104,0.09719866514205933,0.8537750244140625,0.9089604616165161,0.8101073503494263,-1.4195553376339376e-05,-2.8864706109743565e-06,-1.130908276536502e-05,0.3560333251953125,0.4053300278896808,6454,0.3886705296000648,0.3886705296000648,1.0,0.49184869260204084,0.30068160076530615,0,0,0,0,0.0,0.0,10k
vggss,baseline,21,-Cr0WQoFQQs_000045,0.87944495677948,0.8200606107711792,0.5967268943786621,0.5052687525749207,0.05938434600830078,0.714691162109375,0.8694919943809509,0.8169198036193848,8.058247476583347e-05,5.545738895307295e-05,2.5125085812760517e-05,0.7221603393554688,0.47262229947851997,8054,0.2796025513081963,0.2796025513081963,1.0,0.45932318239795916,0.3308952487244898,0,0,0,0,0.0,0.0,10k
vggss,baseline,22,-Cv3gOXEoxA_000040,0.8223179578781128,0.8184520602226257,0.6177083253860474,0.4775373339653015,0.0038658976554870605,0.4941864013671875,0.8474377989768982,0.841313362121582,6.709201261401176e-05,6.958052108529955e-05,-2.488508471287787e-06,0.4721221923828125,0.4323004694835681,10650,0.28717687389974983,0.2888091688408498,0.9806992564467647,0.42777423469387754,0.30422911352040816,0,0,0,0,0.0,0.0,10k
vggss,baseline,23,-D64b_8YJK4_000046,0.8884029388427734,0.8568963408470154,0.6985613107681274,0.540137767791748,0.03150659799575806,0.6411666870117188,0.880231499671936,0.8445460796356201,-1.8756772988126613e-05,-1.102264468499925e-05,-7.734128303127363e-06,0.34967041015625,0.3557503964182446,10721,0.2416444207154298,0.24165302199757954,0.9998527245949926,0.5599091198979592,0.42460538903061223,0,0,0,0,0.0,0.0,10k
vggss,baseline,24,-E5o64ACjm0_000017,0.5682374238967896,0.6554358005523682,0.7407196164131165,0.5129864811897278,-0.08719837665557861,0.2895660400390625,0.5888612270355225,0.6652073264122009,-2.5437942895223387e-05,1.1302772691124119e-05,-3.6740715586347505e-05,0.08666229248046875,0.057971014492753624,7038,0.1170633926334252,0.1486856342689835,0.35501519756838906,0.31311782525510207,0.26656170280612246,0,0,0,0,0.0,0.0,10k
vggss,baseline,25,-FoTxwPOz3U_000000,0.8341145515441895,0.8289623260498047,0.7656672596931458,0.4145413637161255,0.005152225494384766,0.50390625,0.871100127696991,0.8504342436790466,-4.902475484414026e-05,-2.4740787921473384e-05,-2.4283966922666878e-05,0.27105712890625,0.0757679180887372,8790,0.1930548974480471,0.1930548974480471,1.0,0.2944236288265306,0.23758370535714285,0,0,0,0,0.0,0.0,10k
vggss,baseline,26,-GOaBCyC5Js_000087,0.9419822096824646,0.8449523448944092,0.6483786106109619,0.446952223777771,0.09702986478805542,0.8850250244140625,0.9448156952857971,0.8804779052734375,0.00024169706739485264,0.00013744391617365181,0.00010425315122120082,0.957275390625,0.8968411236740879,8579,0.3075784163193683,0.3075784163193683,1.0,0.3634406887755102,0.2516541772959184,0,0,0,0,0.0,0.0,10k
vggss,baseline,27,-GW1J75oAKU_000304,0.7064580321311951,0.5409547090530396,,0.3791983723640442,0.16550332307815552,0.7973845108695652,0.7310363054275513,0.5209797024726868,1.358975532639306e-05,6.581045454367995e-05,-5.222069739829749e-05,0.15743885869565216,0.0,414,0.6974166734577459,0.9975521622566733,0.6986122448979591,0.5129344706632653,0.0012555803571428572,0,0,0,0,0.0,0.0,10k
vggss,baseline,28,-HMEhGV38GM_000216,0.7756295800209045,0.7513728141784668,0.6878337264060974,0.509891927242279,0.024256765842437744,0.5450592041015625,0.7903649806976318,0.7704789042472839,-4.680237179854885e-05,-5.033944398746826e-05,3.53707218891941e-06,0.5291290283203125,0.6122752266310002,6729,0.17707564089038927,0.17908775673512936,0.9403361344537815,0.3735849808673469,0.30668048469387754,0,0,0,0,0.0,0.0,10k
