scale,dataset,comparison,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
144k,flickr,hard_default-minus-mean,coverage,-0.007721668080452114,-0.0006027068548705161,-0.04633031469335955,0.035731631900368016,0.08206194659372756,-0.01775663092853858,0.0019127914675442358,250
144k,flickr,hard_default-minus-mean,precision,-0.010903269346425817,-0.010115009600933589,-0.047338778709381704,0.028221918866613488,0.07556069757599519,-0.01847564316397655,-0.003484291221760406,250
144k,flickr,hard_default-minus-mean,pred_area_ratio,0.0006692442602040796,-0.0005978954081632959,-0.05583844866071433,0.060477120535714274,0.1163155691964286,-0.009831636639030614,0.01108441485969387,250
144k,flickr,hard_adjusted-minus-mean,gt_response,0.02927285027503967,0.03033757209777832,0.004161536693572998,0.05396580696105957,0.04980427026748657,0.02441683334708214,0.034452405792474744,250
144k,flickr,hard_adjusted-minus-mean,nearfp_response,0.051432131997004214,0.04989910125732422,0.01971733570098877,0.0888899564743042,0.06917262077331543,0.04403677131784589,0.05841404163403067,247
144k,flickr,hard_adjusted-minus-mean,gt_nearfp_gap,-0.02249869450866452,-0.021469295024871826,-0.05439130961894989,0.0029145777225494385,0.05730588734149933,-0.02854015826575669,-0.0162576146966774,247
144k,flickr,hard_adjusted-minus-mean,gt_vs_nearfp_auroc,-0.011843771643942048,-0.0134124755859375,-0.05686187744140625,0.03827667236328125,0.0951385498046875,-0.023070191100516647,-0.00035323011631363483,247
144k,flickr,hard_adjusted-minus-mean,coverage,0.0475127183278566,0.045098590878698386,0.00498463268159105,0.08683168715381046,0.0818470544722194,0.03940133187125575,0.05573834051244655,250
144k,flickr,hard_adjusted-minus-mean,precision,-0.04105379164507213,-0.03555407383636244,-0.07219460007770195,-0.011640893271416014,0.06055370680628594,-0.04864418015824973,-0.03359825649032251,250
144k,flickr,hard_adjusted-minus-mean,pred_area_ratio,0.06279974489795918,0.06557916135204081,0.025809151785714315,0.10315688775510201,0.0773477359693877,0.05380119379783163,0.0723193957270408,250
