scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a
10k,vggss,1397,Daqv2F6SEmQ_000030,4.869980784860672e-06,4.964674644725164e-06,2.15738000406418e-05,3.288474999862956e-06,1.096750384022016e-05,3.288474999862956e-06,1.019861338136252e-05,2.15738000406418e-05,7.161183408165058e-06,6.910138381499564e-06,1.5815057849977163e-06,-5.328632596501848e-06,0.7021722601282032,0.3144764666569219,3.7704561333114617,1.3539618499828086,,,
10k,vggss,1398,Db0c4aAwUbY_000030,2.9897939384682104e-05,3.788386675296351e-05,3.379050031071529e-05,3.447596827754751e-05,1.5631585483788513e-05,1.5631585483788513e-05,3.0445480206253706e-05,3.788386675296351e-05,8.692166945857767e-06,1.4813894722465191e-05,1.4266353900893591e-05,-5.475408215716016e-07,0.285499420175752,0.4146025742607359,3.4887269236149296,1.3202827676989617,,,
10k,vggss,1399,Db6Hjt0x28k_000056,9.80928507487988e-06,0.0001091735612135,1.268554296984803e-05,1.6615649656159803e-05,3.598391413106583e-05,1.268554296984803e-05,4.361466699265293e-05,0.0001091735612135,3.886436237304726e-05,3.09291240228049e-05,-2.8762578949681483e-06,-3.380538191777305e-05,0.8910846981726153,0.4356889655810744,2.759721001469133,1.0865434327487844,,,
10k,vggss,1400,Dbo9tI1f2mo_000083,3.789982292801142e-05,3.5015975299756974e-05,2.351752482354641e-05,3.0266575777204707e-05,7.685130185564049e-06,7.685130185564049e-06,2.4121301521518035e-05,3.5015975299756974e-05,1.0331633303811424e-05,1.6436171335953986e-05,3.021469274244737e-05,1.3778521406493384e-05,0.4283198937086716,0.4313581244104698,3.361854142087212,1.2990255183145654,,,
10k,vggss,1401,DcMUa81JfBE_000010,2.864075759134721e-05,3.128575554001145e-05,2.0552235582727008e-05,9.57775191636756e-05,0.0001101963280234,2.0552235582727008e-05,6.445295957746566e-05,0.0001101963280234,3.905451568314253e-05,4.3900723994738655e-05,8.088522008620203e-06,-3.581220198611845e-05,0.6059382833491629,0.570885287480686,2.124982651305995,0.8718092105664395,,,
10k,vggss,1402,DcMUa81JfBE_000032,1.2509916814451572e-05,2.2949488993617703e-05,2.3989559849724174e-05,9.017529919219667e-06,3.715196362463757e-05,9.017529919219667e-06,2.327713559679978e-05,3.715196362463757e-05,9.955678122243604e-06,1.4259605677580112e-05,3.4923868952319026e-06,-1.0767218782348207e-05,0.4277020289219926,0.4014078616741467,3.4901709486991117,1.3152983239284406,,,
10k,vggss,1403,DcU6AzN7imA_000210,1.683210939518176e-05,8.691733819432557e-05,7.250712951645255e-05,4.845534931519069e-05,7.718205597484484e-05,4.845534931519069e-05,7.126546825020341e-05,8.691733819432557e-05,1.4158304026088554e-05,2.2810118935012724e-05,-3.162323992000893e-05,-5.443335885502165e-05,0.1986699080735801,0.509989455925482,2.907842998440101,1.2193603615818822,,,
10k,vggss,1404,Ddo9DOeh-PA_000218,9.515393685433082e-06,8.746547973714769e-05,2.6611638531903736e-05,7.719866516708862e-06,2.2960713977226987e-05,7.719866516708862e-06,3.618942469074682e-05,8.746547973714769e-05,3.04404432400096e-05,2.846955817403796e-05,1.7955271687242202e-06,-2.6674031005313736e-05,0.841141949620239,0.4783341863317761,2.8212679731725907,1.1299814436401094,,,
10k,vggss,1405,DeiK0fdPv8Y_000008,2.133715497620869e-05,4.3497919250512496e-05,3.771132833207957e-05,7.155820640036836e-06,4.922074367641471e-05,7.155820640036836e-06,3.4396452974760905e-05,4.922074367641471e-05,1.624528186740658e-05,2.724063233472407e-05,1.4181334336171858e-05,-1.305929799855221e-05,0.4722952648439327,0.5684099268422697,2.582870711553338,1.1510074806792197,,,
10k,vggss,1406,DexDu4FDEWM_000031,6.561080681422027e-06,2.308800321770832e-05,1.4235778508009387e-05,4.9260388550465e-06,1.2415019227773882e-05,4.9260388550465e-06,1.3666209952134524e-05,2.308800321770832e-05,6.462404074997015e-06,8.740171097088023e-06,1.635041826375527e-06,-7.105129270712496e-06,0.4728746373450565,0.3389744029236246,3.778832353514357,1.3569334849792742,,,
10k,vggss,1407,DfrOLl-Or0Q_000011,1.5438619811902754e-05,1.0379342711530626e-05,9.72594898485113e-06,1.5621390048181638e-05,1.0017678505391814e-05,9.72594898485113e-06,1.1436090062488802e-05,1.5621390048181638e-05,2.42744334561734e-06,1.7101410776376724e-06,5.712670827051625e-06,4.002529749413952e-06,0.2122616499479598,0.2658011801534074,3.969268275880494,1.3822837979278595,,,
10k,vggss,1408,DhiZ6pZ8LEc_000170,1.4347245269163976e-05,6.299460073933005e-05,4.401884143589996e-05,5.545304520637728e-05,5.409062578110024e-05,4.401884143589996e-05,5.413927829067688e-05,6.299460073933005e-05,6.755892398059358e-06,1.0120436854776926e-05,-2.967159616673598e-05,-3.979203302151291e-05,0.1247872637272071,0.3559450574694281,3.73480254525145,1.3519005979017291,,,
10k,vggss,1409,DiUgEH6m7fw_000099,9.871806469163856e-06,3.498682417557575e-05,5.576191688305698e-05,1.661973146838136e-05,1.836681803979445e-05,1.661973146838136e-05,3.1433822641702136e-05,5.576191688305698e-05,1.576930480295254e-05,1.4814091173320776e-05,-6.747924999217503e-06,-2.156201617253828e-05,0.5016667868460886,0.3767894194740537,3.24603406166551,1.2569646047690068,,,
