sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
5j-4OJ7XpDM_000222,647,0,96,7,9021,0.8650672435760498,0.7372347712516785,0.5086296237244898,0.8574527502059937,0.7047504782676697,0.3306162308673469,-0.007614493370056152,-0.03248429298400879,-0.1780133928571429
5uOe6-ISwyw_000240,659,4838,1415,276,283,0.5691259503364563,0.8016997575759888,0.6338289221938775,0.677318274974823,0.774832546710968,0.7473094706632653,0.1081923246383667,-0.026867210865020752,0.11348054846938771
63Wmu5s4e88_000162,671,4548,628,7,0,0.6873348355293274,0.635074257850647,0.4990433673469387,0.7279572486877441,0.6346375942230225,0.6020607461734694,0.04062241315841675,-0.0004366636276245117,0.10301737882653067
6BlGk51vrbY_000275,684,0,0,0,3848,0.8783353567123413,0.782882809638977,0.2959382971938775,0.8463515043258667,0.7411901950836182,0.2192482461734693,-0.03198385238647461,-0.04169261455535889,-0.07669005102040818
6EIgJvYx4AE_000551,689,29,36,316,2312,0.8131526708602905,0.653328537940979,0.2341557716836734,0.7888936996459961,0.596359372138977,0.1830755739795918,-0.024258971214294434,-0.05696916580200195,-0.05108019770408162
6EQR7Hz4xIM_000051,690,0,0,0,4774,0.9017605781555176,0.7661638259887695,0.3431521045918367,0.8879762887954712,0.7260582447052002,0.2480070153061224,-0.013784289360046387,-0.040105581283569336,-0.0951450892857143
6HQqly6duac_000199,698,0,9,0,7515,0.8938313126564026,0.8104281425476074,0.482063137755102,0.8681869506835938,0.7283376455307007,0.3324697066326531,-0.025644361972808838,-0.08209049701690674,-0.14959343112244894
6KiFICzs6UI_000150,702,0,0,973,6081,0.8330777883529663,0.7589801549911499,0.3622847576530612,0.808629035949707,0.6984439492225647,0.2216996173469387,-0.024448752403259277,-0.060536205768585205,-0.14058514030612249
6azSzS5ZjN0_000051,724,3446,256,98,733,0.6114486455917358,0.5795920491218567,0.4574896364795918,0.7464165091514587,0.6655758619308472,0.5147082270408163,0.1349678635597229,0.08598381280899048,0.057218590561224525
6k54aEMkp-w_000115,738,4128,825,0,0,0.6152970194816589,0.5408973693847656,0.3965640943877551,0.6777923107147217,0.6198053956031799,0.4952766262755102,0.062495291233062744,0.0789080262184143,0.09871253188775514
6l5RWxeju8U_000020,741,0,0,1688,7343,0.8334918022155762,0.6654942035675049,0.5156050701530612,0.7844027280807495,0.5627497434616089,0.3356186224489796,-0.04908907413482666,-0.102744460105896,-0.17998644770408162
6mbQDmij4oQ_000010,743,3498,570,10,351,0.7097402811050415,0.6439203023910522,0.3140545280612244,0.7956666946411133,0.6846268773078918,0.3879344706632653,0.08592641353607178,0.0407065749168396,0.0738799426020409
6vl7eSBL-ag_000090,754,0,0,558,11108,0.8243621587753296,0.8283801674842834,0.6574059311224489,0.7978809475898743,0.7211275100708008,0.4249043367346938,-0.026481211185455322,-0.10725265741348267,-0.23250159438775514
6wRJg4fbELE_000196,757,0,0,631,11435,0.8444201946258545,0.7951570153236389,0.6382932079081632,0.8029525279998779,0.6783584356307983,0.3978196747448979,-0.04146766662597656,-0.11679857969284058,-0.24047353316326536
75AjL_RBmfA_000059,773,0,0,0,8068,0.8661381006240845,0.7948033809661865,0.3724290497448979,0.8538137674331665,0.7554572224617004,0.2116350446428571,-0.012324333190917969,-0.039346158504486084,-0.16079400510204078
75PJeJ2hGcw_000030,774,0,0,1793,5895,0.816077709197998,0.6642776131629944,0.4177495216836734,0.7534199953079224,0.5592421889305115,0.2645288584183674,-0.06265771389007568,-0.10503542423248291,-0.15322066326530603
7Gua0-UrKIw_000030,785,1736,50,141,2430,0.7255215048789978,0.7178480625152588,0.3589764030612244,0.7589696645736694,0.6399970054626465,0.3433314732142857,0.03344815969467163,-0.0778510570526123,-0.015644929846938715
7UoFNdp0UYg_000020,809,14,144,135,6350,0.8568305969238281,0.712687611579895,0.4850725446428571,0.8401108980178833,0.648595929145813,0.3589764030612244,-0.016719698905944824,-0.06409168243408203,-0.12609614158163268
7VMWi8xm0NM_000020,811,0,0,1744,11259,0.7165980339050293,0.7303977012634277,0.5492865114795918,0.6629083752632141,0.6383992433547974,0.2901387117346938,-0.053689658641815186,-0.09199845790863037,-0.25914779974489804
7wJc_LpV8E4_000012,839,0,0,1078,7176,0.7945303916931152,0.6765238046646118,0.4656808035714285,0.7464488744735718,0.5849061608314514,0.3011798469387755,-0.04808151721954346,-0.0916176438331604,-0.16450095663265302
7yjEC7Cr6i8_000030,841,2477,89,201,3562,0.6171472072601318,0.7906769514083862,0.3690609056122449,0.6818215847015381,0.7411907911300659,0.3452048788265306,0.06467437744140625,-0.04948616027832031,-0.0238560267857143
