scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,sample_index_res,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou_res,group_res,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes,margin_bucket,background_response,fp_area_ratio,gt_response,nearfp_response,gt_nearfp_gap,gt_nearfp_auroc,precision,coverage,activated_area,entropy,outside_inside_activation_ratio
144k,vggss,2995,Wj5qDj8_nSw_000025,2.818614848365541e-05,2.962531834782567e-05,0.0001110664525185,7.332575478358194e-05,8.49896387080662e-05,2.962531834782567e-05,7.475179108951124e-05,0.0001110664525185,2.9419382557337616e-05,4.5126472741685575e-05,-1.4391698641702533e-06,-4.656564260585583e-05,0.3935609050773043,0.7395225811733948,1.7386908515757449,0.8243857369462466,B_close,-0.00913971604029,False,7.475179108951124e-05,2.962531834782567e-05,0.0001110664525185,4.6565642605855835e-05,False,0.6931238980096873,0.4523661766164606,2995,0.5329440369897959,1,340,525,1350,1592,0.6785979228486647,0.72211092710495,0.668055534362793,0.0540553927421569,0.66558837890625,0.8209865093231201,0.7964447669145656,0.5493662308673469,0.9944841751376295,0.6694582068083746,0.7231411933898926,0.6372184753417969,0.0859227180480957,0.7050018310546875,0.7832167744636536,0.8217200251098556,0.5079719387755102,0.9917359261165656,-0.00913971604029,B_close,GOOD,,,,very_large,Q4,,,Q4,0.4680036008358001,0.1118263711734693,0.72211092710495,0.668055534362793,0.0540553927421569,0.66558837890625,0.7964447669145656,0.8209865093231201,0.5493662308673469,0.9944841751376295,0.20982760554953053
144k,vggss,2996,Wjgj2_InitY_000514,2.2095196982263587e-05,2.2483134671347216e-05,0.0001369356468785,4.541646194411442e-05,3.245812331442721e-05,2.2483134671347216e-05,5.9323341702111065e-05,0.0001369356468785,4.554122317333055e-05,3.684020703076385e-05,-3.879376890836284e-07,-3.722814471984748e-05,0.7676779808193093,0.4737304185334259,2.7186743861240177,1.0694212479876122,B_close,0.0238664099329731,False,5.9323341702111065e-05,2.2483134671347216e-05,0.0001369356468785,3.722814471984748e-05,False,0.6931285666608272,0.4572440732069784,2996,0.0934709821428571,1,0,1441,115,6409,0.1483939559908502,0.8059776425361633,0.8169326782226562,-0.0109550356864929,0.440887451171875,0.9820895791053772,0.1487966402842836,0.6169284119897959,0.9960747936476728,0.1722603659238234,0.7279486656188965,0.7006109356880188,0.0273377299308776,0.54986572265625,0.9575693011283876,0.1735853432282003,0.515625,0.994927384261578,0.0238664099329731,B_close,OVER,,,PERSISTENT_OVER,medium,Q1,,,Q4,0.6413080096244812,0.5251315369897959,0.8059776425361633,0.8169326782226562,-0.0109550356864929,0.440887451171875,0.1487966402842836,0.9820895791053772,0.6169284119897959,0.9960747936476728,5.618123667377401
144k,vggss,2997,WlO51U31vYs_000014,7.799884770065546e-05,7.024689693935215e-05,5.7085653679678217e-05,5.547310502151959e-05,8.13878868939355e-05,5.547310502151959e-05,6.604838563362136e-05,8.13878868939355e-05,1.054863640716725e-05,1.0575280612101778e-05,2.252574267913588e-05,1.1950462067034096e-05,0.15971073790784,0.3473229531452321,3.536208004657009,1.316991955622509,B_close,0.0379068780676922,False,6.604838563362136e-05,5.547310502151959e-05,8.13878868939355e-05,-1.1950462067034096e-05,True,0.6931531558088305,-0.08296210699402799,2997,0.0601084183673469,1,0,532,0,1642,0.3025378673889056,0.8848624229431152,0.8599237203598022,0.0249387025833129,0.5605316162109375,1.0,0.3025378673889056,0.198680644132653,0.9900010663866609,0.3404447454565978,0.9022403955459596,0.8575999736785889,0.0446404218673706,0.6573638916015625,1.0,0.3404447454565978,0.1765585140306122,0.986733037917849,0.0379068780676922,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,,Q1_lowest,0.4423262774944305,0.1385722257653061,0.8848624229431152,0.8599237203598022,0.0249387025833129,0.5605316162109375,0.3025378673889056,1.0,0.198680644132653,0.9900010663866609,2.305371352785147
144k,vggss,2998,WmZicfOUkd0_000014,1.5993207853171043e-05,5.2165523811709136e-05,1.4968174582463687e-05,1.9951346985180866e-05,2.791884617181495e-05,1.4968174582463687e-05,2.875097288779216e-05,5.2165523811709136e-05,1.4285767173934144e-05,1.378279830532847e-05,1.025033270707354e-06,-1.2757765034621116e-05,0.4968794353390375,0.3736399112696682,3.391605541708877,1.284273650891188,B_close,-0.0148547089807481,False,2.875097288779216e-05,1.4968174582463687e-05,5.2165523811709136e-05,1.2757765034621116e-05,False,0.693140801697773,0.28512679276334624,2998,0.0622409119897959,3,0,1853,366,1432,0.0824012352653184,0.6741199493408203,0.6102760434150696,0.0638439059257507,0.524261474609375,0.7006083726882935,0.0854086970099149,0.5105628188775511,0.993153842860617,0.0675465262845703,0.6132896542549133,0.5859653949737549,0.0273242592811584,0.4752044677734375,0.5834133625030518,0.0709695010322128,0.5116589604591837,0.990872945965482,-0.0148547089807481,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,,Q3,0.5807543992996216,0.4669563137755102,0.6741199493408203,0.6102760434150696,0.0638439059257507,0.524261474609375,0.0854086970099149,0.7006083726882935,0.5105628188775511,0.993153842860617,7.502401536983672
144k,vggss,2999,WmxNXcXMcdw_000113,1.849952241173014e-05,2.016126200032886e-05,0.0001652016944717,4.183854616712779e-05,0.0001853582361945,2.016126200032886e-05,0.0001031399347084,0.0001853582361945,7.289518414422203e-05,8.297867270812276e-05,-1.6617395885987207e-06,-8.464041229672148e-05,0.7067600377126161,0.693537467857649,1.746652122963218,0.6397605355803514,B_close,0.0081396910232933,False,0.0001031399347084,2.016126200032886e-05,0.0001853582361945,8.464041229666986e-05,False,0.6931048612492969,0.6958302314457836,2999,0.7354113520408163,1,1892,646,1169,21,0.6523735796572808,0.6947757005691528,0.5601663589477539,0.1346093416213989,0.7266082763671875,0.6737127304077148,0.9536962442935512,0.5195113201530612,0.9916077214892604,0.6605132706805742,0.719128429889679,0.613632321357727,0.1054961085319519,0.679168701171875,0.6933062076568604,0.9331752690133138,0.5463767538265306,0.9913730761816908,0.0081396910232933,B_close,GOOD,,,,very_large,Q4,,,Q5_highest,0.3563815355300903,0.024055325255102,0.6947757005691528,0.5601663589477539,0.1346093416213989,0.7266082763671875,0.9536962442935512,0.6737127304077148,0.5195113201530612,0.9916077214892604,0.03271002710027095
144k,vggss,3000,WoXgPQQjcJU_000060,0.0002470866311341,0.0003245342813897,0.0004089623689651,0.0003242420498281,0.0003929822414647,0.0003242420498281,0.0003626802354119,0.0004089623689651,3.8706767419586034e-05,3.843818558380008e-05,-7.715541869401932e-05,-0.0001155936042778,0.1067242260268709,0.4761990936568593,2.22203866665262,0.8977319008633756,B_close,-0.0031164642873708,False,0.0003626802354119,0.0003242420498281,0.0004089623689651,0.00011559360427779999,False,0.6930893854280415,0.18957016268037843,3000,0.1853475765306122,1,342,1602,2,279,0.3085158150851581,0.7157505750656128,0.7007757425308228,0.01497483253479,0.562164306640625,0.6817204356193542,0.3604320636725412,0.3505660076530612,0.99346303188963,0.3053993507977872,0.7361679077148438,0.7285761833190918,0.0075917243957519,0.5551910400390625,0.7182795405387878,0.3469589154936893,0.3837093431122449,0.9907891503637176,-0.0031164642873708,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,,Q5_highest,0.5001238584518433,0.2242107780612245,0.7157505750656128,0.7007757425308228,0.01497483253479,0.562164306640625,0.3604320636725412,0.6817204356193542,0.3505660076530612,0.99346303188963,1.209677419354839
144k,vggss,3001,WohJxQ1ll6w_000052,0.0001022022333927,5.648018850479275e-05,0.0001025571036734,4.8311798309441656e-05,0.0002987037005368,4.8311798309441656e-05,0.0001265131977561,0.0002987037005368,0.000101542534132,7.82013994466979e-05,5.38904350833036e-05,-2.4310964363394305e-05,0.8026240418626751,0.5384997870439274,2.223602067049671,0.8826894474859331,B_close,-0.0289368477778693,False,0.0001265131977561,4.8311798309441656e-05,0.0002987037005368,2.4310964363399984e-05,False,0.6931350251516415,0.10629350251968793,3001,0.0989317602040816,1,0,2055,2,255,0.296632976496621,0.86442631483078,0.8018196821212769,0.0626066327095031,0.664581298828125,0.9991942048072816,0.2967039540587426,0.3331672512755102,0.9926623477327076,0.2676961287187517,0.882809579372406,0.8315654993057251,0.0512440800666809,0.656494140625,0.9987912774086,0.2677828787469619,0.3690011160714285,0.990647023859358,-0.0289368477778693,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,,Q3,0.5010309219360352,0.2343152104591837,0.86442631483078,0.8018196821212769,0.0626066327095031,0.664581298828125,0.2967039540587426,0.9991942048072816,0.3331672512755102,0.9926623477327076,2.3684528605962942
144k,vggss,3002,WokAaq70lRM_000378,1.4262854165281167e-05,5.674150088452734e-05,3.2415613532066345e-05,2.9305230782483704e-05,4.766282290802337e-05,2.9305230782483704e-05,4.153129202677519e-05,5.674150088452734e-05,1.1197302045718487e-05,1.2226061244291486e-05,-1.5042376617202535e-05,-2.726843786149402e-05,0.2696112136000873,0.3658997666954449,3.4645502039678737,1.3058395803829383,transition,-0.0567562082197659,False,4.153129202677519e-05,2.9305230782483704e-05,5.674150088452734e-05,2.726843786149402e-05,False,0.6931335464339605,0.4887329448307499,3002,0.6724529655612245,1,547,1245,1779,169,0.7364130434782609,0.7256810665130615,0.5299820899963379,0.1956989765167236,0.808258056640625,0.7549865245819092,0.967673314339981,0.5246532206632653,0.9906061393596536,0.679656835258495,0.6908783912658691,0.6089658141136169,0.0819125771522522,0.653350830078125,0.7184730768203735,0.9263632542321066,0.5215441645408163,0.9909781530617034,-0.0567562082197659,transition,GOOD,,,,very_large,Q4,,,Q4,0.3442881107330322,0.0169602997448979,0.7256810665130615,0.5299820899963379,0.1956989765167236,0.808258056640625,0.967673314339981,0.7549865245819092,0.5246532206632653,0.9906061393596536,0.025221540558963782
144k,vggss,3003,Wqux-4IupdU_000112,6.3369981944561e-05,0.0001383930066367,0.0001101209272746,0.0003973675775341,0.0002709594846237,0.0001101209272746,0.0002292102490173,0.0003973675775341,0.0001145097418065,0.0001190893217426,-4.67509453301318e-05,-0.0001658402670727,0.4995838637121507,0.7456897213896428,1.6131088376941884,0.5767706703102164,transition,0.0727384026265963,False,0.0002292102490173,0.0001101209272746,0.0003973675775341,0.000165840267072739,False,0.6930642638642832,0.5668197949011022,3003,0.0714285714285714,1,0,0,72,5868,0.1822036062726669,0.8658655881881714,0.7735825777053833,0.092283010482788,0.674530029296875,0.9952567219734192,0.182361963190184,0.389827806122449,0.9922935942170568,0.2549420088992633,0.8366971015930176,0.7290728688240051,0.1076242327690124,0.675811767578125,0.9751673936843872,0.2566079295154185,0.2714445153061224,0.9866656313612246,0.0727384026265963,transition,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,,Q5_highest,0.5151626467704773,0.3187380420918367,0.8658655881881714,0.7735825777053833,0.092283010482788,0.674530029296875,0.182361963190184,0.9952567219734192,0.389827806122449,0.9922935942170568,4.462332589285716
144k,vggss,3004,Wqv0fvaXGM4_000052,2.731427230173722e-05,2.440680873405654e-05,3.660186848719604e-05,2.056614357570652e-05,4.530418664216995e-05,2.056614357570652e-05,3.1719751859782264e-05,4.530418664216995e-05,9.8266734711615e-06,1.1153608284075744e-05,6.7481287260307e-06,-4.4054795580450445e-06,0.3097966691101647,0.3580872277212568,3.562908218685812,1.3229258515099456,A_ogl_help,0.2531914314191259,True,3.1719751859782264e-05,2.056614357570652e-05,4.530418664216995e-05,4.4054795580450445e-06,False,0.6931449778225923,0.07462610835008242,3004,0.2690529336734694,1,0,0,862,11832,0.4536033755274261,0.8635728359222412,0.7247027158737183,0.1388701200485229,0.846771240234375,0.9954074025154114,0.4545546798362818,0.5891860650510204,0.9944840870244838,0.7067948069465521,0.7772923707962036,0.6155973672866821,0.1616950035095214,0.8875732421875,0.9315555691719056,0.7455095144940423,0.3361965880102041,0.9917998081473536,0.2531914314191259,A_ogl_help,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q3,,,Q2,0.5626397132873535,0.3213687818877551,0.8635728359222412,0.7247027158737183,0.1388701200485229,0.846771240234375,0.4545546798362818,0.9954074025154114,0.5891860650510204,0.9944840870244838,1.1944444444444444
144k,vggss,3005,Wr44Q8MQHL0_000030,5.203988166613272e-06,0.0001229171612067,5.887860606890172e-05,4.5413260522764176e-05,7.963498319440987e-06,7.963498319440987e-06,5.879313152945542e-05,0.0001229171612067,4.1456516521432536e-05,5.082963321001444e-05,-2.7595101528277155e-06,-5.358914336284215e-05,0.7051251641641639,0.7177358471871096,1.8018472752850936,0.8150682276034202,B_close,0.0232239979992407,False,5.879313152945542e-05,7.963498319440987e-06,0.0001229171612067,5.358914336284215e-05,False,0.6931203863472385,0.8373680374988199,3005,0.221938775510204,1,10,0,469,1384,0.5857186081694402,0.7771615982055664,0.7238258719444275,0.0533357262611389,0.622772216796875,0.8691630959510803,0.6423546588797452,0.3003029336734694,0.98468211633355,0.608942606168681,0.761138916015625,0.6728928089141846,0.0882461071014404,0.673095703125,0.8279454112052917,0.6971644612476371,0.2635722257653061,0.9825392046249166,0.0232239979992407,B_close,OVER,,,CALIBRATION_RECOVERABLE,large,Q2,,,Q5_highest,0.3605003356933594,0.1074019451530612,0.7771615982055664,0.7238258719444275,0.0533357262611389,0.622772216796875,0.6423546588797452,0.8691630959510803,0.3003029336734694,0.98468211633355,0.4839260057471265
