dataset,model,baseline,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage2,original_1.3g_final,counterfactual_gt_nearfp_gap,8.391114176218952e-06,7.214819561340846e-06,-1.152385175373638e-05,2.807023611239856e-05,3.959408786613494e-05,7.365385416289714e-06,9.420867532824181e-06,5075
vggss,cram_c3_stage2,original_1.3g_final,iou,0.006839204594964355,0.008407041253962053,-0.034352485634813565,0.051390742686348814,0.08574322832116238,0.004611168805005687,0.009120215940541857,5158
vggss,cram_c3_stage2,original_1.3g_final,counterfactual_gt_vs_nearfp_auroc,0.03317005940193361,0.028564453125,-0.08586502075195312,0.15378570556640625,0.23965072631835938,0.02764130671331824,0.038862035451587396,5075
vggss,cram_c3_stage2,original_1.3g_final,counterfactual_gt_vs_nearfp_conditional_auroc,0.009126646380777976,0.008451682487127743,-0.14761007099761933,0.17266661565446428,0.32027668665208364,0.0019935846502155755,0.01608266787654422,5072
vggss,cram_c3_stage2,original_1.3g_final,precision,0.041128295302693824,0.028273121617488517,-0.0001875399709052564,0.08142077286478605,0.08160831283569131,0.038994261442806946,0.0431588344953785,5158
vggss,cram_c3_stage2,original_1.3g_final,coverage,-0.05676750952249015,-0.03566769083635768,-0.11189970671633498,0.0,0.11189970671633498,-0.0597625932083905,-0.05382127471109221,5158
vggss,cram_c3_stage2,original_1.3g_final,pred_area_ratio,-0.07751572935542965,-0.07471699617346939,-0.13904057716836737,-0.016905492665816334,0.12213508450255103,-0.08033731878367441,-0.07472130013944554,5158
vggss,cram_c3_stage2,original_1.3g_final,fp_area_ratio,-0.05648190876837842,-0.04718391262755102,-0.1018265704719388,-0.004867865114795922,0.09695870535714288,-0.058888324091829564,-0.05417016900819313,5158
vggss,cram_c3_stage2,original_1.3g_final,AddTP,441.61147731678943,0.0,0.0,246.75,246.75,409.84174098487784,475.2581863125242,5158
vggss,cram_c3_stage2,original_1.3g_final,AddFP,1053.7047305157037,284.0,0.0,1248.75,1248.75,1004.8845579682047,1104.9776560682435,5158
vggss,cram_c3_stage2,original_1.3g_final,RemoveTP,1497.0044590926716,654.5,26.0,2112.0,2086.0,1437.4311554866226,1555.1380961613029,5158
vggss,cram_c3_stage2,original_1.3g_final,RemoveFP,3887.74098487786,3100.0,1334.0,5527.75,4193.75,3795.64756203955,3979.2932192710355,5158
vggss,cram_c3_stage2,original_1.3g_final,addtp_rate_vs_baseline_fn,0.11609513157787697,0.0,0.0,0.11041305340027385,0.11041305340027385,0.1095749704416026,0.12280730013951394,5158
vggss,cram_c3_stage2,original_1.3g_final,removefp_rate_vs_baseline_fp,0.33533996682721817,0.29844223567431494,0.16111916239295504,0.46741888962058964,0.3062997272276346,0.329099302607726,0.34134519512298406,5158
