dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage1,matched_audio,farfp_response,0.608429029059483,0.6179071068763733,0.532650351524353,0.698093056678772,0.16544270515441895,0.6046577854901438,0.6122673368585472,3921
vggss,cram_c3_stage1,matched_audio,background_response,0.41308612698322356,0.41339653730392456,0.34104034304618835,0.4843248575925827,0.14328451454639435,0.4103551113653917,0.4157730298787067,5155
vggss,cram_c3_stage1,matched_audio,gt_nearfp_gap,0.030410254480216302,0.0415952205657959,-0.030099540948867798,0.10165911912918091,0.1317586600780487,0.027550670491357152,0.03331424154979842,5075
vggss,cram_c3_stage1,matched_audio,gt_vs_nearfp_auroc,0.5901137203816287,0.603759765625,0.4730987548828125,0.7250518798828125,0.251953125,0.585019434920197,0.595000343302492,5075
vggss,cram_c3_stage1,matched_audio,wrong_gt_response,0.7316814173963803,0.735639214515686,0.6549257189035416,0.8171506077051163,0.1622248888015747,0.7285657414390516,0.7348948877064917,5156
vggss,cram_c3_stage1,matched_audio,wrong_nearfp_response,0.7048948117077645,0.716595470905304,0.6378962695598602,0.7832740545272827,0.14537778496742249,0.7018929254334842,0.7077747700245216,5075
vggss,cram_c3_stage1,matched_audio,matched_minus_wrong_gt,0.00018510266375833495,0.00010356877464801073,-5.304431397235021e-06,0.0003015228212461807,0.0003068272526434157,0.00017649528064641204,0.00019394096169238358,5156
vggss,cram_c3_stage1,matched_audio,matched_minus_wrong_nearfp,0.00016209753509585802,0.00010416670556878671,-1.893946318887174e-05,0.0002777273330138996,0.00029666679620277137,0.00015430761357354891,0.00017016904997845485,5075
vggss,cram_c3_stage1,matched_audio,counterfactual_gt_nearfp_gap,2.422437826510584e-05,2.1221116185188293e-05,-6.483746983576566e-05,0.00011504083158797584,0.0001798783014237415,1.861558108976169e-05,2.9780880143146623e-05,5075
vggss,cram_c3_stage1,matched_audio,iou,0.41282245599816375,0.4393080252385132,0.2542837037866855,0.5717964977460439,0.3175127939593584,0.4073179231554951,0.4180227677695539,5158
vggss,cram_c3_stage1,matched_audio,counterfactual_gt_vs_nearfp_auroc,0.5351194739226237,0.5393905639648438,0.407196044921875,0.673675537109375,0.2664794921875,0.5299544008788882,0.5403274396536246,5075
