dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp
vggss,original_1.3g_final,1535,FHgtLE-TzQ4_000030,0.7470285892486572,0.8296690583229065,0.8096953630447388,0.5233598947525024,-0.08264046907424927,0.193572998046875,0.8106077909469604,0.8636047840118408,5.729593976866454e-05,0.00010864979412872344,-5.1353854360058904e-05,0.2632598876953125,0.49254567873556776,8921,0.1838897992625973,0.18405002306391266,0.9952882483370288,0.388851243622449,0.31728316326530615,0,0,0,0,0.0,0.0
vggss,cram_c3_stage1,1504,EktnWQuAjdI_000030,0.9667326211929321,0.8851717710494995,0.7137159705162048,0.473990797996521,0.08156085014343262,0.9138031005859375,0.9009544849395752,0.8294767737388611,0.0006344846333377063,0.0005228277877904475,0.00011165684554725885,0.9045791625976562,0.7975971198928332,11944,0.044466700050075116,0.044466700050075116,1.0,0.3979990433673469,0.3803013392857143,0,909,0,6124,0.0,0.25204757789027454
vggss,cram_c3_stage1,1505,ElJFYwRtrH4_000030,0.649016261100769,0.696693480014801,0.6397831439971924,0.4460543692111969,-0.04767721891403198,0.3892059326171875,0.5732645988464355,0.6457467079162598,0.000338675279635936,0.00016148189024534076,0.00017719338939059526,0.782684326171875,0.7657037113190089,9727,0.11930526999242506,0.12640449438202248,0.6799259944495837,0.34765625,0.3037109375,0,0,1038,13952,0.0,0.4779555342400055
vggss,cram_c3_stage1,1506,EnXFqxbu-w0_000150,0.8139637112617493,0.811882495880127,0.61072838306427,0.5163238048553467,0.0020812153816223145,0.4833221435546875,0.8159507513046265,0.8062644600868225,3.3311807783320546e-05,6.990115070948377e-05,-3.6589342926163226e-05,0.34075927734375,0.4465899753492194,7302,0.041124092850892996,0.041124092850892996,1.0,0.3872169961734694,0.37129304846938777,0,0,0,18995,0.0,0.5048504983388704
vggss,cram_c3_stage1,1507,EqFttu-PgP0_000030,0.7597784399986267,0.684889018535614,,0.3565634787082672,0.0748894214630127,0.677764892578125,0.7715944051742554,0.7165694236755371,0.0004162263358011842,0.0001992786128539592,0.00021694772294722497,0.722808837890625,0.6125689084895259,4535,0.6289580938447069,0.7618836635230077,0.7828433922996878,0.3148716517857143,0.07497608418367346,121,308,272,965,0.03795483061480552,0.21837519800859923
vggss,cram_c3_stage1,1508,EqfXm8FwFe0_000009,0.754767894744873,0.6401922702789307,0.539063572883606,0.4326394498348236,0.11457562446594238,0.781707763671875,0.7280598878860474,0.6205662488937378,0.0002508101752027869,0.00020407448755577207,4.6735687647014856e-05,0.4892578125,0.38218348352784753,6769,0.5436256448047163,0.5707985143918292,0.9194814907141967,0.5151466836734694,0.2211017219387755,0,18,1279,8712,0.0,0.44026682838083686
vggss,cram_c3_stage1,1509,EqkH0kLuIic_000054,0.7636656761169434,0.5423863530158997,,0.30431121587753296,0.2212793231010437,0.919769287109375,0.7617840766906738,0.4884689152240753,0.0005742575158365071,0.00041834282455965877,0.00015591469127684832,0.5977020263671875,0.18712674187126743,3014,0.8072507552870091,0.885034628124059,0.9018163966617575,0.3309351084183674,0.03804607780612245,1361,499,1163,4440,0.756952169076752,0.7589743589743589
vggss,cram_c3_stage1,1510,EsLDe5fYDrs_000080,0.9277949929237366,0.8799095749855042,0.6958495378494263,0.596642017364502,0.04788541793823242,0.7213287353515625,0.8798753023147583,0.8646466732025146,0.0012843734584748745,0.0009411486680619419,0.00034322479041293263,0.8214569091796875,0.8033675386616563,13838,0.16818979382950724,0.16818979382950724,1.0,0.5452008928571429,0.45350366709183676,0,1826,0,3490,0.0,0.1429214955567386
vggss,cram_c3_stage1,1511,EtcoN3RhRZg_000127,0.752733588218689,0.7147433757781982,0.3959343135356903,0.40084952116012573,0.03799021244049072,0.5989837646484375,0.7427662014961243,0.7314581274986267,-7.829182868590578e-05,-0.00021596897568088025,0.00013767715427093208,0.7064208984375,0.785996705107084,6070,0.6000676561376802,0.7063010153294844,0.7995830516114492,0.40043048469387754,0.11760602678571429,1268,2675,448,9599,0.2896961389079278,0.7484600389863548
vggss,cram_c3_stage1,1512,EtoEpxSMfSc_000090,0.553493857383728,0.7002217769622803,,0.3671886920928955,-0.14672791957855225,0.385589599609375,0.5589727759361267,0.7134826183319092,6.432356167351827e-05,0.0003202119842171669,-0.000255888415267691,0.45719146728515625,0.7126837777224022,4013,0.4981943645773433,0.9471727817378756,0.512432867248681,0.4557358099489796,0.024075255102040817,4676,513,484,0,0.18854838709677418,0.0
vggss,cram_c3_stage1,1513,Evh-bm79BgQ_000275,0.5559775233268738,0.8464350700378418,0.6789769530296326,0.6463002562522888,-0.290457546710968,0.1735382080078125,0.5595216751098633,0.8724750280380249,0.00012691425217781216,-0.00012830234481953084,0.00025521661154925823,0.8128204345703125,0.7611207394569613,3462,0.26274231917801283,0.375887038377987,0.46606212964625604,0.5504623724489796,0.34355070153061223,7,53,1781,4467,0.000691699604743083,0.2063088860151487
