sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
63,10667001125,0.31589095862300764,0.44221292191872413,0.40645983656932144,0.3523967398811991,0.34374097672717474,0.344882863047299,-0.008655763154024332,0.027850018104167096,0.0011418863201242413,0.0,0.0,0.0,0.0,0.0
64,10701841844,0.4763103513056547,0.5431030194498334,0.5141017780502759,0.523075616694264,0.49425445132951606,0.49425445132951606,-0.02882116536474788,0.017944100023861376,0.0,0.0,0.0,0.0,0.0,0.0
65,10743985374,0.601225379642159,0.5133006096112739,0.5691691771048042,0.5688671556642216,0.594615563658934,0.5936881332246419,0.02574840799471234,-0.006609815983225076,-0.0009274304342921091,0.0,0.0,0.0,0.0,0.0
66,10751849775,0.6245366524924687,0.644175054362687,0.6520650975815341,0.6415951281296777,0.6370464978059914,0.6381439773000773,-0.004548630323686242,0.012509845313522727,0.0010974794940858956,0.0,0.0,0.0,0.0,0.0
67,10761625676,0.579262920908379,0.6636208576998051,0.6504703082502267,0.6387950606345867,0.6138562091503268,0.6179212980034768,-0.024938851484259894,0.03459328824194774,0.004065088853150045,0.0,0.0,0.0,0.0,0.0
68,10771238614,0.6702317290552585,0.763303509979353,0.7913351484232508,0.7732539061513997,0.7523502680868457,0.7505331001269856,-0.020903638064553975,0.08211853903158717,-0.0018171679598600887,0.0,0.0,0.0,0.0,0.0
69,10795023275,0.4431415731674653,0.3779506791507319,0.4561839852708421,0.41743370747612313,0.45378814174371274,0.453091182836172,0.03635443426758961,0.010646568576247462,-0.0006969589075407345,0.0,0.0,0.0,0.0,0.0
70,10796050285,0.6938338816268305,0.6419003523485047,0.6801751040221914,0.6762573167535455,0.6889382845188284,0.6891962573371302,0.012680967765282936,-0.0048955971080020255,0.0002579728183017549,0.0,0.0,0.0,0.0,0.0
71,10805310706,0.34691771228049484,0.39148128515979,0.38690845649292915,0.3702985098363524,0.3619987298833661,0.36335070389671,-0.008299779952986253,0.015081017602871283,0.0013519740133438596,0.0,0.0,0.0,0.0,0.0
72,10847897294,0.7328007175364581,0.668201857975122,0.7568531468531469,0.7685278638886887,0.7396068266738479,0.7395658027600135,-0.02892103721484074,0.006806109137389771,-4.102391383442594e-05,0.0,0.0,0.0,0.0,0.0
