row_type,dataset,method,feature_set,direction,AUROC,AUPRC,balanced_accuracy,F1,diagnostic_threshold,leakage_mean,leakage_std,extent_mean,extent_std,effect_size_cohen_d,Pearson_label,Spearman_label,num_pixels,note,accuracy,threshold,confusion_matrix,num_samples,positive_fraction
single_variable,vggss_144k,IMG_L3_response,non_prototype,higher=leakage,0.544688107691359,0.541436474622541,0.5365099287283159,0.48331001399160506,0.5902571622282267,0.5501498981754706,0.18987063673225954,0.5212573112774818,0.185608407914885,0.15388728616948213,0.07671688379929983,0.07740207304172846,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_L4_response,non_prototype,lower=leakage,0.5560209980769191,0.5543629699864528,0.5455645703527724,0.4874361696749077,-0.5426530102267861,0.5372972956488027,0.06149100023608863,0.5489305844956922,0.053827502281179246,-0.20131523500895485,-0.10015153073650652,-0.0970312149913257,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_L3_L4_consistency,non_prototype,lower=leakage,0.5219557214000213,0.5234048103039706,0.5164059348245102,0.3694438762091236,-0.7484557051429874,0.8151481238796241,0.13293937442697426,0.826351476452924,0.1265271398741088,-0.08633046929813956,-0.043125077215925865,-0.03802842499396401,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_L3_L4_disagreement,non_prototype,higher=leakage,0.5219557214000213,0.5234048103039706,0.5164059348245102,0.3694438762091236,0.2515442948570126,0.18485187612037599,0.13293937442697426,0.17364852354707597,0.1265271398741088,0.08633046929814085,0.043125077215925865,0.03802842499396401,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_L3_L4_consistency,non_prototype,lower=leakage,0.5137662362358177,0.5093141280499629,0.5115648393025236,0.5088680053185496,-0.8612869897115161,0.8389388404117708,0.11599728746251058,0.8439369378384953,0.11561056875459293,-0.043159938882645126,-0.021574946352865224,-0.023843820597144055,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_L3_L4_disagreement,non_prototype,higher=leakage,0.5137662362358177,0.5093141280499629,0.5115648393025236,0.5088680053185496,0.13871301028848393,0.16106115958822917,0.11599728746251058,0.15606306216150476,0.11561056875459293,0.04315993888264417,0.021574946352865235,0.023843820597144055,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,L4_target_ownership,non_prototype,lower=leakage,0.524870884820309,0.5241165707039899,0.5197902191940472,0.38967697829430864,-0.0812218812793617,0.1210172864148218,0.06380998860977742,0.12544098989519717,0.0630400290728689,-0.069745705554199,-0.0348516673833753,-0.04307763615190164,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,L4_other_max_ownership,non_prototype,higher=leakage,0.524870884820309,0.5241165411320469,0.5197902191940472,0.38967697829430864,0.9187781260698102,0.87898271354315,0.06380998866751908,0.874559009665711,0.06304002939214275,0.0697457116080353,0.03485167040477999,0.04307763615190164,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,L4_target_other_margin,non_prototype,lower=leakage,0.5248709109409089,0.5241165879012735,0.5197902191940472,0.38967697829430864,0.8375562447904485,-0.7579654271283282,0.12761997727729404,-0.7491180197705138,0.1260800584650093,-0.06974570858111748,-0.0348516688940783,-0.043077681394107635,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,L4_ownership_entropy,non_prototype,lower=leakage,0.5227648170252687,0.5223209998047936,0.5179523958940339,0.40055741360089187,-0.4015023836247174,0.4823601524243274,0.15377744384096023,0.4940819849393354,0.15100629228354456,-0.07691583668057335,-0.03842950999718488,-0.0394298197240719,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
