dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
flickr,C2,12345,best,113,14172932360,0.3887117346938775
flickr,C2,12345,best,114,14174434304,-0.12011479591836735
flickr,C2,12345,best,115,14203929291,0.3297321428571429
flickr,C2,12345,best,116,14414061986,-0.02357142857142857
flickr,C2,12345,best,117,14566072101,-0.10394132653061225
flickr,C2,12345,best,118,14648401332,0.461045918367347
flickr,C2,12345,best,119,14652810592,-0.04260204081632655
flickr,C2,12345,best,120,14678892718,0.16526785714285713
flickr,C2,12345,best,121,14680986811,0.10325255102040817
flickr,C2,12345,best,122,14742398172,0.034719387755102034
flickr,C2,12345,best,123,14778198185,-0.3508418367346939
flickr,C2,12345,best,124,14899015793,0.37357142857142855
flickr,C2,12345,best,125,15135657108,-0.20775510204081632
flickr,C2,12345,best,126,15210828119,0.03215561224489796
flickr,C2,12345,best,127,15679023977,0.1339923469387755
flickr,C2,12345,best,128,15799251138,-0.175625
flickr,C2,12345,best,129,15994498891,0.1177933673469388
flickr,C2,12345,best,130,16012165838,0.19683673469387755
flickr,C2,12345,best,131,16101081359,0.06628826530612242
flickr,C2,12345,best,132,16369370669,0.17635204081632652
flickr,C2,12345,best,133,16419739420,-0.03593112244897961
flickr,C2,12345,best,134,16563757295,0.3505484693877551
flickr,C2,12345,best,135,16659090834,0.24811224489795922
flickr,C2,12345,best,136,16804898716,-0.07378826530612245
flickr,C2,12345,best,137,16950760048,-0.018380102040816332
flickr,C2,12345,best,138,17140316339,-0.02511479591836735
flickr,C2,12345,best,139,17537079145,0.2660841836734694
flickr,C2,12345,best,140,19306860381,0.10140306122448978
flickr,C2,12345,best,141,20854461578,0.1950510204081633
flickr,C2,12345,best,142,2401957951,0.16771683673469387
flickr,C2,12345,best,143,2404965389,0.025727040816326527
flickr,C2,12345,best,144,2432219254,-0.01608418367346938
flickr,C2,12345,best,145,2462141223,-0.3246556122448979
flickr,C2,12345,best,146,2465634368,0.15577806122448978
flickr,C2,12345,best,147,2499673064,0.1603698979591837
flickr,C2,12345,best,148,2509250774,-0.3318877551020408
flickr,C2,12345,best,149,2542659118,-0.09729591836734691
flickr,C2,12345,best,150,2630218696,0.10517857142857143
flickr,C2,12345,best,151,2695985181,0.1240561224489796
flickr,C2,12345,best,152,2698329253,-0.12552295918367348
flickr,C2,12345,best,153,2766580444,0.04355867346938776
flickr,C2,12345,best,154,2778088729,-0.02067602040816327
flickr,C2,12345,best,155,2808068937,0.10137755102040819
flickr,C2,12345,best,156,2811549163,0.1978316326530612
flickr,C2,12345,best,157,2819123278,0.029604591836734695
flickr,C2,12345,best,158,2858344348,0.18456632653061228
flickr,C2,12345,best,159,2895192729,0.19660714285714287
flickr,C2,12345,best,160,2897081671,0.16028061224489795
flickr,C2,12345,best,161,2897653916,0.2534693877551021
flickr,C2,12345,best,162,2907554899,0.3483801020408164
flickr,C2,12345,best,163,2935372113,0.010650510204081642
flickr,C2,12345,best,164,2961466546,0.31610969387755106
flickr,C2,12345,best,165,3012435981,-0.10894132653061225
flickr,C2,12345,best,166,3052033339,0.32567602040816324
flickr,C2,12345,best,167,3102685146,-0.3306122448979592
flickr,C2,12345,best,168,3109408703,-0.022385204081632658
flickr,C2,12345,best,169,3202731977,-0.17247448979591834
flickr,C2,12345,best,170,3207674548,-0.027079081632653074
flickr,C2,12345,best,171,3230152596,0.18619897959183676
flickr,C2,12345,best,172,3403348616,-0.11880102040816326
flickr,C2,12345,best,173,3413119417,-0.0393877551020408
flickr,C2,12345,best,174,3416359816,0.18312499999999998
flickr,C2,12345,best,175,3484198977,-0.08747448979591838
flickr,C2,12345,best,176,3535748358,0.1352933673469388
flickr,C2,12345,best,177,3568893693,0.33999999999999997
flickr,C2,12345,best,178,3668283413,0.25316326530612243
flickr,C2,12345,best,179,3709678770,-0.2790051020408163
flickr,C2,12345,best,180,3719297546,0.12190051020408162
