sample_id,sim_slot0,sim_slot1,fused_sim_slot0,fused_sim_slot1,fused_selected_slot,selected_slot,selection_changed,IoU_AUD,IoU_SLOT0,IoU_SLOT1,IoU_SLOT_SELECTED,IoU_AUD_FIXED,IoU_AUD_SELECTED,IoU_OGL,IoU_ORACLE_FIXED,IoU_ORACLE_SELECTED,selected_minus_fixed_iou,semantic_margin,ownership_confidence,mean_max_ownership_probability,fraction_max_ownership_gt_0_7,fraction_max_ownership_gt_0_8,fraction_max_ownership_gt_0_9,soft_containment,seed_containment_top10,seed_containment_top20,centroid_aud_x,centroid_aud_y,centroid_slot_x,centroid_slot_y,centroid_distance,js_divergence,extent_aud,extent_slot,extent_ratio,R1,R2,R3,outcome,possible_selection_error,possible_extent_error
_bAVmK7n0fs_000130,0.006743313744664192,0.026994843035936356,0.35240092873573303,-0.10168926417827606,0,1,True,0.1465316732795184,0.2137670636073192,0.0,0.0,0.17755147221607262,0.12187302089930335,0.1518660746429857,0.17755147221607262,0.1465316732795184,-0.05567845131676927,0.020251529291272163,0.42067891359329224,0.8450096249580383,0.9387754797935486,0.714285671710968,0.40816324949264526,14347.193359375,0.12714752554893494,0.19553983211517334,0.5046737229618448,0.4749227601537686,0.5130416929188989,0.5210826220184712,0.03317194423432689,0.09561443002213985,0.6616908482142857,0.6069236288265306,0.9172314086925093,0.003959980637690874,0.08225948413842588,0.0016658803525142695,Neutral,False,False
_bBUW5C5yW4_000053,0.011300614103674889,-0.014072411693632603,0.27418848872184753,-0.09052343666553497,0,0,False,0.3358793129654963,0.2540844410610763,0.011640723714278033,0.2540844410610763,0.39903419729969447,0.39903419729969447,0.4055812534946373,0.39903419729969447,0.39903419729969447,0.0,0.025373026728630066,0.44814497232437134,0.8031683564186096,0.6530612111091614,0.5102040767669678,0.4285714328289032,14456.013671875,0.8907382488250732,0.8042583465576172,0.5960720800402622,0.5195131101900159,0.6546313084671113,0.5423789885728347,0.04445239941873635,0.020788284442992723,0.6245017538265306,0.4703842474489796,0.753215254507739,0.020406468523930243,0.360424334459708,0.009145056271894873,Neutral,False,False
_bIE0Cnyaf4_000056,0.011575368233025074,0.02030066028237343,0.44572123885154724,-0.03609246388077736,0,1,True,0.5081168105183131,0.6653136248755457,0.019458563294867042,0.019458563294867042,0.615043989978442,0.18701608100059558,0.5285165095581652,0.615043989978442,0.5081168105183131,-0.4280279089778464,0.008725292049348354,0.5000503659248352,0.8627144694328308,0.8367346525192261,0.714285671710968,0.5102040767669678,16512.056640625,0.22202613949775696,0.29820355772972107,0.5442711665263564,0.5792128912700942,0.46929455726797575,0.4528442905254602,0.10390022904219368,0.09988211063887975,0.6350845025510204,0.6252590880102041,0.9845289650411096,0.0026019131313465282,0.14911679816283474,0.0013010876134344652,Hurt,False,False
_bkX5VkZg8U_000189,-0.010151918977499008,-0.056311458349227905,0.4117165505886078,-0.028744783252477646,0,0,False,0.7019990964535803,0.6236066092181201,0.07845092661846588,0.6236066092181201,0.8142857142857143,0.8142857142857143,0.8328999156592635,0.8142857142857143,0.8142857142857143,0.0,0.0461595393717289,0.5670731067657471,0.8971022367477417,1.0,0.8979591727256775,0.4897959232330322,16965.94921875,0.8203330039978027,0.7968918085098267,0.44538531410501375,0.5023390920903974,0.37411452157280695,0.4548353360120461,0.06056456352406232,0.04078284906327227,0.6718351403061225,0.46396683673469385,0.690596262236725,0.03678415880991759,0.4518959136078422,0.020859307216104593,Neutral,False,False
_cES7Twcq18_000006,0.09045526385307312,0.0206039696931839,0.39317378401756287,-0.11339215934276581,0,0,False,0.7326978607135095,0.580885960608397,0.1169908710860848,0.580885960608397,0.6910442313435312,0.6910442313435312,0.7313541632152679,0.7326978607135095,0.7326978607135095,0.0,0.06985129415988922,0.375235378742218,0.7734482884407043,0.5714285373687744,0.4693877398967743,0.3877550959587097,17756.517578125,0.9445306658744812,0.8963286876678467,0.5002868599182344,0.5466895855616801,0.48661485006797783,0.5392377666074523,0.01101030106473257,0.027023777535320724,0.6023397640306123,0.4459901147959184,0.7404294742414717,0.06260971882623423,0.3363342345945597,0.02349338155670578,Neutral,False,False
_cb_U_z_Ct0_000030,-0.018830817192792892,-0.038906872272491455,0.49277856945991516,0.025296412408351898,0,0,False,0.6898086222862434,0.12192696192696192,0.39334083510830686,0.12192696192696192,0.553410592049958,0.553410592049958,0.6909917590224496,0.6898086222862434,0.6898086222862434,0.0,0.020076055079698563,0.7274205684661865,0.9479159712791443,1.0,1.0,0.8775510191917419,11259.228515625,0.6532022953033447,0.583032488822937,0.5172208155475587,0.4996555820653888,0.5397128982483286,0.47914624152545726,0.021523554929438925,0.03645316259892172,0.6711176658163265,0.4766222895408163,0.7101918394013186,0.01170499235886302,0.4241098244538364,0.008514452195576507,Neutral,False,False
_dlpgziE7CU_000010,0.00026063062250614166,0.0011349939741194248,0.4049021601676941,-0.010700833052396774,0,1,True,0.7430815599598137,0.5019897533659001,0.17042236177810616,0.17042236177810616,0.6970568814262805,0.46646605383568984,0.5728473006290468,0.7430815599598137,0.7430815599598137,-0.23059082759059069,0.0008743633516132832,0.37873148918151855,0.835547924041748,1.0,0.6530612111091614,0.2448979616165161,13730.8515625,0.1523505598306656,0.17564614117145538,0.5346467203970242,0.48431250039753754,0.468440631732516,0.5639505192872682,0.0732306637582025,0.08973450081809241,0.7107382015306123,0.5586734693877551,0.7860467724749032,0.00015357854869261361,0.06652272461485254,5.816503245268991e-05,Hurt,False,False
_eBYRnly4m8_000097,0.08656256645917892,-0.010955256409943104,0.5212022662162781,-0.09843745082616806,0,0,False,0.504568982043581,0.6535982814178303,0.012533182470951738,0.6535982814178303,0.6398383270362885,0.6398383270362885,0.5861220093853373,0.6398383270362885,0.6398383270362885,0.0,0.09751782566308975,0.5492247343063354,0.8585861921310425,0.7755101919174194,0.6938775181770325,0.5918367505073547,8941.30078125,0.8277931809425354,0.7100614309310913,0.4660760978246571,0.5501049908668024,0.42306100791256324,0.601394911889632,0.0473336770105261,0.05752431246851553,0.6363998724489796,0.34980867346938777,0.5496680445947639,0.06924364683162221,0.389983300744305,0.03803032353349943,Neutral,False,False
_eLVrgvrVBQ_000020,-0.024550698697566986,-0.012342520989477634,0.3974953293800354,-0.08895108848810196,0,1,True,0.30944784704594674,0.17547841566533157,0.26582278481012656,0.26582278481012656,0.28120127237572506,0.354301846413041,0.40097283406754775,0.30944784704594674,0.354301846413041,0.07310057403731596,0.012208177708089352,0.5072598457336426,0.8855997920036316,1.0,0.9387754797935486,0.40816324949264526,19971.234375,0.20460665225982666,0.3317956030368805,0.5114503341906971,0.5434192749962594,0.4816559634016558,0.4561436482944524,0.06521019685182694,0.04946884741089301,0.7017299107142857,0.677734375,0.9658051689860835,0.004050619684636908,0.1683065864115889,0.002054716716354574,Neutral,False,False
_fTONy_pqik_000030,0.012045218609273434,0.034724198281764984,0.278948575258255,-0.09942346066236496,0,1,True,0.09195971122496507,0.1428308710844112,0.0,0.0,0.10350928929519315,0.08602238379217385,0.09928654492881164,0.10350928929519315,0.09195971122496507,-0.017486905503019304,0.022678978741168976,0.4760981798171997,0.8680914640426636,1.0,0.7755101919174194,0.34693875908851624,15735.341796875,0.18405140936374664,0.23049616813659668,0.5154068666134876,0.4333653803721907,0.4916435770433825,0.5771931162908146,0.10308033651155316,0.09468276933493022,0.6541573660714286,0.6091159119897959,0.9311458428540961,0.005227417697090786,0.1097388061046729,0.002488764050729141,Neutral,False,False
_fprJMwmYoU_000221,-0.06352870911359787,-0.051267802715301514,0.39385056495666504,-0.11559384316205978,0,1,True,0.5897199270307973,0.2954855118539377,0.4816535744796116,0.4816535744796116,0.39789985630595776,0.7227167418607486,0.6356797537234158,0.5897199270307973,0.7227167418607486,0.3248168855547909,0.012260906398296356,0.4230567216873169,0.852239727973938,1.0,0.7346938848495483,0.2857142686843872,16485.146484375,0.10604914277791977,0.17403694987297058,0.5292958575034792,0.5172645251441504,0.43383050840155324,0.47669643916131815,0.07334644667420183,0.07873483254510465,0.7033840880102041,0.6080994897959183,0.8645340435780465,0.002133850752237487,0.07362750146571884,0.0009027399038116065,Neutral,False,False
