sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
4496,ortMPr9w06U_000021,0.6380388699995803,0.5787156520419007,0.6302228123314385,0.5980175645832263,0.6274833753252653,0.6030482977038797,0.6340995369404697,0.6380084799126821,0.6336695565188396,-0.03220524774821221,-0.0027394370061731843,0.003908942972212337,-0.0004299804216301162,-3.0390086898202107e-05,-0.004369313480740655,0.9186398478448902,0.9815372934243153,0.09748376555721935,0.9999914034246711,0.9999963162435687,0.001848856872593863
4497,oswEaAsFXDM_000170,0.4399564424635332,0.4188409028965039,0.39343333635457267,0.18567278860569716,0.39347565254793654,0.42917195234186506,0.4120098503504452,0.4402665518027719,0.41527850699250635,-0.2077605477488755,4.231619336386716e-05,0.028256701452326727,0.003268656642061163,0.00031010933923869555,-0.02467793547102687,-0.3812260782479676,0.8355951390799387,0.422503094325098,0.9998654246606155,0.9999940356590594,0.002403341040994004
4498,ouvOmkKBFM0_000614,0.2629975629569456,0.250641118691634,0.24627965577901392,0.3139963167587477,0.2437302968992613,0.2534742611078489,0.25615666106220947,0.2629975629569456,0.256220012860464,0.06771666097973375,-0.0025493588797526334,0.006840901894736129,6.335179825450732e-05,0.0,-0.0067775500964816215,0.6766341973576577,0.9407260913364034,0.18606850879475792,0.9999722029387887,0.9999864330569672,0.0036703285836300176
4499,ov4fdnGwzWU_000520,0.310625038186595,0.3256188757091284,0.337672688629118,0.17075874114130252,0.3357992073976222,0.31697736766631335,0.3229166666666667,0.3090577507598784,0.3210812176329418,-0.16691394748781546,-0.0018734812314957772,-0.013858915906788283,-0.0018354490337249008,-0.0015672874267165793,0.010456179446346803,0.7896083678967227,0.9317491240090198,0.2298942847877585,0.9999487752538088,0.9999852796213882,0.002039718492574472
4500,ov_g-r7Vo8M_000030,0.7446203471839056,0.8376574251257176,0.7583166696964189,0.505282076009293,0.7975772313789066,0.7950132391879965,0.765210608424337,0.744140625,0.7678401932867375,-0.2530345936871259,0.039260561682487705,-0.02106998342433697,0.0026295848624005025,-0.0004797221839055732,0.023219846102831898,0.86139884278442,0.9770492075849124,0.09968813879040336,0.9993673698352631,0.9996792459815793,0.023347850421042204
4501,ovmrWtaq3og_000017,0.5491282649556031,0.5523627900963217,0.5158745554477854,0.22204938751701342,0.5173929910772016,0.5560914034179182,0.5392258398601851,0.5496467690712296,0.5416410422398447,-0.29382516793077196,0.001518435629416226,0.010420929211044427,0.0024152023796595312,0.0005185041156264836,-0.007487222715758413,0.45155451365732985,0.7797743880664729,0.25726876857359116,0.9999550459005517,0.9999827576679842,0.0024807731285372324
4502,p-ASHwSVFSI_000080,0.02373400415618506,0.04014192660064608,0.045792880258899674,0.06847956573933921,0.04667988638190686,0.030736590142530735,0.03116840731070496,0.02421823748086595,0.030449413808076423,0.022686685480439533,0.0008870061230071835,-0.006950169829839009,-0.0007189935026285371,0.0004842333246808904,0.006715409651891362,0.12712580839559806,0.8316147346014827,0.2826496530428971,0.9999842858286769,0.9999944092546685,0.002152701775939183
4503,p-C-Nal08lU_000030,0.07687150837988826,0.07226384706953294,0.08114483409341092,0.0,0.08067542213883677,0.07420189818809318,0.07871253146213103,0.07698045651200955,0.07832422586520947,-0.08114483409341092,-0.00046941195457414486,-0.0017320749501214816,-0.0003883055969215593,0.00010894813212128374,0.001452717485321206,-0.5216895263960073,0.5838030051388321,0.3288470180302142,0.999972788483807,0.9999858535335097,0.0029761214386543108
4504,p0NU0nB-uks_000013,0.15714771375148734,0.15230642504118616,0.1719360238050958,0.13364344519511204,0.1721280953267548,0.15450177564236472,0.16172483162774426,0.15738179342043665,0.1611469409098832,-0.03829257860998375,0.00019207152165900965,-0.004343038207307609,-0.000577890717861046,0.00023407966894931076,0.003999227158395874,0.33079651876066624,0.9018580626858953,0.2108403967498578,0.9999274926375487,0.9999842329940101,0.002834830290586365
4505,p0c-sBtVkio_000187,0.15511146721968233,0.15335903083700442,0.15072896857737933,0.3744212962962963,0.15306719474323777,0.15458219146267824,0.15348966539994438,0.15657040729940738,0.1546339202965709,0.22369232771891695,0.002338226165858437,0.003080741899463002,0.0011442548966265065,0.0014589400797250518,-0.00047754692311144376,0.22276126190663914,0.8494498744466397,0.24478564226572067,0.9999331312390201,0.9999822131099061,0.004148843801323616
