sample_index,sample_id,dataset,fold,IoU_AUD,intrinsic_IoU_AUD_binary,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,TP,FP,FN,IoU_expand_star,IoU_shrink_star,intrinsic_expand_gain,intrinsic_shrink_gain,intrinsic_error_type,candidate_5_2_error_type,candidate_5_2_expand_gain,candidate_5_2_shrink_gain,AUD_ONLY_pixels,TRUE_EXTENT_pixels,CONTEXT_LEAKAGE_pixels,AUD_ONLY_true_extent_ratio,AUD_ONLY_leakage_ratio,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,group_PROP_ONLY,group_PROP_HURT,probe_sampled_pixels,routing_sampled_pixels,OOF_predicted_leakage_ratio_PREDICTION,OOF_mean_leakage_probability_PREDICTION,transfer_from_flickr_144k_predicted_leakage_ratio_PREDICTION,transfer_from_flickr_144k_mean_leakage_probability_PREDICTION,OOF_predicted_leakage_ratio_WITHOUT_PROTOTYPE,OOF_mean_leakage_probability_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITHOUT_PROTOTYPE,OOF_predicted_leakage_ratio_WITH_PROTOTYPE,OOF_mean_leakage_probability_WITH_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITH_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITH_PROTOTYPE,OOF_predicted_leakage_ratio_PROTOTYPE_ONLY,OOF_mean_leakage_probability_PROTOTYPE_ONLY,transfer_from_flickr_144k_predicted_leakage_ratio_PROTOTYPE_ONLY,transfer_from_flickr_144k_mean_leakage_probability_PROTOTYPE_ONLY
3761,f6wrXzvByrg_000030,vggss_144k,3,0.7540932113549805,0.7540932113549805,0.703111073383982,0.6440907969405378,0.5784774306986455,19206,4413,1850,0.8267305351603911,0.9121390577507599,0.07263732380541055,0.15804584639577934,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,4557,2640,1917,0.5793285055957867,0.4206714944042133,False,False,True,False,False,False,True,False,False,12,12,0.4166666666666667,0.5016733514795636,0.6666666666666666,0.5187062462018416,0.5,0.5192441614328439,0.4166666666666667,0.5070187793672584,0.6666666666666666,0.5224709147509016,0.4166666666666667,0.4853554384975068,0.5,0.4887896943117989,0.0,0.35905773514551637
3762,f724u5z_UDw_000030,vggss_144k,4,0.7341088723143716,0.7341088723143716,0.5953107129241326,0.5021416803953872,0.3872388481084133,13189,4250,527,0.7634420572191918,0.9615777194517352,0.029333184904820175,0.2274688471373636,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,875,697,178,0.7965714285714286,0.20342857142857143,False,False,True,False,False,False,True,False,False,12,12,0.4166666666666667,0.4721158129058991,0.5,0.47965389872993147,0.16666666666666666,0.40899880298269925,0.08333333333333333,0.3792621289481413,0.16666666666666666,0.38572297063081334,0.0,0.32644684019904563,0.0,0.44508419477724387,0.0,0.3023025177844087
3763,f8cJ5g7Pe88_000030,vggss_144k,2,0.03218940432107765,0.03218940432107765,0.03730359858084136,0.0,0.026843026648511962,1104,33193,0,0.03218940432107765,1.0,0.0,0.9678105956789224,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.00591109264192622,5321,0,5321,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5,0.49119587163200623,0.6666666666666666,0.5100461791444176,0.16666666666666666,0.40606885175337437,0.5,0.49704248609586427,0.4166666666666667,0.47681326881111286,0.0,0.2960981385476713,0.75,0.5481149657351579,0.0,0.1734276395295127
3764,f9gjQDw0I5Q_000419,vggss_144k,3,0.18482334610687665,0.18482334610687665,0.17704005485861804,0.14674022066198597,0.12295495293590318,4389,19358,0,0.18482334610687665,1.0,0.0,0.8151766538931233,INTRINSIC_SHRINK,SHRINK,0.0,0.011035460622562415,1338,0,1338,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.4166666666666667,0.4795706728896308,0.75,0.535706986643067,0.4166666666666667,0.46163823673323706,0.16666666666666666,0.4177943745076988,0.75,0.5345172682183377,0.8333333333333334,0.5711524386218456,0.8333333333333334,0.6025948773103086,0.6666666666666666,0.5454772395728047
3765,f9sagpKa8Zo_000040,vggss_144k,4,0.5533135409852564,0.5533135409852564,0.703499318314614,0.32771211543537554,0.304112347930218,10996,8699,178,0.5622704171488955,0.9840701628781099,0.00895687616363905,0.43075662189285346,INTRINSIC_SHRINK,SHRINK,0.0,0.16215680530637155,5010,211,4799,0.042115768463073855,0.9578842315369261,False,False,True,False,False,False,True,False,True,12,12,0.4166666666666667,0.4918136052792838,0.4166666666666667,0.4644059113468719,0.5833333333333334,0.5506508895309564,0.4166666666666667,0.4378295554328954,0.5,0.5489158538281566,0.4166666666666667,0.4638781012482324,0.4166666666666667,0.492503153264394,0.0,0.3820803842264044
3766,fAns8GJzYeQ_000030,vggss_144k,3,0.501261160267446,0.501261160267446,0.509251985685607,0.40120006316121903,0.3483589701406597,12520,12272,185,0.5086679745365736,0.9854388036206218,0.007406814269127593,0.4841776433531757,INTRINSIC_SHRINK,SHRINK,0.0,0.01676245688606548,3302,851,2451,0.25772259236826167,0.7422774076317383,False,False,True,False,False,False,True,False,True,12,12,0.3333333333333333,0.4827297336082466,0.3333333333333333,0.4882522000646814,0.08333333333333333,0.3637020031336524,0.08333333333333333,0.4123199642511515,0.08333333333333333,0.3492989163501412,0.08333333333333333,0.3905322159306824,0.0,0.42127462090755435,0.0,0.30323134343103725
3767,fB9W0awy06E_000160,vggss_144k,0,0.5810616322384016,0.5810616322384016,0.5716379779704318,0.5047149378561194,0.39306103383848867,13727,8477,1420,0.6411699966136133,0.9062520631148082,0.06010836437521172,0.32519043087640664,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.009466503986156116,1483,410,1073,0.27646662171274444,0.7235333782872556,False,False,True,False,False,False,True,False,False,12,12,0.5833333333333334,0.5156342777676675,0.9166666666666666,0.5457067361812273,0.4166666666666667,0.4695966543489047,0.6666666666666666,0.5153152091944703,0.5833333333333334,0.4868208729436872,0.75,0.5659606690832842,0.5833333333333334,0.504952213933422,0.5,0.4733829271590773
3768,fB_tldbRb28_000220,vggss_144k,0,0.5390578088323599,0.5390578088323599,0.5168714214242037,0.2978488692774407,0.28223255302175887,9875,8059,385,0.5600742398602544,0.9624756335282652,0.021016431027894522,0.4234178246959053,INTRINSIC_SHRINK,SHRINK,0.0,0.026363320671048074,2471,584,1887,0.23634156212059895,0.763658437879401,False,False,True,False,False,False,True,False,True,12,12,0.5,0.4933418678640367,0.5,0.49846417296857976,0.3333333333333333,0.47339734365547154,0.4166666666666667,0.4543064276045052,0.3333333333333333,0.45576422224582,0.4166666666666667,0.41272194345277446,0.0,0.4275142340252088,0.0,0.31912563010617223
3769,fE7-2gllNvE_000230,vggss_144k,3,0.46161175467629506,0.46161175467629506,0.43682061615143963,0.3258897159574862,0.3240866258885766,9205,9729,1007,0.5121107266435986,0.9013905209557384,0.05049897196730352,0.4397787662794433,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.0,3071,1034,2037,0.3366981439270596,0.6633018560729405,False,False,False,True,True,False,True,False,False,12,12,0.4166666666666667,0.5012704976369492,1.0,0.539956923409908,0.75,0.6125813023477318,0.9166666666666666,0.6418067388549512,0.9166666666666666,0.6566111900364117,0.9166666666666666,0.6903614071756371,0.9166666666666666,0.6170671588081457,0.6666666666666666,0.5366975260891945
3770,fESL2PLuIwA_000140,vggss_144k,0,0.7167515476807661,0.7167515476807661,0.7238600275630654,0.587323866138265,0.6218669772119736,23503,7658,1630,0.7664603092311915,0.9351450284486532,0.04970876155042536,0.21839348076788712,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.004332087344085078,197,0,197,0.0,1.0,False,False,True,False,False,False,True,False,False,0,12,0.75,0.5195002866124822,1.0,0.5686336754546432,0.8333333333333334,0.5662430319266222,1.0,0.6812547642824355,0.8333333333333334,0.5700609600634974,1.0,0.6527662468398071,0.8333333333333334,0.5598168077902176,0.0,0.43474487076208157
