configuration,dataset,method,cIoU,AUC,mean_IoU,aud_img_pearson_mean,aud_img_pearson_median,aud_img_spearman_mean,aud_img_spearman_median,aud_img_js_mean,aud_img_top10_overlap_mean,aud_img_threshold_mask_iou_mean,aud_precision,aud_coverage,aud_outside_leakage,aud_predicted_area_ratio,aud_attention_entropy,aud_effective_active_area
FULL_REFERENCE,flickr,IQR,0.772,0.5922000000000001,0.592654240809946,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
FULL_REFERENCE,flickr,OBJ_PRIOR,0.448,0.4668,0.46537125676259156,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
FULL_REFERENCE,flickr,OGL,0.84,0.6154,0.6157155157381571,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
FULL_REFERENCE,flickr,EXTRA_IQR_OGL,0.812,0.6123999999999999,0.6118988618272356,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
FULL_REFERENCE,flickr,SHRINK_BASE,0.744,0.5838,0.5848127055597625,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
FULL_REFERENCE,flickr,EXPAND_BASE,0.78,0.5978,0.5966259555149516,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742
NO_SPATIAL_ATT,vggss,AUD,0.34839084916634355,0.38473245443970533,0.3847662725368483,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,IMG_QUERY,0.411981388134936,0.41080845288871665,0.41096188176634874,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,IQR,0.3947266382318728,0.4036835982939124,0.4035524159254308,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.3914037623400056,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,OGL,0.4220628150445909,0.41705118262892593,0.41699457574001897,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,EXTRA_IQR_OGL,0.411981388134936,0.41284412563008915,0.4127790356726886,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,SHRINK_BASE,0.37029856533540134,0.39489143078712685,0.3949068667919478,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,vggss,EXPAND_BASE,0.386002326483133,0.40130864676231104,0.40115955438313217,0.8796083488130977,0.9044697187824317,0.8628961065594191,0.8925000000000001,0.000392385770557822,0.5212097712291586,0.7303743849046317,0.47277960422845156,0.7970068260881829,0.5272203957715484,0.4840102892104399,3.8911074250610707,48.965084773650275
NO_SPATIAL_ATT,flickr,AUD,0.664,0.546,0.546343442382819,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,IMG_QUERY,0.724,0.5818,0.581787445230349,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,IQR,0.724,0.5772,0.5769236229636567,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,OBJ_PRIOR,0.448,0.4668,0.46537125676259156,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,OGL,0.744,0.5804,0.5799290862411511,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,EXTRA_IQR_OGL,0.74,0.5882000000000001,0.5886270564734452,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,SHRINK_BASE,0.636,0.5406000000000001,0.5404437155273829,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_SPATIAL_ATT,flickr,EXPAND_BASE,0.748,0.5866,0.5847890923742816,0.8545312277746965,0.8757695897054467,0.8340595918367347,0.8583673469387755,0.0005103541279953895,0.46880000000000005,0.7175104486924344,0.7208517467549684,0.7141471935767509,0.27914825324503156,0.4965583545918367,3.8911533766645143,48.967334775200854
NO_IMAGE_REC,vggss,AUD,0.4015122140364482,0.4082784024815821,0.40810504074809406,0.9893930608616094,0.9918587091086217,0.9842287734537531,0.9877551020408163,5.731213518048176e-05,0.84280728964715,0.9022131948722563,0.5043479650415695,0.8001310629393014,0.49565203495843047,0.45888455961885044,3.885058574764807,48.6699763636321
NO_IMAGE_REC,vggss,IMG_QUERY,0.40732842186894147,0.4100329585110508,0.40979304676337014,0.9893930608616094,0.9918587091086217,0.9842287734537531,0.9877551020408163,5.731213518048176e-05,0.84280728964715,0.9022131948722563,0.5043479650415695,0.8001310629393014,0.49565203495843047,0.45888455961885044,3.885058574764807,48.6699763636321
