scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,groupA,aud_better,ogl_help
144k,flickr,2819123278,157,1654.904296875,0.032981988042593,0.15405303239822388,0.5701929209183674,0.10678411989795919,0.06121142581105232,1078.11474609375,0.021486662328243256,0.2075444757938385,0.4298070790816326,957.0896606445312,13.639925003051758,684.1747436523438,0.5783353447914124,0.008242122828960419,0.413422554731369,0.42166468501091003,135,3226,0,0,1.0,0.004718629849702901,0.6497210167389956,0.07326109751835022,0.020272038877010345,0.04820800945162773,,0.028443671762943268,0.8772096768290452,0.7757466529351185,-0.1014630238939267,C_aud_better,False,True,False
144k,flickr,2858344348,158,7067.91162109375,0.1408623903989792,0.34176021814346313,0.9232501594387755,0.726921237244898,0.2443130612373352,95.05249786376953,0.0018943817121908069,0.10445202887058258,0.07674984056122448,4717.935546875,0.0,2349.97607421875,0.6675148010253906,0.0,0.3324851989746094,0.3324851989746094,0,2965,0,1022,0.0,0.0,0.945362563237774,0.060507285483000536,,0.15601615607738495,,0.12153944373130798,0.6936274509803921,0.6491421568627451,-0.04448529411764701,other,False,False,False
144k,flickr,2895192729,159,3852.808349609375,0.07678587734699249,0.2534974217414856,0.89453125,0.333805006377551,0.12324636429548264,84.50125885009766,0.0016840971074998379,0.05464760586619377,0.10546875,1874.760009765625,21.061214447021484,1956.9873046875,0.4865957200527191,0.005466457922011614,0.5079379081726074,0.5134043097496033,1513,3464,0,146,0.9524124256444151,0.03210498173068354,0.9872979214780601,0.07619641743160147,0.1027640551328659,0.13244909048080444,0.0559014193713665,0.04202411323785782,0.8264311242084144,0.7814052986671055,-0.04502582554130885,other,False,False,False
144k,flickr,2897081671,160,4901.66357421875,0.09768940508365631,0.2531359791755676,0.9525271045918368,0.46079799107142855,0.16987723112106323,69.26419830322266,0.0013804248301312327,0.15629702806472778,0.04747289540816327,3419.6650390625,43.92657470703125,1438.0716552734375,0.6976539492607117,0.008961564861238003,0.2933844029903412,0.30234599113464355,122,4985,0,19,1.0,0.0025526216679917983,1.0,0.10430179520441897,0.17924907803535461,0.14039717614650726,,0.09307911992073059,0.7828883721719649,0.629961653174265,-0.15292671899769994,C_aud_better,False,True,False
144k,flickr,2897653916,161,2083.00537109375,0.04151397943496704,0.1894000768661499,0.5625398596938775,0.1578643176020408,0.08622848242521286,1855.9061279296875,0.03698792681097984,0.2727135121822357,0.43746014030612246,400.58148193359375,16.55553436279297,1665.8682861328125,0.19230937957763672,0.007947907783091068,0.7997426986694336,0.8076905608177185,3683,435,0,1,0.8987238664132501,0.11726776730673846,0.6114942528735632,0.009423935378728831,0.11690761893987656,0.03985340893268585,0.08335714042186737,0.03810686990618706,0.5131425574076233,0.6301298701298701,0.11698731272224683,A_ogl_help,False,False,True
144k,flickr,2907554899,162,2644.791748046875,0.05271029472351074,0.2109878808259964,0.8034518494897959,0.12659438775510204,0.08226744830608368,322.1619873046875,0.006420638877898455,0.1300993114709854,0.19654815051020408,1714.9080810546875,13.66263198852539,916.2210693359375,0.6484094858169556,0.00516586285084486,0.3464246690273285,0.35159051418304443,571,3501,176,1737,1.0,0.01416381405963189,1.0,0.08684328025003721,0.04191456362605095,0.06579534709453583,0.05798519030213356,0.03328467905521393,0.6324702551117646,0.5964936423184896,-0.03597661279327502,other,False,False,False
144k,flickr,2935372113,163,3257.47607421875,0.06492099910974503,0.23434969782829285,0.8385682397959183,0.32065130739795916,0.10307420790195465,111.2842025756836,0.0022178771905601025,0.03898036479949951,0.16143176020408162,320.1160888671875,14.458069801330566,2922.90185546875,0.0982711985707283,0.004438426811248064,0.8972903490066528,0.9017287492752075,4691,1949,557,0,0.7659347687060328,0.08539309820325126,0.8219599794766547,0.038073961403175205,0.026043865829706192,0.03541608527302742,0.06867850571870804,0.017163284122943878,0.6063615569588082,0.6466665112049064,0.040304954246098146,other,False,False,False
144k,flickr,2961466546,164,3602.15283203125,0.07179035246372223,0.21483513712882996,0.7504982461734694,0.3647959183673469,0.09782835841178894,589.6719360351562,0.011752071790397167,0.11674129962921143,0.24950175382653061,2557.90185546875,18.750469207763672,1025.500732421875,0.7101036310195923,0.005205350928008556,0.28469106554985046,0.2898964285850525,768,10377,37,0,1.0,0.02039461454709616,0.5841765442806206,0.1609793663860637,0.15623360872268677,0.06953880190849304,0.07564712315797806,0.05272119492292404,0.5172902434381675,0.306906552094522,-0.21038369134364554,C_aud_better,False,True,False
144k,flickr,3012435981,165,1989.926513671875,0.03965893015265465,0.23965094983577728,0.5337611607142857,0.18205915178571427,0.06342004984617233,985.497802734375,0.01964082010090351,0.13574442267417908,0.4662388392857143,765.9041137695312,2.9081485271453857,1221.1142578125,0.3848906457424164,0.0014614351093769073,0.6136479377746582,0.615109384059906,3234,1224,0,593,0.5606060606060606,0.06769472033455305,0.3374183006535948,0.015420805018295871,0.008627718314528465,0.006600589491426945,0.003971600905060768,0.011267277412116528,0.4784885629075757,0.51173539167754,0.03324682876996432,other,False,False,False
144k,flickr,3052033339,166,1248.208251953125,0.02487660013139248,0.20824730396270752,0.4399912308673469,0.0859375,0.033889297395944595,1814.7174072265625,0.03616704046726227,0.1800374984741211,0.5600087691326531,202.4071044921875,3.7446749210357666,1042.0565185546875,0.16215811669826508,0.003000040305778384,0.8348418474197388,0.8378418684005737,1475,6591,0,0,0.34372881355932206,0.022965076776735968,0.004551661356395084,0.001358880282647099,0.009125332348048687,2.2555253963219002e-05,0.004768185783177614,0.016544656828045845,0.4331087036879069,0.256455155220514,-0.1766535484673929,C_aud_better,False,True,False
