scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,auto_taxonomy,delta_iou,aud_precision,aud_coverage,aud_area,groupA,aud_better,ogl_help
144k,vggss,wCPEfqnHzNc_000067,4957,1322.68896484375,0.02636098861694336,0.14713376760482788,0.46813217474489793,0.062181122448979595,0.05069185048341751,1655.404541015625,0.032991960644721985,0.17602771520614624,0.531867825255102,77.84181213378906,1.8755865097045898,1242.9715576171875,0.05885118618607521,0.0014180102152749896,0.9397308230400085,0.9411488175392151,3088,0,699,590,0.09229274611398963,0.012133339009749245,0.0,0.0,0.0008569854544475675,,0.0015678622294217348,0.009594252333045006,0.2317933615559236,0.314018691588785,0.0822253300328614,transition,OVER,0.0822253300328613,0.243474898498421,0.8285087943077087,0.3092514349489796,False,False,False
144k,vggss,wDg2v3NuCoQ_000075,4958,2272.108642578125,0.04528277739882469,0.23573386669158936,0.6796077806122449,0.13879145408163265,0.08347274363040924,514.5245361328125,0.010254395194351673,0.11152905225753784,0.3203922193877551,249.13633728027344,8.448339462280273,2014.5235595703125,0.10964983701705933,0.0037182813975960016,0.8866317272186279,0.8903499841690063,3225,813,86,14,0.9680620155038759,0.09155425219941349,0.8905289052890529,0.0212316715542522,0.11754755675792694,0.06258419156074524,0.026161136105656624,0.012325333431363106,0.5071472378166721,0.5510577029571381,0.043910465140465926,B_close,OVER,0.0439104651404659,0.5605965790571548,0.8417508602142334,0.3821747448979591,False,False,False
144k,vggss,wFmekjmLAp4_000030,4959,1114.6138916015625,0.02221408486366272,0.18468399345874786,0.45021524234693877,0.05189732142857143,0.048488177359104156,1925.2041015625,0.03836902230978012,0.19437241554260254,0.5497847576530612,143.0080108642578,7.647458076477051,963.95849609375,0.12830273807048798,0.006861082743853331,0.8648362755775452,0.8716973066329956,1323,393,2636,10,0.013605442176870748,0.0007968127490039841,0.23918575063613232,0.004161133244798583,6.582375499419868e-05,0.005795198492705822,0.03257334977388382,0.030559184029698372,0.2981717660363134,0.2532211259431224,-0.044950640093191,B_close,OVER,-0.0449506400931909,0.3512173462591578,0.6637762188911438,0.2693120216836734,False,False,False
144k,vggss,wGcq9cUby6A_000044,4960,3253.769287109375,0.06484712660312653,0.1713181436061859,0.8820153061224489,0.22177933673469388,0.12394271045923233,138.6122283935547,0.0027625204529613256,0.059500277042388916,0.11798469387755102,187.8502960205078,16.539430618286133,3049.3798828125,0.05773313343524933,0.005083160009235144,0.9371837973594666,0.9422670006752014,4304,0,0,0,0.8942843866171004,0.08697125813449023,0.0,0.0,0.06573940068483353,,0.045101601630449295,0.09965533018112183,0.1046815127450436,0.1375611180033569,0.03287960525831331,B_close,OVER,0.0328796052583133,0.1046815127450436,1.0,0.3588767538265306,False,False,False
144k,vggss,wGms6MZt-vU_000040,4961,2212.727783203125,0.04409932717680931,0.21123751997947693,0.6364596619897959,0.14945392219387754,0.07896046340465546,962.4293212890625,0.01918106898665428,0.18097370862960815,0.3635403380102041,130.09054565429688,7.078869819641113,2075.55810546875,0.058791935443878174,0.0031991598661988974,0.9380087852478027,0.9412079453468323,5244,310,0,0,0.7778413424866514,0.12772819790198842,1.0,0.009707217786128073,0.07428121566772461,0.07499537616968155,0.041406795382499695,0.02117779664695263,0.2627833938561193,0.3333553587947667,0.07057196493864737,transition,OVER,0.0705719649386474,0.2627833938561193,1.0,0.4061304209183674,False,False,False
144k,vggss,wKvTE7MmPHs_000031,4962,5691.7666015625,0.11343603581190109,0.489668607711792,0.8604312818877551,0.4821627869897959,0.2107873558998108,194.6234130859375,0.0038788148667663336,0.08518511056900024,0.1395687181122449,1201.821044921875,11.139546394348145,4478.80615234375,0.21115079522132874,0.001957133412361145,0.7868921160697937,0.7888492345809937,1985,1365,427,139,1.0,0.04597781020545248,1.0,0.031616982836495035,0.16722722351551056,0.2172144651412964,0.027819372713565826,0.052966099232435226,0.7221041445270988,0.7168303384872545,-0.0052738060398442865,B_close,GOOD,-0.0052738060398442,0.7509796041394554,0.94944429397583,0.3967235331632653,False,False,False
144k,vggss,wNG49_jvQto_000030,4963,4611.92138671875,0.09191488474607468,0.25659075379371643,0.8878746811224489,0.4390345982142857,0.16283290088176727,116.16421508789062,0.0023151349741965532,0.06366217136383057,0.11212531887755102,92.95654296875,19.12795639038086,4499.83740234375,0.020155709236860275,0.004147502593696117,0.9756969213485718,0.9798443913459778,4587,0,1819,8,0.9679529103989536,0.09966329966329966,0.0,0.0,0.09262436628341675,,0.07971537858247757,0.09399156272411346,0.0396889680868297,0.0450647692027002,0.0053758011158705,B_close,OVER,0.0053758011158704,0.0397018311456814,0.9919028282165528,0.4919483418367347,False,False,False
144k,vggss,wOzgCyoi9l8_000006,4964,1019.7638549804688,0.0203237384557724,0.14206956326961517,0.49744897959183676,0.02676578443877551,0.041566647589206696,941.1219482421875,0.01875641569495201,0.1387295126914978,0.5025510204081632,119.41460418701172,0.45573490858078003,899.8934326171875,0.11710025370121002,0.0004469023842830211,0.8824527859687805,0.8828997015953064,1702,761,13,0,0.1698002350176263,0.011578525641025642,0.6044678055190539,0.01842948717948718,0.003251492278650403,0.010381124913692474,3.685448973556049e-05,0.006652443669736385,0.5192749553229512,0.5257599463567277,0.006484991033776533,B_close,OVER,0.0064849910337765,0.6209170279015813,0.7603169679641724,0.3264309630102041,False,False,False
144k,vggss,wOzgCyoi9l8_000074,4965,1091.79248046875,0.021759256720542908,0.14059273898601532,0.5730229591836735,0.020886479591836735,0.044246453791856766,730.6488647460938,0.014561720192432404,0.10946512222290039,0.42697704081632654,44.70753860473633,1.2970876693725586,1045.7879638671875,0.04094875231385231,0.001188035006634891,0.9578633308410645,0.9590513706207275,2236,514,159,0,0.17576028622540252,0.013668614357262103,0.011673151750972763,0.00020868113522537563,0.0027464262675493956,2.335040881007444e-05,0.0008951708441600204,0.004818075802177191,0.4523991307922711,0.4808695652173913,0.028470434425120206,B_close,OVER,0.0284704344251202,0.4662268490497518,0.9384746551513672,0.329280931122449,False,False,False
144k,vggss,wPfv8ifzzyg_000030,4966,4076.662109375,0.0812472552061081,0.25006628036499023,0.9146404655612245,0.33729272959183676,0.1515262871980667,115.49695587158203,0.002301836619153619,0.09616321325302124,0.08535953443877552,434.8421325683594,11.895824432373047,3629.92431640625,0.10666622221469879,0.0029180306009948254,0.8904157876968384,0.8933337926864624,2692,528,0,0,0.9075037147102526,0.05323251912056305,0.7897727272727273,0.009086353038589763,0.04913339018821716,0.037158019840717316,0.034256063401699066,0.04407009854912758,0.4538109918146061,0.4968366207666542,0.04302562895204809,B_close,OVER,0.043025628952048,0.4706725468577729,0.9268345832824708,0.3615274234693877,False,False,False
