sample_id,IoU_AUD,IoU_AUD_FIXED_SLOT0,outcome,semantic_margin,ownership_confidence,mean_max_ownership_probability,fraction_max_ownership_gt_0_7,fraction_max_ownership_gt_0_8,fraction_max_ownership_gt_0_9,eval_soft_containment,eval_seed_top10,eval_seed_top20,centroid_distance,js_divergence,extent_aud,extent_slot,extent_ratio,raw_seed_top10,raw_seed_top20
exqbdXoRCUo_000210,0.048908997193746064,0.07719076241695666,Neutral,0.010846083983778954,0.43137127161026,0.8219338655471802,0.7551020383834839,0.5918367505073547,0.40816324949264526,16362.482421875,0.8678159117698669,0.8410618305206299,0.014743457200892516,0.040125483332590084,0.681640625,0.46308992346938777,0.6793754751184141,0.38751310110092163,0.37187179923057556
eyFBIA_HOmE_000030,0.5869739041942283,0.5334802976026454,Neutral,0.057109929621219635,0.6605039834976196,0.9163168668746948,0.918367326259613,0.8775510191917419,0.7551020383834839,6343.4560546875,0.7466057538986206,0.5710638165473938,0.06318843687629962,0.07026483973999711,0.6354631696428571,0.326351243622449,0.5135643719617375,0.2938327193260193,0.2343136966228485
ez50pKMB62U_000064,0.19956616052060738,0.2604559325076288,Neutral,0.008311547338962555,0.440393328666687,0.8412148356437683,0.8775510191917419,0.6530612111091614,0.3877550959587097,14690.9990234375,0.8391748666763306,0.7655831575393677,0.04736199239314686,0.034755459145557346,0.6860650510204082,0.484554368622449,0.7062805019753661,0.3367196023464203,0.3039318025112152
ez50pKMB62U_000422,0.12165763655000732,0.17787864514195179,Neutral,0.0025765933096408844,0.3855568766593933,0.8159869313240051,0.795918345451355,0.5918367505073547,0.30612245202064514,15794.6943359375,0.8213273882865906,0.7661532759666443,0.03621160194286397,0.02613291725883657,0.6921835140306123,0.5169005102040817,0.7467680170452909,0.3577895760536194,0.3340815305709839
ezUkPETm6cs_000030,0.7290886110233377,0.5725356620336504,Neutral,0.0005856766365468502,0.5498591065406799,0.8969970941543579,1.0,0.9387754797935486,0.4693877398967743,17294.3203125,0.8693241477012634,0.8033435940742493,0.032248075876805116,0.018706662532768446,0.6876594387755102,0.5465959821428571,0.7948643635520519,0.18903174996376038,0.17608389258384705
f-22ZuQyAJ4_000119,0.5473203635914943,0.6511237638597542,Neutral,0.029162345454096794,0.43969184160232544,0.842348575592041,0.8367346525192261,0.714285671710968,0.36734694242477417,11708.7880859375,0.8310134410858154,0.7245811223983765,0.018721193206923375,0.02354629088444024,0.6747050382653061,0.5158442283163265,0.764547763927453,0.36869093775749207,0.3249855637550354
f-3r6Pou7UM_000015,0.5324921956295525,0.4821490560495607,Hurt,0.037459563463926315,0.4189150929450989,0.7995456457138062,0.6530612111091614,0.44897958636283875,0.4285714328289032,18296.76171875,0.9389022588729858,0.9101482629776001,0.05524854508221139,0.02924357085780667,0.5945272640306123,0.4295280612244898,0.7224699138480104,0.7288362383842468,0.6976162791252136
f1YFrUS19Og_000032,0.25907026299557,0.39283423831715764,Neutral,0.0140257328748703,0.6147993803024292,0.9145524501800537,1.0,0.9591836333274841,0.6326530575752258,15047.6103515625,0.8150762319564819,0.7555606365203857,0.03147282767796076,0.04078462123119289,0.6797871492346939,0.47072305484693877,0.6924565363980182,0.17166206240653992,0.1606535166501999
f1Z-HuZ-_ZA_000030,0.735532173209227,0.6937874659400545,Neutral,0.00013650208711624146,0.43056654930114746,0.8050968050956726,0.6938775181770325,0.5306122303009033,0.44897958636283875,12557.904296875,0.9114587903022766,0.840311586856842,0.047253148091823315,0.03149593387569541,0.6101323341836735,0.40896045918367346,0.67028157052329,0.6899634599685669,0.6378499865531921
f1mXMVWFLiA_000183,0.13684682819079175,0.2420666462855396,Neutral,0.002420540899038315,0.5230307579040527,0.8872721195220947,1.0,0.8775510191917419,0.5102040767669678,12673.0869140625,0.8215733766555786,0.7075080275535583,0.03736424224538803,0.020584707778149455,0.6740872130102041,0.5311902104591837,0.7880140732637554,0.23719802498817444,0.20840111374855042
