sample_id,IoU_STAGE1_AUD,IoU_SLOT_L3_POOLED,IoU_SLOT_L3_NATIVE_READOUT,IoU_SLOT_L4,IoU_STAGE1_AUD_L3_POOLED,IoU_STAGE1_AUD_L3_NATIVE_READOUT,IoU_STAGE1_AUD_L4,IoU_NATIVE_UPDATE_AUD,IoU_SLOT_L3_NATIVE_UPDATE,IoU_NATIVE_UPDATE_AUD_L3_NATIVE_UPDATE
R2Aq_j1TDSs_000040,0.7262893567703304,0.39693695832838655,0.4374383542341835,0.313322632423756,0.6152819395260147,0.6312064286094407,0.6226510438050722,0.4129498482439659,0.3218190014651189,0.41803806734992677
R2LpN5yc8DA_000271,0.6469467301862278,0.3957461835171402,0.38801925758333117,0.3375706214689266,0.5794410309390463,0.5670799510730569,0.7010735234441289,0.7004745719232989,0.23129820051413882,0.5571883573523383
R3urUtvSgkU_000030,0.5651552516534021,0.5337854418096236,0.4716787277762888,0.30144757433489827,0.6011873533066409,0.5609577327143904,0.46256617876051076,0.6728114650801559,0.28909217354089767,0.5255832300236674
R3ykwo65XIQ_000560,0.05551895134722752,0.03407066815790564,0.040432591864323464,0.009582689335394128,0.040690627550894205,0.04447027655375632,0.04183006535947712,0.050724637681159424,0.09679317446307738,0.05161917911384461
R4b_-IT43P4_000030,0.45284103153509087,0.26994970347571506,0.29070570034511484,0.35806811836962593,0.41238459386365756,0.4344574381289094,0.43960460067439605,0.5390193499906069,0.2241669578475906,0.42011392920113927
R4jlQEweREY_000030,0.3058361391694725,0.07845914948102542,0.08595816902111517,0.34991834512792597,0.17876255750633743,0.19501388705197725,0.4553452609788555,0.30382453871785947,0.10200336902899772,0.2844909181051967
R5FhPTwWpm8_000140,0.2817973361955408,0.12917076661597637,0.1194823867721064,0.4702629500056427,0.23657587548638132,0.24263810123923546,0.4576012835940634,0.18988756657242423,0.20867959372114497,0.20759056929269695
R5dvHVDSXog_000048,0.6747191442536531,0.5772785148067524,0.5663127473770183,0.3109651627641348,0.6643476978293469,0.690867368112687,0.5021923565887451,0.746398359395027,0.2560919221343691,0.5165745152495732
R60qQ3ag8y8_000100,0.2118854045683314,0.13101736972704714,0.13951680248797765,0.25794392523364484,0.18038613294780279,0.18420325876829605,0.2602878061095683,0.19011533220327717,0.15634663790003595,0.18482711906154747
R6hwadNOJcg_000052,0.3694043213560941,0.11186726294639963,0.09261896688142873,0.4352991090369113,0.19713870029097963,0.23556844888366626,0.4294376609352936,0.37256903101434485,0.14984754598209896,0.33097521354084786
R6hwadNOJcg_000156,0.3751044742853959,0.151762109724923,0.12667844522968197,0.40710856909406595,0.20504955167531855,0.24243759177679883,0.41986020727886236,0.37573719891969354,0.19575089198832307,0.3707986783639057
