dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C2,12345,26,10202025415,NearFP,0.413360595703125,0.3355911330049261,4872
flickr,C2,12345,26,10202025415,FarFP,,,0
flickr,C2,12345,26,10202025415,HighAUDFP,,,0
flickr,C2,12345,27,10221582415,FP,0.7398223876953125,0.852616218469877,4797
flickr,C2,12345,27,10221582415,NearFP,0.728363037109375,0.7944400939702427,5108
flickr,C2,12345,27,10221582415,FarFP,0.7802734375,0.9411300919842313,3805
flickr,C2,12345,27,10221582415,HighAUDFP,0.893798828125,0.6914446002805049,713
flickr,C2,12345,28,10234680056,FP,0.29010009765625,0.22792815583101442,3953
flickr,C2,12345,28,10234680056,NearFP,0.31964111328125,0.2635135135135135,3848
flickr,C2,12345,28,10234680056,FarFP,,,0
flickr,C2,12345,28,10234680056,HighAUDFP,,,0
flickr,C2,12345,29,10246013484,FP,0.6398468017578125,0.652511961722488,3344
flickr,C2,12345,29,10246013484,NearFP,0.633209228515625,0.6422575976845152,3455
flickr,C2,12345,29,10246013484,FarFP,,,0
flickr,C2,12345,29,10246013484,HighAUDFP,,,0
flickr,C2,12345,30,10268129763,FP,0.4169769287109375,0.20751565762004176,4790
flickr,C2,12345,30,10268129763,NearFP,0.4516448974609375,0.25487086542818305,4414
flickr,C2,12345,30,10268129763,FarFP,,,0
flickr,C2,12345,30,10268129763,HighAUDFP,,,0
flickr,C2,12345,31,10278084464,FP,0.7546539306640625,0.7185125949620151,5002
flickr,C2,12345,31,10278084464,NearFP,0.750152587890625,0.8398791540785498,5627
flickr,C2,12345,31,10278084464,FarFP,0.8070831298828125,0.7029388403494837,3777
flickr,C2,12345,31,10278084464,HighAUDFP,0.7506510416666666,0.9552845528455285,492
flickr,C2,12345,32,10283938426,FP,0.8392486572265625,0.860213262245918,6002
flickr,C2,12345,32,10283938426,NearFP,0.7831268310546875,0.8432689616568709,7146
flickr,C2,12345,32,10283938426,FarFP,0.92864990234375,0.8917445482866043,5136
flickr,C2,12345,32,10283938426,HighAUDFP,0.8548353040540541,0.9281162375732858,3923
flickr,C2,12345,33,10289643764,FP,0.4805145263671875,0.5130966952264382,4085
flickr,C2,12345,33,10289643764,NearFP,0.4935150146484375,0.4786071916249431,4394
flickr,C2,12345,33,10289643764,FarFP,0.28692626953125,0.687433250266999,2809
flickr,C2,12345,33,10289643764,HighAUDFP,0.5703125,0.48484848484848486,759
flickr,C2,12345,34,10304554474,FP,0.0967254638671875,0.08998054474708171,4112
flickr,C2,12345,34,10304554474,NearFP,0.1112518310546875,0.09914375844975214,4438
flickr,C2,12345,34,10304554474,FarFP,0.0904083251953125,0.042824452435436415,3059
flickr,C2,12345,34,10304554474,HighAUDFP,0.10258709016393443,0.11349206349206349,1260
flickr,C2,12345,35,10308472565,FP,0.2344970703125,0.16280285863691826,5737
flickr,C2,12345,35,10308472565,NearFP,0.3046112060546875,0.2988855116514691,4935
