dataset,group,seed,sample_index,sample_id,mean_spearman,mean_top10_jaccard,mean_map_mae,matched_minus_wrong_abs_mean
flickr,C2,12345,93,12066557153,0.9869897959183673,0.75,0.000246508887357777,0.00018589622050058097
flickr,C2,12345,94,12103535156,0.9926020408163265,0.9772727272727273,0.000304134297039127,0.00023629903444088995
flickr,C2,12345,95,12158276143,0.973405612244898,0.9545454545454546,0.0006401779828593135,0.0006307752919383347
flickr,C2,12345,96,12328837165,0.9804336734693876,0.840909090909091,0.0002666978143679444,0.00020834666793234646
flickr,C2,12345,97,12373955905,0.986658163265306,0.9090909090909092,0.0003459339350229129,0.0003025808837264776
flickr,C2,12345,98,12444360833,0.9855357142857142,0.7103729603729604,0.0003362657407706138,0.00026575953233987093
flickr,C2,12345,99,12512072175,0.9696045918367345,0.6856060606060606,0.0004434307920746505,0.0003671760787256062
flickr,C2,12345,100,12534178685,0.9898214285714284,0.7263986013986015,0.00022548129527422134,0.00015505023475270718
flickr,C2,12345,101,12598610153,0.9933801020408162,0.8181818181818182,0.0004527972560026683,0.00040335863013751805
flickr,C2,12345,102,12599965145,0.9874999999999999,0.8712121212121212,0.00035845522324962076,0.0002906879526562989
flickr,C2,12345,103,12729873904,0.979783163265306,0.7453379953379954,0.00023969545145519078,0.00017523810674902052
flickr,C2,12345,104,13153991894,0.9658545918367346,0.6427322677322677,0.0002717488860071171,0.00016751802468206733
flickr,C2,12345,105,13234495505,0.9860969387755101,0.9318181818181819,0.0003193276934325695,0.00022855226416140795
flickr,C2,12345,106,13409856383,0.9941454081632652,0.840909090909091,0.0002955567942990456,0.00020613153174053878
flickr,C2,12345,107,13447842855,0.9866198979591836,0.9318181818181819,0.0005359538336051628,0.00048203550977632403
flickr,C2,12345,108,13579448834,0.9815688775510203,0.821969696969697,0.00026568622706690803,0.00019401920144446194
flickr,C2,12345,109,13660204414,0.9863903061224489,0.840909090909091,0.00024079656850517495,0.00016360859444830567
flickr,C2,12345,110,13721325644,0.9759693877551019,0.6106809856809856,0.0005046075748396106,0.00046329066390171647
flickr,C2,12345,111,13861270725,0.9856377551020408,0.6914335664335665,0.0003092741062573623,0.00016534228052478284
flickr,C2,12345,112,14062380939,0.9799744897959184,0.8181818181818182,0.0003406531559448922,0.00022209496819414198
flickr,C2,12345,113,14172932360,0.9951530612244897,1.0,0.0003301016167824855,0.00016481104830745608
flickr,C2,12345,114,14174434304,0.9579464285714285,0.6914335664335665,0.00028657913935603574,0.00019851444812957197
flickr,C2,12345,115,14203929291,0.972219387755102,0.7234848484848485,0.00029024933792243246,0.00024041818687692285
flickr,C2,12345,116,14414061986,0.9777168367346938,0.9545454545454546,0.0005079841430415399,0.0004139788215979934
flickr,C2,12345,117,14566072101,0.9788520408163264,0.7234848484848485,0.0003486311325104907,0.0002877754159271717
flickr,C2,12345,118,14648401332,0.9842219387755101,0.8097319347319347,0.0002814771141856909,0.00020856292394455522
flickr,C2,12345,119,14652810592,0.9867474489795918,0.8446969696969697,0.0002665683396116947,0.0001899764029076323
flickr,C2,12345,120,14678892718,0.9891326530612243,0.9318181818181819,0.0003039557886950206,0.00013429006503429264
flickr,C2,12345,121,14680986811,0.981517857142857,0.7907925407925408,0.00035814582952298224,0.0002810076402965933
flickr,C2,12345,122,14742398172,0.9798979591836734,0.7353896103896104,0.0003156809361826163,0.00017013537581078708
flickr,C2,12345,123,14778198185,0.993469387755102,0.9545454545454546,0.0007974327745614573,0.0007995245978236198
flickr,C2,12345,124,14899015793,0.9830994897959182,0.7803030303030303,0.00028252677111595403,0.00020539916295092553
flickr,C2,12345,125,15135657108,0.9813265306122447,0.7803030303030303,0.0003242319926357595,0.00022024755890015513
flickr,C2,12345,126,15210828119,0.9652168367346938,0.7453379953379953,0.0002681548194232164,0.00018016123794950545
flickr,C2,12345,127,15679023977,0.985484693877551,0.9128787878787878,0.00036609732887882274,0.0002597709244582802
flickr,C2,12345,128,15799251138,0.9726147959183673,0.7074592074592074,0.0002798565856210189,0.0002132417430402711
flickr,C2,12345,129,15994498891,0.9833545918367346,0.8863636363636365,0.0003768887690966949,0.0002818075008690357
flickr,C2,12345,130,16012165838,0.940548469387755,0.5906489343989344,0.0003620280203904258,0.00024198235769290477
flickr,C2,12345,131,16101081359,0.988329081632653,0.7907925407925408,0.0003125547882518731,0.0002285592199768871
flickr,C2,12345,132,16369370669,0.9877295918367346,0.7992424242424243,0.00024384192693105433,0.0001370521349599585
flickr,C2,12345,133,16419739420,0.9468877551020407,0.4578754578754578,0.00042034711441374384,0.0003964521165471524
flickr,C2,12345,134,16563757295,0.9781887755102039,0.7642773892773893,0.0003194099881511647,0.00021288493007887155
flickr,C2,12345,135,16659090834,0.9729974489795918,0.9545454545454546,0.00034473468440410215,0.00026583136059343815
flickr,C2,12345,136,16804898716,0.9913137755102039,0.821969696969697,0.0002628343045216752,0.00018985732458531857
flickr,C2,12345,137,16950760048,0.99125,0.7803030303030303,0.00029685392109968234,0.00023930806491989642
flickr,C2,12345,138,17140316339,0.9714668367346938,0.6346153846153846,0.000329124317431706,0.0002882912231143564
flickr,C2,12345,139,17537079145,0.9771556122448979,0.768065268065268,0.00030617660013376735,0.0002139051939593628
flickr,C2,12345,140,19306860381,0.9823469387755102,0.6754079254079255,0.0003471774762147106,0.00021293475583661348
flickr,C2,12345,141,20854461578,0.987844387755102,0.787004662004662,0.00027622879861155525,0.0002037805679719895
flickr,C2,12345,142,2401957951,0.975267857142857,0.8257575757575757,0.0003251657890359638,0.000217248045373708
flickr,C2,12345,143,2404965389,0.9586989795918366,0.6375291375291375,0.00028554753225762397,0.00017788242257665843
flickr,C2,12345,144,2432219254,0.9771556122448979,0.8939393939393939,0.0003228628647775622,0.00026225208421237767
flickr,C2,12345,145,2462141223,0.9883801020408163,0.9772727272727273,0.0003364748372405302,0.00031311321072280407
flickr,C2,12345,146,2465634368,0.9895918367346939,0.8636363636363638,0.0002448861414450221,0.00018247799016535282
