sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
145,2462141223,0.6679849895147345,0.6221085853541608,0.6322179507296407,0.14033363289148507,0.6326434434277186,0.6442596750256859,0.6592032293356472,0.6682003901792616,0.6601023210322386,-0.49188431783815567,0.0004254926980779006,0.008997160843614349,0.0008990916965914142,0.00021540066452707674,-0.007882668482495858,-0.4198308291986958,0.7400999519114538,0.3418998812300455,0.9999956847957481,0.9999987850790535,0.0007846901256559194
146,2465634368,0.8398622407855206,0.6706019056472229,0.8255579607374786,0.24014178112538767,0.8281480818299835,0.7924337079671452,0.8374961273475651,0.8394799642768254,0.8385142604466063,-0.5854161796120909,0.0025901210925048934,0.0019838369292602964,0.0010181330990411963,-0.0003822765086952673,-0.0013479803389143674,-0.5725994866672625,0.8090697655149248,0.3508948922816441,0.9999500470028044,0.9999952649812743,0.0019911237616229626
147,2499673064,0.4828966267378784,0.5087487328661466,0.4845046381150924,0.26229218475832206,0.4823853901124159,0.4882894569861391,0.4835844656397939,0.4816607552680993,0.4828427613324224,-0.22221245335677037,-0.0021192480026765437,-0.001923710371694587,-0.0007417043073715268,-0.001235871469779104,-5.38654054560439e-05,0.39263212891403326,0.946632402010289,0.2241262317293468,0.9999153866519125,0.9999844666106819,0.003459202471285793
148,2509250774,0.6275594056015887,0.5827574805753017,0.6301953193735703,0.13704815092662054,0.6450775333573747,0.6108192222742789,0.6251375137513752,0.6254011608057357,0.6292348686714884,-0.4931471684469498,0.014882213983804404,0.0002636470543605496,0.004097354920113205,-0.002158244795853026,0.0016754630698996298,-0.06657707637373199,0.892511138708584,0.2737918335745192,0.9986180572958788,0.9998075923991776,0.010787798438271344
149,2542659118,0.2932726638656858,0.30373005083893556,0.31213010633690996,0.0012985640297763753,0.3127206486869892,0.29671452745153887,0.2922734469299139,0.29339303846986164,0.29476417273292027,-0.3108315423071336,0.0005905423500792151,0.0011195915399477285,0.002490725803006355,0.00012037460417585466,0.0014915088672344812,-0.20181645656360256,0.8320386854164217,0.30119722147702127,0.999109676289789,0.9999222897088424,0.008337496907310131
150,2630218696,0.7600390048349743,0.6233029354260948,0.6807714882406738,0.24267816356043304,0.6873695554312685,0.7045748255363143,0.7325753562356521,0.762925257557502,0.737147201368431,-0.43809332468024076,0.0065980671905947474,0.030349901321849893,0.004571845132778973,0.002886252722527627,-0.022891803466543292,-0.5237651476647356,0.7262374465488213,0.39174330867866897,0.9998773411452266,0.9999745472121077,0.005478414017408496
151,2695985181,0.6148205863119669,0.6809359823399559,0.5928971046649334,0.5912726321126577,0.5974481614976633,0.6593834816757896,0.6047604004999382,0.6157663623057085,0.6074123115543234,-0.001624472552275713,0.004551056832729938,0.011005961805770292,0.0026519110543852253,0.0009457759937415711,-0.007408274757643496,0.8038602134024134,0.9813611585632271,0.14492814409020707,0.9997389365392709,0.9999779217292477,0.004148708987473555
152,2698329253,0.7451057964726001,0.7406443618339529,0.7402360919251538,0.06078213271668179,0.7414296134208607,0.7370352891825285,0.7442168796403859,0.7449255751014885,0.7456858322986089,-0.6794539592084721,0.0011935214957068396,0.0007086954611026375,0.0014689526582229995,-0.00018022137111162184,0.0005800358260087402,-0.2507935010724517,0.8259887157377985,0.3968695073014015,0.9996971443070571,0.9999788310062603,0.0033868033582602577
153,2766580444,0.22318102334068274,0.24523809523809523,0.21412159451475254,0.0,0.21260954588252337,0.2355088451201412,0.2174847193924801,0.22282526187945953,0.21877328961097034,-0.21412159451475254,-0.0015120486322291737,0.005340542486979433,0.0012885702184902426,-0.0003557614612232085,-0.004407733729712399,-0.6658945671908454,0.6812495409334595,0.4307480807013256,0.9996502365502377,0.9999382581475429,0.006280894284432806
154,2778088729,0.6092803105319444,0.536223949779189,0.6327299838462495,0.5474991003958258,0.6257667457266705,0.583569460078407,0.6186915511125444,0.610828935359708,0.6156822647259312,-0.08523088345042362,-0.006963238119578996,-0.007862615752836422,-0.0030092863866131303,0.0015486248277635228,0.006401954193986814,0.6363967076266533,0.9532113513840976,0.16082255582751617,0.9998950852554744,0.9999846853294502,0.0042457216922687216
155,2808068937,0.5392657460424385,0.6375271982593114,0.6092590609366155,0.31699230891118074,0.6118249973387673,0.5984505829877143,0.5731653435571455,0.5379633735069262,0.5691232834089976,-0.2922667520254348,0.0025659364021517472,-0.0352019700502193,-0.004042060148147897,-0.0013023725355122417,0.02985753736655916,0.09673981638735374,0.9287876749497572,0.22362323029621425,0.9997974127473046,0.9999842086886778,0.003317018238605289
156,2811549163,0.6044238928350097,0.5295437725308568,0.6024375119252051,0.4143378876316562,0.6044170959740508,0.6070041228760039,0.6080514030946761,0.6051032082757306,0.6082753194735838,-0.18809962429354893,0.001979584048845684,-0.002948194818945482,0.0002239163789077292,0.0006793154407208624,0.0038514266385740736,-0.2661787519956649,0.8777090261754472,0.3274054780493659,0.9999539934681209,0.999996863336326,0.0017487934188275918
157,2819123278,0.8551070008206553,0.88204823649741,0.8390255997024731,0.5664071412274698,0.8438562030368223,0.8610173807856369,0.8482100911397162,0.853867969119269,0.8503422721848898,-0.2726184584750033,0.004830603334349148,0.00565787797955275,0.0021321810451735423,-0.001239031701386284,-0.004764728635765492,0.5825919396099026,0.9596519723677841,0.16897237407220922,0.9998901728269958,0.9999806705718235,0.004419832107398636
158,2858344348,0.8845238095238095,0.7983543417366947,0.8851015406162465,0.2480221274491625,0.8835959383753501,0.8591736694677871,0.8878501400560224,0.8859768907563025,0.8880077030812324,-0.6370794131670839,-0.0015056022408963532,-0.0018732492997198813,0.00015756302521008347,0.001453081232492992,0.003483893557422957,-0.004111827804544731,0.8317108829143465,0.3212641149401239,0.9999441936437253,0.9999913256930157,0.0022684744755911436
159,2895192729,0.862202293443105,0.7873612568775245,0.8659939236111112,0.730753799087216,0.8663710524689451,0.8581151193310138,0.8688632817188813,0.8614259705174135,0.8680534784949453,-0.1352401245238951,0.00037712885783391936,-0.007437311201467733,-0.0008098032239359787,-0.0007763229256914084,0.005851185051840346,0.851859104707169,0.978937323436232,0.14656067352713886,0.9999760572882739,0.9999838624526196,0.004077270864021434
160,2897081671,0.8559175310132312,0.7056156795909672,0.787403937519796,0.47589959581954455,0.7959483117965819,0.8154691136824126,0.8394502144033391,0.8592306346707377,0.8456539795768798,-0.31150434170025143,0.008544374276785893,0.01978042026739857,0.0062037651735407096,0.0033131036575064776,-0.010263551436351381,-0.15582094152163833,0.8556127986028974,0.30610311576313737,0.9998265839546905,0.9999443761942745,0.00574170413740341
161,2897653916,0.3169573779715853,0.5084971392964369,0.39327166419408327,0.010067247622458319,0.3857148970770745,0.37081379083353905,0.33997208705820225,0.3152170111565768,0.3350059470710675,-0.38320441657162496,-0.007556767117008756,-0.024755075901625456,-0.004966139987134743,-0.0017403668150084983,0.018048569099482215,-0.14735346458209206,0.8454014024545569,0.2700167675137247,0.999893885838496,0.9999578040682776,0.006896039899978215
162,2907554899,0.689358446144791,0.682832830473317,0.6914357977564928,0.14883058932143406,0.6918345829428304,0.6867407598862755,0.6905790128382661,0.6897140167117807,0.6907908636352966,-0.5426052084350588,0.0003987851863376246,-0.0008649961264853845,0.00021185079703056608,0.00035557056698964917,0.0014324174905055997,-0.6405700840660002,0.7141245293145904,0.5178592669683109,0.9999487236559186,0.9999973684339577,0.0024084942215656423
