sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
43,-OVb-UG8yJw_000030,0.5486103146385288,0.5487529311447452,0.5570328031809145,0.5670115495668913,0.5658800588960962,0.5652639087018545,-0.001131490670795099,0.017269744257567332,-0.0006161501942416603,0.0,0.0,0.0,0.0,0.0
44,-PvlrLjIAYo_000009,0.15085166540238604,0.12855199516324062,0.13826739955097933,0.1407571270560531,0.14577164728822128,0.14591593973037273,0.005014520232168196,-0.005080018114164753,0.00014429244215144466,0.0,0.0,0.0,0.0,0.0
45,-Q3MX7Tgx_E_000111,0.5872720170667949,0.6047888319491076,0.6076417180770574,0.5984623604844455,0.5970630902685259,0.5965562207338035,-0.001399270215919568,0.009791073201731004,-0.0005068695347223429,0.0,0.0,0.0,0.0,0.0
46,-RBs9pPhHY8_000030,0.44733067729083664,0.4428407868715956,0.4450872784977519,0.45374227358237035,0.44932399728953565,0.4492982739151476,-0.0044182762928347,0.0019933199986990058,-2.572337438805361e-05,0.0,0.0,0.0,0.0,0.0
47,-S-TDT5oq0Q_000290,0.5952778440257572,0.6357016769638129,0.5909490631130352,0.6169874062544219,0.5938817131203263,0.5937606198599877,-0.023105693134095606,-0.0013961309054308924,-0.00012109326033860057,0.0,0.0,0.0,0.0,0.0
48,-SWaCArvQug_000021,0.7674943081747497,0.7279376235449154,0.7446654148173438,0.7533087437622044,0.7596874330978377,0.7585764119245832,0.006378689335633347,-0.007806875076912023,-0.0011110211732544562,0.0,0.0,0.0,0.0,0.0
49,-Vo4CAMX26U_000030,0.4771931341605776,0.5092434712375482,0.5754235894061523,0.49510746112178927,0.5295474939110371,0.5371301901270356,0.03444003278924779,0.052354359750459434,0.007582696215998497,0.0,0.0,0.0,0.0,0.0
50,-W3WpZvJX2o_000027,0.0535059331175836,0.05401643978602183,0.0580750917180548,0.05823134622976708,0.05425113023187983,0.05442774059036541,-0.003980215997887247,0.0007451971142962283,0.00017661035848558215,0.0,0.0,0.0,0.0,0.0
51,-Wd5YV97ftU_000320,0.39399456765065816,0.4858690445484358,0.43910714879744517,0.4368691047492967,0.414325622273141,0.41327489041953663,-0.022543482476155674,0.020331054622482858,-0.0010507318536043808,0.0,0.0,0.0,0.0,0.0
52,-XwtCzUaN1I_000160,0.815177989307602,0.7177020264853059,0.709287161130997,0.7904638339279922,0.800739301710647,0.7987511488349462,0.010275467782654757,-0.014438687596954991,-0.001988152875700755,0.0,0.0,0.0,0.0,0.0
53,-Y-UegG9tLw_000282,0.09668535784199873,0.11235781762097552,0.10009618026930475,0.10353526381240007,0.09749732334047109,0.0979726322159836,-0.006037940471928974,0.0008119654984723584,0.00047530887551250345,0.0,0.0,0.0,0.0,0.0
54,-YwPSwhe2jo_000030,0.16845446865159622,0.16521380448233192,0.1649160210077479,0.16674115945839357,0.16701386209911787,0.16699663178463992,0.00027270264072429273,-0.0014406065524783518,-1.7230314477950648e-05,0.0,0.0,0.0,0.0,0.0
55,-Z1ZSWDouUU_000030,0.08470900108446801,0.10468579370594659,0.09660131916452913,0.09117634343521681,0.08907754688291941,0.08857994875887269,-0.0020987965522974023,0.004368545798451404,-0.0004975981240467192,0.0,0.0,0.0,0.0,0.0
56,-ZJqu_4zLMc_000030,0.33818032538945186,0.32447107688313936,0.3462967764238182,0.33225959875475614,0.34101073828403516,0.3409675258734309,0.008751139529279028,0.0028304128945833007,-4.321241060428749e-05,0.0,0.0,0.0,0.0,0.0
57,-ZSgg6jFUd8_000688,0.19438637243515292,0.20642277089656305,0.2168319370832621,0.19751777227917205,0.2004879219324908,0.20137382501807666,0.0029701496533187377,0.006101549497337877,0.0008859030855858652,0.0,0.0,0.0,0.0,0.0
58,-_QPd-VskKY_000030,0.4149914171275987,0.4746793971730787,0.4689648932319942,0.4390113505510775,0.43462868769074264,0.43371196754563895,-0.0043826628603348405,0.01963727056314396,-0.0009167201451036888,0.0,0.0,0.0,0.0,0.0
59,-_umX4zgLVY_000028,0.7346796657381616,0.7391139240506329,0.7354922361721641,0.7392611819822101,0.7352885345482156,0.7355881794595963,-0.003972647433994503,0.000608868810054064,0.00029964491138068095,0.0,0.0,0.0,0.0,0.0
