scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,flickr,14203929291,115,positive_excess,0.08811336430533419,0.007112888573838565,0.43738773957694993,0.0035521730283809495,-0.09270263750146857,False,False,False
144k,flickr,14203929291,115,aud_minus_iqr,0.08938502492454814,0.007124912739740835,0.4544196268199396,0.0037633500455269524,-0.09270263750146857,False,False,False
144k,flickr,14203929291,115,aud_times_one_minus_query,0.11224524398928415,0.006344754035153935,0.6651371577094798,0.005775914075800327,-0.09270263750146857,False,False,False
144k,flickr,14203929291,115,aud_query_ratio,0.09288209162738649,0.006258556298719732,0.41511678102764893,0.003550320937167171,-0.09270263750146857,False,False,False
144k,flickr,14414061986,116,positive_excess,0.8357167232546285,0.6380098162558987,0.013684783453852736,0.9729229772197581,-0.02819794947186227,False,False,False
144k,flickr,14414061986,116,aud_minus_iqr,0.8344335048250957,0.6424326993359057,0.016250680351450122,0.9735595009434372,-0.02819794947186227,False,False,False
144k,flickr,14414061986,116,aud_times_one_minus_query,0.8238182673284434,0.650556287354917,0.04548635409377187,0.9802569376892054,-0.02819794947186227,False,False,False
144k,flickr,14414061986,116,aud_query_ratio,0.8337405992708361,0.6552443631049564,0.12254101547313584,0.9869669596029401,-0.02819794947186227,False,False,False
144k,flickr,14566072101,117,positive_excess,0.4941300121349134,0.5066497937068735,0.6001238582452079,0.8051290762881197,0.06372055874222937,False,False,False
144k,flickr,14566072101,117,aud_minus_iqr,0.48612699480509763,0.5029152736544278,0.5909106895031152,0.8033486676423677,0.06372055874222937,False,False,False
144k,flickr,14566072101,117,aud_times_one_minus_query,0.5307147547885619,0.5315390404561435,0.626982881681334,0.8301191059841924,0.06372055874222937,False,False,False
144k,flickr,14566072101,117,aud_query_ratio,0.5008733934206041,0.5208674431326616,0.6255684538865879,0.8229563845832404,0.06372055874222937,False,False,False
144k,flickr,14648401332,118,positive_excess,0.9116610018020961,0.21242813228241142,0.04662191909907545,0.24661321978115613,-0.2007402109148222,False,False,True
144k,flickr,14648401332,118,aud_minus_iqr,0.8916712314474269,0.20569380452734176,0.06164505240717711,0.24945501679443918,-0.2007402109148222,False,False,True
144k,flickr,14648401332,118,aud_times_one_minus_query,0.9188795929916723,0.21921251944686077,0.5867479743872955,0.4202734389597232,-0.2007402109148222,False,False,True
144k,flickr,14648401332,118,aud_query_ratio,0.9145042081041019,0.21573515566945314,0.06872021441757357,0.24996495395256071,-0.2007402109148222,False,False,True
144k,flickr,14652810592,119,positive_excess,,,,,-0.0016983475868190823,False,False,False
144k,flickr,14652810592,119,aud_minus_iqr,,,,,-0.0016983475868190823,False,False,False
144k,flickr,14652810592,119,aud_times_one_minus_query,,,,,-0.0016983475868190823,False,False,False
144k,flickr,14652810592,119,aud_query_ratio,,,,,-0.0016983475868190823,False,False,False
144k,flickr,14678892718,120,positive_excess,0.29482739965709276,0.8120321597322611,0.6906898229343669,0.7565248506972044,0.17156764962437543,False,True,False
144k,flickr,14678892718,120,aud_minus_iqr,0.2986596747375021,0.813964126227761,0.6885507158601584,0.754514267877362,0.17156764962437543,False,True,False
144k,flickr,14678892718,120,aud_times_one_minus_query,0.329620739784453,0.823325619646006,0.7214118348380727,0.7717518194790354,0.17156764962437543,False,True,False
144k,flickr,14678892718,120,aud_query_ratio,0.31434296457549965,0.8211491587876091,0.7031707080236846,0.7648648461799323,0.17156764962437543,False,True,False
144k,flickr,14680986811,121,positive_excess,0.4773055227600682,0.47249223310508376,0.25961397610834014,0.14956262548272636,-0.01895322912624786,False,False,False
