scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,vggss,EfzPbZ8MKAo_000017,1499,aud_query_ratio,0.1407127702509588,0.7020988162264503,0.3688111699788955,0.5524195172135039,0.12371227598626278,True,True,False
144k,vggss,EhlXJGEcuBU_000010,1500,positive_excess,0.4580950713751452,0.2659525653565079,0.8615130969468733,0.7828851870166249,-0.10645482113524163,False,False,True
144k,vggss,EhlXJGEcuBU_000010,1500,aud_minus_iqr,0.45859132888796944,0.26740411499491235,0.8598983016606134,0.7812991782705271,-0.10645482113524163,False,False,True
144k,vggss,EhlXJGEcuBU_000010,1500,aud_times_one_minus_query,0.46708308798956033,0.2665551101477014,0.8854999363792424,0.7937551521640359,-0.10645482113524163,False,False,True
144k,vggss,EhlXJGEcuBU_000010,1500,aud_query_ratio,0.4679886584867726,0.28381612431814257,0.8622462703725944,0.7801222148418533,-0.10645482113524163,False,False,True
144k,vggss,EqfXm8FwFe0_000009,1508,positive_excess,0.37782040039735576,0.8232263194842542,0.29033001111367135,0.5286854926428777,0.1637572081120554,True,True,False
144k,vggss,EqfXm8FwFe0_000009,1508,aud_minus_iqr,0.3730111451588722,0.8238029392726891,0.30131168055769497,0.5381817956741657,0.1637572081120554,True,True,False
144k,vggss,EqfXm8FwFe0_000009,1508,aud_times_one_minus_query,0.3934151558197403,0.8201970281209333,0.6970155400442255,0.7624182380752258,0.1637572081120554,True,True,False
144k,vggss,EqfXm8FwFe0_000009,1508,aud_query_ratio,0.38537911121321844,0.8201176280177075,0.3154993832103361,0.5410059487460847,0.1637572081120554,True,True,False
144k,vggss,EzCuOP46kpM_000210,1516,positive_excess,0.4024189587047582,0.35227726149259353,0.666759462040933,0.5807424081901926,-0.13887571584093694,False,False,True
144k,vggss,EzCuOP46kpM_000210,1516,aud_minus_iqr,0.4140378722216396,0.343432848719212,0.7481607754962266,0.6362437059101512,-0.13887571584093694,False,False,True
144k,vggss,EzCuOP46kpM_000210,1516,aud_times_one_minus_query,0.5566962302823548,0.3786733345094514,0.9327475766336617,0.8430121669133032,-0.13887571584093694,False,False,True
144k,vggss,EzCuOP46kpM_000210,1516,aud_query_ratio,0.40465420671371555,0.34023637076506014,0.7074940784320989,0.6190541641382485,-0.13887571584093694,False,False,True
144k,vggss,F-c6oa091zo_000150,1518,positive_excess,0.4092877494737896,0.9536664165644986,0.5714752439042703,0.7266503044722166,0.19864748041515912,True,True,False
144k,vggss,F-c6oa091zo_000150,1518,aud_minus_iqr,0.40589377406582694,0.9539871063679342,0.587078630404994,0.7318506872266808,0.19864748041515912,True,True,False
144k,vggss,F-c6oa091zo_000150,1518,aud_times_one_minus_query,0.42226887555314674,0.9608657731787204,0.9160142666259196,0.927706560837772,0.19864748041515912,True,True,False
144k,vggss,F-c6oa091zo_000150,1518,aud_query_ratio,0.4946628008976594,0.9588846732080608,0.6450361387008575,0.7729230096314162,0.19864748041515912,True,True,False
144k,vggss,F6IUxAJutsk_000030,1526,positive_excess,0.6650311379505567,0.9999335065976201,0.5780544082972573,0.5303765234771988,0.13781379203848265,True,True,False
144k,vggss,F6IUxAJutsk_000030,1526,aud_minus_iqr,0.6622004151726741,0.9999322127080666,0.5816713019746647,0.5327433093009554,0.13781379203848265,True,True,False
144k,vggss,F6IUxAJutsk_000030,1526,aud_times_one_minus_query,0.49424419701830535,0.9998670624623729,0.8297457112970461,0.7450438463518724,0.13781379203848265,True,True,False
144k,vggss,F6IUxAJutsk_000030,1526,aud_query_ratio,0.6612568409133799,0.9999219724994851,0.5993079063222542,0.5699369816720877,0.13781379203848265,True,True,False
144k,vggss,FD1LeLl1xBA_000060,1529,positive_excess,,,0.47786212114507887,0.3813719969329973,0.11384371910713331,True,True,False
144k,vggss,FD1LeLl1xBA_000060,1529,aud_minus_iqr,,,0.4813007777402747,0.38352260238114105,0.11384371910713331,True,True,False
144k,vggss,FD1LeLl1xBA_000060,1529,aud_times_one_minus_query,,,0.8071674344846703,0.590779434538647,0.11384371910713331,True,True,False
144k,vggss,FD1LeLl1xBA_000060,1529,aud_query_ratio,,,0.3676778759074947,0.30996134704319883,0.11384371910713331,True,True,False
144k,vggss,FF2bhR7s3VY_000030,1530,positive_excess,0.3185374192793118,0.9366403763347656,0.5560452849869579,0.6302295527294682,0.11165004108626772,True,True,False
144k,vggss,FF2bhR7s3VY_000030,1530,aud_minus_iqr,0.32546846328749324,0.938073657871798,0.5864908210980593,0.6365931821307174,0.11165004108626772,True,True,False
144k,vggss,FF2bhR7s3VY_000030,1530,aud_times_one_minus_query,0.3203545756996917,0.930763929968402,0.7893778023784835,0.8069276667354739,0.11165004108626772,True,True,False
144k,vggss,FF2bhR7s3VY_000030,1530,aud_query_ratio,0.30862111379713286,0.9290735930282779,0.5051327737809304,0.6311341730911333,0.11165004108626772,True,True,False
144k,vggss,FFSWmryaZ60_000030,1531,positive_excess,0.5687948193979301,0.950963600458655,0.35180343805040765,0.4976914701353994,0.12487086389106572,True,True,False
144k,vggss,FFSWmryaZ60_000030,1531,aud_minus_iqr,0.594069622355511,0.9537832234609877,0.35690204644826357,0.5035507695286183,0.12487086389106572,True,True,False
144k,vggss,FFSWmryaZ60_000030,1531,aud_times_one_minus_query,0.7133487435326568,0.964432472448115,0.6382029121744907,0.7247726652690679,0.12487086389106572,True,True,False
144k,vggss,FFSWmryaZ60_000030,1531,aud_query_ratio,0.5757231020542026,0.9476739412840544,0.3834931759237187,0.5276127608547831,0.12487086389106572,True,True,False
144k,vggss,FH0MZoQHSro_000030,1533,positive_excess,0.9323440319670019,0.5973180080947171,0.9011960261960261,0.10718838386433432,-0.13396022565689353,False,False,True
144k,vggss,FH0MZoQHSro_000030,1533,aud_minus_iqr,0.9325803471685141,0.5976896215373192,0.9018273393273393,0.10892627324565131,-0.13396022565689353,False,False,True
144k,vggss,FH0MZoQHSro_000030,1533,aud_times_one_minus_query,0.9495681876772365,0.6087463293048079,0.9310758685758685,0.19054308272385378,-0.13396022565689353,False,False,True
144k,vggss,FH0MZoQHSro_000030,1533,aud_query_ratio,0.9424465068316576,0.6060511966113173,0.9196636696636696,0.24054796295652894,-0.13396022565689353,False,False,True
144k,vggss,FJ6cTKn5MUw_000010,1538,positive_excess,3.933136676499508e-05,0.9938417676923325,0.40271460762372885,0.29830481088034,0.132986872442663,True,True,False
