sample_id,IoU_ORIGINAL_AUD,IoU_T2_CHUNK1,IoU_T2_CHUNK2,IoU_T2_RAW_MEAN,IoU_T2_RAW_GEO,IoU_T2_NORM_MEAN,IoU_T2_NORM_GEO,IoU_T4_CHUNK1,IoU_T4_CHUNK2,IoU_T4_CHUNK3,IoU_T4_CHUNK4,IoU_T4_RAW_MEAN,IoU_T4_RAW_GEO,IoU_T4_NORM_MEAN,IoU_T4_NORM_GEO,IoU_OGL_REFERENCE,original_pred_area,gt_area,is_over_expansion,T2_map_pearson,T2_map_spearman,T2_map_js_divergence,T4_map_pearson,T4_map_spearman,T4_map_js_divergence,delta_T2_RAW_MEAN,delta_T2_RAW_GEO,delta_T4_RAW_MEAN,delta_T4_RAW_GEO,delta_OGL
cocA3THl4S0_000040,0.4024566756640457,0.4023388610763454,0.3993249077635607,0.4006734006734007,0.4006734006734007,0.40069686411149824,0.40069686411149824,0.4025912838633687,0.4018863494051346,0.39763532092073217,0.4006479908333004,0.4003850990254637,0.4003850990254637,0.40039292730844794,0.40040866045817125,0.4358239691990867,17239,18612,False,0.9992281544273427,0.9985958928671039,2.1044812211465955e-06,0.9992530097041982,0.9988506296700641,1.3515538987070567e-06,-0.0017832749906450118,-0.0017832749906450118,-0.0020715766385819845,-0.0020715766385819845,0.03336729353504103
cocA3THl4S0_000057,0.47979178128570826,0.4886941056910569,0.47639956092206365,0.4824116353796719,0.4824116353796719,0.48232707593438184,0.48228479621173687,0.48846995455310555,0.49048751486325803,0.4781913102054564,0.47703090694139505,0.4835591574859651,0.4835591574859651,0.48364357772993966,0.4835373575348248,0.45799680584074837,14529,20437,False,0.9987519509671318,0.998513017077194,7.856061053076671e-07,0.9984951045483977,0.9979679493820175,1.644715230282372e-06,0.002619854093963647,0.002619854093963647,0.0037673762002568556,0.0037673762002568556,-0.021794975444959896
corrUpd5ENc_000230,0.36288420500917223,0.36117051209904333,0.36574735101826106,0.36342479636650277,0.36342479636650277,0.36342479636650277,0.36342479636650277,0.36194043828432293,0.35920978363123235,0.36866272723851107,0.36457940399849115,0.36356799037304455,0.36356799037304455,0.3636568763867474,0.36363294471605867,0.32589069804933096,23534,12870,True,0.9996125365478408,0.9993114934376718,4.905817381964638e-07,0.9992738136484691,0.9990100061891215,1.7161682890479726e-06,0.0005405913573305332,0.0005405913573305332,0.0006837853638723135,0.0006837853638723135,-0.03699350695984127
cpxofMBzU8g_000181,0.40418188616296125,0.4037516876849272,0.40184830190838605,0.4026018683019084,0.40261898621737013,0.4026651382719587,0.40272284322155344,0.4080324778889372,0.3959040506902014,0.3656970649895178,0.4117802120555328,0.3948057801188699,0.3947390655363731,0.39576510446075663,0.39631336405529954,0.47828720705713096,34718,14104,True,0.9899723969120189,0.9867813115093753,2.595274526553601e-06,0.9848971989592337,0.98132452512438,3.8265440147884355e-06,-0.0015800178610528293,-0.001562899945591112,-0.009376106044091337,-0.009442820626588133,0.07410532089416971
cq5rnI5NauM_000252,0.486950248628037,0.49915569064505233,0.4764436909165639,0.48852027654524816,0.4885448916408669,0.48868649861967545,0.4885029291078479,0.49674020758358106,0.500246529129363,0.4760439448654697,0.47626240266673614,0.48810845706907685,0.4880826339573919,0.48820748624422,0.487984496124031,0.5193388877599404,36097,21616,True,0.983414100502546,0.9806277841085673,4.4705212345523014e-06,0.9877325099668153,0.9858980999662652,3.385966946673263e-06,0.0015700279172111697,0.0015946430128299105,0.0011582084410398652,0.0011323853293548902,0.03238863913190343
cqalBFm19UA_000221,0.7275856793145655,0.7256046280486251,0.7283096866387669,0.726901792772805,0.7269342581731014,0.7268832559800071,0.7268577548834599,0.7175755718954249,0.7299684381999593,0.7280871917913114,0.7275533108866442,0.7258072743967761,0.7258537580657503,0.725737750911827,0.7256612339633228,0.801555573685785,34583,33166,True,0.9991189681128889,0.9990517097116082,4.145932615783044e-06,0.9991764174373324,0.9990517097116083,3.079773226174007e-06,-0.0006838865417605478,-0.0006514211414641036,-0.0017784049177894667,-0.0017319212488152713,0.07396989437121948
crToMuDxmL8_000050,0.32854010649505966,0.3192695572901829,0.33335230344592093,0.32669799231097824,0.3266695144525132,0.3267264701694433,0.3266317348217337,0.32454199988656346,0.31377980865343424,0.3280114041339986,0.3345184595255703,0.3262764987462959,0.32630499202188284,0.3262764987462959,0.32634338138925295,0.6082415549674152,14982,31675,False,0.9987457123697445,0.9981512323789337,1.40629849059687e-06,0.9984345443927478,0.9977341971540667,3.0224432091973354e-06,-0.0018421141840814226,-0.0018705920425464706,-0.002263607748763774,-0.0022351144731768136,0.2797014484723555
cur9zG87bAQ_000004,0.43593386721777316,0.43204084889101646,0.43826674539132715,0.4349948280320662,0.4348444214675757,0.4349174554970439,0.43501583403347766,0.42942409041843926,0.43395803299695657,0.42625052071650593,0.45150851171414125,0.43517769944701357,0.43505527898105645,0.43498917294205103,0.43520015520920907,0.3918237615081105,29816,14652,True,0.9974949104299701,0.9962817458103898,4.7364741402501094e-06,0.9968453328144568,0.9955494107053208,4.074107689805899e-06,-0.0009390391857069802,-0.001089445750197482,-0.0007561677707595971,-0.0008785882367167153,-0.04411010570966267
cwq3iq632ys_000030,0.6634305230535703,0.6597616164191472,0.6636466948671002,0.661573019488737,0.661573019488737,0.66161632136644,0.6616260677000949,0.662930623908557,0.6605977655409492,0.6667619682963245,0.6509496935493658,0.6605306071249373,0.6604891815616181,0.6604826073331244,0.6606358961495046,0.6542143190047682,29273,23328,True,0.9970103218238578,0.9956123644303485,7.096536734278063e-06,0.995402632892057,0.9945796045868563,1.0784006425814544e-05,-0.0018575035648332738,-0.0018575035648332738,-0.0028999159286330345,-0.002941341491952243,-0.009216204048802079
cxkCPSXyT-Y_000020,0.6468276494476224,0.6477307540811414,0.6469587224016057,0.6476989642061098,0.6476706581592518,0.6476989642061098,0.6476989642061098,0.6545969633925014,0.6292286874154263,0.6577980829526113,0.6384625251186455,0.6448890822096564,0.6447488584474886,0.6452511534778446,0.644733408715317,0.7245649621009929,22324,15390,True,0.9995458453596014,0.9993385874459116,8.091447068659275e-07,0.9985834484201811,0.9988498327874687,4.329908054940809e-06,0.0008713147584874514,0.000843008711629456,-0.001938567237966038,-0.0020787910001337506,0.07773731265337047
cyHNChAtP5g_000010,0.3639923850965461,0.3634901597339585,0.3670771509283892,0.3652021762309648,0.3651722252597048,0.36527208094066177,0.3653120385057157,0.36824024822695034,0.3592967530019924,0.3680649901572074,0.3695298047985864,0.3668161928612709,0.36679600429290843,0.36685380889476,0.36689419795221845,0.4017457546421203,36641,13513,True,0.9971996004709277,0.9891783343559993,3.3919940518475314e-06,0.9975512907824142,0.9924739751425756,2.945255984029595e-06,0.001209791134418714,0.0011798401631586963,0.002823807764724795,0.0028036191963623502,0.037753369545574234
cyZ9arOPVb8_000030,0.15092117439219316,0.15026997092620795,0.15138447571493419,0.1510037905376948,0.15099531122778448,0.15096828515296098,0.15099795076214806,0.1540397753989987,0.14723413737396246,0.14552520155443419,0.15620951844550832,0.15029732547980723,0.15028038436610588,0.15031262321861094,0.15020007890435666,0.1765672314928162,34943,6100,True,0.9986428024026847,0.99747547593813,1.87859287102354e-06,0.990851638247884,0.9861910871337991,5.513412947443779e-06,8.261614550164609e-05,7.413683559132078e-05,-0.000623848912385927,-0.0006407900260872734,0.025646057100623038
d-1th_S4J0U_000000,0.2633772729641015,0.26628236245954695,0.259290451626487,0.2623846590030414,0.26237113402061857,0.26234583827854896,0.26221809361614284,0.26579531691562375,0.2684413737045316,0.25628458498023715,0.26206283653092166,0.2625752973279102,0.2625752973279102,0.262404039363182,0.2623685837971552,0.24321166258624527,18506,5742,True,0.9982972580192933,0.9979551992604929,3.4444973139192557e-06,0.9986608200030364,0.9983193746065392,3.655791229743444e-06,-0.000992613961060096,-0.0010061389434829482,-0.0008019756361913322,-0.0008019756361913322,-0.020165610377856247
d-4OPdDD7WQ_000026,0.5197502515544776,0.520847982915332,0.513827461745717,0.5187989287185826,0.5187989287185826,0.5187025357188827,0.5187569195911326,0.5229474229474229,0.523321116882432,0.5100825278247483,0.5290694626474443,0.5166585571973674,0.516605638491281,0.5165395053510164,0.5165552738726281,0.6215848355077516,38688,20216,True,0.9967460346424332,0.995003546127549,1.2913098151525756e-06,0.9874214790797476,0.9838177051375022,3.716134410736431e-06,-0.0009513228358950521,-0.0009513228358950521,-0.0030916943571102085,-0.0031446130631965774,0.10183458395327394
d-m8eXCpeDg_000030,0.6748336762230476,0.6748206830103843,0.674048866083535,0.6744378350982955,0.6744378350982955,0.6744378350982955,0.674473817590098,0.6748482732692411,0.6735364238410596,0.671557591969701,0.6756980186138297,0.6741851299531316,0.6741851299531316,0.6742291100814827,0.6742383894333192,0.6820807603653851,35506,27178,True,0.9995220300403752,0.998846114002024,2.977331692717274e-07,0.9992829882350264,0.998528689101568,4.2237379130058375e-07,-0.0003958411247521054,-0.0003958411247521054,-0.0006485462699159505,-0.0006485462699159505,0.007247084142337545
d0Uz_RnRV88_000460,0.6118826316748679,0.6204673066473465,0.6045890360828515,0.6129749025607402,0.6130841802353113,0.6128374194018433,0.6128820722066378,0.6152757106036955,0.6281561102294041,0.6210981503688361,0.599333870141278,0.6163880813953488,0.6164244186046511,0.6163323157435674,0.6163044268372465,0.5866803730082972,18266,25956,False,0.9992631401150331,0.9990150531122249,2.325097848861164e-06,0.9992142482070682,0.99911227278885,4.605941635070374e-06,0.0010922708858722707,0.0012015485604434106,0.004505449720480947,0.0045417869297832425,-0.025202258666570665
d16xAFjwcVw_000020,0.1064314171883893,0.10330064908161857,0.10763106144179577,0.10585904330597226,0.10585904330597226,0.10582908885116016,0.10584905660377358,0.10752791221428913,0.09902912621359224,0.10270492928738158,0.10349121431536226,0.1052532833020638,0.1052532833020638,0.10528785248439919,0.10359632519274271,0.11903246339910885,21084,2244,True,0.9993233432627927,0.9991393667970898,2.504559571240935e-07,0.9952933463626445,0.9945979328865479,1.908180842589707e-06,-0.0005723738824170432,-0.0005723738824170432,-0.0011781338863255109,-0.0011781338863255109,0.012601046210719544
d1QQRXy2pTM_000006,0.3673899088458082,0.35250213802575997,0.38077077478924126,0.36754347770406987,0.367559676262678,0.36802231834352844,0.3677283900040967,0.34256907565612255,0.3602885444708711,0.3773877387738774,0.3741014555780103,0.3648419429452583,0.36494474428167567,0.3652636174529392,0.3648509763617677,0.4145465852555405,32973,20280,True,0.9947404431093771,0.9945110726836616,5.145316735518529e-06,0.9925572201523316,0.9910143518555411,5.5769258344710175e-06,0.00015356885826167677,0.0001697674168698038,-0.002547965900549898,-0.002445164564132518,0.04715667640973231
