task,positive_class,signal,direction,AUROC_raw,AUROC_directed,AUPRC_directed,effect_size_cohen_d,positive_mean,positive_std,negative_mean,negative_std,Pearson_expand_gain,Spearman_expand_gain,Pearson_shrink_gain,Spearman_shrink_gain,EXPAND_mean,SHRINK_mean,KEEP_mean,num_samples
SHRINK_vs_OTHERS,SHRINK,IMG_L3_L4_Spearman,higher,0.5467057793101531,0.5467057793101531,0.4110165079628393,0.1520078934904972,-0.09608552574202789,0.26626722660041363,-0.1387470680816334,0.2894779271152577,-0.12775794110896876,-0.15734939792512345,0.03262833226165065,0.10116463566625661,-0.20452208775162276,-0.09608552574202789,-0.10187912550867306,5158
SHRINK_vs_OTHERS,SHRINK,IMG_L3_L4_mask_IoU,higher,0.5206054676391746,0.5206054676391746,0.4006545525415971,0.06041197116842817,0.21437800849318178,0.11245059459730283,0.20748985758949212,0.1150117037583044,-0.09874823922663045,-0.09180928171500988,-0.02672283302533932,0.04919017621483487,0.19123487897714023,0.21437800849318178,0.21660103111724885,5158
SHRINK_vs_OTHERS,SHRINK,IMG_L3_L4_area_ratio,higher,0.5246707927893541,0.5246707927893541,0.40470472850255595,0.0675736370158027,0.9196895648357931,0.44788297256640597,0.8891591926938733,0.4543015013840104,0.1008574719375491,-0.00855622102270257,0.10877625264366947,0.026220030505955172,0.8954205719013113,0.9196895648357931,0.8856495902611325,5158
SHRINK_vs_OTHERS,SHRINK,IMG_L3_L4_disagreement,lower,0.4568285613717567,0.5431714386282432,0.40988976354280576,-0.1536778114334872,0.3193219860878664,0.05104518191192049,0.32767239777585616,0.056341370896154715,0.091709613162123,0.10830314717221337,-0.05734228542676164,-0.08131232263055439,0.334969711198216,0.3193219860878664,0.3235821377722517,5158
SHRINK_vs_OTHERS,SHRINK,L3_L4_target_ownership_Pearson,higher,0.5520627032465095,0.5520627032465095,0.41271951618750236,0.17126622269295538,-0.08705409551632616,0.26451867295572634,-0.1349162162106642,0.28860932160232683,-0.15401841116548162,-0.16311975503214488,0.030742604118039283,0.11229654553017734,-0.20199776603371988,-0.08705409551632616,-0.09731594274833641,5158
SHRINK_vs_OTHERS,SHRINK,AUD_only_IMG_response,lower,0.4150366174261392,0.5849633825738607,0.475032196732699,-0.2683842921235786,0.5384754597185609,0.031031401150179518,0.5468940381817091,0.03160657022373419,0.02555105222249104,-0.0020324134064419784,-0.3094050505470719,-0.15365923301966664,0.5444750214664126,0.5384754597185609,0.5483410045521678,4781
SHRINK_vs_OTHERS,SHRINK,AUD_only_PROP_F34_similarity,lower,0.44451330371994774,0.5554866962800522,0.4623620741491923,-0.19136704049298256,0.6936275591373324,0.09961629105898696,0.712519831532591,0.09807680583311272,0.11044321079646692,-0.015109897310778752,-0.16983947294468144,-0.1304258126626093,0.7078583916352487,0.6936275591373324,0.7153081325504044,4781
SHRINK_vs_OTHERS,SHRINK,AUD_only_PROP_K34_similarity,lower,0.4493643302597575,0.5506356697402426,0.4558295212888648,-0.16401701271085312,0.7490755876094386,0.08439244384789817,0.7629471279964407,0.08470361445947558,0.10370242256563802,-0.017347499406556395,-0.15204863243704644,-0.1242824418506132,0.7590023877810608,0.7490755876094386,0.7653067257601754,4781
SHRINK_vs_OTHERS,SHRINK,AUD_only_HR14_target_ownership,lower,0.47274719550590255,0.5272528044940975,0.4398356189795303,-0.08998114643796495,0.07910265374702995,0.044053959650393444,0.08317375372347272,0.04607845698109558,-0.000453359431137715,0.025172491846109788,-0.08693567198902258,-0.058576818720566304,0.08267553979995698,0.07910265374702995,0.08347176687404873,4781
SHRINK_vs_OTHERS,SHRINK,COMMON_IMG_response,lower,0.45345481149972383,0.5465451885002761,0.4059796452716119,-0.15304794324322132,0.8039452014398385,0.026325614347752303,0.8083503719014267,0.030249779213789157,0.0049175864797324515,-0.025628868853175734,-0.11488943838222362,-0.03807889331017223,0.8051288873748442,0.8039452014398385,0.8101560651132512,5158
SHRINK_vs_OTHERS,SHRINK,COMMON_PROP_F34_similarity,higher,0.5022719689491784,0.5022719689491784,0.3816663878063431,0.021894741029133902,0.8736190224736633,0.04812471346702692,0.8725166533376787,0.05172048747814743,0.08694445949968976,-0.0394436606069831,0.02684159629522675,0.0027290269320262212,0.8704796371734248,0.8736190224736633,0.873658433231333,5158
SHRINK_vs_OTHERS,SHRINK,COMMON_PROP_K34_similarity,higher,0.5087080820859964,0.5087080820859964,0.38609201153540873,0.04561733425424144,0.8999919271018822,0.03920887280351051,0.8981118128887802,0.04244796013491447,0.07879593099748008,-0.047549514284601836,0.036443907806474246,0.012669073215141465,0.8961000226767717,0.8999919271018822,0.8992394532357889,5158
SHRINK_vs_OTHERS,SHRINK,COMMON_HR14_target_ownership,lower,0.47662436063845787,0.5233756393615421,0.39696736802082644,-0.09705428501817018,0.18599063279866343,0.09712304689270122,0.19586824150004076,0.10463974792032255,0.05216397660305027,0.024916035545424223,-0.07587043513180303,-0.034773089500023766,0.19762452368055825,0.18599063279866343,0.19488381746036576,5158
SHRINK_vs_OTHERS,SHRINK,REGION_DELTA_IMG_response,higher,0.5603598465226576,0.5603598465226576,0.47848603279393687,0.22610027893135948,0.2652490817282757,0.037430539494050646,0.25722152705507717,0.03405593095926722,-0.027551854261626926,-0.028457483008658177,0.21720961897903646,0.12538000235323443,0.25789272536357394,0.2652490817282757,0.2568200410404654,4781
SHRINK_vs_OTHERS,SHRINK,REGION_DELTA_PROP_F34_similarity,higher,0.5829860091861931,0.5829860091861931,0.48692476201751056,0.28648060434405703,0.17975107391267403,0.08374334579981826,0.15634678757546105,0.08019523749060396,-0.08411484034037968,-0.0083678326304364,0.23528675309051175,0.1754917565196727,0.15978392692651036,0.17975107391267403,0.15429081788327198,4781
SHRINK_vs_OTHERS,SHRINK,REGION_DELTA_PROP_K34_similarity,higher,0.580355087228544,0.580355087228544,0.4811399083345844,0.26556055261733486,0.15072850867337326,0.07005097262671985,0.13235609680574772,0.06855460136831025,-0.0841803038385904,-0.012611840407091273,0.21997993976666788,0.17486008629189392,0.13483941168908653,0.15072850867337326,0.13087066964820523,4781
SHRINK_vs_OTHERS,SHRINK,REGION_DELTA_HR14_target_ownership,higher,0.5214499191315709,0.5214499191315709,0.42639386370891597,0.04241337657443499,0.10600125464682109,0.06755139013046488,0.10308389091528364,0.06965469283704702,0.06362350782579215,0.003195705923162168,-0.012777319085623285,0.03101808983909318,0.10725819605944281,0.10600125464682109,0.10058697589793927,4781
SHRINK_vs_OTHERS,SHRINK,SEED_CONF,higher,0.502956987888309,0.502956987888309,0.38481964161564725,0.0319689655077971,0.8947428725882032,0.03753962634751532,0.8934764307316746,0.04088644000834309,-0.11284528553476449,-0.01548267152067989,-0.057220281356507585,0.03473112477767153,0.8925812385778511,0.8947428725882032,0.8939782001432919,5158
SHRINK_vs_OTHERS,SHRINK,DELTA_SEMANTIC_SLOT,higher,0.5088747552826715,0.5088747552826715,0.40087594370170426,0.04235459782166313,0.037499841378663516,0.021981717866941433,0.03658119950857467,0.02150024683369892,-0.0016483751621924597,-0.024205603542980358,0.04341321270527977,0.03336086853973077,0.03612316919105753,0.037499841378663516,0.03683793277186553,5158
SHRINK_vs_OTHERS,SHRINK,DELTA_RECIPROCAL_L4,lower,0.49371081205077233,0.5062891879492277,0.39054397626901194,-0.012301974122572732,0.024410261215927008,0.021335061065617823,0.024675681928548222,0.021727778617200114,0.004668167805920962,-0.03516778576502513,-0.045560063445897137,0.005116713333495692,0.023642728255576017,0.024410261215927008,0.025254668858339185,5158
EXPAND_vs_OTHERS,EXPAND,AUD_area,higher,0.5288588289056253,0.5288588289056253,0.23718687933213264,0.08592719837607815,0.5172861262867979,0.14570440471591306,0.5051257458552252,0.14032392611701106,-0.12845515676817673,0.047034330648686784,0.06772424858193073,0.033168850628467444,0.5172861262867979,0.5134970926196647,0.4967710089057945,5158
EXPAND_vs_OTHERS,EXPAND,IMG_area,higher,0.5395851824836762,0.5395851824836762,0.2439723186660727,0.12899115375067352,0.4595077363080188,0.1323405288203851,0.4429923649884483,0.12680156563204062,-0.07559730130954105,0.05453253208038351,-0.15998415083099674,-0.07206914349383305,0.4595077363080188,0.43233728805420035,0.4536263008970329,5158
EXPAND_vs_OTHERS,EXPAND,IMG_AUD_area_ratio,higher,0.5232973170110113,0.5232973170110113,0.24256669735649466,0.09207530598056181,0.9050823747976313,0.175468209924163,0.8902943910022763,0.15618760665208217,0.11467840720222193,0.02177036014524436,-0.3675856507180066,-0.21799042110614011,0.9050823747976313,0.8503761512680914,0.9301334278798455,5158
