vggss C3 seed12345 epoch 4/50 batch 562/562 total=7.8235 d_pos=0.000039 d_neg=0.000071 gap=0.000032 ETA=0:00:00
{"epoch": 4, "learning_rate": 5e-05, "epoch_seconds": 573.57475233078, "gradient_l2_mean": 34.1899573913418, "parameter_l2": 200.36977237913928, "info_loss": 6.9121744895745, "recon_loss": 4.275711775674514, "div_loss": 0.001535099431842539, "a2v_loss": 3.866960996739339e-05, "v2a_loss": 4.535870386488086e-05, "original_match_loss": 8.402831394231987e-05, "d_pos": 3.8669609999759755e-05, "d_neg": 6.885199297205637e-05, "g_match": 3.0182382985243152e-05, "cram_loss": 0.693132087323165, "weighted_cram_loss": 0.693132087323165, "total_loss": 8.041434100514206, "AUD_cIoU": 0.3576967816983327, "AUD_AUC": 0.3975281116711904, "IQR_cIoU": 0.36041101202016285, "IQR_AUC": 0.4002811167119038}
vggss C3 seed12345 epoch 5/50 batch 1/562 total=7.9455 d_pos=0.000043 d_neg=0.000077 gap=0.000034 ETA=1:02:35
vggss C3 seed12345 epoch 5/50 batch 51/562 total=7.4491 d_pos=0.000043 d_neg=0.000075 gap=0.000033 ETA=0:09:26
vggss C3 seed12345 epoch 5/50 batch 101/562 total=6.8650 d_pos=0.000038 d_neg=0.000077 gap=0.000039 ETA=0:08:05
vggss C3 seed12345 epoch 5/50 batch 151/562 total=7.8696 d_pos=0.000042 d_neg=0.000087 gap=0.000044 ETA=0:07:04
vggss C3 seed12345 epoch 5/50 batch 201/562 total=7.6321 d_pos=0.000055 d_neg=0.000095 gap=0.000039 ETA=0:06:09
vggss C3 seed12345 epoch 5/50 batch 251/562 total=7.2128 d_pos=0.000045 d_neg=0.000083 gap=0.000038 ETA=0:05:16
vggss C3 seed12345 epoch 5/50 batch 301/562 total=7.2858 d_pos=0.000057 d_neg=0.000090 gap=0.000034 ETA=0:04:24
vggss C3 seed12345 epoch 5/50 batch 351/562 total=7.7980 d_pos=0.000048 d_neg=0.000091 gap=0.000043 ETA=0:03:33
vggss C3 seed12345 epoch 5/50 batch 401/562 total=7.2503 d_pos=0.000045 d_neg=0.000079 gap=0.000035 ETA=0:02:42
vggss C3 seed12345 epoch 5/50 batch 451/562 total=8.0044 d_pos=0.000057 d_neg=0.000094 gap=0.000037 ETA=0:01:51
