flickr C3 seed12345 epoch 6/50 batch 1/562 total=9.2937 d_pos=0.000009 d_neg=0.000012 gap=0.000002 ETA=0:49:12
flickr C3 seed12345 epoch 6/50 batch 51/562 total=9.2402 d_pos=0.000012 d_neg=0.000015 gap=0.000003 ETA=0:09:14
flickr C3 seed12345 epoch 6/50 batch 101/562 total=9.3302 d_pos=0.000012 d_neg=0.000015 gap=0.000003 ETA=0:08:00
flickr C3 seed12345 epoch 6/50 batch 151/562 total=9.0902 d_pos=0.000010 d_neg=0.000012 gap=0.000002 ETA=0:07:02
flickr C3 seed12345 epoch 6/50 batch 201/562 total=9.4998 d_pos=0.000010 d_neg=0.000012 gap=0.000002 ETA=0:06:08
flickr C3 seed12345 epoch 6/50 batch 251/562 total=9.3281 d_pos=0.000014 d_neg=0.000017 gap=0.000002 ETA=0:05:16
flickr C3 seed12345 epoch 6/50 batch 301/562 total=9.2837 d_pos=0.000013 d_neg=0.000017 gap=0.000003 ETA=0:04:25
flickr C3 seed12345 epoch 6/50 batch 351/562 total=8.8888 d_pos=0.000012 d_neg=0.000018 gap=0.000006 ETA=0:03:33
flickr C3 seed12345 epoch 6/50 batch 401/562 total=9.2564 d_pos=0.000014 d_neg=0.000018 gap=0.000004 ETA=0:02:42
flickr C3 seed12345 epoch 6/50 batch 451/562 total=9.1284 d_pos=0.000011 d_neg=0.000015 gap=0.000003 ETA=0:01:52
flickr C3 seed12345 epoch 6/50 batch 501/562 total=9.2435 d_pos=0.000012 d_neg=0.000016 gap=0.000004 ETA=0:01:01
flickr C3 seed12345 epoch 6/50 batch 551/562 total=9.0509 d_pos=0.000015 d_neg=0.000019 gap=0.000004 ETA=0:00:11
flickr C3 seed12345 epoch 6/50 batch 562/562 total=9.6412 d_pos=0.000015 d_neg=0.000019 gap=0.000004 ETA=0:00:00
{"epoch": 6, "learning_rate": 5e-05, "epoch_seconds": 568.5785324573517, "gradient_l2_mean": 30.523804934685003, "parameter_l2": 200.75563477767736, "info_loss": 8.289634656227356, "recon_loss": 3.869577907582619, "div_loss": 0.0006436370967744826, "a2v_loss": 1.2406469013059704e-05, "v2a_loss": 9.516451339734746e-05, "original_match_loss": 0.00010757098230036155, "d_pos": 1.2406468980693345e-05, "d_neg": 1.5544227679394512e-05, "g_match": 3.137758714277478e-06, "cram_loss": 0.6931456078201851, "weighted_cram_loss": 0.6931456078201851, "total_loss": 9.380559493638442, "AUD_cIoU": 0.848, "AUD_AUC": 0.6205999999999999, "IQR_cIoU": 0.836, "IQR_AUC": 0.6214}
flickr C3 seed12345 epoch 7/50 batch 1/562 total=8.6529 d_pos=0.000015 d_neg=0.000018 gap=0.000004 ETA=0:42:57
flickr C3 seed12345 epoch 7/50 batch 51/562 total=8.9878 d_pos=0.000014 d_neg=0.000019 gap=0.000005 ETA=0:09:08
flickr C3 seed12345 epoch 7/50 batch 101/562 total=8.9279 d_pos=0.000016 d_neg=0.000022 gap=0.000005 ETA=0:07:59
flickr C3 seed12345 epoch 7/50 batch 151/562 total=9.2018 d_pos=0.000016 d_neg=0.000021 gap=0.000005 ETA=0:07:02
flickr C3 seed12345 epoch 7/50 batch 201/562 total=9.4045 d_pos=0.000016 d_neg=0.000019 gap=0.000003 ETA=0:06:08
flickr C3 seed12345 epoch 7/50 batch 251/562 total=8.8556 d_pos=0.000017 d_neg=0.000021 gap=0.000004 ETA=0:05:16
flickr C3 seed12345 epoch 7/50 batch 301/562 total=8.9686 d_pos=0.000015 d_neg=0.000020 gap=0.000005 ETA=0:04:24
flickr C3 seed12345 epoch 7/50 batch 351/562 total=9.2883 d_pos=0.000017 d_neg=0.000024 gap=0.000007 ETA=0:03:33
